DateTime,Rain(mm),Temp(C),RH(%),WS,NetRad(W/m2),NetRad(MJ/m2h),VPD(kPa),PET(mm/h)
2019-06-12 15:00:00,0.0,25.477,24.8,0.5,825.0,2.9699999999999998,2.4506969040427924,0.4608012937948354
2019-06-12 15:30:00,0.0,26.475,23.1,0.5,825.0,2.9699999999999998,2.6584242244252376,0.48422973719771406
2019-06-12 16:00:00,0.0,26.549,21.5,0.5,535.0,1.926,2.725586819943642,0.3880986142599551
2019-06-12 16:30:00,0.0,26.598,21.4,0.5,535.0,1.926,2.7369408594359506,0.3891295456673156
2019-06-12 17:00:00,0.0,24.968,22.4,1.01,474.3,1.7074799999999999,2.45351385824384,0.4878064955447639
2019-06-12 17:30:00,0.0,27.087,21.9,0.5,474.3,1.7074799999999999,2.7987746952558124,0.37388182697406364
2019-06-12 18:00:00,0.0,26.158,22.2,1.51,308.8,1.11168,2.639725714347144,0.5958906693759441
2019-06-12 18:30:00,0.0,25.623,22.8,1.01,308.8,1.11168,2.537757564526556,0.44856368541906505
2019-06-12 19:00:00,0.0,25.186,23.2,0.5,109.8,0.39527999999999996,2.4599377871575996,0.22144327970781733
2019-06-12 19:30:00,0.0,25.137,23.6,0.5,109.8,0.39527999999999996,2.440002358431774,0.2200136126500424
2019-06-12 20:00:00,0.0,25.793,23.0,0.5,0.672,0.0024192000000000003,2.5568050939238223,0.1906374013055863
2019-06-12 20:30:00,0.0,24.46,23.4,1.01,0.672,0.0024192000000000003,2.3495541053803954,0.33205560389154587
2019-06-12 21:00:00,0.0,23.833,24.6,0.5,0.2,0.00072,2.2274201073219815,0.11397504909581285
2019-06-12 21:30:00,0.0,19.199,30.7,0.5,0.2,0.00072,1.541802013457187,0.08285109012615013
2019-06-12 22:00:00,0.0,17.677,38.3,0.0,0.2,0.00072,1.247846818064102,4.428256051936826e-05
2019-06-12 22:30:00,0.0,17.748,38.2,0.5,0.2,0.00072,1.2554740848470674,0.06843269442819123
2019-06-12 23:00:00,0.0,16.773,38.6,1.01,0.2,0.00072,1.1727579590996626,0.09184838753445533
2019-06-12 23:30:00,0.0,16.249,39.8,0.5,0.2,0.00072,1.1121395524743518,0.0614841175384699
2019-06-13 00:00:00,0.0,16.106,40.9,1.01,0.2,0.00072,1.0819047604364394,0.08516285612620413
2019-06-13 00:30:00,0.0,15.031,43.7,0.5,0.2,0.00072,0.9620277947368618,0.053781097986541675
2019-06-13 01:00:00,0.0,14.17,47.3,0.0,0.2,0.00072,0.8518039295592545,3.7649739217570726e-05
2019-06-13 01:30:00,0.0,14.361,49.4,0.0,0.2,0.00072,0.8280397116867356,3.799406494841691e-05
2019-06-13 02:00:00,0.0,13.978,50.7,0.0,0.2,0.00072,0.7869877361277432,3.73056019335144e-05
2019-06-13 02:30:00,0.0,14.505,49.9,0.0,0.2,0.00072,0.8275281915249355,3.825496551648326e-05
2019-06-13 03:00:00,0.0,14.026,51.1,0.0,0.2,0.00072,0.7830377032150554,3.7391448914282844e-05
2019-06-13 03:30:00,0.0,13.546,53.6,0.0,0.2,0.00072,0.7201795833631263,3.6538608580226484e-05
2019-06-13 04:00:00,0.0,13.233,54.3,0.0,0.2,0.00072,0.6949837989058427,3.598923620581269e-05
2019-06-13 04:30:00,0.0,12.847,55.6,0.0,0.2,0.00072,0.6583838307387498,3.53190922434402e-05
2019-06-13 05:00:00,0.0,12.775,56.2,0.0,0.2,0.00072,0.6464303995059345,3.519499171295756e-05
2019-06-13 05:30:00,0.0,12.582,56.8,0.0,0.2,0.00072,0.6295560459492584,3.486373135510907e-05
2019-06-13 06:00:00,0.0,12.485,57.1,0.0,0.2,0.00072,0.6212150824911502,3.469801230712109e-05
2019-06-13 06:30:00,0.0,12.05,58.7,0.0,0.2,0.00072,0.5811714485623233,3.396117416792823e-05
2019-06-13 07:00:00,0.0,12.413,60.2,0.0,0.2,0.00072,0.5736054952953945,3.457533729690223e-05
2019-06-13 07:30:00,0.0,12.364,61.4,0.0,0.2,0.00072,0.5545218694649762,3.449201241240149e-05
2019-06-13 08:00:00,0.0,12.485,62.9,0.0,9.75,0.0351,0.537227961781391,0.0020298337199665837
2019-06-13 08:30:00,0.0,12.896,64.5,0.0,9.75,0.0351,0.5281022288045862,0.0020711171247605677
2019-06-13 09:00:00,0.0,14.218,62.8,0.0,66.26,0.238536,0.6031463006907983,0.015002358192891847
2019-06-13 09:30:00,0.0,15.127,61.0,0.0,66.26,0.238536,0.6705425299637872,0.0156617777843283
2019-06-13 10:00:00,0.0,16.558,55.1,0.0,97.9,0.35244000000000003,0.8459671660867046,0.024726904065053838
2019-06-13 10:30:00,0.0,17.13,52.4,0.0,97.9,0.35244000000000003,0.9299853693770613,0.02537880379402327
2019-06-13 11:00:00,0.0,19.056,49.0,0.0,324.1,1.16676,1.124591828471603,0.09152527347530286
2019-06-13 11:30:00,0.0,20.984,37.7,0.0,324.1,1.16676,1.5478822753594932,0.09940211691347725
2019-06-13 12:00:00,0.0,23.064,33.1,0.5,258.0,0.9288,1.886801647434158,0.2251951175706454
2019-06-13 12:30:00,0.0,22.657,30.5,1.51,258.0,0.9288,1.9124161663131738,0.44914506967149126
