PSY (Mpa),% Loss,Species,Type,Curve,Material,Method,Diameter(mm),Paper
-6,95.616,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-6.00805153,93.536,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-6.00805153,81.536,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-4.776167472,85.497,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-5.033816425,79.105,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-4.792270531,79.097,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-5.025764895,69.665,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-5.549114332,62.961,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-4.977455717,59.903,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-4.486312399,79.407,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-4.502415459,75.408,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-4.285024155,73.321,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-4.301127214,65.001,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-4.188405797,64.998,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-4.502415459,53.968,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-4.252818035,49,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-4.019323671,51.872,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-4.019323671,50.272,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-4.019323671,47.552,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-3.504025765,42.896,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-4.011272142,41.312,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-3.028985507,44.961,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-2.996779388,51.84,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-3.761674718,32.024,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-3.761674718,30.104,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-3.777777778,27.545,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-3.504025765,33.136,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-3.512077295,31.056,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-3.495974235,28.336,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-3.512077295,25.456,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-3.254428341,27.208,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-3.246376812,25.608,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-3.246376812,22.728,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-3.020933977,25.121,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-3.020933977,20.481,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-3.020933977,19.361,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-3.004830918,16.48,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-2.505636071,35.664,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-2.513687601,31.024,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-2.505636071,19.184,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-2.505636071,15.344,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-2.497584541,13.264,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-2.513687601,11.024,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-2.006441224,25.728,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-2.006441224,21.888,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-2.006441224,16.288,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-1.982286634,9.727,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-1.322061192,11.466,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-1,14.816,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-1,12.896,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-1,12.096,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-1.01610306,8.416,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-1.01610306,4.736,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-1.00805153,0.896,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-0.098228663,0.867,Douglas fir ,branch,c1,adult branch,air-injection,2.0-12.0,Sperry and Ikeda 1996
-4.784219002,97.817,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-4.260869565,96.84,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-4.132045089,92.996,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-4.132045089,87.236,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-4.244766506,85.16,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-3.922705314,85.309,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-3.874396135,82.908,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-3.979066023,82.271,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-4.196457327,80.358,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-4.099838969,73.475,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-4.08373591,70.435,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-3.834138486,74.107,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-5.114331723,62.948,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-3.914653784,50.109,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-2.91626409,48.957,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-3.826086957,39.386,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-3.882447665,34.108,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-3.67310789,26.581,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-2.851851852,25.435,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-2.658615137,21.429,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-2.513687601,21.584,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-2.642512077,14.228,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-2.199677939,10.534,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-1.314009662,19.306,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-3.600644122,16.019,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-3.367149758,15.692,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-3.552334944,13.618,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-3.447665056,13.134,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-3.334943639,12.331,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-3.117552335,10.084,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-2.980676329,7.519,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-3.592592593,10.099,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-3.028985507,0.481,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-2.666666667,0.149,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-2.400966184,0.461,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-2.207729469,0.614,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-2.022544283,0.769,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-1.893719807,3.484,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-1.531400966,2.673,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-1.523349436,0.593,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-1.314009662,1.066,Douglas fir ,branch,c2,adult branch,dehydration ,2.0-12.0,Sperry and Ikeda 1996
-0.099173554,0.664,Douglas fir ,branch,c3,adult branch,air-injection,>8,Sperry and Ikeda 1996
-0.991735537,0.996,Douglas fir ,branch,c3,adult branch,air-injection,>8,Sperry and Ikeda 1996
-2.024793388,1.826,Douglas fir ,branch,c3,adult branch,air-injection,>8,Sperry and Ikeda 1996
-3.008264463,4.979,Douglas fir ,branch,c3,adult branch,air-injection,>8,Sperry and Ikeda 1996
-4.024793388,7.635,Douglas fir ,branch,c3,adult branch,air-injection,>8,Sperry and Ikeda 1996
-5.049586777,35.353,Douglas fir ,branch,c3,adult branch,air-injection,>8,Sperry and Ikeda 1996
-6,75.021,Douglas fir ,branch,c3,adult branch,air-injection,>8,Sperry and Ikeda 1996
-7.008264463,93.112,Douglas fir ,branch,c3,adult branch,air-injection,>8,Sperry and Ikeda 1996
-8.033057851,99.253,Douglas fir ,branch,c3,adult branch,air-injection,>8,Sperry and Ikeda 1996
-7,99.585,Douglas fir ,branch,c4,adult branch,air-injection,<5,Sperry and Ikeda 1996
-6,96.598,Douglas fir ,branch,c4,adult branch,air-injection,<5,Sperry and Ikeda 1996
-5.008264463,62.739,Douglas fir ,branch,c4,adult branch,air-injection,<5,Sperry and Ikeda 1996
-4.008264463,30.373,Douglas fir ,branch,c4,adult branch,air-injection,<5,Sperry and Ikeda 1996
-2.991735537,19.917,Douglas fir ,branch,c4,adult branch,air-injection,<5,Sperry and Ikeda 1996
-2,10.29,Douglas fir ,branch,c4,adult branch,air-injection,<5,Sperry and Ikeda 1996
-0.991735537,5.477,Douglas fir ,branch,c4,adult branch,air-injection,<5,Sperry and Ikeda 1996
