,Psychrometer
2021-05-05 17:00:00,-0.7785919904708862
2021-05-05 17:30:00,-0.7785919904708862
2021-05-05 18:00:00,-0.6569973230361938
2021-05-05 18:30:00,-0.6823819875717163
2021-05-05 19:00:00,-0.6710020303726196
2021-05-05 19:30:00,-0.6710020303726196
2021-05-05 20:00:00,-0.5573056936264038
2021-05-05 20:30:00,-0.5656991004943848
2021-05-05 21:00:00,-0.49978119134902954
2021-05-05 21:30:00,-0.49978119134902954
2021-05-05 22:00:00,-0.48460766673088074
2021-05-05 22:30:00,-0.48460766673088074
2021-05-05 23:00:00,-0.38734686374664307
2021-05-05 23:30:00,-0.38734686374664307
2021-05-06 00:00:00,-0.39179372787475586
2021-05-06 00:30:00,-0.3715205490589142
2021-05-06 01:00:00,-0.28854286670684814
2021-05-06 01:30:00,-0.25718605518341064
2021-05-06 02:00:00,-0.24500304460525513
2021-05-06 02:30:00,-0.22920116782188416
2021-05-06 03:00:00,-0.2329655885696411
2021-05-06 03:30:00,-0.22920116782188416
2021-05-06 04:00:00,-0.22920116782188416
2021-05-06 04:30:00,-0.22920116782188416
2021-05-06 05:00:00,-0.22920116782188416
2021-05-06 05:30:00,-0.23620666563510895
2021-05-06 06:00:00,-0.25138020515441895
2021-05-06 06:30:00,-0.25092199444770813
2021-05-06 07:00:00,-0.24437469244003296
2021-05-06 07:30:00,-0.2481391280889511
2021-05-06 08:00:00,-0.3570002019405365
2021-05-06 08:30:00,-0.35002875328063965
2021-05-06 09:00:00,-0.6060965061187744
2021-05-06 09:30:00,-0.6060965061187744
2021-05-06 10:00:00,-0.9411254525184631
2021-05-06 10:30:00,-0.9364671111106873
2021-05-06 11:00:00,-1.0371384620666504
2021-05-06 11:30:00,-1.0371384620666504
2021-05-06 12:00:00,-1.1258103847503662
2021-05-06 12:30:00,-1.128321886062622
2021-05-06 13:00:00,-0.9048835635185242
2021-05-06 13:30:00,-0.9048835635185242
2021-05-06 14:00:00,-1.0406864881515503
2021-05-06 14:30:00,-1.0406864881515503
2021-05-06 15:00:00,-1.0297894477844238
2021-05-06 15:30:00,-0.9912806153297424
2021-05-06 16:00:00,-1.0470696687698364
2021-05-06 16:30:00,-1.0470696687698364
2021-05-06 17:00:00,-0.9993263483047485
2021-05-06 17:30:00,-0.9993263483047485
2021-05-06 18:00:00,-0.7535057663917542
2021-05-06 18:30:00,-0.7982046008110046
2021-05-06 19:00:00,-0.8923477530479431
2021-05-06 19:30:00,-0.9177324175834656
2021-05-06 20:00:00,-0.8209099769592285
2021-05-06 20:30:00,-0.7181148529052734
2021-05-06 21:00:00,-0.5953651666641235
2021-05-06 21:30:00,-0.5953651666641235
2021-05-06 22:00:00,-0.5520575046539307
2021-05-06 22:30:00,-0.5520575046539307
2021-05-06 23:00:00,-0.5028531551361084
2021-05-06 23:30:00,-0.5028531551361084
2021-05-07 00:00:00,-0.2967449426651001
2021-05-07 00:30:00,-0.2967449426651001
2021-05-07 01:00:00,-0.3786056339740753
2021-05-07 01:30:00,-0.3786056339740753
2021-05-07 02:00:00,-0.2914828062057495
2021-05-07 02:30:00,-0.2914828062057495
2021-05-07 03:00:00,-0.28854286670684814
2021-05-07 03:30:00,-0.28854286670684814
2021-05-07 04:00:00,-0.276359885931015
2021-05-07 04:30:00,-0.276359885931015
2021-05-07 05:00:00,-0.28854286670684814
2021-05-07 05:30:00,-0.28854286670684814
2021-05-07 06:00:00,-0.2915334105491638
2021-05-07 06:30:00,-0.2915334105491638
2021-05-07 07:00:00,-0.2915334105491638
2021-05-07 07:30:00,-0.28456196188926697
2021-05-07 08:00:00,-0.3333165645599365
2021-05-07 08:30:00,-0.3333165645599365
2021-05-07 09:00:00,-0.5903992056846619
2021-05-07 09:30:00,-0.5617325305938721
2021-05-07 10:00:00,-0.6963579654693604
2021-05-07 10:30:00,-0.6963579654693604
2021-05-07 11:00:00,-0.6623271107673645
2021-05-07 11:30:00,-0.6737070083618164
2021-05-07 12:00:00,-0.8765156865119934
2021-05-07 12:30:00,-0.8321517705917358
2021-05-07 13:00:00,-0.995222806930542
2021-05-07 13:30:00,-0.9861072897911072
2021-05-07 14:00:00,-1.0017660856246948
2021-05-07 14:30:00,-1.0017660856246948
2021-05-07 15:00:00,-0.9787064790725708
2021-05-07 15:30:00,-0.9787064790725708
2021-05-07 16:00:00,-1.0524722337722778
2021-05-07 16:30:00,-1.0017660856246948
2021-05-07 17:00:00,-1.0880571603775024
2021-05-07 17:30:00,-1.0373508930206299
2021-05-07 18:00:00,-0.7247157096862793
2021-05-07 18:30:00,-0.7247157096862793
2021-05-07 19:00:00,-0.6635326743125916
2021-05-07 19:30:00,-0.6635326743125916
2021-05-07 20:00:00,-0.5319210290908813
2021-05-07 20:30:00,-0.5319210290908813
2021-05-07 21:00:00,-0.49978119134902954
2021-05-07 21:30:00,-0.48216724395751953
2021-05-07 22:00:00,-0.49978119134902954
2021-05-07 22:30:00,-0.49978119134902954
2021-05-07 23:00:00,-0.48460766673088074
2021-05-07 23:30:00,-0.48460766673088074
2021-05-08 00:00:00,-0.28456196188926697
2021-05-08 00:30:00,-0.28456196188926697
2021-05-08 01:00:00,-0.2967449426651001
2021-05-08 01:30:00,-0.2967449426651001
2021-05-08 02:00:00,-0.4421900510787964
2021-05-08 02:30:00,-0.4421900510787964
2021-05-08 03:00:00,-0.4421900510787964
2021-05-08 03:30:00,-0.449161559343338
2021-05-08 04:00:00,-0.2915334105491638
2021-05-08 04:30:00,-0.2915334105491638
2021-05-08 05:00:00,-0.2915334105491638
2021-05-08 05:30:00,-0.2915334105491638
2021-05-08 06:00:00,-0.2915334105491638
2021-05-08 06:30:00,-0.2915334105491638
2021-05-08 07:00:00,-0.29653674364089966
2021-05-08 07:30:00,-0.2601765990257263
2021-05-08 08:00:00,-0.29674822092056274
2021-05-08 08:30:00,-0.29436495900154114
2021-05-08 09:00:00,-0.40942734479904175
2021-05-08 09:30:00,-0.40942734479904175
2021-05-08 10:00:00,-0.46417972445487976
2021-05-08 10:30:00,-0.46179646253585815
2021-05-08 11:00:00,-0.503734827041626
2021-05-08 11:30:00,-0.503734827041626
2021-05-08 12:00:00,-0.5820517539978027
2021-05-08 12:30:00,-0.5820517539978027
2021-05-08 13:00:00,-0.6345685720443726
2021-05-08 13:30:00,-0.6345685720443726
2021-05-08 14:00:00,-0.5878968834877014
2021-05-08 14:30:00,-0.5878968834877014
2021-05-08 15:00:00,-0.5829740762710571
2021-05-08 15:30:00,-0.5829740762710571
2021-05-08 16:00:00,-0.5829740762710571
2021-05-08 16:30:00,-0.5829740762710571
2021-05-08 17:00:00,-0.5565836429595947
2021-05-08 17:30:00,-0.5565836429595947
2021-05-08 18:00:00,-0.4434216618537903
2021-05-08 18:30:00,-0.4484249949455261
2021-05-08 19:00:00,-0.4046989381313324
2021-05-08 19:30:00,-0.4046989381313324
2021-05-08 20:00:00,-0.40724754333496094
2021-05-08 20:30:00,-0.3469463288784027
2021-05-08 21:00:00,-0.33503952622413635
2021-05-08 21:30:00,-0.35898059606552124
2021-05-08 22:00:00,-0.35898059606552124
2021-05-08 22:30:00,-0.33503952622413635
2021-05-08 23:00:00,-0.33742278814315796
2021-05-08 23:30:00,-0.35898059606552124
2021-05-09 00:00:00,-0.2915334105491638
2021-05-09 00:30:00,-0.2915334105491638
2021-05-09 01:00:00,-0.2915334105491638
2021-05-09 01:30:00,-0.2915334105491638
2021-05-09 02:00:00,-0.2915334105491638
2021-05-09 02:30:00,-0.25138020515441895
2021-05-09 03:00:00,-0.24437469244003296
2021-05-09 03:30:00,-0.2481391280889511
2021-05-09 04:00:00,-0.24500304460525513
2021-05-09 04:30:00,-0.24500304460525513
2021-05-09 05:00:00,-0.29653674364089966
2021-05-09 05:30:00,-0.2601765990257263
2021-05-09 06:00:00,-0.2601765990257263
2021-05-09 06:30:00,-0.2915334105491638
2021-05-09 07:00:00,-0.29653674364089966
2021-05-09 07:30:00,-0.2601765990257263
2021-05-09 08:00:00,-0.32810503244400024
2021-05-09 08:30:00,-0.3331083655357361
2021-05-09 09:00:00,-0.4481707513332367
2021-05-09 09:30:00,-0.4481707513332367
2021-05-09 10:00:00,-0.4569196403026581
2021-05-09 10:30:00,-0.4932797849178314
