,Psychrometer
2022-05-01 00:00:00,-0.8258656576439808
2022-05-01 00:30:00,-0.8258656576439808
2022-05-01 01:00:00,-0.8258656576439808
2022-05-01 01:30:00,-0.8255347748143955
2022-05-01 02:00:00,-0.8236679667861445
2022-05-01 02:30:00,-0.8236679667861445
2022-05-01 03:00:00,-0.8236679667861445
2022-05-01 03:30:00,-0.8236679667861445
2022-05-01 04:00:00,-0.8236679667861445
2022-05-01 04:30:00,-0.8236679667861445
2022-05-01 05:00:00,-0.8236679667861445
2022-05-01 05:30:00,-0.8236679667861445
2022-05-01 06:00:00,-0.8236679667861445
2022-05-01 06:30:00,-0.8236679667861445
2022-05-01 07:00:00,-0.8236679667861445
2022-05-01 07:30:00,-0.8236679667861445
2022-05-01 08:00:00,-0.8236679667861445
2022-05-01 08:30:00,-0.8236679667861445
2022-05-01 09:00:00,-0.8520450756519727
2022-05-01 09:30:00,-0.8520450756519727
2022-05-01 10:00:00,-0.8495158366438446
2022-05-01 10:30:00,-0.8495158366438446
2022-05-01 11:00:00,-0.8541854780771545
2022-05-01 11:30:00,-0.854495566455257
2022-05-01 12:00:00,-0.8655058234389537
2022-05-01 12:30:00,-0.8669451316594309
2022-05-01 13:00:00,-0.8482105980495015
2022-05-01 13:30:00,-0.8511272322123817
2022-05-01 14:00:00,-0.8578861926236061
2022-05-01 14:30:00,-0.8558290187125706
2022-05-01 15:00:00,-0.8713593011255851
2022-05-01 15:30:00,-0.8719277208069266
2022-05-01 16:00:00,-0.8687432463701136
2022-05-01 16:30:00,-0.8692269464688738
2022-05-01 17:00:00,-0.8803252898970375
2022-05-01 17:30:00,-0.878867511176922
2022-05-01 18:00:00,-0.8932082182278698
2022-05-01 18:30:00,-0.8874398579073066
2022-05-01 19:00:00,-0.9025391127742896
2022-05-01 19:30:00,-0.899884596360834
2022-05-01 20:00:00,-0.899884596360834
2022-05-01 20:30:00,-0.899884596360834
2022-05-01 21:00:00,-0.899884596360834
2022-05-01 21:30:00,-0.899884596360834
2022-05-01 22:00:00,-0.9008803025302003
2022-05-01 22:30:00,-0.9008803025302003
2022-05-01 23:00:00,-0.9008803025302003
2022-05-01 23:30:00,-0.9008803025302003
2022-05-02 00:00:00,-0.8258656576439808
2022-05-02 00:30:00,-0.8258656576439808
2022-05-02 01:00:00,-0.8258656576439808
2022-05-02 01:30:00,-0.8255347748143955
2022-05-02 02:00:00,-0.8236679667861445
2022-05-02 02:30:00,-0.8236679667861445
2022-05-02 03:00:00,-0.8236679667861445
2022-05-02 03:30:00,-0.8236679667861445
2022-05-02 04:00:00,-0.8236679667861445
2022-05-02 04:30:00,-0.8236679667861445
2022-05-02 05:00:00,-0.8236679667861445
2022-05-02 05:30:00,-0.8236679667861445
2022-05-02 06:00:00,-0.8236679667861445
2022-05-02 06:30:00,-0.8236679667861445
2022-05-02 07:00:00,-0.8236679667861445
2022-05-02 07:30:00,-0.8236679667861445
2022-05-02 08:00:00,-0.8236679667861445
2022-05-02 08:30:00,-0.8236679667861445
2022-05-02 09:00:00,-0.8520450756519727
2022-05-02 09:30:00,-0.8520450756519727
2022-05-02 10:00:00,-0.8495158366438446
2022-05-02 10:30:00,-0.8495158366438446
2022-05-02 11:00:00,-0.8541854780771545
2022-05-02 11:30:00,-0.854495566455257
2022-05-02 12:00:00,-0.8655058234389537
2022-05-02 12:30:00,-0.8669451316594309
2022-05-02 13:00:00,-0.8482105980495015
2022-05-02 13:30:00,-0.8511272322123817
2022-05-02 14:00:00,-0.8578861926236061
2022-05-02 14:30:00,-0.8558290187125706
2022-05-02 15:00:00,-0.8713593011255851
2022-05-02 15:30:00,-0.8719277208069266
2022-05-02 16:00:00,-0.8687432463701136
2022-05-02 16:30:00,-0.8692269464688738
2022-05-02 17:00:00,-0.8803252898970375
2022-05-02 17:30:00,-0.878867511176922
2022-05-02 18:00:00,-0.8932082182278698
2022-05-02 18:30:00,-0.8874398579073066
2022-05-02 19:00:00,-0.9025391127742896
2022-05-02 19:30:00,-0.899884596360834
2022-05-02 20:00:00,-0.899884596360834
2022-05-02 20:30:00,-0.899884596360834
2022-05-02 21:00:00,-0.899884596360834
2022-05-02 21:30:00,-0.899884596360834
2022-05-02 22:00:00,-0.9008803025302003
2022-05-02 22:30:00,-0.9008803025302003
2022-05-02 23:00:00,-0.9008803025302003
2022-05-02 23:30:00,-0.9008803025302003
2022-05-03 00:00:00,-0.8258656576439808
2022-05-03 00:30:00,-0.8258656576439808
2022-05-03 01:00:00,-0.8258656576439808
2022-05-03 01:30:00,-0.8255347748143955
2022-05-03 02:00:00,-0.8236679667861445
2022-05-03 02:30:00,-0.8236679667861445
2022-05-03 03:00:00,-0.8236679667861445
2022-05-03 03:30:00,-0.8236679667861445
2022-05-03 04:00:00,-0.8236679667861445
2022-05-03 04:30:00,-0.8236679667861445
2022-05-03 05:00:00,-0.8236679667861445
2022-05-03 05:30:00,-0.8236679667861445
2022-05-03 06:00:00,-0.8236679667861445
2022-05-03 06:30:00,-0.8236679667861445
2022-05-03 07:00:00,-0.8236679667861445
2022-05-03 07:30:00,-0.8236679667861445
2022-05-03 08:00:00,-0.8236679667861445
2022-05-03 08:30:00,-0.8236679667861445
2022-05-03 09:00:00,-0.8520450756519727
2022-05-03 09:30:00,-0.8520450756519727
2022-05-03 10:00:00,-0.8495158366438446
2022-05-03 10:30:00,-0.8495158366438446
2022-05-03 11:00:00,-0.8541854780771545
2022-05-03 11:30:00,-0.854495566455257
2022-05-03 12:00:00,-0.8655058234389537
2022-05-03 12:30:00,-0.8669451316594309
2022-05-03 13:00:00,-0.8482105980495015
2022-05-03 13:30:00,-0.8511272322123817
2022-05-03 14:00:00,-0.8578861926236061
2022-05-03 14:30:00,-0.8558290187125706
2022-05-03 15:00:00,-0.8713593011255851
2022-05-03 15:30:00,-0.8719277208069266
2022-05-03 16:00:00,-0.8687432463701136
2022-05-03 16:30:00,-0.8692269464688738
2022-05-03 17:00:00,-0.8803252898970375
2022-05-03 17:30:00,-0.878867511176922
2022-05-03 18:00:00,-0.8932082182278698
2022-05-03 18:30:00,-0.8874398579073066
2022-05-03 19:00:00,-0.9025391127742896
2022-05-03 19:30:00,-0.899884596360834
2022-05-03 20:00:00,-0.899884596360834
2022-05-03 20:30:00,-0.899884596360834
2022-05-03 21:00:00,-0.899884596360834
2022-05-03 21:30:00,-0.899884596360834
2022-05-03 22:00:00,-0.9008803025302003
2022-05-03 22:30:00,-0.9008803025302003
2022-05-03 23:00:00,-0.9008803025302003
2022-05-03 23:30:00,-0.9008803025302003
2022-05-04 00:00:00,-0.8258656576439808
2022-05-04 00:30:00,-0.8258656576439808
