,Corrected Water Potential (MPa)
2022-04-28 14:00:00,-1.5565302618420715
2022-04-28 14:30:00,-1.5393130084899065
2022-04-28 15:00:00,-1.5057553982554097
2022-04-28 15:30:00,-1.4601285674133382
2022-04-28 16:00:00,-1.4078699723125299
2022-04-28 16:30:00,-1.3489560668959069
2022-04-28 17:00:00,-1.2762323258763408
2022-04-28 17:30:00,-1.1828929723516421
2022-04-28 18:00:00,-1.072605487547938
2022-04-28 18:30:00,-0.9624064485904367
2022-04-28 19:00:00,-0.8743267670071768
2022-04-28 19:30:00,-0.8218472389611293
2022-04-28 20:00:00,-0.8021503922956914
2022-04-28 20:30:00,-0.7983207175401916
2022-04-28 21:00:00,-0.7877091807712137
2022-04-28 21:30:00,-0.7525527094176837
2022-04-28 22:00:00,-0.6885962346146488
2022-04-28 22:30:00,-0.6055143145965376
2022-04-28 23:00:00,-0.5187388924336118
2022-04-28 23:30:00,-0.44098344482922885
2022-04-29 00:00:00,-0.38055065544000966
2022-04-29 00:30:00,-0.3443502893766441
2022-04-29 01:00:00,-0.3390612420617627
2022-04-29 01:30:00,-0.3679924987255598
2022-04-29 02:00:00,-0.4269473606015681
2022-04-29 02:30:00,-0.5029174960833767
2022-04-29 03:00:00,-0.5770795104122756
2022-04-29 03:30:00,-0.6328105617201218
2022-04-29 04:00:00,-0.665346924721584
2022-04-29 04:30:00,-0.6834315767628547
2022-04-29 05:00:00,-0.6984180382310491
2022-04-29 05:30:00,-0.7109046646282929
2022-04-29 06:00:00,-0.7094192272623869
2022-04-29 06:30:00,-0.6825748255088055
2022-04-29 07:00:00,-0.631098532448666
2022-04-29 07:30:00,-0.5673532866581629
2022-04-29 08:00:00,-0.5059654987726846
2022-04-29 08:30:00,-0.45830670551509106
2022-04-29 09:00:00,-0.43504587730358274
2022-04-29 09:30:00,-0.44863909754958897
2022-04-29 10:00:00,-0.509051338120475
2022-04-29 10:30:00,-0.6172227821243057
2022-04-29 11:00:00,-0.7620744878840575
2022-04-29 11:30:00,-0.9185760816619848
2022-04-29 12:00:00,-1.046718828057037
2022-04-29 12:30:00,-1.1034440659018279
2022-04-29 13:00:00,-1.0712296837091346
2022-04-29 13:30:00,-0.9776032963830787
2022-04-29 14:00:00,-0.8784896751924184
2022-04-29 14:30:00,-0.8187678241950698
2022-04-29 15:00:00,-0.8086420918131371
2022-04-29 15:30:00,-0.8308674876554101
2022-04-29 16:00:00,-0.8619148514720326
2022-04-29 16:30:00,-0.8863671997715824
2022-04-29 17:00:00,-0.8982604212932429
2022-04-29 17:30:00,-0.8955102324706504
2022-04-29 18:00:00,-0.8773838567296849
2022-04-29 18:30:00,-0.8480902256633788
2022-04-29 19:00:00,-0.8183206182620844
2022-04-29 19:30:00,-0.7982447522090214
2022-04-29 20:00:00,-0.7886020718507639
2022-04-29 20:30:00,-0.779978804347317
2022-04-29 21:00:00,-0.7599549661432125
2022-04-29 21:30:00,-0.7210235805795804
2022-04-29 22:00:00,-0.6645536061174211
2022-04-29 22:30:00,-0.5991847613747072
2022-04-29 23:00:00,-0.5346886602688902
2022-04-29 23:30:00,-0.4761920378071695
2022-04-30 00:00:00,-0.42387580892221904
2022-04-30 00:30:00,-0.37717763460472237
2022-04-30 01:00:00,-0.3380189906814672
2022-04-30 01:30:00,-0.3104930857316369
2022-04-30 02:00:00,-0.2995543194676184
2022-04-30 02:30:00,-0.30998957290877827
2022-04-30 03:00:00,-0.3436090599885689
2022-04-30 03:30:00,-0.3954379181518166
2022-04-30 04:00:00,-0.4538891371727726
2022-04-30 04:30:00,-0.5060268569628638
2022-04-30 05:00:00,-0.5426275951783394
2022-04-30 05:30:00,-0.5592992560962091
2022-04-30 06:00:00,-0.5550716890645266
2022-04-30 06:30:00,-0.5304545466129814
2022-04-30 07:00:00,-0.48622261043589526
2022-04-30 07:30:00,-0.42434547292126307
2022-04-30 08:00:00,-0.35018455853348207
2022-04-30 08:30:00,-0.2728779931187804
2022-04-30 09:00:00,-0.20296971680422501
2022-04-30 09:30:00,-0.15035496287248343
2022-04-30 10:00:00,-0.12609690244101102
2022-04-30 10:30:00,-0.1459234325803194
2022-04-30 11:00:00,-0.2262534183279362
2022-04-30 11:30:00,-0.3676762436795761
2022-04-30 12:00:00,-0.539094164918876
2022-04-30 12:30:00,-0.6863812445875177
2022-04-30 13:00:00,-0.7672119360226723
2022-04-30 13:30:00,-0.7795588917816471
2022-04-30 14:00:00,-0.7550198524045539
2022-04-30 14:30:00,-0.7278675201034747
2022-04-30 15:00:00,-0.7125243044335926
2022-04-30 15:30:00,-0.7043768511494455
2022-04-30 16:00:00,-0.6942192047452345
2022-04-30 16:30:00,-0.6798566812071744
2022-04-30 17:00:00,-0.6654792382407742
2022-04-30 17:30:00,-0.6525291312650764
2022-04-30 18:00:00,-0.6352230035000823
2022-04-30 18:30:00,-0.6073430217679737
2022-04-30 19:00:00,-0.5710442503788258
2022-04-30 19:30:00,-0.5356063806598628
2022-04-30 20:00:00,-0.5085569072607453
2022-04-30 20:30:00,-0.49095053813282397
2022-04-30 21:00:00,-0.47982865833956057
2022-04-30 21:30:00,-0.47121949457430157
2022-04-30 22:00:00,-0.4606663596743993
2022-04-30 22:30:00,-0.44412875493220255
2022-04-30 23:00:00,-0.42014608602027337
2022-04-30 23:30:00,-0.3908170778754306
2022-05-01 00:00:00,-0.36074896561249536
2022-05-01 00:30:00,-0.33521054051768745
2022-05-01 01:00:00,-0.318232047023265
2022-05-01 01:30:00,-0.3109718882714038
2022-05-01 02:00:00,-0.31134572522660403
2022-05-01 02:30:00,-0.31533892184510154
2022-05-01 03:00:00,-0.319008363098462
2022-05-01 03:30:00,-0.3200044949486648
2022-05-01 04:00:00,-0.3182977872464414
2022-05-01 04:30:00,-0.31583212467940064
2022-05-01 05:00:00,-0.31490410365624877
2022-05-01 05:30:00,-0.31639119921223885
2022-05-01 06:00:00,-0.31982632348648604
2022-05-01 06:30:00,-0.32564401429886575
2022-05-01 07:00:00,-0.33766580389919076
2022-05-01 07:30:00,-0.363391680137557
2022-05-01 08:00:00,-0.411501899331923
2022-05-01 08:30:00,-0.48861613784072294
2022-05-01 09:00:00,-0.5967398895058652
2022-05-01 09:30:00,-0.7309140627598225
2022-05-01 10:00:00,-0.8767984861907178
2022-05-01 10:30:00,-1.0104954314366448
2022-05-01 11:00:00,-1.1042655675024091
2022-05-01 11:30:00,-1.140157318072294
2022-05-01 12:00:00,-1.1242363077747382
2022-05-01 12:30:00,-1.0848420511217858
2022-05-01 13:00:00,-1.051013364064689
2022-05-01 13:30:00,-1.0328714292944743
2022-05-01 14:00:00,-1.0230710193130896
2022-05-01 14:30:00,-1.0107980680189512
2022-05-01 15:00:00,-0.9912095328581233
2022-05-01 15:30:00,-0.9669018674079235
2022-05-01 16:00:00,-0.9445665736503721
2022-05-01 16:30:00,-0.9282974033873865
2022-05-01 17:00:00,-0.914596321468102
2022-05-01 17:30:00,-0.895803592569278
2022-05-01 18:00:00,-0.8683720055914786
2022-05-01 18:30:00,-0.8349832181315742
2022-05-01 19:00:00,-0.7988529885877864
2022-05-01 19:30:00,-0.7605846859833981
2022-05-01 20:00:00,-0.7215316311643233
2022-05-01 20:30:00,-0.6857347577333439
2022-05-01 21:00:00,-0.6559241220744332
2022-05-01 21:30:00,-0.6296342047931295
2022-05-01 22:00:00,-0.600843911981265
2022-05-01 22:30:00,-0.5645260399876493
2022-05-01 23:00:00,-0.5194250109224952
2022-05-01 23:30:00,-0.46855400736828157
2022-05-02 00:00:00,-0.4183955888084108
2022-05-02 00:30:00,-0.3761521099298807
2022-05-02 01:00:00,-0.3453774250241535
2022-05-02 01:30:00,-0.3234271271657257
2022-05-02 02:00:00,-0.30362746948576375
2022-05-02 02:30:00,-0.28033699513994026
2022-05-02 03:00:00,-0.2526774907224113
2022-05-02 03:30:00,-0.22510710984189058
2022-05-02 04:00:00,-0.2057235047377263
2022-05-02 04:30:00,-0.20274699206044952
2022-05-02 05:00:00,-0.21916598131257536
2022-05-02 05:30:00,-0.24868006075673463
2022-05-02 06:00:00,-0.27831955020837745
2022-05-02 06:30:00,-0.2976964398966348
2022-05-02 07:00:00,-0.30749109850026957
2022-05-02 07:30:00,-0.32099248703807426
2022-05-02 08:00:00,-0.3591778275028674
2022-05-02 08:30:00,-0.4422128969125533
2022-05-02 09:00:00,-0.5791340159387781
2022-05-02 09:30:00,-0.7596446037160345
2022-05-02 10:00:00,-0.954571145998984
2022-05-02 10:30:00,-1.1277635540942847
2022-05-02 11:00:00,-1.253770515162432
2022-05-02 11:30:00,-1.329330485140133
2022-05-02 12:00:00,-1.3690176516210417
2022-05-02 12:30:00,-1.388561797228259
2022-05-02 13:00:00,-1.3924585388036521
2022-05-02 13:30:00,-1.376627980693275
2022-05-02 14:00:00,-1.3381914651552222
2022-05-02 14:30:00,-1.2797407988797795
2022-05-02 15:00:00,-1.2072839707930565
2022-05-02 15:30:00,-1.1279225161005126
2022-05-02 16:00:00,-1.0488663485248992
2022-05-02 16:30:00,-0.9760622741448779
2022-05-02 17:00:00,-0.9130094692318093
2022-05-02 17:30:00,-0.8614280347880592
2022-05-02 18:00:00,-0.8228244879500916
2022-05-02 18:30:00,-0.7983008467198043
2022-05-02 19:00:00,-0.7859827384140429
2022-05-02 19:30:00,-0.7790579444772798
2022-05-02 20:00:00,-0.7678544762828271
2022-05-02 20:30:00,-0.7452779433751398
2022-05-02 21:00:00,-0.7106387486638546
2022-05-02 21:30:00,-0.6679780222038402
2022-05-02 22:00:00,-0.6208485089512618
2022-05-02 22:30:00,-0.5693268912705443
2022-05-02 23:00:00,-0.5122723654732991
2022-05-02 23:30:00,-0.45183952261209404
2022-05-03 00:00:00,-0.3948179694977239
2022-05-03 00:30:00,-0.3493799298822891
2022-05-03 01:00:00,-0.32052236931535716
2022-05-03 01:30:00,-0.30767462425530684
2022-05-03 02:00:00,-0.3058343625768232
2022-05-03 02:30:00,-0.3094036717478113
2022-05-03 03:00:00,-0.31573804106425785
2022-05-03 03:30:00,-0.32508542097534393
2022-05-03 04:00:00,-0.33702296521005864
2022-05-03 04:30:00,-0.347423068917625
2022-05-03 05:00:00,-0.3492315347643233
2022-05-03 05:30:00,-0.33628372465376355
2022-05-03 06:00:00,-0.3073362489470414
2022-05-03 06:30:00,-0.2689521768623896
2022-05-03 07:00:00,-0.23692512653216904
2022-05-03 07:30:00,-0.23453359677220217
2022-05-03 08:00:00,-0.28517885290243444
2022-05-03 08:30:00,-0.40083698640613047
2022-05-03 09:00:00,-0.5733057337541163
2022-05-03 09:30:00,-0.7745085780412204
2022-05-03 10:00:00,-0.9656811965125174
2022-05-03 10:30:00,-1.112810471867593
2022-05-03 11:00:00,-1.2044722606476326
2022-05-03 11:30:00,-1.25791366600328
2022-05-03 12:00:00,-1.2995274578752567
2022-05-03 12:30:00,-1.3360781767882277
2022-05-03 13:00:00,-1.352810330568212
2022-05-03 13:30:00,-1.3403134165939707
2022-05-03 14:00:00,-1.3114187944876066
2022-05-03 14:30:00,-1.2875080143454065
2022-05-03 15:00:00,-1.277119311085208
2022-05-03 15:30:00,-1.2728607623387356
2022-05-03 16:00:00,-1.2631878087581032
2022-05-03 16:30:00,-1.2414577578630175
2022-05-03 17:00:00,-1.2053886112591934
2022-05-03 17:30:00,-1.1534725113028073
2022-05-03 18:00:00,-1.0855286850831414
2022-05-03 18:30:00,-1.0055960036093923
2022-05-03 19:00:00,-0.9211977257084788
2022-05-03 19:30:00,-0.8391923600585486
2022-05-03 20:00:00,-0.7634952513938631
2022-05-03 20:30:00,-0.6959968647045325
2022-05-03 21:00:00,-0.6379198524899794
2022-05-03 21:30:00,-0.5901068240120092
2022-05-03 22:00:00,-0.5531587594413503
2022-05-03 22:30:00,-0.5273389125475522
2022-05-03 23:00:00,-0.5112594015428427
2022-05-03 23:30:00,-0.5008332460855532
2022-05-04 00:00:00,-0.4912981326139068
2022-05-04 00:30:00,-0.48165234714957567
2022-05-04 01:00:00,-0.4762486711933998
2022-05-04 01:30:00,-0.48084845873987275
2022-05-04 02:00:00,-0.4972012878009453
2022-05-04 02:30:00,-0.5213080608867162
2022-05-04 03:00:00,-0.5460298438091304
2022-05-04 03:30:00,-0.5651881779146259
2022-05-04 04:00:00,-0.5761104821672236
2022-05-04 04:30:00,-0.5797092964380722
2022-05-04 05:00:00,-0.5791833440223039
2022-05-04 05:30:00,-0.578346428255581
2022-05-04 06:00:00,-0.5799624318852584
2022-05-04 06:30:00,-0.5846426448008081
2022-05-04 07:00:00,-0.5914272298881931
2022-05-04 07:30:00,-0.6003082657967168
2022-05-04 08:00:00,-0.6144610360178104
2022-05-04 08:30:00,-0.638732630837786
2022-05-04 09:00:00,-0.674598838233127
2022-05-04 09:30:00,-0.7170615919960414
2022-05-04 10:00:00,-0.7575652059365654
2022-05-04 10:30:00,-0.7897697645153418
2022-05-04 11:00:00,-0.8123819195865194
2022-05-04 11:30:00,-0.8278018425275556
2022-05-04 12:00:00,-0.8395509448024094
2022-05-04 12:30:00,-0.8504564752272811
2022-05-04 13:00:00,-0.8614814652462408
2022-05-04 13:30:00,-0.871449817243845
2022-05-04 14:00:00,-0.8782334011735102
2022-05-04 14:30:00,-0.8805031839708806
2022-05-04 15:00:00,-0.8786133426732793
2022-05-04 15:30:00,-0.8744236086726563
2022-05-04 16:00:00,-0.8705570699819516
2022-05-04 16:30:00,-0.869123603050687
2022-05-04 17:00:00,-0.8700750755158637
2022-05-04 17:30:00,-0.8704768657330594
2022-05-04 18:00:00,-0.8658000302385865
2022-05-04 18:30:00,-0.852293624781141
2022-05-04 19:00:00,-0.828474713952894
2022-05-04 19:30:00,-0.794914618423932
2022-05-04 20:00:00,-0.7533355275920709
2022-05-04 20:30:00,-0.7062237369193984
2022-05-04 21:00:00,-0.6570551941654494
2022-05-04 21:30:00,-0.6101942112920343
2022-05-04 22:00:00,-0.5695190322966988
2022-05-04 22:30:00,-0.5365091076059253
2022-05-04 23:00:00,-0.5100553837004848
2022-05-04 23:30:00,-0.48835137685940255
2022-05-05 00:00:00,-0.4701981278855841
2022-05-05 00:30:00,-0.45419573054983203
2022-05-05 01:00:00,-0.438013557359969
2022-05-05 01:30:00,-0.41984026550997294
2022-05-05 02:00:00,-0.4004645104965005
2022-05-05 02:30:00,-0.38352375984294923
2022-05-05 03:00:00,-0.37364681718011605
2022-05-05 03:30:00,-0.37401193172549324
2022-05-05 04:00:00,-0.38514733335709933
2022-05-05 04:30:00,-0.40546498935145886
2022-05-05 05:00:00,-0.4320689547335694
2022-05-05 05:30:00,-0.4611765883514102
2022-05-05 06:00:00,-0.4896795433528195
2022-05-05 06:30:00,-0.5180503602532719
2022-05-05 07:00:00,-0.551580559888966
2022-05-05 07:30:00,-0.5985702649885595
2022-05-05 08:00:00,-0.667771850713473
2022-05-05 08:30:00,-0.7665257137539022
2022-05-05 09:00:00,-0.8970431626114207
2022-05-05 09:30:00,-1.0499150628449994
2022-05-05 10:00:00,-1.201327211355444
2022-05-05 10:30:00,-1.3216700610641285
2022-05-05 11:00:00,-1.3909160993957945
2022-05-05 11:30:00,-1.4063012551689693
2022-05-05 12:00:00,-1.3783884919789477
2022-05-05 12:30:00,-1.3256279509928026
2022-05-05 13:00:00,-1.2709749725964212
2022-05-05 13:30:00,-1.233580060831005
2022-05-05 14:00:00,-1.2181711789315182
2022-05-05 14:30:00,-1.2147805944457282
2022-05-05 15:00:00,-1.2092208708084975
2022-05-05 15:30:00,-1.191758315908225
2022-05-05 16:00:00,-1.1583949010332313
2022-05-05 16:30:00,-1.109487803353123
2022-05-05 17:00:00,-1.0483553764677565
2022-05-05 17:30:00,-0.979222512932439
2022-05-05 18:00:00,-0.90530893033386
2022-05-05 18:30:00,-0.8281586450570053
2022-05-05 19:00:00,-0.7486882519111902
2022-05-05 19:30:00,-0.6699379191125784
2022-05-05 20:00:00,-0.5989188018855598
2022-05-05 20:30:00,-0.5439275453744309
2022-05-05 21:00:00,-0.508618482230698
2022-05-05 21:30:00,-0.4884284389059771
2022-05-05 22:00:00,-0.4735609777902469
2022-05-05 22:30:00,-0.45671872749084763
2022-05-05 23:00:00,-0.43866993497272494
2022-05-05 23:30:00,-0.4258055626043232
2022-05-06 00:00:00,-0.4224833610231147
2022-05-06 00:30:00,-0.4275899407725245
2022-05-06 01:00:00,-0.4383575085138119
2022-05-06 01:30:00,-0.45420369143163103
2022-05-06 02:00:00,-0.4753420173586298
2022-05-06 02:30:00,-0.5000489853632504
2022-05-06 03:00:00,-0.525237260349437
2022-05-06 03:30:00,-0.5483779917640104
2022-05-06 04:00:00,-0.5675180741203396
2022-05-06 04:30:00,-0.5805525989019409
2022-05-06 05:00:00,-0.5862139920665943
2022-05-06 05:30:00,-0.5860987879346958
2022-05-06 06:00:00,-0.5854974371676789
2022-05-06 06:30:00,-0.5918904041304898
2022-05-06 07:00:00,-0.6118586325788863
2022-05-06 07:30:00,-0.6484190502836052
2022-05-06 08:00:00,-0.7008016936976657
2022-05-06 08:30:00,-0.7667748638662356
2022-05-06 09:00:00,-0.8456680563969319
2022-05-06 09:30:00,-0.938738407937557
2022-05-06 10:00:00,-1.0442432571490075
2022-05-06 10:30:00,-1.150425448636844
2022-05-06 11:00:00,-1.2357929240312404
2022-05-06 11:30:00,-1.280798560836315
2022-05-06 12:00:00,-1.281941728716181
2022-05-06 12:30:00,-1.2553087328947234
2022-05-06 13:00:00,-1.2253825624768115
2022-05-06 13:30:00,-1.2077510495879986
2022-05-06 14:00:00,-1.2014788658223878
2022-05-06 14:30:00,-1.1982458217827212
2022-05-06 15:00:00,-1.1954360572770701
2022-05-06 15:30:00,-1.1963486409230482
2022-05-06 16:00:00,-1.2006980999037673
2022-05-06 16:30:00,-1.2012140933343163
2022-05-06 17:00:00,-1.1894648759451165
2022-05-06 17:30:00,-1.1610320268139034
2022-05-06 18:00:00,-1.116237334936688
2022-05-06 18:30:00,-1.05966761378825
2022-05-06 19:00:00,-0.9980126486309037
2022-05-06 19:30:00,-0.9352571640466787
2022-05-06 20:00:00,-0.8706934133266779
2022-05-06 20:30:00,-0.8033029852814165
2022-05-06 21:00:00,-0.736521816682051
2022-05-06 21:30:00,-0.6765616672997943
2022-05-06 22:00:00,-0.6265752642538565
2022-05-06 22:30:00,-0.5842763658990687
2022-05-06 23:00:00,-0.5457238815614885
2022-05-06 23:30:00,-0.5102975402405541
2022-05-07 00:00:00,-0.48102641322837963
2022-05-07 00:30:00,-0.4605950292266849
2022-05-07 01:00:00,-0.44791634386144685
2022-05-07 01:30:00,-0.43844684890730046
2022-05-07 02:00:00,-0.4276723008177302
2022-05-07 02:30:00,-0.4143892801636203
2022-05-07 03:00:00,-0.39990510786833605
