,Corrected Water Potential (MPa)
2021-07-30 17:00:00,-1.7694654072373717
2021-07-30 17:30:00,-1.6222832152307267
2021-07-30 18:00:00,-1.3929829928316926
2021-07-30 18:30:00,-1.1591319073250501
2021-07-30 19:00:00,-0.9636990795806255
2021-07-30 19:30:00,-0.8107332796577049
2021-07-30 20:00:00,-0.6874004937964482
2021-07-30 20:30:00,-0.582303352316313
2021-07-30 21:00:00,-0.49037994651298067
2021-07-30 21:30:00,-0.4103153554736659
2021-07-30 22:00:00,-0.34138038209318744
2021-07-30 22:30:00,-0.28261531775119897
2021-07-30 23:00:00,-0.23351416935044306
2021-07-30 23:30:00,-0.19408930417155718
2021-07-31 00:00:00,-0.16397223477440234
2021-07-31 00:30:00,-0.14166221163837872
2021-07-31 01:00:00,-0.12471284437402849
2021-07-31 01:30:00,-0.11055164552247061
2021-07-31 02:00:00,-0.09723038496322967
2021-07-31 02:30:00,-0.0837801732961117
2021-07-31 03:00:00,-0.07024672657857299
2021-07-31 03:30:00,-0.05752517865657476
2021-07-31 04:00:00,-0.046948223110394684
2021-07-31 04:30:00,-0.03959534636941847
2021-07-31 05:00:00,-0.03568354463639232
2021-07-31 05:30:00,-0.034616391117203604
2021-07-31 06:00:00,-0.03582562900093167
2021-07-31 06:30:00,-0.04003492411590192
2021-07-31 07:00:00,-0.05052976031217651
2021-07-31 07:30:00,-0.0737443655653719
2021-07-31 08:00:00,-0.11801388026831823
2021-07-31 08:30:00,-0.19028197402830038
2021-07-31 09:00:00,-0.29289057257065454
2021-07-31 09:30:00,-0.42280875899630116
2021-07-31 10:00:00,-0.5726736720898142
2021-07-31 10:30:00,-0.7314198645486838
2021-07-31 11:00:00,-0.8845290241956265
2021-07-31 11:30:00,-1.0159018294966793
2021-07-31 12:00:00,-1.1119885138303383
2021-07-31 12:30:00,-1.1663419329578426
2021-07-31 13:00:00,-1.1816254669859934
2021-07-31 13:30:00,-1.1675066344381317
2021-07-31 14:00:00,-1.1358956056682636
2021-07-31 14:30:00,-1.0966367754739477
2021-07-31 15:00:00,-1.0557416411037346
2021-07-31 15:30:00,-1.0160732842190272
2021-07-31 16:00:00,-0.978781717963681
2021-07-31 16:30:00,-0.9439025117150676
2021-07-31 17:00:00,-0.9101216519428881
2021-07-31 17:30:00,-0.8748019848539037
2021-07-31 18:00:00,-0.8347429676489325
2021-07-31 18:30:00,-0.7871117689252168
2021-07-31 19:00:00,-0.7299969105677541
2021-07-31 19:30:00,-0.6626902054726747
2021-07-31 20:00:00,-0.5860345434116873
2021-07-31 20:30:00,-0.5027880901254269
2021-07-31 21:00:00,-0.41744063417635335
2021-07-31 21:30:00,-0.3351818264129468
2021-07-31 22:00:00,-0.26057152909307396
2021-07-31 22:30:00,-0.1967002212205268
2021-07-31 23:00:00,-0.14490574352692437
2021-07-31 23:30:00,-0.10481497539165077
2021-08-01 00:00:00,-0.0748030354051973
