,Corrected Water Potential (MPa)
2022-04-28 17:30:00,
2022-04-28 18:00:00,
2022-04-28 18:30:00,
2022-04-28 19:00:00,
2022-04-28 19:30:00,
2022-04-28 20:00:00,
2022-04-28 20:30:00,
2022-04-28 21:00:00,
2022-04-28 21:30:00,
2022-04-28 22:00:00,
2022-04-28 22:30:00,
2022-04-28 23:00:00,
2022-04-28 23:30:00,
2022-04-29 00:00:00,
2022-04-29 00:30:00,
2022-04-29 01:00:00,
2022-04-29 01:30:00,
2022-04-29 02:00:00,
2022-04-29 02:30:00,
2022-04-29 03:00:00,
2022-04-29 03:30:00,
2022-04-29 04:00:00,
2022-04-29 04:30:00,
2022-04-29 05:00:00,
2022-04-29 05:30:00,
2022-04-29 06:00:00,
2022-04-29 06:30:00,
2022-04-29 07:00:00,
2022-04-29 07:30:00,
2022-04-29 08:00:00,
2022-04-29 08:30:00,
2022-04-29 09:00:00,
2022-04-29 09:30:00,
2022-04-29 10:00:00,
2022-04-29 10:30:00,-2.7927945772430958
2022-04-29 11:00:00,-2.7927945772430958
2022-04-29 11:30:00,-2.7927945772430958
2022-04-29 12:00:00,-2.7927945772430958
2022-04-29 12:30:00,-2.7927945772430958
2022-04-29 13:00:00,-2.5563568375463097
2022-04-29 13:30:00,-2.4263930632774064
2022-04-29 14:00:00,-2.3669327443209087
2022-04-29 14:30:00,-2.3128976359768996
2022-04-29 15:00:00,-2.230314606817572
2022-04-29 15:30:00,-2.138145793492161
2022-04-29 16:00:00,-2.062825130795963
2022-04-29 16:30:00,-1.9801077237378912
2022-04-29 17:00:00,-1.8180107834281334
2022-04-29 17:30:00,-1.5241665946316687
2022-04-29 18:00:00,-1.5492373850392716
2022-04-29 18:30:00,-1.5743081754468746
2022-04-29 19:00:00,-1.5993789658544775
2022-04-29 19:30:00,-1.6244497562620805
2022-04-29 20:00:00,
2022-04-29 20:30:00,
2022-04-29 21:00:00,
2022-04-29 21:30:00,
2022-04-29 22:00:00,
2022-04-29 22:30:00,
2022-04-29 23:00:00,
2022-04-29 23:30:00,
2022-04-30 00:00:00,
2022-04-30 00:30:00,
2022-04-30 01:00:00,
2022-04-30 01:30:00,
2022-04-30 02:00:00,
2022-04-30 02:30:00,
2022-04-30 03:00:00,
2022-04-30 03:30:00,
2022-04-30 04:00:00,
2022-04-30 04:30:00,
2022-04-30 05:00:00,
2022-04-30 05:30:00,
2022-04-30 06:00:00,
2022-04-30 06:30:00,
2022-04-30 07:00:00,
2022-04-30 07:30:00,
2022-04-30 08:00:00,
2022-04-30 08:30:00,
2022-04-30 09:00:00,
2022-04-30 09:30:00,
2022-04-30 10:00:00,-1.8500868699305069
2022-04-30 10:30:00,-1.87515766033811
2022-04-30 11:00:00,-1.9002284507457128
2022-04-30 11:30:00,-1.9252992411533159
2022-04-30 12:00:00,-1.9503700315609187
2022-04-30 12:30:00,-1.7820391324788694
2022-04-30 13:00:00,-1.5149574182722152
2022-04-30 13:30:00,-1.2964742109548348
2022-04-30 14:00:00,-1.1878285976708678
2022-04-30 14:30:00,-1.14212515560519
2022-04-30 15:00:00,-1.0760189103889044
2022-04-30 15:30:00,-0.953335316826061
2022-04-30 16:00:00,-0.802100503300895
2022-04-30 16:30:00,-0.8331005833533963
2022-04-30 17:00:00,-0.8641006634058975
2022-04-30 17:30:00,-0.8951007434583989
2022-04-30 18:00:00,-0.9261008235109001
2022-04-30 18:30:00,
2022-04-30 19:00:00,
2022-04-30 19:30:00,
2022-04-30 20:00:00,
2022-04-30 20:30:00,
2022-04-30 21:00:00,
2022-04-30 21:30:00,
2022-04-30 22:00:00,-1.1741014639309104
2022-04-30 22:30:00,-1.2051015439834116
2022-04-30 23:00:00,
2022-04-30 23:30:00,
2022-05-01 00:00:00,
2022-05-01 00:30:00,
2022-05-01 01:00:00,
2022-05-01 01:30:00,
2022-05-01 02:00:00,
2022-05-01 02:30:00,
2022-05-01 03:00:00,
2022-05-01 03:30:00,
2022-05-01 04:00:00,
2022-05-01 04:30:00,
2022-05-01 05:00:00,
2022-05-01 05:30:00,
2022-05-01 06:00:00,
2022-05-01 06:30:00,
2022-05-01 07:00:00,
2022-05-01 07:30:00,
2022-05-01 08:00:00,
2022-05-01 08:30:00,
2022-05-01 09:00:00,-1.2361016240359128
2022-05-01 09:30:00,-1.2671017040884143
2022-05-01 10:00:00,-1.2981017841409155
2022-05-01 10:30:00,-1.643693189246333
2022-05-01 11:00:00,-1.906813289010951
2022-05-01 11:30:00,-2.016918074838561
2022-05-01 12:00:00,-1.9622489712978706
2022-05-01 12:30:00,-1.7990594218802813
2022-05-01 13:00:00,-1.6079719163782797
2022-05-01 13:30:00,-1.4507090312509854
2022-05-01 14:00:00,-1.3648327178012731
2022-05-01 14:30:00,-1.3683006431896856
2022-05-01 15:00:00,-1.4444884391093402
2022-05-01 15:30:00,-1.5325371189364658
2022-05-01 16:00:00,-1.5550545064512356
2022-05-01 16:30:00,-1.467624487402551
2022-05-01 17:00:00,-1.2860744228923804
2022-05-01 17:30:00,-1.0681026532728652
2022-05-01 18:00:00,-1.1914472930545772
2022-05-01 18:30:00,-1.3147919328362891
2022-05-01 19:00:00,-1.438136572618001
2022-05-01 19:30:00,-1.561481212399713
2022-05-01 20:00:00,
2022-05-01 20:30:00,
2022-05-01 21:00:00,
2022-05-01 21:30:00,
2022-05-01 22:00:00,
2022-05-01 22:30:00,
2022-05-01 23:00:00,
2022-05-01 23:30:00,
2022-05-02 00:00:00,
2022-05-02 00:30:00,
2022-05-02 01:00:00,
2022-05-02 01:30:00,
2022-05-02 02:00:00,
2022-05-02 02:30:00,
2022-05-02 03:00:00,
2022-05-02 03:30:00,
2022-05-02 04:00:00,
2022-05-02 04:30:00,
2022-05-02 05:00:00,
2022-05-02 05:30:00,
2022-05-02 06:00:00,
2022-05-02 06:30:00,
2022-05-02 07:00:00,
2022-05-02 07:30:00,
2022-05-02 08:00:00,
2022-05-02 08:30:00,
2022-05-02 09:00:00,-2.4248936908716963
2022-05-02 09:30:00,-2.548238330653408
2022-05-02 10:00:00,-2.67158297043512
2022-05-02 10:30:00,-2.794927610216832
2022-05-02 11:00:00,-2.918272249998544
2022-05-02 11:30:00,-3.106062225984152
2022-05-02 12:00:00,-3.0233749358712254
2022-05-02 12:30:00,-2.7998688607346027
2022-05-02 13:00:00,-2.5745944058397208
2022-05-02 13:30:00,-2.4053639678686327
2022-05-02 14:00:00,-2.2559662426761267
2022-05-02 14:30:00,-2.0576736954929165
2022-05-02 15:00:00,-1.7822691334257592
2022-05-02 15:30:00,-1.4638219991651342
2022-05-02 16:00:00,-1.1626739907642363
2022-05-02 16:30:00,-0.9200022932298808
2022-05-02 17:00:00,-0.7459256497409705
2022-05-02 17:30:00,-0.6346331920606674
2022-05-02 18:00:00,-0.5753256388987757
2022-05-02 18:30:00,-0.6337570986305746
