,Corrected Water Potential (MPa)
2021-05-21 17:00:00,-0.7326931262488977
2021-05-21 17:30:00,-0.7011946234614853
2021-05-21 18:00:00,-0.6469372743885787
2021-05-21 18:30:00,-0.5812289983944364
2021-05-21 19:00:00,-0.512329860689012
2021-05-21 19:30:00,-0.44461075047605475
2021-05-21 20:00:00,-0.380393960256244
2021-05-21 20:30:00,-0.3210271939713818
2021-05-21 21:00:00,-0.2670257252490286
2021-05-21 21:30:00,-0.2192006389337166
2021-05-21 22:00:00,-0.18037578609438573
2021-05-21 22:30:00,-0.15468996525391937
2021-05-21 23:00:00,-0.14402508264479355
2021-05-21 23:30:00,-0.14556613275888788
2021-05-22 00:00:00,-0.1534223724920892
2021-05-22 00:30:00,-0.1621579917648912
2021-05-22 01:00:00,-0.16865552779712578
2021-05-22 01:30:00,-0.17157365814916545
2021-05-22 02:00:00,-0.1700943992408181
2021-05-22 02:30:00,-0.1635714630481603
2021-05-22 03:00:00,-0.1524272505381912
2021-05-22 03:30:00,-0.1392789680631927
2021-05-22 04:00:00,-0.12869802150178175
2021-05-22 04:30:00,-0.12488816552376111
2021-05-22 05:00:00,-0.12834372847912232
2021-05-22 05:30:00,-0.13428321362089501
2021-05-22 06:00:00,-0.13538604015457878
2021-05-22 06:30:00,-0.127564957519445
2021-05-22 07:00:00,-0.11435155123414747
2021-05-22 07:30:00,-0.10767366307459268
2021-05-22 08:00:00,-0.12778886565356704
2021-05-22 08:30:00,-0.20342614446248516
2021-05-22 09:00:00,-0.3655825365389959
2021-05-22 09:30:00,-0.6290189117738206
2021-05-22 10:00:00,-0.9716039485784443
2021-05-22 10:30:00,-1.3334152606645358
2021-05-22 11:00:00,-1.6421832610581477
2021-05-22 11:30:00,-1.8456591733264671
2021-05-22 12:00:00,-1.9283738748575368
2021-05-22 12:30:00,-1.9079830846352246
2021-05-22 13:00:00,-1.819983870449886
2021-05-22 13:30:00,-1.7012663747260452
2021-05-22 14:00:00,-1.5794155975148432
2021-05-22 14:30:00,-1.4698633271886454
2021-05-22 15:00:00,-1.3785451316379647
2021-05-22 15:30:00,-1.3062460572904973
2021-05-22 16:00:00,-1.2510799680575047
2021-05-22 16:30:00,-1.2062208094699867
2021-05-22 17:00:00,-1.1556188579820124
2021-05-22 17:30:00,-1.0769561052807295
2021-05-22 18:00:00,-0.9556583142073246
2021-05-22 18:30:00,-0.7980595630076863
2021-05-22 19:00:00,-0.6288687284873002
2021-05-22 19:30:00,-0.47521326334027014
2021-05-22 20:00:00,-0.3525627242629385
2021-05-22 20:30:00,-0.26185461234083585
2021-05-22 21:00:00,-0.19547744319901664
2021-05-22 21:30:00,-0.14540577550071349
2021-05-22 22:00:00,-0.10796238909921234
2021-05-22 22:30:00,-0.08300443001249305
2021-05-22 23:00:00,-0.06994501400541421
2021-05-22 23:30:00,-0.0655331183202832
2021-05-23 00:00:00,-0.06523864602826072
2021-05-23 00:30:00,-0.06584335732997784
2021-05-23 01:00:00,-0.06672585741953677
2021-05-23 01:30:00,-0.06959517569844603
2021-05-23 02:00:00,-0.07724982268554965
2021-05-23 02:30:00,-0.0919173392108499
2021-05-23 03:00:00,-0.11437071481704918
2021-05-23 03:30:00,-0.14471888800641458
2021-05-23 04:00:00,-0.1840887826656217
2021-05-23 04:30:00,-0.23543879892106026
2021-05-23 05:00:00,-0.30247207925313896
2021-05-23 05:30:00,-0.3873009127948303
2021-05-23 06:00:00,-0.489038678160201
2021-05-23 06:30:00,-0.6051875578193262
2021-05-23 07:00:00,-0.7349610637054778
2021-05-23 07:30:00,-0.8817114126785462
2021-05-23 08:00:00,-1.0518223328376435
2021-05-23 08:30:00,-1.2487782269403842
2021-05-23 09:00:00,-1.463498554772119
2021-05-23 09:30:00,-1.6672939091236798
2021-05-23 10:00:00,-1.8176937031924867
2021-05-23 10:30:00,-1.879179079447943
2021-05-23 11:00:00,-1.8451285550909222
2021-05-23 11:30:00,-1.7419392566133842
2021-05-23 12:00:00,-1.6089222466698077
2021-05-23 12:30:00,-1.4689458144571241
2021-05-23 13:00:00,-1.3170393307408426
2021-05-23 13:30:00,-1.139089549210621
2021-05-23 14:00:00,-0.9388706177230451
2021-05-23 14:30:00,-0.7412023824261217
2021-05-23 15:00:00,-0.570871963430762
2021-05-23 15:30:00,-0.43654721093132637
2021-05-23 16:00:00,-0.3348716030394936
2021-05-23 16:30:00,-0.26114884651745063
2021-05-23 17:00:00,-0.21203585710293124
2021-05-23 17:30:00,-0.18270173522308705
2021-05-23 18:00:00,-0.1662346704382711
