,Corrected Water Potential (MPa)
2022-04-28 17:30:00,-0.13000548575061438
2022-04-28 18:00:00,-0.18796482451060956
2022-04-28 18:30:00,-0.31131209319697856
2022-04-28 19:00:00,-0.5001877285814177
2022-04-28 19:30:00,-0.7334142222370845
2022-04-28 20:00:00,-0.9678021526757561
2022-04-28 20:30:00,-1.151208150394808
2022-04-28 21:00:00,-1.2427628263316104
2022-04-28 21:30:00,-1.230240721018541
2022-04-28 22:00:00,-1.133647720161563
2022-04-28 22:30:00,-0.9922139914418387
2022-04-28 23:00:00,-0.844599098135352
2022-04-28 23:30:00,-0.716031462799318
2022-04-29 00:00:00,-0.6187735957826177
2022-04-29 00:30:00,-0.5628368857797126
2022-04-29 01:00:00,-0.5666184487895358
2022-04-29 01:30:00,-0.6527214599467845
2022-04-29 02:00:00,-0.8246921497514279
2022-04-29 02:30:00,-1.044857361929425
2022-04-29 03:00:00,-1.243203805678764
2022-04-29 03:30:00,-1.358376624786727
2022-04-29 04:00:00,-1.3762607704909977
2022-04-29 04:30:00,-1.33298128447891
2022-04-29 05:00:00,-1.2806496938907168
2022-04-29 05:30:00,-1.2452095565803996
2022-04-29 06:00:00,-1.2131133344993514
2022-04-29 06:30:00,-1.1547020594766522
2022-04-29 07:00:00,-1.0547660561721701
2022-04-29 07:30:00,-0.9208238063895208
2022-04-29 08:00:00,-0.771491159740837
2022-04-29 08:30:00,-0.6250516632005478
2022-04-29 09:00:00,-0.4959666054917688
2022-04-29 09:30:00,-0.39306900501267034
2022-04-29 10:00:00,-0.31717320806386784
2022-04-29 10:30:00,-0.262069883856214
2022-04-29 11:00:00,-0.21980849527485355
2022-04-29 11:30:00,-0.1857101916705377
2022-04-29 12:00:00,-0.15970233059566855
2022-04-29 12:30:00,-0.14393009850064917
2022-04-29 13:00:00,-0.13856832746655381
2022-04-29 13:30:00,-0.13941033605218195
2022-04-29 14:00:00,-0.14034690197882016
2022-04-29 14:30:00,-0.13861492200487344
2022-04-29 15:00:00,-0.13681967422477637
2022-04-29 15:30:00,-0.14029558369331738
2022-04-29 16:00:00,-0.15459974733214463
2022-04-29 16:30:00,-0.18547907507946323
2022-04-29 17:00:00,-0.2375681441685426
2022-04-29 17:30:00,-0.31099207910793664
2022-04-29 18:00:00,-0.401735191423299
2022-04-29 18:30:00,-0.5081465083687806
2022-04-29 19:00:00,-0.6350510576395326
2022-04-29 19:30:00,-0.7860327126697101
2022-04-29 20:00:00,-0.9484972713948588
2022-04-29 20:30:00,-1.0888586921219263
2022-04-29 21:00:00,-1.1681464842256595
2022-04-29 21:30:00,-1.1667786793746056
2022-04-29 22:00:00,-1.0962718760301278
2022-04-29 22:30:00,-0.9887221791789196
2022-04-29 23:00:00,-0.8757140941705545
2022-04-29 23:30:00,-0.7743067986894112
2022-04-30 00:00:00,-0.6874647099918727
2022-04-30 00:30:00,-0.6136629810952933
2022-04-30 01:00:00,-0.5559256728823165
2022-04-30 01:30:00,-0.5257550623748298
2022-04-30 02:00:00,-0.543379231969451
2022-04-30 02:30:00,-0.6328828070865862
2022-04-30 03:00:00,-0.8070232904910734
2022-04-30 03:30:00,-1.0463735387314157
2022-04-30 04:00:00,-1.291991291391979
2022-04-30 04:30:00,-1.4662665494985425
2022-04-30 05:00:00,-1.5127610861602907
2022-04-30 05:30:00,-1.4269699658933703
2022-04-30 06:00:00,-1.2525652233858704
2022-04-30 06:30:00,-1.045664025379159
2022-04-30 07:00:00,-0.8409531576774673
2022-04-30 07:30:00,-0.6484667626415798
2022-04-30 08:00:00,-0.472024385676459
2022-04-30 08:30:00,-0.3213908754241631
2022-04-30 09:00:00,-0.20821957691478887
2022-04-30 09:30:00,-0.13692131914694589
2022-04-30 10:00:00,-0.10178501590315864
2022-04-30 10:30:00,-0.09135167219953794
2022-04-30 11:00:00,-0.09496990865612231
2022-04-30 11:30:00,-0.1066804837222893
