Date,S1,S2,S3
2021-05-01 00:00:00,0.16,0.078,0.189
2021-05-01 01:00:00,0.16,0.077,0.189
2021-05-01 02:00:00,0.16,0.077,0.189
2021-05-01 03:00:00,0.16,0.077,0.189
2021-05-01 04:00:00,0.159,0.077,0.19
2021-05-01 05:00:00,0.159,0.077,0.19
2021-05-01 06:00:00,0.159,0.077,0.191
2021-05-01 07:00:00,0.159,0.077,0.19
2021-05-01 08:00:00,0.159,0.077,0.19
2021-05-01 09:00:00,0.158,0.076,0.189
2021-05-01 10:00:00,0.157,0.076,0.189
2021-05-01 11:00:00,0.157,0.076,0.189
2021-05-01 12:00:00,0.156,0.076,0.188
2021-05-01 13:00:00,0.155,0.075,0.187
2021-05-01 14:00:00,0.154,0.075,0.187
2021-05-01 15:00:00,0.153,0.075,0.188
2021-05-01 16:00:00,0.153,0.076,0.189
2021-05-01 17:00:00,0.153,0.076,0.188
2021-05-01 18:00:00,0.152,0.076,0.18
2021-05-01 19:00:00,0.156,0.077,0.178
2021-05-01 20:00:00,0.16,0.078,0.179
2021-05-01 21:00:00,0.166,0.079,0.178
2021-05-01 22:00:00,0.171,0.079,0.179
2021-05-01 23:00:00,0.172,0.08,0.182
2021-05-02 00:00:00,0.173,0.079,0.185
2021-05-02 01:00:00,0.172,0.08,0.186
2021-05-02 02:00:00,0.173,0.081,0.185
2021-05-02 03:00:00,0.174,0.081,0.185
2021-05-02 04:00:00,0.174,0.082,0.185
2021-05-02 05:00:00,0.174,0.082,0.186
2021-05-02 06:00:00,0.174,0.082,0.186
2021-05-02 07:00:00,0.174,0.082,0.186
2021-05-02 08:00:00,0.174,0.083,0.186
2021-05-02 09:00:00,0.174,0.082,0.186
2021-05-02 10:00:00,0.174,0.082,0.184
2021-05-02 11:00:00,0.176,0.079,0.17
2021-05-02 12:00:00,0.195,0.084,0.168
2021-05-02 13:00:00,0.198,0.081,0.161
2021-05-02 14:00:00,0.195,0.081,0.165
2021-05-02 15:00:00,0.192,0.082,0.172
2021-05-02 16:00:00,0.19,0.081,0.175
2021-05-02 17:00:00,0.188,0.08,0.176
2021-05-02 18:00:00,0.186,0.079,0.178
2021-05-02 19:00:00,0.186,0.079,0.179
2021-05-02 20:00:00,0.185,0.08,0.18
2021-05-02 21:00:00,0.185,0.08,0.18
2021-05-02 22:00:00,0.184,0.08,0.18
2021-05-02 23:00:00,0.183,0.08,0.182
2021-05-03 00:00:00,0.184,0.081,0.18
2021-05-03 01:00:00,0.183,0.081,0.181
2021-05-03 02:00:00,0.183,0.082,0.182
2021-05-03 03:00:00,0.183,0.082,0.183
2021-05-03 04:00:00,0.183,0.083,0.183
2021-05-03 05:00:00,0.182,0.083,0.184
2021-05-03 06:00:00,0.182,0.084,0.184
2021-05-03 07:00:00,0.182,0.084,0.184
2021-05-03 08:00:00,0.181,0.085,0.184
2021-05-03 09:00:00,0.181,0.085,0.183
2021-05-03 10:00:00,0.181,0.084,0.182
2021-05-03 11:00:00,0.18,0.083,0.182
2021-05-03 12:00:00,0.18,0.083,0.182
2021-05-03 13:00:00,0.179,0.082,0.18
2021-05-03 14:00:00,0.178,0.08,0.179
2021-05-03 15:00:00,0.177,0.079,0.179
2021-05-03 16:00:00,0.176,0.078,0.178
2021-05-03 17:00:00,0.175,0.077,0.179
2021-05-03 18:00:00,0.174,0.077,0.179
2021-05-03 19:00:00,0.174,0.077,0.18
2021-05-03 20:00:00,0.174,0.077,0.181
2021-05-03 21:00:00,0.173,0.077,0.181
2021-05-03 22:00:00,0.173,0.078,0.182
2021-05-03 23:00:00,0.173,0.078,0.182
2021-05-04 00:00:00,0.174,0.078,0.182
2021-05-04 01:00:00,0.174,0.079,0.182
2021-05-04 02:00:00,0.173,0.079,0.182
2021-05-04 03:00:00,0.173,0.079,0.183
2021-05-04 04:00:00,0.173,0.079,0.183
2021-05-04 05:00:00,0.173,0.079,0.183
2021-05-04 06:00:00,0.173,0.079,0.183
2021-05-04 07:00:00,0.173,0.079,0.183
2021-05-04 08:00:00,0.173,0.079,0.183
2021-05-04 09:00:00,0.172,0.079,0.182
2021-05-04 10:00:00,0.172,0.079,0.181
2021-05-04 11:00:00,0.171,0.078,0.179
2021-05-04 12:00:00,0.171,0.078,0.179
2021-05-04 13:00:00,0.17,0.08,0.185
2021-05-04 14:00:00,0.169,0.079,0.184
2021-05-04 15:00:00,0.168,0.078,0.184
2021-05-04 16:00:00,0.167,0.078,0.183
2021-05-04 17:00:00,0.166,0.077,0.183
2021-05-04 18:00:00,0.165,0.077,0.181
2021-05-04 19:00:00,0.166,0.078,0.179
2021-05-04 20:00:00,0.166,0.079,0.171
2021-05-04 21:00:00,0.169,0.079,0.17
2021-05-04 22:00:00,0.174,0.08,0.171
2021-05-04 23:00:00,0.176,0.08,0.172
2021-05-05 00:00:00,0.184,0.082,0.168
2021-05-05 01:00:00,0.2,0.083,0.17
2021-05-05 02:00:00,0.2,0.083,0.171
2021-05-05 03:00:00,0.199,0.082,0.174
2021-05-05 04:00:00,0.198,0.083,0.172
2021-05-05 05:00:00,0.198,0.082,0.166
2021-05-05 06:00:00,0.201,0.082,0.162
2021-05-05 07:00:00,0.207,0.083,0.162
2021-05-05 08:00:00,0.208,0.083,0.161
2021-05-05 09:00:00,0.208,0.084,0.162
2021-05-05 10:00:00,0.207,0.085,0.161
2021-05-05 11:00:00,0.208,0.087,0.161
2021-05-05 12:00:00,0.211,0.087,0.163
2021-05-05 13:00:00,0.209,0.087,0.167
2021-05-05 14:00:00,0.205,0.089,0.167
2021-05-05 15:00:00,0.204,0.09,0.161
2021-05-05 16:00:00,0.201,0.086,0.17
2021-05-05 17:00:00,0.197,0.085,0.169
2021-05-05 18:00:00,0.193,0.083,0.17
2021-05-05 19:00:00,0.191,0.082,0.17
2021-05-05 20:00:00,0.189,0.082,0.17
2021-05-05 21:00:00,0.189,0.082,0.174
2021-05-05 22:00:00,0.189,0.082,0.177
2021-05-05 23:00:00,0.189,0.083,0.178
2021-05-06 00:00:00,0.189,0.083,0.178
2021-05-06 01:00:00,0.188,0.084,0.179
2021-05-06 02:00:00,0.188,0.084,0.179
2021-05-06 03:00:00,0.188,0.084,0.18
2021-05-06 04:00:00,0.188,0.085,0.18
2021-05-06 05:00:00,0.188,0.085,0.181
2021-05-06 06:00:00,0.188,0.085,0.181
2021-05-06 07:00:00,0.187,0.086,0.181
2021-05-06 08:00:00,0.187,0.086,0.181
2021-05-06 09:00:00,0.186,0.086,0.179
2021-05-06 10:00:00,0.186,0.085,0.178
2021-05-06 11:00:00,0.185,0.085,0.177
2021-05-06 12:00:00,0.185,0.084,0.175
2021-05-06 13:00:00,0.184,0.082,0.173
2021-05-06 14:00:00,0.182,0.081,0.172
2021-05-06 15:00:00,0.181,0.08,0.169
2021-05-06 16:00:00,0.179,0.079,0.165
2021-05-06 17:00:00,0.178,0.075,0.162
2021-05-06 18:00:00,0.18,0.068,0.142
2021-05-06 19:00:00,0.178,0.063,0.142
2021-05-06 20:00:00,0.178,0.067,0.141
2021-05-06 21:00:00,0.178,0.069,0.138
2021-05-06 22:00:00,0.178,0.069,0.139
2021-05-06 23:00:00,0.178,0.067,0.144
