Tree,Site,Year,SF_W,SF_W_incomplete,Soil,Psy,Reading,Type_year,Compare
DF49,GT,2021,SF_W_SFM1J20P-DF49GT-2021-complete.csv,SF_W_SFM1J20P-DF49GT-2021-incomplete.csv,SM_2021_49_gt.csv,PSY1K30H-DF49GT-2021_corrected.csv,3,1,1
ES48,GT,2021,SF_W_SFM1I60R-ES48GT-2021-complete.csv,SF_W_SFM1I60R-ES48GT-2021-incomplete.csv,NA,PSY1J10I-ES48GT-2021_corrected.csv,2,1,2
DF21,LS,2021,SF_W_SFM1I60Q-DF21LS-2021-complete.csv,SF_W_SFM1I60Q-DF21LS-2021-incomplete.csv,NA,PSY1I604-DF21US-2021_corrected.csv,2,1,3
ES50,LS,2021,SF_W_SFM1K308-ES50LS-2021-complete.csv,SF_W_SFM1K308-ES50LS-2021-incomplete.csv,SM_2021_50_ls.csv,PSY1I30Z-ES50LS-2021_corrected.csv,3,1,4
DF03,US,2021,SF_W_SFM1I60T-DF03US-2021-complete.csv,SF_W_SFM1I60T-DF03US-2021-incomplete.csv,NA,NA,1,1,5
ES51,US,2021,SF_W_SFM1J406-ES51US-2021-complete.csv,SF_W_SFM1J406-ES51US-2021-incomplete.csv,SM_2021_51_us.csv,PSY1K30G-ES51US-2021_corrected.csv,3,1,0
DF27,US,2021,SF_W_SFM1J20O-DF27US-2021-complete.csv,SF_W_SFM1J20O-DF27US-2021-incomplete.csv,SM_2021_27_us.csv,PSY1J203-DF27US-2021_corrected.csv,3,1,6
ES42,US,2021,SF_W_SFM1J20N-ES42US-2021-complete.csv,SF_W_SFM1J20N-ES42US-2021-incomplete.csv,NA,NA,1,1,7
DF49,GT,2022,SF_W_SFM1J20P-DF49GT-2022-complete.csv,SF_W_SFM1J20P-DF49GT-2022-incomplete.csv,SM_2022_49_gt.csv,PSY-DF49GT-2022_corrected.csv,3,2,1
ES48,GT,2022,SF_W_SFM1I60R-ES48GT-2022-complete.csv,SF_W_SFM1I60R-ES48GT-2022-incomplete.csv,SM_2022_48_gt.csv,PSY-ES48GT-2022_corrected.csv,3,2,2
DF21,LS,2022,SF_W_SFM1I60Q-DF21LS-2022-complete.csv,SF_W_SFM1I60Q-DF21LS-2022-incomplete.csv,SM_2022_21_ls.csv,PSY-DF21US-2022_corrected.csv,3,2,3
ES50,LS,2022,SF_W_SFM1K308-ES50LS-2022-complete.csv,SF_W_SFM1K308-ES50LS-2022-incomplete.csv,SM_2022_50_ls.csv,PSY-ES50LS-2022_corrected.csv,3,2,4
DF03,US,2022,SF_W_SFM1I60T-DF03US-2022-complete.csv,SF_W_SFM1I60T-DF03US-2022-incomplete.csv,SM_2022_03_us.csv,PSY-DF03US-2022_corrected.csv,3,2,5
ES51,US,2022,NA,NA,NA,PSY-ES51US-2022_corrected.csv,0,0,0
DF27,US,2022,SF_W_SFM1J20O-DF27US-2022-complete.csv,SF_W_SFM1J20O-DF27US-2022-incomplete.csv,SM_2022_27_us.csv,PSY-DF27US-2022_corrected.csv,3,2,6
ES42,US,2022,SF_W_SFM1J20N-ES42US-2022-complete.csv,SF_W_SFM1J20N-ES42US-2022-incomplete.csv,SM_2022_42_us.csv,PSY-ES42US-2022_corrected.csv,3,2,7
ES01,US,2022,SF_W_SFM1J406-ES01US-2022-complete.csv,SF_W_SFM1J406-ES01US-2022-incomplete.csv,SM_2022_01_us.csv,PSY-ES01US-2022_corrected.csv,3,2,0
