MIN
Tree,Species,Site,Year,SF_W,SF_W_incomplete,Soil,Psy,Reading,Type_year,Compare,Bark_depth,SW_depth,Diameter,Leaf_areas
DF49,DF,GT,2021,SF_W_SFM1J20P-DF49GT-2021-complete.csv,SF_W_SFM1J20P-DF49GT-2021-incomplete.csv,SM_2021_49_gt.csv,PSY-DF49GT-2021_corrected.csv,3,1,1,0.6,4,48.9,960007.8831
DF21,DF,LS,2021,SF_W_SFM1I60Q-DF21LS-2021-complete.csv,SF_W_SFM1I60Q-DF21LS-2021-incomplete.csv,NA,PSY-DF21US-2021_corrected.csv,2,1,3,1.2,0.9,26.5,115931.8375
DF27,DF,US,2021,SF_W_SFM1J20O-DF27US-2021-complete.csv,SF_W_SFM1J20O-DF27US-2021-incomplete.csv,SM_2021_27_us.csv,PSY-DF27US-2021_corrected.csv,3,1,6,1.8,0.7,32,108311.9045
DF03,DF,US,2021,SF_W_SFM1I60T-DF03US-2021-complete.csv,SF_W_SFM1I60T-DF03US-2021-incomplete.csv,NA,NA,1,1,5,0.9,1.1,24.9,133711.6811
ES48,ES,GT,2021,SF_W_SFM1I60R-ES48GT-2021-complete.csv,SF_W_SFM1I60R-ES48GT-2021-incomplete.csv,NA,PSY-ES48GT-2021_corrected.csv,2,1,2,0.7,4.2,34,596927.7369
ES50,ES,LS,2021,SF_W_SFM1K308-ES50LS-2021-complete.csv,SF_W_SFM1K308-ES50LS-2021-incomplete.csv,SM_2021_50_ls.csv,PSY-ES50LS-2021_corrected.csv,3,1,4,0.5,2.05,17.1,145445.3333
ES42,ES,US,2021,SF_W_SFM1J20N-ES42US-2021-complete.csv,SF_W_SFM1J20N-ES42US-2021-incomplete.csv,NA,NA,1,1,7,0.35,1.9,15,118574.7023
ES51,ES,US,2021,SF_W_SFM1J406-ES51US-2021-complete.csv,SF_W_SFM1J406-ES51US-2021-incomplete.csv,SM_2021_51_us.csv,PSY-ES51US-2021_corrected.csv,3,1,0,0.4,0.6,18.4,48377.38527
DF49,DF,GT,2022,SF_W_SFM1J20P-DF49GT-2022-complete.csv,SF_W_SFM1J20P-DF49GT-2022-incomplete.csv,SM_2022_49_gt.csv,PSY-DF49GT-2022_corrected.csv,3,2,1,0.6,4,48.9,960007.8831
DF21,DF,LS,2022,SF_W_SFM1I60Q-DF21LS-2022-complete.csv,SF_W_SFM1I60Q-DF21LS-2022-incomplete.csv,SM_2022_21_ls.csv,PSY-DF21US-2022_corrected.csv,3,2,3,1.2,0.9,26.5,115931.8375
DF27,DF,US,2022,SF_W_SFM1J20O-DF27US-2022-complete.csv,SF_W_SFM1J20O-DF27US-2022-incomplete.csv,SM_2022_27_us.csv,PSY-DF27US-2022_corrected.csv,3,2,6,1.8,0.7,32,108311.9045
DF03,DF,US,2022,SF_W_SFM1I60T-DF03US-2022-complete.csv,SF_W_SFM1I60T-DF03US-2022-incomplete.csv,SM_2022_03_us.csv,PSY-DF03US-2022_corrected.csv,3,2,5,0.9,1.1,24.9,133711.6811
ES48,ES,GT,2022,SF_W_SFM1I60R-ES48GT-2022-complete.csv,SF_W_SFM1I60R-ES48GT-2022-incomplete.csv,SM_2022_48_gt.csv,PSY-ES48GT-2022_corrected.csv,3,2,2,0.7,4.2,34,596927.7369
ES50,ES,LS,2022,SF_W_SFM1K308-ES50LS-2022-complete.csv,SF_W_SFM1K308-ES50LS-2022-incomplete.csv,SM_2022_50_ls.csv,PSY-ES50LS-2022_corrected.csv,3,2,4,0.5,2.05,17.1,145445.3333
ES42,ES,US,2022,SF_W_SFM1J20N-ES42US-2022-complete.csv,SF_W_SFM1J20N-ES42US-2022-incomplete.csv,SM_2022_42_us.csv,PSY-ES42US-2022_corrected.csv,3,2,7,0.35,1.9,15,118574.7023
ES01,ES,US,2022,SF_W_SFM1J406-ES01US-2022-complete.csv,SF_W_SFM1J406-ES01US-2022-incomplete.csv,SM_2022_01_us.csv,PSY-ES01US-2022_corrected.csv,3,2,0,0.4,0.6,22.9,60676.72051
ES51,ES,US,2022,NA,NA,NA,PSY-ES51US-2022_corrected.csv,0,0,0,0.4,0.6,18.4,NA


MAX
Tree,Species,Site,Year,SF_W,SF_W_incomplete,Soil,Psy,Reading,Type_year,Compare,Bark_depth,SW_depth,Diameter,Leaf_areas
DF49,DF,GT,2021,SF_W_SFM1J20P-DF49GT-2021-complete.csv,SF_W_SFM1J20P-DF49GT-2021-incomplete.csv,SM_2021_49_gt.csv,PSY-DF49GT-2021_corrected.csv,3,1,1,0.6,4,48.9,1425466.251
DF21,DF,LS,2021,SF_W_SFM1I60Q-DF21LS-2021-complete.csv,SF_W_SFM1I60Q-DF21LS-2021-incomplete.csv,NA,PSY-DF21US-2021_corrected.csv,2,1,3,1.2,0.9,26.5,172141.2133
DF27,DF,US,2021,SF_W_SFM1J20O-DF27US-2021-complete.csv,SF_W_SFM1J20O-DF27US-2021-incomplete.csv,SM_2021_27_us.csv,PSY-DF27US-2021_corrected.csv,3,1,6,1.8,0.7,32,160826.7673
DF03,DF,US,2021,SF_W_SFM1I60T-DF03US-2021-complete.csv,SF_W_SFM1I60T-DF03US-2021-incomplete.csv,NA,NA,1,1,5,0.9,1.1,24.9,198541.5871
ES48,ES,GT,2021,SF_W_SFM1I60R-ES48GT-2021-complete.csv,SF_W_SFM1I60R-ES48GT-2021-incomplete.csv,NA,PSY-ES48GT-2021_corrected.csv,2,1,2,0.7,4.2,34,1482027.485
ES50,ES,LS,2021,SF_W_SFM1K308-ES50LS-2021-complete.csv,SF_W_SFM1K308-ES50LS-2021-incomplete.csv,SM_2021_50_ls.csv,PSY-ES50LS-2021_corrected.csv,3,1,4,0.5,2.05,17.1,361105.6552
ES42,ES,US,2021,SF_W_SFM1J20N-ES42US-2021-complete.csv,SF_W_SFM1J20N-ES42US-2021-incomplete.csv,NA,NA,1,1,7,0.35,1.9,15,294392.3644
