Date ,Type ,ID,Location,Soil depth (cm) ,Delta 2H (‰),Delta 18O (‰)
2021-05-09,Water,S,LC_r,,-192.46,-24.201
2021-05-11,Water,LS,LC_l,,-149.9,-18.667
2021-05-19,Water,LS,LC_l,,-133.14,-15.864
2021-05-26,Fir,WAS27,UC_l,,-141.86,-17.57
2021-05-26,Fir,WAS27,UC_l,,-150.12,-18
2021-05-26,Spruce,WAS42,UC_l,,-148.5,-18.05
2021-05-26,Spruce,WAS42,UC_l,,-149.47,-18.18
2021-05-26,Soil,WAS27,UC_l,1,-137.43,-17.249
2021-05-26,Soil,WAS27,UC_l,1,-145.68,-18.327
2021-05-26,Soil,WAS42,UC_l,1,-126.98,-15.957
2021-05-26,Soil,WAS42,UC_l,1,-132.54,-15.522
2021-05-26,Water,LS,LC_l,,-105.69,-12.533
2021-06-03,Spruce,WAS51,UC_r,,-127.49,-14.63
2021-06-03,Fir,WAS03,UC_r,,-132.79,-16.39
2021-06-03,Spruce,WAS50,LC_l,,-125.56,-14.98
2021-06-03,Fir,WAS21,LC_l,,-128.56,-15.9
2021-06-03,Soil,WAS51,UC_r,1,-122.64,-13.404
2021-06-03,Soil,WAS51,UC_r,1,-100.18,-7.598
2021-06-03,Soil,WAS50,LC_l,1,-78.92,2.774
2021-06-03,Soil,WAS50,LC_l,1,-88.4,-7.934
2021-06-03,Soil,WAS21,LC_l,1,-102.15,-6.492
2021-06-03,Water,LS,LC_l,,-129.81,-16.55
2021-06-16,Water,LS,LC_l,,-105.88,-14.001
2021-06-16,Water,US,UC_l,,-108.15,-14.296
2021-06-24,Water,LS,LC_l,,-130.71,-16.378
2021-06-24,Water,US,UC_l,,-136.88,-17.414
2021-07-01,Spruce,WAS51,UC_r,,-132.59,-15.19
2021-07-01,Fir,WAS03,UC_r,,-133.77,-16.53
2021-07-01,Fir,WAS27,UC_l,,-141.8,-16.79
2021-07-01,Spruce,WAS42,UC_l,,-125.02,-15.12
2021-07-01,Spruce,WAS50,LC_l,,-131.92,-15.53
2021-07-01,Fir,WAS21,LC_l,,-131.73,-16.11
2021-07-01,Soil,WAS51,UC_r,1,-111.4,-8.255
2021-07-01,Soil,WAS51,UC_r,1,-114.81,-8.832
2021-07-01,Soil,WAS27,UC_l,1,-102.51,-0.621
2021-07-01,Soil,WAS27,UC_l,1,-110.17,-1.48
2021-07-01,Soil,WAS21,LC_l,1,-100.64,-3.772
2021-07-09,Water,LS,LC_l,,-103.68,-12.72
2021-07-09,Water,US,UC_l,,-100.61,-12.87
2021-08-04,Water,LS,LC_l,,-45.34,-4.374
2021-08-18,Water,LS,LC_l,,-134.03,-16.872
2021-08-18,Water,US,UC_l,,-151.9,-19.624
2021-08-31,Spruce,WAS51,UC_r,,-134.35,-16.23
2021-08-31,Fir,WAS03,UC_r,,-135.14,-16.56
2021-08-31,Fir,WAS27,UC_l,,-145.67,-17.73
2021-08-31,Spruce,WAS42,UC_l,,-144.15,-18.49
2021-08-31,Spruce,WAS50,LC_l,,-138.59,-15.99
2021-08-31,Fir,WAS21,LC_l,,-132.65,-16.47
2021-08-31,Soil,WAS51,UC_r,1,-118.85,-7.896
2021-08-31,Soil,WAS51,UC_r,1,-108.96,-2.634
2021-08-31,Soil,WAS27,UC_l,1,-110.25,-3.6
2021-08-31,Soil,WAS27,UC_l,1,-98.25,-1.672
2021-08-31,Soil,WAS50,LC_l,1,-115.45,-6.898
2021-08-31,Soil,WAS50,LC_l,1,-128.22,-5.382
2021-08-31,Soil,WAS21,LC_l,1,-112.78,-8.33
2021-08-31,Water,LS,LC_l,,-141.48,-17.065
