Date,Type ,ID,Location,Soil depth (cm) ,Delta 2H (‰),Delta 18O (‰)
2022-05-18,Water,S,LC_l,,-172.82,-22.36
2022-05-25,Spruce,WAS01,UC_r,,-148.3,-18.75
2022-05-25,Fir,WAS03,UC_r,,-154.7,-18.53
2022-05-25,Fir,WAS27,UC_l,,-142.25,-13.13
2022-05-25,Spruce,WAS42,UC_l,,-136.81,-18.89
2022-05-25,Spruce,WAS50,LC_l,,-145.83,-18.3
2022-05-25,Fir,WAS21,LC_l,,-137.63,-19.45
2022-05-25,Soil,WAS01,UC_r,1,-116.84,-6.132
2022-05-25,Soil,WAS01,UC_r,1,-113.32,-4.2
2022-05-25,Soil,WAS03,UC_r,1,-121.45,-6.658
2022-05-25,Soil,WAS03,UC_r,1,-112.67,-4.354
2022-05-25,Soil,WAS27,UC_l,1,-141.4,-12.299
2022-05-25,Soil,WAS27,UC_l,1,-114.53,-4.813
2022-05-25,Soil,WAS42,UC_l,1,-121.93,-7.186
2022-05-25,Soil,WAS42,UC_l,1,-115.99,-6.776
2022-05-25,Soil,WAS50,LC_l,1,-107.78,-2.335
2022-05-25,Soil,WAS50,LC_l,1,-130.78,-11.795
2022-05-25,Soil,WAS21,LC_l,1,-121.87,-9.683
2022-05-25,Soil,WAS21,LC_l,1,-112.64,-8.861
2022-05-25,Water,B,G,,-159.45,-20.688
2022-05-25,Water,B,G,,-157.29,-20.706
2022-06-08,Water,B,G,,-183.87,-23.611
2022-06-08,Water,LS,LC_l,,-167.98,-20.781
2022-06-08,Water,US,UC_l,,-184.17,-22.795
2022-06-17,Water,B,G,,-159.21,-21.052
2022-06-17,Water,LS,LC_l,,-145.16,-19.327
2022-06-17,Water,US,UC_l,,-167.49,-21.294
2022-06-29,Water,B,G,,-126.06,-16.291
2022-06-29,Water,LS,LC_l,,-137.04,-16.325
2022-06-29,Water,US,UC_l,,-141.6,-18.113
2022-06-30,Spruce,WAS01,UC_r,,-156.33,-18.24
2022-06-30,Fir,WAS03,UC_r,,-163.07,-19.23
2022-06-30,Fir,WAS27,UC_l,,-153.34,-18.07
2022-06-30,Spruce,WAS42,UC_l,,-157.01,-18.25
2022-06-30,Spruce,WAS50,LC_l,,-167.85,-18.38
2022-06-30,Fir,WAS21,LC_l,,-167.28,-20.32
2022-06-30,Soil,WAS01,UC_r,2,-163.37,-20.693
2022-06-30,Soil,WAS01,UC_r,7,-165,-21.075
2022-06-30,Soil,WAS03,UC_r,3,-159.09,-20.098
2022-06-30,Soil,WAS03,UC_r,7,-152.9,-18.781
2022-06-30,Soil,WAS27,UC_l,1,-141.4,-16.73
2022-06-30,Soil,WAS27,UC_l,1,-129.07,-14.525
2022-06-30,Soil,WAS27,UC_l,1,-143.93,-16.84
2022-06-30,Soil,WAS42,UC_l,1,-150.71,-18.954
2022-06-30,Soil,WAS42,UC_l,1,-151.81,-18.728
2022-06-30,Soil,WAS50,LC_l,2,-161.59,-20.649
2022-06-30,Soil,WAS50,LC_l,1,-139.15,-14.756
2022-06-30,Soil,WAS21,LC_l,1,-154.82,-18.77
2022-06-30,Soil,WAS21,LC_l,1,-141.79,-17.106
2022-07-05,Water,bucket,G,,-150.07,-19.163
2022-07-05,Water,LS,LC_l,,-143.44,-18.581
2022-07-05,Water,US,UC_l,,-148.92,-19.471
2022-07-13,Water,OLF ,LC_l,,-98.68,-11.872
2022-07-31,Spruce,WAS01,UC_r,,-146.38,-13.8
2022-07-31,Fir,WAS03,UC_r,,-148.64,-17.9
2022-07-31,Fir,WAS03,UC_r,,-162.67,-20.66
2022-07-31,Fir,WAS27,UC_l,,-131.48,-17.73
2022-07-31,Fir,WAS27,UC_l,,-135.66,-16.47
2022-07-31,Spruce,WAS42,UC_l,,-138.63,-17.64
2022-07-31,Spruce,WAS42,UC_l,,-124.17,-12.49
2022-07-31,Spruce,WAS50,LC_l,,-141.9,-15.72
2022-07-31,Spruce,WAS50,LC_l,,-142.49,-15.37
2022-07-31,Fir,WAS21,LC_l,,-152.28,-16.27
2022-07-31,Fir,WAS21,LC_l,,-135.32,-13.49
2022-07-31,Soil,WAS01,UC_r,4,-105.3,-6.552
2022-07-31,Soil,WAS01,UC_r,8,-100.37,-5.012
2022-07-31,Soil,WAS03,UC_r,4,-104.08,-5.68
2022-07-31,Soil,WAS03,UC_r,8,-106.9,-9.004
2022-07-31,Soil,WAS27,UC_l,1,-92.72,-2.532
2022-07-31,Soil,WAS27,UC_l,1,-74.4,4.789
2022-07-31,Soil,WAS42,UC_l,4,-104.72,-7.435
2022-07-31,Soil,WAS42,UC_l,8,-113.87,-10.798
2022-07-31,Soil,WAS50,LC_l,1,-85.9,1.609
2022-07-31,Soil,WAS50,LC_l,1,-98.46,-4.09
2022-07-31,Soil,WAS21,LC_l,1,-92.69,-2.674
2022-07-31,Soil,WAS21,LC_l,1,-105.47,-9.513
2022-08-04,Water,LS,LC_l,,-106.1,-12.796
2022-08-04,Water,US,UC_l,,-117.83,-15.608
2022-08-23,Spruce,WAS01,UC_r,,-147.89,-17.45
2022-08-23,Fir,WAS03,UC_r,,-149.43,-17.79
2022-08-23,Fir,WAS27,UC_l,,-144.43,-17.33
2022-08-23,Spruce,WAS42,UC_l,,-138.45,-15.45
2022-08-23,Spruce,WAS50,LC_l,,-151.15,-17.75
2022-08-23,Fir,WAS21,LC_l,,-144.68,-17.56
2022-08-23,Soil,WAS01,UC_r,1,-92.63,-10.432
2022-08-23,Soil,WAS01,UC_r,1,-88.66,-9.741
2022-08-23,Soil,WAS03,UC_r,1,-85.88,-10.211
2022-08-23,Soil,WAS03,UC_r,1,-86.17,-9.74
2022-08-23,Soil,WAS27,UC_l,3,-86.25,-9.572
2022-08-23,Soil,WAS27,UC_l,1,-82.11,-8.182
2022-08-23,Soil,WAS42,UC_l,1,-88.95,-10.091
2022-08-23,Soil,WAS42,UC_l,1,-85.47,-9.068
2022-08-23,Soil,WAS50,LC_l,1,-90.98,-10.102
2022-08-23,Soil,WAS50,LC_l,3,-82.53,-9.136
2022-08-23,Soil,WAS50,,7,-84.14,-9.925
2022-08-23,Soil,WAS21,LC_l,1,-81.88,-9.9
2022-08-23,Soil,WAS21,LC_l,1,-86.17,-9.843
2022-08-23,Water,B,G,,-84.96,-10.799
2022-08-23,Water,B,G,,-83.4,-11.352
2022-08-23,Water,LS,LC_l,,-78.67,-9.775
2022-08-27,Water,LS,LC_l,,-92.55,-10.692
2022-08-27,Water,US,UC_l,,-98.33,-11.029
2022-09-14,Water,B,G,,-117.29,-15.521
2022-09-14,Water,US,US_l,,-122.5,-16.205
2022-09-21,Water,B,G,,-124.94,-16.802
2022-09-21,Water,LS,LC_l,,-118.92,-16.283
2022-09-21,Water,US,UC_l,,-123.33,-16.617
2022-09-28,Spruce,WAS01,UC_r,,-108.88,-13.08
2022-09-28,Fir,WAS03,UC_r,,-120.57,-14.45
2022-09-28,Fir,WAS27,UC_l,,-127.33,-15.59
2022-09-28,Fir,WAS27,UC_l,,-121.25,-14.43
2022-09-28,Spruce,WAS42,UC_l,,-106.14,-12.43
2022-09-28,Spruce,WAS50,LC_l,,-109.65,-12.11
2022-09-28,Fir,WAS21,LC_l,,-116.07,-14.32
2022-09-28,Soil,WAS01,UC_r,4,-87.89,-4.179
2022-09-28,Soil,WAS01,UC_r,8,-97.81,-7.521
2022-09-28,Soil,WAS03,UC_r,3,-104.49,-9.989
2022-09-28,Soil,WAS03,UC_r,10,-98.16,-10.306
2022-09-28,Soil,WAS27,UC_l,1,-89.04,-4.488
2022-09-28,Soil,WAS27,UC_l,7,-90.37,-4.44
2022-09-28,Soil,WAS42,UC_l,4,-104.45,-10.476
2022-09-28,Soil,WAS42,UC_l,8,-104.58,-11.263
2022-09-28,Soil,WAS50,LC_l,4,-93.69,-4.833
2022-09-28,Soil,WAS50,LC_l,8,-99.61,-6.742
2022-09-28,Soil,WAS21,LC_l,1,-71.54,-2.29
2022-09-28,Soil,WAS21,LC_l,1,-81.59,-2.43
2022-10-05,Water,B,G,,-78.72,-10.794
2022-10-05,Water,US,UC_l,,-78.82,-11.097
2022-10-05,Water,LS,LC_l,,-77.2,-10.817
