Date,Rain,PET (mm/h=L/h over 1m2),SV,SF_complete,Soil_moisture,PSY,,SF in L/h ,PET,PET_2.88,,,,,,Transpiration_min (L/h m2 of leaf area SF/Aleafmax),,Transpiration_max (L/h per m2 of leaf area SF/Aleafmin),Evaporation_min,Evaporation_max,maxLeaf area (m2): ,24.6163419,,SWA m2,SWA cm2
2021-05-18 17:30,0,0.223739196,7.394819110410436,450.45896710876303,0.2775461089626479,-1.122987509,,0.450459,0.223739,0.077687221,,,0.081788011,,,0.018299184,,0.091495919,0.205440,0.132243,max Leaf area (cm2):,246163.419,,0.003282179,32.82179
2021-05-18 18:00,0,0.1877240099794447,7.311082925378367,445.3581370741145,0.27374918525877506,-0.800418467,,0.445358,0.187724,0.065181948,,,0.096375369,,,0.018091971,,0.090459854,0.169632,0.097264,min Leaf area (m2): ,4.923268387,,,
2021-05-18 18:30,0,0.1393858810580886,6.264776683,381.62188844543607,0.27374918525877506,-0.921266208,,0.381622,0.139386,0.048397875,,,0.111222071,,,0.015502786,,0.077513931,0.123883,0.061872,min Leaf area (cm2): ,49232.68387,,,
2021-05-18 19:00,0,0.1104079851232497,7.594589404113552,462.6280707496937,0.27071164629567684,-0.89034291,,0.462628,0.110408,0.038336106,,,0.170218979,,,0.018793534,,0.093967672,0.091614,0.016440,,,,,
2021-05-18 19:30,0,0.1467268004869223,5.352339019991217,326.0403088382447,0.27071164629567684,-0.777087535,,0.326040,0.146727,0.050946806,,,0.090268938,,,0.013244872,,0.066224362,0.133482,0.080502,,,,,
2021-05-18 20:00,0,0.1272361834420241,7.193352691464228,438.1865431818749,0.26843349207335315,-0.77786043,,0.438187,0.127236,0.04417923,,,0.139902311,,,0.017800636,,0.08900318,0.109436,0.038233,,,,,
2021-05-18 20:30,0,0.1061021865234508,3.686394955695216,224.5585239211151,0.26843349207335315,-0.762915103,,0.224559,0.106102,0.036841037,,,0.085976883,,,0.009122335,,0.045611676,0.096980,0.060491,,,,,
2021-05-18 21:00,0,0.08529688,6.561098817561277,399.67249398925986,0.266914723,-0.634932133,,0.399672,0.085297,0.029616972,,,0.190347685,,,0.016236064,,0.081180318,0.069061,0.004117,,,,,
2021-05-18 21:30,0,0.1021685238113181,6.229665812090816,379.4830928584335,0.266914723,-0.598967156,,0.379483,0.102169,0.035475182,,,0.150886991,,,0.015415901,,0.077079506,0.086753,0.025089,,,,,
2021-05-18 22:00,0,0.05696558,5.315807789542685,323.81499134374485,0.266914723,-0.570007916,,0.323815,0.056966,0.019779715,,,0.230919662,,,0.013154472,,0.065772362,0.043811,0.000000,,,,,
2021-05-18 22:30,0,0.056351325,5.021431053242337,305.88289069397746,0.266914723,-0.544281779,,0.305883,0.056351,0.019566432,,,0.220509618,,,0.012426009,,0.062130046,0.043925,0.000000,,,,,
