 ,Area,Mean,Min,Max
1,185,255,255,255
2,154,255,255,255
3,142,255,255,255
4,1841,255,255,255
5,536,255,255,255
6,104,255,255,255
7,58,255,255,255
8,44,255,255,255
9,64,255,255,255
10,92,255,255,255
11,55,255,255,255
12,32,255,255,255
13,1186,255,255,255
14,1302,255,255,255
15,1197,255,255,255
16,55,255,255,255
17,51,255,255,255
18,1032,255,255,255
19,809,255,255,255
20,877,255,255,255
21,784,255,255,255
22,522,255,255,255
23,180,255,255,255
24,122,255,255,255
25,470,255,255,255
26,461,255,255,255
27,131,255,255,255
28,256,255,255,255
29,171,255,255,255
30,76,255,255,255
31,118,255,255,255
32,1082,255,255,255
33,1607,255,255,255
34,102,255,255,255
35,60,255,255,255
36,828,255,255,255
37,61,255,255,255
38,50,255,255,255
39,70,255,255,255
40,66,255,255,255
41,1019,255,255,255
42,1228,255,255,255
43,937,255,255,255
44,1315,255,255,255
45,781,255,255,255
46,879,255,255,255
47,411,255,255,255
48,549,255,255,255
49,278,255,255,255
50,260,255,255,255
51,236,255,255,255
52,228,255,255,255
53,367,255,255,255
54,146,255,255,255
55,162,255,255,255
56,241,255,255,255
57,848,255,255,255
58,106,255,255,255
59,76,255,255,255
60,84,255,255,255
61,64,255,255,255
62,9,255,255,255
63,980,255,255,255
64,1128,255,255,255
65,1735,255,255,255
66,52,255,255,255
67,552,255,255,255
68,1003,255,255,255
69,759,255,255,255
70,947,255,255,255
71,1078,255,255,255
72,975,255,255,255
73,379,255,255,255
74,175,255,255,255
75,151,255,255,255
76,222,255,255,255
77,96,255,255,255
78,178,255,255,255
79,114,255,255,255
80,140,255,255,255
81,111,255,255,255
82,88,255,255,255
83,144,255,255,255
84,720,255,255,255
85,71,255,255,255
86,58,255,255,255
87,1608,255,255,255
88,736,255,255,255
89,58,255,255,255
90,1155,255,255,255
91,748,255,255,255
92,866,255,255,255
93,536,255,255,255
94,610,255,255,255
95,1077,255,255,255
96,994,255,255,255
97,684,255,255,255
98,506,255,255,255
99,587,255,255,255
100,258,255,255,255
101,254,255,255,255
102,174,255,255,255
103,206,255,255,255
104,135,255,255,255
105,312,255,255,255
106,136,255,255,255
107,130,255,255,255
108,72,255,255,255
109,1895,255,255,255
110,43,255,255,255
111,42,255,255,255
112,144,255,255,255
113,36,255,255,255
114,1354,255,255,255
115,46,255,255,255
116,60,255,255,255
117,108,255,255,255
118,1376,255,255,255
119,1260,255,255,255
120,1317,255,255,255
121,92,255,255,255
122,80,255,255,255
123,141,255,255,255
124,651,255,255,255
125,111,255,255,255
126,951,255,255,255
127,621,255,255,255
128,720,255,255,255
129,889,255,255,255
130,623,255,255,255
131,143,255,255,255
132,539,255,255,255
133,63,255,255,255
134,51,255,255,255
135,605,255,255,255
136,61,255,255,255
137,52,255,255,255
138,414,255,255,255
139,34,255,255,255
140,86,255,255,255
141,28,255,255,255
142,126,255,255,255
143,95,255,255,255
144,45,255,255,255
145,103,255,255,255
146,994,255,255,255
147,449,255,255,255
148,296,255,255,255
149,349,255,255,255
150,103,255,255,255
151,918,255,255,255
152,80,255,255,255
153,335,255,255,255
154,37,255,255,255
155,267,255,255,255
156,754,255,255,255
157,928,255,255,255
158,79,255,255,255
159,31,255,255,255
160,47,255,255,255
161,507,255,255,255
162,12,255,255,255
163,491,255,255,255
164,387,255,255,255
165,287,255,255,255
166,233,255,255,255
167,200,255,255,255
168,159,255,255,255
169,799,255,255,255
170,36,255,255,255
171,140,255,255,255
172,148,255,255,255
173,86,255,255,255
174,753,255,255,255
175,862,255,255,255
176,584,255,255,255
177,99,255,255,255
178,681,255,255,255
179,1048,255,255,255
180,69,255,255,255
181,42,255,255,255
182,50,255,255,255
183,46,255,255,255
184,56,255,255,255
185,64,255,255,255
186,956,255,255,255
187,850,255,255,255
188,776,255,255,255
189,641,255,255,255
190,638,255,255,255
191,561,255,255,255
192,333,255,255,255
193,267,255,255,255
194,247,255,255,255
195,155,255,255,255
196,162,255,255,255
197,128,255,255,255
198,148,255,255,255
199,1651,255,255,255
200,1354,255,255,255
201,76,255,255,255
202,126,255,255,255
203,1181,255,255,255
204,119,255,255,255
205,68,255,255,255
206,239,255,255,255
207,240,255,255,255
208,329,255,255,255
209,59,255,255,255
210,183,255,255,255
211,151,255,255,255
212,244,255,255,255
213,278,255,255,255
214,216,255,255,255
215,41,255,255,255
216,252,255,255,255
217,230,255,255,255
218,98,255,255,255
219,465,255,255,255
220,90,255,255,255
221,811,255,255,255
