 ,Area,Mean,Min,Max,,Total pore area ,Fibre Area (microm),FWA (%)
1,105.343,255,255,255,,90163.281,289684.478,76.26331106
2,87.691,255,255,255,,,,
3,80.858,255,255,255,,,,
4,1048.304,255,255,255,,,,
5,305.21,255,255,255,,,,
6,59.22,255,255,255,,,,
7,33.026,255,255,255,,,*1e-12,
8,25.055,255,255,255,,Total area (mu m 2) ,Total area (m2),Tracheid density 
9,36.443,255,255,255,,379847.759,3.79848E-07,1.03E+09
10,52.387,255,255,255,,,,
11,31.318,255,255,255,,,,
12,18.221,255,255,255,,,,
13,675.333,255,255,255,,,,
14,741.386,255,255,255,,,,
15,681.597,255,255,255,,,,
16,31.318,255,255,255,,,,
17,29.04,255,255,255,,,,
18,587.643,255,255,255,,,,
19,460.662,255,255,255,,,,
20,499.382,255,255,255,,,,
21,446.426,255,255,255,,,,
22,297.238,255,255,255,,,,
23,102.496,255,255,255,,,,
24,69.469,255,255,255,,,,
25,267.628,255,255,255,,,,
26,262.503,255,255,255,,,,
27,74.594,255,255,255,,,,
28,145.772,255,255,255,,,,
29,97.371,255,255,255,,,,
30,43.276,255,255,255,,,,
31,67.192,255,255,255,,,,
32,616.114,255,255,255,,,,
33,915.06,255,255,255,,,,
34,58.081,255,255,255,,,,
35,34.165,255,255,255,,,,
36,39.859,255,255,255,,,,
37,471.481,255,255,255,,,,
38,34.735,255,255,255,,,,
39,28.471,255,255,255,,,,
40,39.859,255,255,255,,,,
41,37.582,255,255,255,,,,
42,580.24,255,255,255,,,,
43,699.249,255,255,255,,,,
44,533.548,255,255,255,,,,
45,748.789,255,255,255,,,,
46,444.718,255,255,255,,,,
47,500.521,255,255,255,,,,
48,234.032,255,255,255,,,,
49,312.612,255,255,255,,,,
50,158.299,255,255,255,,,,
51,148.05,255,255,255,,,,
52,134.383,255,255,255,,,,
53,129.828,255,255,255,,,,
54,208.978,255,255,255,,,,
55,83.135,255,255,255,,,,
56,92.246,255,255,255,,,,
57,137.23,255,255,255,,,,
58,482.869,255,255,255,,,,
59,60.359,255,255,255,,,,
60,43.276,255,255,255,,,,
61,47.831,255,255,255,,,,
62,36.443,255,255,255,,,,
63,558.033,255,255,255,,,,
64,642.307,255,255,255,,,,
65,987.946,255,255,255,,,,
66,29.61,255,255,255,,,,
67,314.32,255,255,255,,,,
68,571.129,255,255,255,,,,
69,432.191,255,255,255,,,,
70,539.242,255,255,255,,,,
71,613.836,255,255,255,,,,
72,555.186,255,255,255,,,,
73,215.811,255,255,255,,,,
74,99.649,255,255,255,,,,
75,85.983,255,255,255,,,,
76,126.411,255,255,255,,,,
77,54.664,255,255,255,,,,
78,101.357,255,255,255,,,,
79,64.914,255,255,255,,,,
80,79.719,255,255,255,,,,
81,63.206,255,255,255,,,,
82,50.109,255,255,255,,,,
83,81.997,255,255,255,,,,
84,409.983,255,255,255,,,,
85,40.429,255,255,255,,,,
86,33.026,255,255,255,,,,
87,915.629,255,255,255,,,,
88,419.094,255,255,255,,,,
89,33.026,255,255,255,,,,
90,657.681,255,255,255,,,,
