 ,Area,Mean,Min,Max
1,880081.401,129.291,0,255
2,282822.379,103.749,0,255
3,1021664.556,150.823,0,255
4,178469.119,142.821,0,255
5,582909.039,116.901,0,255
6,136131.517,119.717,0,253
7,927323.997,123.745,0,255
8,227365.314,122.723,0,255
9,942126.100,115.505,0,255
10,217270.615,113.009,0,255
11,716830.063,107.420,0,255
12,176243.251,101.345,0,243
13,836905.611,113.421,0,255
14,180356.750,120.246,0,249
15,726572.289,108.889,0,255
16,187295.147,109.131,0,233
17,755254.033,98.424,0,255
18,214269.197,105.954,0,220
