 ,,,Area,percentage,,Average percentage EW(%),STD EW
,DF49,EW,2125883.792,80.60694019,,79.70865049,2.512907387
,DF49,LW,511462.058,19.39305981,,,
,DF49,EW,1281609.871,77.85386168,,Average percentage LW(%),STD LW
,DF49,LW,364563.926,22.14613832,,20.29134951,2.512907387
,DF49,EW,1037417.023,74.82655689,,,
,DF49,LW,349011.895,25.17344311,,,
,DF49,EW,2469452.021,80.73557501,,,
,DF49,LW,589239.294,19.26442499,,,
,DF49,EW,2691984.088,78.81412219,,,
,DF49,LW,723627.243,21.18587781,,,
,DF61-2,EW,3732687.24,81.02727093,,,
,DF61-2,LW,874017.635,18.97272907,,,
,DF61-1,EW,2736426.27,78.08751061,,,
,DF61-1,LW,767880.947,21.91248939,,,
,GT1-2,EW,880081.401,75.67964058,,,
,GT1-3,LW,282822.379,24.32035942,,,
,GT1-4,EW,1021664.556,85.12922996,,,
,GT1-5,LW,178469.119,14.87077004,,,
,GT1-6,EW,582909.039,81.0676163,,,
,GT1-7,LW,136131.517,18.9323837,,,
,GT1-8,EW,927323.997,80.30939476,,,
,GT1-9,LW,227365.314,19.69060524,,,
,GT1-10,EW,942126.1,81.26002841,,,
,GT1-11,LW,217270.615,18.73997159,,,
,GT1-12,EW,716830.063,80.26553383,,,
,GT1-13,LW,176243.251,19.73446617,,,
,GT1-14,EW,836905.611,82.2703801,,,
,GT1-15,LW,180356.75,17.7296199,,,
,GT1-16,EW,726572.289,79.5052171,,,
,GT1-17,LW,187295.147,20.4947829,,,
,GT1-18,EW,755254.033,77.89952934,,,
,GT1-19,LW,214269.197,22.10047066,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
