 ,Area,Mean,Min,Max,,total tracheid pore area ,Fibre area,FWA (%),FWA: Fibre wall area fraction. 
total area,84610.504,181.587,77,255,,28264.444,56346.06,66.59463936,
2,256.307,255,255,255,,,total-total pore,(total-total_pore)*100,
3,173.15,255,255,255,,,,,
4,526.285,255,255,255,,,,,
5,197.072,255,255,255,,,,,
6,425.47,255,255,255,,total area (mum2),total area (m2),density ,
7,227.259,255,255,255,,84610.504,8.46105E-08,1.21E+09,
8,214.729,255,255,255,,,,,
9,477.871,255,255,255,,,,,
10,239.22,255,255,255,,,,,
11,193.655,255,255,255,,,,,
12,273.395,255,255,255,,,,,
13,811.071,255,255,255,,,,,
14,172.011,255,255,255,,,,,
15,294.469,255,255,255,,,,,
16,297.886,255,255,255,,,,,
17,336.617,255,255,255,,,,,
18,51.831,255,255,255,,,,,
19,78.031,255,255,255,,,,,
20,362.248,255,255,255,,,,,
21,437.431,255,255,255,,,,,
22,1.139,255,255,255,,,,,
23,588.938,255,255,255,,,,,
24,66.07,255,255,255,,,,,
25,191.376,255,255,255,,,,,
26,308.708,255,255,255,,,,,
27,617.986,255,255,255,,,,,
28,69.488,255,255,255,,,,,
29,418.066,255,255,255,,,,,
30,70.627,255,255,255,,,,,
31,662.412,255,255,255,,,,,
32,124.736,255,255,255,,,,,
33,402.687,255,255,255,,,,,
34,482.997,255,255,255,,,,,
35,762.087,255,255,255,,,,,
36,536.537,255,255,255,,,,,
37,686.904,255,255,255,,,,,
38,526.285,255,255,255,,,,,
39,14.809,255,255,255,,,,,
40,22.783,255,255,255,,,,,
41,763.227,255,255,255,,,,,
42,293.33,255,255,255,,,,,
43,249.473,255,255,255,,,,,
44,321.239,255,255,255,,,,,
45,773.479,255,255,255,,,,,
46,121.319,255,255,255,,,,,
47,342.882,255,255,255,,,,,
48,155.493,255,255,255,,,,,
49,675.512,255,255,255,,,,,
50,377.626,255,255,255,,,,,
51,23.922,255,255,255,,,,,
52,0.57,255,255,255,,,,,
53,238.651,255,255,255,,,,,
54,645.895,255,255,255,,,,,
55,342.313,255,255,255,,,,,
56,236.942,255,255,255,,,,,
57,150.937,255,255,255,,,,,
58,329.782,255,255,255,,,,,
59,167.454,255,255,255,,,,,
60,549.067,255,255,255,,,,,
61,2.278,255,255,255,,,,,
62,0.57,255,255,255,,,,,
63,149.797,255,255,255,,,,,
64,232.955,255,255,255,,,,,
65,415.218,255,255,255,,,,,
66,324.087,255,255,255,,,,,
67,393.005,255,255,255,,,,,
68,565.585,255,255,255,,,,,
69,176.567,255,255,255,,,,,
70,322.947,255,255,255,,,,,
71,520.589,255,255,255,,,,,
72,151.506,255,255,255,,,,,
73,161.189,255,255,255,,,,,
74,2.278,255,255,255,,,,,
75,405.535,255,255,255,,,,,
76,509.197,255,255,255,,,,,
77,326.934,255,255,255,,,,,
78,1.139,255,255,255,,,,,
79,8.544,255,255,255,,,,,
80,563.876,255,255,255,,,,,
81,570.711,255,255,255,,,,,
82,235.233,255,255,255,,,,,
83,119.041,255,255,255,,,,,
84,175.998,255,255,255,,,,,
85,215.298,255,255,255,,,,,
86,442.558,255,255,255,,,,,
87,160.619,255,255,255,,,,,
88,342.313,255,255,255,,,,,
89,35.883,255,255,255,,,,,
90,18.226,255,255,255,,,,,
91,83.727,255,255,255,,,,,
92,115.054,255,255,255,,,,,
93,214.729,255,255,255,,,,,
94,200.489,255,255,255,,,,,
95,26.2,255,255,255,,,,,
96,130.432,255,255,255,,,,,
97,187.389,255,255,255,,,,,
98,98.536,255,255,255,,,,,
99,190.237,255,255,255,,,,,
100,19.935,255,255,255,,,,,
101,70.057,255,255,255,,,,,
102,5.696,255,255,255,,,,,
103,12.531,255,255,255,,,,,
