Tree,Year,Mean_Rp,Min_Rp,Max_Rp,Max_Rp_Day,Mean_HCL,Potential_Type,SF_Type,Avg_Points_Per_Day,Weibull_Rmin,Weibull_d,Weibull_b,P50,P88,R_squared
DF49,2021,33.728455816813224,0.30885091550102567,550.6516368379409,2021-08-14,,matric,incomplete,8.0,50.00000000000001,1.6259346021372951,6.372581006934594,-1.5350588878045397,-1.8294515614934048,0.639283080708196
DF27,2021,11954.445571064556,1954.0290161116761,27459.475344277347,2021-07-24,,matric,incomplete,7.8478260869565215,5057.722419274985,2.70353865005967,1.0000000000000004,-1.8739501928237012,-5.732214418429134,0.8915859870659811
ES50,2021,7718.595705947117,5.599895557015946,75628.39440406527,2021-08-06,,matric,incomplete,7.775510204081633,1987.2511300340234,1.5000000000003124,1.0000000000015712,-1.0397207708407332,-3.1803953042970434,0.6930701072830311
ES51,2021,51015.82558345109,29262.45424502814,98865.46292961063,2021-09-29,,matric,incomplete,7.684210526315789,9999.999999999463,1.5000000000038713,1.1001204555610802,-1.074986417192824,-2.970139249962105,-0.2669330695482979
DF49,2022,194.77419073981108,0.2799310082018415,443.4002207572857,2022-08-12,,matric,incomplete,8.0,76.8530778637709,1.5000000000019098,1.236980702129332,-1.1153505106540749,-2.7539202100932223,0.6329029215894375
DF21,2022,8365.146853908826,1966.6115935973096,91654.91323932185,2022-08-12,,matric,incomplete,5.666666666666667,1715.0656982166172,1.7536001885130381,1.000000000009495,-1.2155030265014308,-3.718094536751268,0.06616716517086596
DF27,2022,10797.580523297118,7.533972209545513,33480.58166847149,2022-09-28,,matric,incomplete,7.967741935483871,3018.2630222809944,1.5000000000000004,1.2162524359576876,-1.109732521167674,-2.782583787832656,0.7835179725643229
DF03,2022,1349.8103387509475,920.689465600259,2277.5426215502043,2022-06-26,,matric,incomplete,8.0,631.0891718318086,1.5000000000000804,1.1472090261933703,-1.0897876474336414,-2.8880120209048656,0.8585694167682265
ES48,2022,233.26458094290825,0.28378582523685636,810.1250447439204,2022-09-28,,matric,incomplete,8.0,170.9294153198569,1.5000000002234912,2.224694188170912,-1.2721616709531613,-2.1028267291162566,0.5182445845244004
ES50,2022,1490.13131107944,1.206089345120988,4837.091487632317,2022-08-28,,matric,incomplete,7.777777777777778,536.7507682692999,1.6798209117160365,1.0000000000000002,-1.1643631288016076,-3.5616630264579037,0.8531014122162728
ES42,2022,8859.93149216957,5.195158441330997,104184.68583982765,2022-06-21,,matric,incomplete,6.142857142857143,3573.365453896376,1.500000000002644,1.071250263861555,-1.0653777636083834,-3.025328131631851,0.29862352958303096
ES01,2022,27814.942304022756,15889.454520849451,34786.39580549035,2022-06-10,,matric,incomplete,8.0,9999.999999999998,1.5000000000000002,1.0000000000000002,-1.0397207708399183,-3.1803953043001365,0.5682422265790227
