Date,Time,Current Temperature,Average Temperature,Maximum Temperature,Minimum Temperature,Radiation,Rainfall
2021-01-01,1:00:00,1.3,0,1.5,-1.9,0.2,0
2021-01-01,2:00:00,-0.3,0,1.3,-1.6,0.2,0
2021-01-01,3:00:00,0.5,0.9,1.7,-0.6,0.2,0
2021-01-01,4:00:00,0.2,1,1.8,-0.3,0.2,0
2021-01-01,5:00:00,1.7,1.5,2.1,0.1,0.2,0
2021-01-01,6:00:00,0.9,1.2,1.7,0.9,0.2,0
2021-01-01,7:00:00,1.6,1.2,1.7,0.9,0.2,0
2021-01-01,8:00:00,1.5,1.4,1.7,1.1,0.2,0
2021-01-01,9:00:00,1.8,1.6,2.1,1.2,0.2,0
2021-01-01,10:00:00,3,2.3,3.1,1,1.2,0
2021-01-01,11:00:00,3,3,3.3,2.9,20.8,0
2021-01-01,12:00:00,4.2,3.6,4.3,2.9,64.6,0
2021-01-01,13:00:00,5.2,4.7,5.2,4.2,132.2,0
2021-01-01,14:00:00,6.2,5.5,6.5,5,158.5,0
2021-01-01,15:00:00,6,5.7,6.5,5.3,81.2,0
2021-01-01,16:00:00,6.1,6.1,6.4,6,51.5,0
2021-01-01,17:00:00,5.7,6.1,6.4,5.7,40.8,0
2021-01-01,18:00:00,5.3,5.4,5.7,5.1,6.9,0
2021-01-01,19:00:00,4.3,5,5.6,4.2,0.3,0
2021-01-01,20:00:00,5.9,4.6,6,3.7,0.2,0
2021-01-01,21:00:00,5.6,5.7,6.1,5.2,0.3,0
2021-01-01,22:00:00,7,6.4,7.2,5.6,0.2,0
2021-01-01,23:00:00,7.5,7.2,7.7,6.6,0.2,0
2021-01-01,0:00:00,7.3,7.4,7.6,7.1,0.2,0
2021-01-02,1:00:00,6.6,6.8,7.3,6.4,0.2,0
2021-01-02,2:00:00,5.2,5.9,6.6,5,0.2,0
2021-01-02,3:00:00,3.8,4.5,5.2,3.8,0.3,0
2021-01-02,4:00:00,3.6,3.7,4,3.4,0.2,0
2021-01-02,5:00:00,2.6,3.1,3.6,2.5,0.2,0
2021-01-02,6:00:00,2.7,2.6,2.9,2.4,0.2,0
2021-01-02,7:00:00,4,3.4,4,2.7,0.2,0
2021-01-02,8:00:00,4.6,4.3,4.6,3.9,0.2,0
2021-01-02,9:00:00,4.6,4.6,4.8,4.4,0.2,0
2021-01-02,10:00:00,4.5,4.6,5,4.4,1.6,0
2021-01-02,11:00:00,4.3,4.3,4.6,4,10.8,0
2021-01-02,12:00:00,4.1,4.2,4.4,4.1,54,0
2021-01-02,13:00:00,5.3,4.6,5.3,4.1,119.5,0
2021-01-02,14:00:00,4.3,5,5.6,4.3,182.8,0
2021-01-02,15:00:00,4,3.9,4.3,3.6,64.3,0
2021-01-02,16:00:00,4,4.1,4.3,3.9,33,0
