Date,air_temp,dni,ghi
2021-03-01T00:30:00Z,-4,0,55
2021-03-01T01:00:00Z,-4,0,19
2021-03-01T01:30:00Z,-4,0,2
2021-03-01T02:00:00Z,-5,0,0
2021-03-01T02:30:00Z,-5,0,0
2021-03-01T03:00:00Z,-5,0,0
2021-03-01T03:30:00Z,-5,0,0
2021-03-01T04:00:00Z,-4,0,0
2021-03-01T04:30:00Z,-4,0,0
2021-03-01T05:00:00Z,-4,0,0
2021-03-01T05:30:00Z,-4,0,0
2021-03-01T06:00:00Z,-5,0,0
2021-03-01T06:30:00Z,-5,0,0
2021-03-01T07:00:00Z,-5,0,0
2021-03-01T07:30:00Z,-5,0,0
2021-03-01T08:00:00Z,-5,0,0
2021-03-01T08:30:00Z,-5,0,0
2021-03-01T09:00:00Z,-6,0,0
2021-03-01T09:30:00Z,-6,0,0
2021-03-01T10:00:00Z,-6,0,0
2021-03-01T10:30:00Z,-5,0,0
2021-03-01T11:00:00Z,-6,0,0
2021-03-01T11:30:00Z,-6,0,0
2021-03-01T12:00:00Z,-6,0,0
2021-03-01T12:30:00Z,-6,0,0
2021-03-01T13:00:00Z,-6,0,0
2021-03-01T13:30:00Z,-5,0,0
2021-03-01T14:00:00Z,-5,0,0
2021-03-01T14:30:00Z,-5,0,0
2021-03-01T15:00:00Z,-5,0,8
2021-03-01T15:30:00Z,-5,237,73
2021-03-01T16:00:00Z,-4,704,167
2021-03-01T16:30:00Z,-3,680,233
2021-03-01T17:00:00Z,-1,477,268
2021-03-01T17:30:00Z,0,731,363
2021-03-01T18:00:00Z,0,932,447
2021-03-01T18:30:00Z,0,953,495
2021-03-01T19:00:00Z,0,967,531
2021-03-01T19:30:00Z,1,975,555
2021-03-01T20:00:00Z,2,978,565
2021-03-01T20:30:00Z,2,976,562
2021-03-01T21:00:00Z,2,897,532
2021-03-01T21:30:00Z,2,497,428
2021-03-01T22:00:00Z,1,203,326
2021-03-01T22:30:00Z,0,0,161
2021-03-01T23:00:00Z,0,0,116
2021-03-01T23:30:00Z,0,0,75
2021-03-02T00:00:00Z,0,0,58
2021-03-02T00:30:00Z,0,0,30
2021-03-02T01:00:00Z,0,0,15
2021-03-02T01:30:00Z,0,0,1
2021-03-02T02:00:00Z,-2,0,0
2021-03-02T02:30:00Z,-2,0,0
2021-03-02T03:00:00Z,-2,0,0
2021-03-02T03:30:00Z,-2,0,0
2021-03-02T04:00:00Z,-2,0,0
2021-03-02T04:30:00Z,-2,0,0
2021-03-02T05:00:00Z,-3,0,0
2021-03-02T05:30:00Z,-4,0,0
2021-03-02T06:00:00Z,-4,0,0
2021-03-02T06:30:00Z,-4,0,0
2021-03-02T07:00:00Z,-4,0,0
2021-03-02T07:30:00Z,-5,0,0
2021-03-02T08:00:00Z,-6,0,0
2021-03-02T08:30:00Z,-6,0,0
2021-03-02T09:00:00Z,-6,0,0
2021-03-02T09:30:00Z,-6,0,0
2021-03-02T10:00:00Z,-7,0,0
2021-03-02T10:30:00Z,-7,0,0
2021-03-02T11:00:00Z,-7,0,0
2021-03-02T11:30:00Z,-7,0,0
2021-03-02T12:00:00Z,-7,0,0
2021-03-02T12:30:00Z,-7,0,0
2021-03-02T13:00:00Z,-7,0,0
2021-03-02T13:30:00Z,-7,0,0
2021-03-02T14:00:00Z,-7,0,0
2021-03-02T14:30:00Z,-6,0,0
2021-03-02T15:00:00Z,-6,8,16
2021-03-02T15:30:00Z,-6,355,84
2021-03-02T16:00:00Z,-6,181,130
2021-03-02T16:30:00Z,-5,114,160
2021-03-02T17:00:00Z,-2,54,209
2021-03-02T17:30:00Z,-1,0,142
2021-03-02T18:00:00Z,-1,0,102
2021-03-02T18:30:00Z,-2,0,112
2021-03-02T19:00:00Z,-2,0,174
2021-03-02T19:30:00Z,-2,0,183
2021-03-02T20:00:00Z,-1,0,191
2021-03-02T20:30:00Z,0,46,346
2021-03-02T21:00:00Z,-1,474,450
2021-03-02T21:30:00Z,-1,572,451
2021-03-02T22:00:00Z,-1,248,344
2021-03-02T22:30:00Z,-1,211,307
2021-03-02T23:00:00Z,-1,107,231
2021-03-02T23:30:00Z,-1,0,133
2021-03-03T00:00:00Z,-1,0,64
2021-03-03T00:30:00Z,-1,21,64
2021-03-03T01:00:00Z,0,0,24
2021-03-03T01:30:00Z,-1,0,2
2021-03-03T02:00:00Z,-2,0,0
2021-03-03T02:30:00Z,-3,0,0
2021-03-03T03:00:00Z,-3,0,0
2021-03-03T03:30:00Z,-3,0,0
2021-03-03T04:00:00Z,-4,0,0
2021-03-03T04:30:00Z,-4,0,0
2021-03-03T05:00:00Z,-4,0,0
2021-03-03T05:30:00Z,-4,0,0
2021-03-03T06:00:00Z,-4,0,0
2021-03-03T06:30:00Z,-4,0,0
2021-03-03T07:00:00Z,-4,0,0
2021-03-03T07:30:00Z,-4,0,0
2021-03-03T08:00:00Z,-5,0,0
2021-03-03T08:30:00Z,-5,0,0
2021-03-03T09:00:00Z,-6,0,0
2021-03-03T09:30:00Z,-6,0,0
2021-03-03T10:00:00Z,-7,0,0
2021-03-03T10:30:00Z,-8,0,0
2021-03-03T11:00:00Z,-8,0,0
2021-03-03T11:30:00Z,-8,0,0
2021-03-03T12:00:00Z,-8,0,0
2021-03-03T12:30:00Z,-8,0,0
2021-03-03T13:00:00Z,-7,0,0
2021-03-03T13:30:00Z,-7,0,0
2021-03-03T14:00:00Z,-7,0,0
2021-03-03T14:30:00Z,-7,0,0
2021-03-03T15:00:00Z,-7,13,20
2021-03-03T15:30:00Z,-7,122,63
2021-03-03T16:00:00Z,-7,211,135
2021-03-03T16:30:00Z,-5,314,201
2021-03-03T17:00:00Z,-3,498,283
2021-03-03T17:30:00Z,-1,414,322
2021-03-03T18:00:00Z,-1,331,353
2021-03-03T18:30:00Z,-1,380,398
2021-03-03T19:00:00Z,-1,406,430
2021-03-03T19:30:00Z,0,240,403
