"TOA5","CR1000","CR1000","70315","CR1000.Std.28","CPU:estefania_test_radiometer.CR1","2458","RAD"
"TIMESTAMP","RECORD","NR_Wm2","NR_Wm2_Avg"
"TS","RN","W/meter^2","W/meter^2"
"","","Smp","Avg"
"2019-05-30 15:00:00",0,205.8,205.8
"2019-05-30 16:00:00",1,160,199.1
"2019-05-30 17:00:00",2,302,225.6
"2019-05-30 18:00:00",3,384.9,452.1
"2019-05-30 19:00:00",4,186.6,241
"2019-05-30 20:00:00",5,-8.07,51.43
"2019-05-30 21:00:00",6,-19.84,-16.48
"2019-05-30 22:00:00",7,-28.92,-24.05
"2019-05-30 23:00:00",8,-18.5,-21.19
"2019-05-31 00:00:00",9,-29.93,-26.23
"2019-05-31 01:00:00",10,-13.79,-29.93
"2019-05-31 02:00:00",11,-19.17,-17.15
"2019-05-31 03:00:00",12,-65.24,-52.97
"2019-05-31 04:00:00",13,-56.17,-64.24
"2019-05-31 05:00:00",14,-66.94,-64.92
"2019-05-31 06:00:00",15,-51.47,-58.87
"2019-05-31 07:00:00",16,-44.07,-49.79
"2019-05-31 08:00:00",17,-3.7,-7.232
"2019-05-31 09:00:00",18,43.05,33.13
"2019-05-31 10:00:00",19,398.2,364.8
"2019-05-31 11:00:00",20,205.1,323.2
"2019-05-31 12:00:00",21,383.2,570.2
"2019-05-31 13:00:00",22,821,805
"2019-05-31 14:00:00",23,967,587.2
"2019-05-31 15:00:00",24,92.1,157
"2019-05-31 16:00:00",25,787.9,752.6
"2019-05-31 17:00:00",26,19.5,80.8
"2019-05-31 18:00:00",27,62.53,35.13
"2019-05-31 19:00:00",28,17.49,12.11
"2019-05-31 20:00:00",29,-9.42,39.51
"2019-05-31 21:00:00",30,-69.27,-35.31
"2019-05-31 22:00:00",31,-76.35,-71.97
"2019-05-31 23:00:00",32,-43.72,-53.14
"2019-06-01 00:00:00",33,-75.34,-67.27
"2019-06-01 01:00:00",34,-72.98,-76.85
"2019-06-01 02:00:00",35,-63.57,-62.73
"2019-06-01 03:00:00",36,-58.53,-69.8
"2019-06-01 04:00:00",37,-56.85,-55.84
"2019-06-01 05:00:00",38,-74.35,-70.65
