"TOA5","CR1000","CR1000","70315","CR1000.Std.28","CPU:estefania_test_radiometer.CR1","2458","RAD"
"TIMESTAMP","RECORD","NR_Wm2","NR_Wm2_Avg"
"TS","RN","W/meter^2","W/meter^2"
"","","Smp","Avg"
"2020-05-27 03:00:00",3245,-57.19,-69.98
"2020-05-27 04:00:00",3246,-85.1,-87.3
"2020-05-27 05:00:00",3247,-90.9,-90.9
"2020-05-27 06:00:00",3248,-77.73,-84.6
"2020-05-27 07:00:00",3249,-51.49,-59.4
"2020-05-27 08:00:00",3250,-72.69,-64.61
"2020-05-27 09:00:00",3251,-103.3,-94.4
"2020-05-27 10:00:00",3252,309.9,245.8
"2020-05-27 11:00:00",3253,486,447.2
"2020-05-27 12:00:00",3254,722.5,721.4
"2020-05-27 13:00:00",3255,893,820
"2020-05-27 14:00:00",3256,825,821
"2020-05-27 15:00:00",3257,815,824
"2020-05-27 16:00:00",3258,781.3,799.3
"2020-05-27 17:00:00",3259,536.2,596.7
"2020-05-27 18:00:00",3260,423.9,439.7
"2020-05-27 19:00:00",3261,276.3,159.2
"2020-05-27 20:00:00",3262,36.98,78.16
"2020-05-27 21:00:00",3263,-85.4,-84.4
"2020-05-27 22:00:00",3264,-94.2,-95
"2020-05-27 23:00:00",3265,-91.2,-94.3
"2020-05-28 00:00:00",3266,-87.8,-85.4
"2020-05-28 01:00:00",3267,-87.8,-88.1
"2020-05-28 02:00:00",3268,-85.1,-85.1
"2020-05-28 03:00:00",3269,-77.04,-80.4
"2020-05-28 04:00:00",3270,-77.4,-78.74
"2020-05-28 05:00:00",3271,-78.74,-77.74
"2020-05-28 06:00:00",3272,-70.33,-73.7
"2020-05-28 07:00:00",3273,-54.52,-60.24
"2020-05-28 08:00:00",3274,-42.4,-47.28
"2020-05-28 09:00:00",3275,-29.61,-32.98
"2020-05-28 10:00:00",3276,411.8,412.2
"2020-05-28 11:00:00",3277,604.9,556.9
"2020-05-28 12:00:00",3278,755.7,723.7
"2020-05-28 13:00:00",3279,842,791.4
"2020-05-28 14:00:00",3280,776.1,769.3
"2020-05-28 15:00:00",3281,555.3,529.3
"2020-05-28 16:00:00",3282,317.7,359
