"TOA5","CR1000","CR1000","70315","CR1000.Std.28","CPU:estefania_test_radiometer.CR1","2458","RAD"
"TIMESTAMP","RECORD","NR_Wm2","NR_Wm2_Avg"
"TS","RN","W/meter^2","W/meter^2"
"","","Smp","Avg"
"2021-06-16 09:00:00",6986,35.99,50.28
"2021-06-16 10:00:00",6987,86.1,68.95
"2021-06-16 11:00:00",6988,1054,948
"2021-06-16 12:00:00",6989,165.4,148.4
"2021-06-16 13:00:00",6990,114.3,86.1
"2021-06-16 14:00:00",6991,1055,661.7
"2021-06-16 15:00:00",6992,925,647.7
"2021-06-16 16:00:00",6993,69.26,479.1
"2021-06-16 17:00:00",6994,97.5,162.7
"2021-06-16 18:00:00",6995,530.9,464.5
"2021-06-16 19:00:00",6996,77.67,154.8
"2021-06-16 20:00:00",6997,41.69,94.3
"2021-06-16 21:00:00",6998,-96.2,-93.5
"2021-06-16 22:00:00",6999,-103.9,-104.4
"2021-06-16 23:00:00",7000,-118.7,-110.2
"2021-06-17 00:00:00",7001,-119.1,-113
"2021-06-17 01:00:00",7002,-102.6,-98.7
"2021-06-17 02:00:00",7003,-93.5,-93.8
"2021-06-17 03:00:00",7004,-85.8,-84.9
"2021-06-17 04:00:00",7005,-96.6,-87
"2021-06-17 05:00:00",7006,-94.2,-95.5
"2021-06-17 06:00:00",7007,-84.8,-88.5
"2021-06-17 07:00:00",7008,-78.71,-80.4
"2021-06-17 08:00:00",7009,-62.89,-63.73
"2021-06-17 09:00:00",7010,-62.22,-64.41
"2021-06-17 10:00:00",7011,-12.11,-36.83
