TOA5,CR1000,CR1000,70315
TIMESTAMP,RECORD,NR_Wm2,NR_Wm2_Avg
TS,RN,W/meter^2,W/meter^2
,,Smp,Avg
2021-06-17 11:00,7012,444.9,491.7
2021-06-17 12:00,7013,655.3,586.7
2021-06-17 13:00,7014,986,726.3
2021-06-17 14:00,7015,900,886
2021-06-17 15:00,7016,863,850
2021-06-17 16:00,7017,181.2,257.8
2021-06-17 17:00,7018,686.2,711.2
2021-06-17 18:00,7019,400.4,470.6
2021-06-17 19:00,7020,259.5,286.3
2021-06-17 20:00,7021,10.76,-35.13
2021-06-17 21:00,7022,-94.1,-94.8
2021-06-17 22:00,7023,-109.6,-102.2
2021-06-17 23:00,7024,-99.6,-104.9
2021-06-18 0:00,7025,-110,-105.8
2021-06-18 1:00,7026,-105.9,-107.6
2021-06-18 2:00,7027,-101.9,-102.2
2021-06-18 3:00,7028,-97.2,-98.6
2021-06-18 4:00,7029,-98.6,-98.2
2021-06-18 5:00,7030,-94.2,-94.7
2021-06-18 6:00,7031,-87.1,-91.8
2021-06-18 7:00,7032,-72,-74.18
2021-06-18 8:00,7033,-64.26,-67.29
2021-06-18 9:00,7034,63.25,31.96
2021-06-18 10:00,7035,36.66,23.71
2021-06-18 11:00,7036,763.3,628.7
2021-06-18 12:00,7037,790,769.9
2021-06-18 13:00,7038,507.3,596.5
2021-06-18 14:00,7039,554.7,470.1
2021-06-18 15:00,7040,706.3,562.1
2021-06-18 16:00,7041,663.6,463.4
2021-06-18 17:00,7042,159.7,211.3
2021-06-18 18:00,7043,444.8,503.3
2021-06-18 19:00,7044,240,109.3
2021-06-18 20:00,7045,-54.13,-22.19
2021-06-18 21:00,7046,-62.87,-68.25
2021-06-18 22:00,7047,-83.4,-83
2021-06-18 23:00,7048,-82.7,-86.8
2021-06-19 0:00,7049,-82.1,-74.16
2021-06-19 1:00,7050,-51.46,-51.97
2021-06-19 2:00,7051,-62.9,-59.87
2021-06-19 3:00,7052,-75.34,-76.18
2021-06-19 4:00,7053,-70.63,-66.93
2021-06-19 5:00,7054,-75.67,-76.18
2021-06-19 6:00,7055,-65.59,-71.3
2021-06-19 7:00,7056,-0.673,-20.18
2021-06-19 8:00,7057,9.08,5.718
2021-06-19 9:00,7058,32.96,24.55
2021-06-19 10:00,7059,191,170.2
2021-06-19 11:00,7060,222.3,257.9
2021-06-19 12:00,7061,132.5,199.2
2021-06-19 13:00,7062,243.8,261.9
2021-06-19 14:00,7063,113.3,217
2021-06-19 15:00,7064,6.053,55.31
2021-06-19 16:00,7065,140.9,84.4
2021-06-19 17:00,7066,-38.34,11.44
2021-06-19 18:00,7067,40.36,25.9
2021-06-19 19:00,7068,50.45,38.34
2021-06-19 20:00,7069,-19.17,-3.195
2021-06-19 21:00,7070,-36.66,-26.07
2021-06-19 22:00,7071,-40.03,-38.01
2021-06-19 23:00,7072,-28.6,-30.62
2021-06-20 0:00,7073,-30.95,-31.29
2021-06-20 1:00,7074,-28.93,-29.94
2021-06-20 2:00,7075,-40.71,-39.02
2021-06-20 3:00,7076,-57.19,-50.46
2021-06-20 4:00,7077,-21.53,-22.2
2021-06-20 5:00,7078,-24.22,-25.9
2021-06-20 6:00,7079,-20.86,-22.54
2021-06-20 7:00,7080,-59.88,-35.66
2021-06-20 8:00,7081,24.9,31.96
2021-06-20 9:00,7082,67.27,72.66
2021-06-20 10:00,7083,-2.354,64.07
2021-06-20 11:00,7084,772.1,689.3
2021-06-20 12:00,7085,150.6,142.9
2021-06-20 13:00,7086,1089,1096
2021-06-20 14:00,7087,370.4,270.1
2021-06-20 15:00,7088,168.4,587.9
2021-06-20 16:00,7089,911,561.2
2021-06-20 17:00,7090,641,729.6
2021-06-20 18:00,7091,-73.95,247.7
2021-06-20 19:00,7092,258.2,301.6
2021-06-20 20:00,7093,32.95,61.86
2021-06-20 21:00,7094,-97.5,-107.1
2021-06-20 22:00,7095,-100.9,-100.9
2021-06-20 23:00,7096,-103.6,-101.9
2021-06-21 0:00,7097,-99.2,-97.2
