"TOA5","CR1000_newrad","CR1000","63335","CR1000.Std.27","CPU:NR_second.CR1","20198","Table2"
"TIMESTAMP","RECORD","BattV_Min"
"TS","RN","Volts"
"","","Min"
"2021-07-10 00:00:00",0,12.78
"2021-07-11 00:00:00",1,12.76
"2021-07-12 00:00:00",2,12.76
"2021-07-13 00:00:00",3,12.75
"2021-07-14 00:00:00",4,12.75
"2021-07-15 00:00:00",5,12.74
"2021-07-16 00:00:00",6,12.74
"2021-07-17 00:00:00",7,12.75
"2021-07-18 00:00:00",8,12.73
"2021-07-19 00:00:00",9,12.73
"2021-07-20 00:00:00",10,12.73
"2021-07-21 00:00:00",11,12.73
"2021-07-22 00:00:00",12,12.73
"2021-07-23 00:00:00",13,12.72
"2021-07-24 00:00:00",14,12.71
"2021-07-25 00:00:00",15,12.7
"2021-07-26 00:00:00",16,12.7
"2021-07-27 00:00:00",17,12.7
"2021-07-28 00:00:00",18,12.7
"2021-07-29 00:00:00",19,12.69
"2021-07-30 00:00:00",20,12.69
"2021-07-31 00:00:00",21,12.69
"2021-08-01 00:00:00",22,12.69
"2021-08-02 00:00:00",23,12.68
"2021-08-03 00:00:00",24,12.68
"2021-08-04 00:00:00",25,12.67
"2021-08-05 00:00:00",26,12.67
"2021-08-06 00:00:00",27,12.66
"2021-08-07 00:00:00",28,12.66
"2021-08-08 00:00:00",29,12.66
"2021-08-09 00:00:00",30,12.65
"2021-08-10 00:00:00",31,12.64
"2021-08-11 00:00:00",32,12.66
"2021-08-12 00:00:00",33,12.65
"2021-08-13 00:00:00",34,12.64
"2021-08-14 00:00:00",35,12.64
"2021-08-15 00:00:00",36,12.64
"2021-08-16 00:00:00",37,12.64
"2021-08-17 00:00:00",38,12.63
"2021-08-18 00:00:00",39,12.6
"2021-08-19 00:00:00",40,12.6
"2021-08-20 00:00:00",41,12.61
"2021-08-21 00:00:00",42,12.6
"2021-08-22 00:00:00",43,12.6
"2021-08-23 00:00:00",44,12.6
"2021-08-24 00:00:00",45,12.59
"2021-08-25 00:00:00",46,12.58
"2021-08-26 00:00:00",47,12.58
"2021-08-27 00:00:00",48,12.58
"2021-08-28 00:00:00",49,12.58
"2021-08-29 00:00:00",50,12.57
"2021-08-30 00:00:00",51,12.57
"2021-08-31 00:00:00",52,12.58
"2021-09-01 00:00:00",53,12.57
"2021-09-02 00:00:00",54,12.56
"2021-09-03 00:00:00",55,12.55
"2021-09-04 00:00:00",56,12.55
"2021-09-05 00:00:00",57,12.55
"2021-09-06 00:00:00",58,12.56
"2021-09-07 00:00:00",59,12.55
"2021-09-08 00:00:00",60,12.54
"2021-09-09 00:00:00",61,12.54
"2021-09-10 00:00:00",62,12.54
"2021-09-11 00:00:00",63,12.53
"2021-09-12 00:00:00",64,12.53
"2021-09-13 00:00:00",65,12.52
"2021-09-14 00:00:00",66,12.51
"2021-09-15 00:00:00",67,12.51
"2021-09-16 00:00:00",68,12.5
"2021-09-17 00:00:00",69,12.49
