"TOA5","CR1000_newrad","CR1000","63335","CR1000.Std.27","CPU:NR_second.CR1","20198","Table1"
"TIMESTAMP","RECORD","NR_Wm2","NR_Wm2_Avg","PTemp_C_Avg"
"TS","RN","W/meter^2","W/meter^2","Deg C"
"","","Smp","Avg","Avg"
"2021-07-09 13:00:00",0,504.8,504.8,52.43
"2021-07-09 13:30:00",1,633.7,633.7,53.77
"2021-07-09 14:00:00",2,509.2,509.2,54.58
"2021-07-09 14:30:00",3,575.7,575.7,55.41
"2021-07-09 15:00:00",4,530.5,530.5,54.58
"2021-07-09 15:30:00",5,512.2,512.2,53.92
"2021-07-09 16:00:00",6,517.4,517.4,52.78
"2021-07-09 16:30:00",7,456.1,456.1,50.89
"2021-07-09 17:00:00",8,375.8,375.8,48.8
"2021-07-09 17:30:00",9,-16.65,-16.65,44.07
"2021-07-09 18:00:00",10,66.11,66.11,38.29
"2021-07-09 18:30:00",11,290.6,290.6,38.03
"2021-07-09 19:00:00",12,190.4,190.4,37.02
"2021-07-09 19:30:00",13,79.08,79.08,33.81
"2021-07-09 20:00:00",14,-2.487,-2.487,30.71
"2021-07-09 20:30:00",15,-5.474,-5.474,27.98
"2021-07-09 21:00:00",16,-63.21,-63.21,25.92
"2021-07-09 21:30:00",17,-68.95,-68.95,23.84
"2021-07-09 22:00:00",18,-72.69,-72.69,22.08
"2021-07-09 22:30:00",19,-72.71,-72.71,20.64
"2021-07-09 23:00:00",20,-72.46,-72.46,19.47
"2021-07-09 23:30:00",21,-70.74,-70.74,18.61
"2021-07-10 00:00:00",22,-69.74,-69.74,17.87
"2021-07-10 00:30:00",23,-69,-69,17.14
"2021-07-10 01:00:00",24,-67.76,-67.76,16.51
"2021-07-10 01:30:00",25,-67.77,-67.77,15.97
"2021-07-10 02:00:00",26,-67.77,-67.77,15.43
"2021-07-10 02:30:00",27,-66.52,-66.52,14.92
"2021-07-10 03:00:00",28,-66.27,-66.27,14.44
"2021-07-10 03:30:00",29,-63.29,-63.29,14.01
"2021-07-10 04:00:00",30,-63.55,-63.55,13.61
"2021-07-10 04:30:00",31,-63.31,-63.31,13.3
"2021-07-10 05:00:00",32,-61.81,-61.81,13.05
"2021-07-10 05:30:00",33,-60.32,-60.32,12.74
"2021-07-10 06:00:00",34,-57.82,-57.82,12.51
"2021-07-10 06:30:00",35,-51.09,-51.09,12.39
"2021-07-10 07:00:00",36,-44.36,-44.36,12.42
"2021-07-10 07:30:00",37,-39.88,-39.88,12.63
"2021-07-10 08:00:00",38,-36.39,-36.39,12.88
"2021-07-10 08:30:00",39,-34.4,-34.4,13.3
"2021-07-10 09:00:00",40,-31.4,-31.4,13.92
"2021-07-10 09:30:00",41,-25.42,-25.42,14.9
"2021-07-10 10:00:00",42,-42.36,-42.36,16.36
"2021-07-10 10:30:00",43,487.5,487.5,18.61
"2021-07-10 11:00:00",44,543.9,543.9,32.33
"2021-07-10 11:30:00",45,585.2,585.2,40.72
"2021-07-10 12:00:00",46,215,215,45.57
"2021-07-10 12:30:00",47,104.1,104.1,43.61
"2021-07-10 13:00:00",48,701.4,701.4,44.28
"2021-07-10 13:30:00",49,697.6,697.6,48.86
"2021-07-10 14:00:00",50,39.99,39.99,51.35
"2021-07-10 14:30:00",51,103.4,103.4,47.72
"2021-07-10 15:00:00",52,545.2,545.2,42.9
"2021-07-10 15:30:00",53,225.4,225.4,45.51
"2021-07-10 16:00:00",54,475.3,475.3,46.74
"2021-07-10 16:30:00",55,557.3,557.3,46.23
"2021-07-10 17:00:00",56,483.3,483.3,45.14
"2021-07-10 17:30:00",57,484,484,45.03
"2021-07-10 18:00:00",58,340.9,340.9,42.9
"2021-07-10 18:30:00",59,230.6,230.6,40.3
"2021-07-10 19:00:00",60,81,81,36.85
"2021-07-10 19:30:00",61,118.9,118.9,34.85
"2021-07-10 20:00:00",62,-1.741,-1.741,32.62
"2021-07-10 20:30:00",63,-71.39,-71.39,30.4
"2021-07-10 21:00:00",64,-77.87,-77.87,28.14
"2021-07-10 21:30:00",65,-83.9,-83.9,26.04
"2021-07-10 22:00:00",66,-82.9,-82.9,23.87
"2021-07-10 22:30:00",67,-80.9,-80.9,22.22
"2021-07-10 23:00:00",68,-79.43,-79.43,21.02
"2021-07-10 23:30:00",69,-79.19,-79.19,20.02
"2021-07-11 00:00:00",70,-72.21,-72.21,19.28
"2021-07-11 00:30:00",71,-70.99,-70.99,19.08
"2021-07-11 01:00:00",72,-62.52,-62.52,18.89
"2021-07-11 01:30:00",73,-62.77,-62.77,18.53
"2021-07-11 02:00:00",74,-59.03,-59.03,18.3
"2021-07-11 02:30:00",75,-33.13,-33.13,18.17
"2021-07-11 03:00:00",76,-38.61,-38.61,17.99
"2021-07-11 03:30:00",77,-58.29,-58.29,17.36
"2021-07-11 04:00:00",78,-41.6,-41.6,16.69
"2021-07-11 04:30:00",79,-28.65,-28.65,16.32
"2021-07-11 05:00:00",80,-43.6,-43.6,15.92
"2021-07-11 05:30:00",81,-26.66,-26.66,15.77
"2021-07-11 06:00:00",82,-128.3,-128.3,15.87
"2021-07-11 06:30:00",83,-42.6,-42.6,14.9
"2021-07-11 07:00:00",84,-41.86,-41.86,14.28
"2021-07-11 07:30:00",85,-37.88,-37.88,13.71
"2021-07-11 08:00:00",86,-33.39,-33.39,14.21
"2021-07-11 08:30:00",87,-44.85,-44.85,14.44
"2021-07-11 09:00:00",88,-21.93,-21.93,14.13
"2021-07-11 09:30:00",89,-24.42,-24.42,13.94
"2021-07-11 10:00:00",90,45.36,45.36,13.99
"2021-07-11 10:30:00",91,192.6,192.6,16.71
"2021-07-11 11:00:00",92,3.487,3.487,19.47
"2021-07-11 11:30:00",93,254.6,254.6,20.18
"2021-07-11 12:00:00",94,86.4,86.4,26.1
"2021-07-11 12:30:00",95,9.21,9.21,26.59
"2021-07-11 13:00:00",96,29.87,29.87,22.14
"2021-07-11 13:30:00",97,116,116,20.66
"2021-07-11 14:00:00",98,557.8,557.8,26.41
"2021-07-11 14:30:00",99,421.2,421.2,38.47
"2021-07-11 15:00:00",100,588.6,588.6,39.48
"2021-07-11 15:30:00",101,49.96,49.96,40.72
"2021-07-11 16:00:00",102,523.1,523.1,41.29
"2021-07-11 16:30:00",103,42.01,42.01,42.11
"2021-07-11 17:00:00",104,-13.42,-13.42,39.98
"2021-07-11 17:30:00",105,18.9,18.9,36.94
"2021-07-11 18:00:00",106,-17.16,-17.16,35.44
"2021-07-11 18:30:00",107,12.93,12.93,33.1
"2021-07-11 19:00:00",108,240.3,240.3,31.9
"2021-07-11 19:30:00",109,152.3,152.3,30.43
"2021-07-11 20:00:00",110,51.75,51.75,28.76
"2021-07-11 20:30:00",111,12.19,12.19,26.78
"2021-07-11 21:00:00",112,-54.25,-54.25,24.33
"2021-07-11 21:30:00",113,-59,-59,22.25
"2021-07-11 22:00:00",114,-70.97,-70.97,20.45
"2021-07-11 22:30:00",115,-68.48,-68.48,18.84
"2021-07-11 23:00:00",116,-67,-67,17.56
"2021-07-11 23:30:00",117,-65.76,-65.76,16.54
"2021-07-12 00:00:00",118,-66.27,-66.27,15.77
"2021-07-12 00:30:00",119,-66.52,-66.52,15.14
"2021-07-12 01:00:00",120,-67.02,-67.02,14.54
"2021-07-12 01:30:00",121,-65.53,-65.53,14.01
"2021-07-12 02:00:00",122,-66.04,-66.04,13.54
"2021-07-12 02:30:00",123,-64.8,-64.8,13.21
"2021-07-12 03:00:00",124,-63.81,-63.81,12.84
"2021-07-12 03:30:00",125,-66.3,-66.3,12.44
"2021-07-12 04:00:00",126,-62.56,-62.56,12.12
"2021-07-12 04:30:00",127,-68.79,-68.79,11.82
"2021-07-12 05:00:00",128,-63.8,-63.8,11.52
"2021-07-12 05:30:00",129,-62.31,-62.31,11.24
"2021-07-12 06:00:00",130,-60.82,-60.82,10.99
"2021-07-12 06:30:00",131,-51.35,-51.35,10.86
"2021-07-12 07:00:00",132,-44.37,-44.37,10.86
"2021-07-12 07:30:00",133,-36.64,-36.64,10.9
