TOA5,CR1000_newrad,63335,CPU:program_2022_newer_sensor.CR1,Table1,,,,,,
TIMESTAMP,RECORD,NR_Wm2,NR_Wm2_Avg,,,,,,,
TS,RN,W/meter^2,W/meter^2,,,,,,,
,,Smp,Avg,,,,,,,
2022-04-18 12:00,0,369.4,293.6,,2022-04-18 12:00,0,408.3,408.3,,38.9
2022-04-18 13:00,1,399.1,391,,2022-04-18 13:00,1,423.2,423.8,,24.1
2022-04-18 14:00,2,420.4,425.5,,2022-04-18 14:00,2,429.3,441.5,,8.9
2022-04-18 15:00,3,412.9,405.9,,2022-04-18 15:00,3,400.2,405.5,,12.7
2022-04-18 16:00,4,160.7,216.9,,2022-04-18 16:00,4,164.6,222.1,,3.9
2022-04-18 17:00,5,96.9,124.2,,2022-04-18 17:00,5,100.7,126.8,,3.8
2022-04-18 18:00,6,54.59,67.06,,2022-04-18 18:00,6,51.91,66.44,,2.68
2022-04-18 19:00,7,23.19,31.91,,2022-04-18 19:00,7,23.79,32.44,,0.6
2022-04-18 20:00,8,-11.72,-7.356,,2022-04-18 20:00,8,-11.05,-6.609,,0.67
2022-04-18 21:00,9,-28.68,-24.94,,2022-04-18 21:00,9,-28.12,-24.39,,0.56
2022-04-18 22:00,10,-51.64,-45.27,,2022-04-18 22:00,10,-51.44,-44.95,,0.2
2022-04-18 23:00,11,-35.18,-43.29,,2022-04-18 23:00,11,-33.89,-41.35,,1.29
2022-04-19 0:00,12,-14.22,-16.22,,2022-04-19 0:00,12,-14.9,-16.11,,0.68
2022-04-19 1:00,13,-17.22,-18.22,,2022-04-19 1:00,13,-15.86,-16.59,,1.36
2022-04-19 2:00,14,-20.71,-17.22,,2022-04-19 2:00,14,-19.71,-16.58,,1
2022-04-19 3:00,15,-45.67,-34.44,,2022-04-19 3:00,15,-44.23,-33.41,,1.44
2022-04-19 4:00,16,-13.73,-32.2,,2022-04-19 4:00,16,-12.98,-30.17,,0.75
2022-04-19 5:00,17,-15.23,-16.23,,2022-04-19 5:00,17,-14.43,-15.63,,0.8
2022-04-19 6:00,18,-25.96,-28.58,,2022-04-19 6:00,18,-25.01,-27.89,,0.95
2022-04-19 7:00,19,-6.74,-10.48,,2022-04-19 7:00,19,-5.771,-9.62,,0.969
2022-04-19 8:00,20,-10.98,-10.73,,2022-04-19 8:00,20,-7.694,-8.66,,3.286
2022-04-19 9:00,21,0,0.125,,2022-04-19 9:00,21,0,0.361,,0
2022-04-19 10:00,22,-7.738,-4.118,,2022-04-19 10:00,22,-7.933,-3.967,,0.195
2022-04-19 11:00,23,-27.45,-28.45,,2022-04-19 11:00,23,-27.41,-27.65,,0.04
2022-04-19 12:00,24,0.998,-5.741,,2022-04-19 12:00,24,0.481,-0.962,,0.517
2022-04-19 13:00,25,-30.45,-34.44,,2022-04-19 13:00,25,-42.31,-39.18,,11.86
2022-04-19 14:00,26,-38.43,-61.89,,2022-04-19 14:00,26,-31.97,-49.04,,6.46
2022-04-19 15:00,27,45.92,10.98,,2022-04-19 15:00,27,31.97,4.087,,13.95
2022-04-19 16:00,28,59.9,54.41,,2022-04-19 16:00,28,58.89,54.57,,1.01
2022-04-19 17:00,29,44.67,49.04,,2022-04-19 17:00,29,44.47,48.79,,0.2
2022-04-19 18:00,30,31.2,37.19,,2022-04-19 18:00,30,30.53,35.69,,0.67
2022-04-19 19:00,31,12.48,21.21,,2022-04-19 19:00,31,12.5,20.91,,0.02
2022-04-19 20:00,32,-11.48,-6.114,,2022-04-19 20:00,32,-11.06,-5.769,,0.42
2022-04-19 21:00,33,-23.96,-21.21,,2022-04-19 21:00,33,-23.08,-20.67,,0.88
2022-04-19 22:00,34,-25.71,-24.33,,2022-04-19 22:00,34,-25.48,-24.04,,0.23
2022-04-19 23:00,35,-19.97,-19.34,,2022-04-19 23:00,35,-20.2,-19.48,,0.23
2022-04-20 0:00,36,-16.23,-17.35,,2022-04-20 0:00,36,-14.43,-16.23,,1.8
2022-04-20 1:00,37,-5.991,-6.74,,2022-04-20 1:00,37,-5.771,-6.732,,0.22
