"TOA5","CR1000","CR1000","70315","CR1000.Std.28","CPU:estefania_test_radiometer.CR1","2458","RAD"
"TIMESTAMP","RECORD","NR_Wm2","NR_Wm2_Avg"
"TS","RN","W/meter^2","W/meter^2"
"","","Smp","Avg"
"2021-06-05 19:00:00",6732,31.27,31.27
"2021-06-05 20:00:00",6733,-9.08,6.052
"2021-06-05 21:00:00",6734,-61.21,-49.44
"2021-06-05 22:00:00",6735,-128.1,-114.9
"2021-06-05 23:00:00",6736,-95.2,-103.6
"2021-06-06 00:00:00",6737,-77.72,-69.31
"2021-06-06 01:00:00",6738,-62.24,-57.87
"2021-06-06 02:00:00",6739,-52.15,-55
"2021-06-06 03:00:00",6740,-64.25,-58.2
"2021-06-06 04:00:00",6741,-74.68,-64.76
"2021-06-06 05:00:00",6742,-70.65,-67.46
"2021-06-06 06:00:00",6743,-57.19,-70.32
"2021-06-06 07:00:00",6744,-20.19,-32.3
"2021-06-06 08:00:00",6745,-58.87,-11.77
"2021-06-06 09:00:00",6746,70.99,7.067
"2021-06-06 10:00:00",6747,96.5,94.7
"2021-06-06 11:00:00",6748,429.9,307.9
"2021-06-06 12:00:00",6749,223.6,561.4
"2021-06-06 13:00:00",6750,339.9,679
"2021-06-06 14:00:00",6751,281.7,207.8
"2021-06-06 15:00:00",6752,198,184.6
"2021-06-06 16:00:00",6753,156,160.2
"2021-06-06 17:00:00",6754,15.47,135
"2021-06-06 18:00:00",6755,49.77,23.88
"2021-06-06 19:00:00",6756,-9.08,38
"2021-06-06 20:00:00",6757,-57.51,-48.43
"2021-06-06 21:00:00",6758,-54.82,-61.89
"2021-06-06 22:00:00",6759,-47.43,-51.47
"2021-06-06 23:00:00",6760,-54.84,-52.15
"2021-06-07 00:00:00",6761,-50.8,-57.19
"2021-06-07 01:00:00",6762,-38.69,-40.87
"2021-06-07 02:00:00",6763,-42.05,-42.39
"2021-06-07 03:00:00",6764,-54.16,-49.45
"2021-06-07 04:00:00",6765,-64.93,-59.55
"2021-06-07 05:00:00",6766,-51.14,-54.5
"2021-06-07 06:00:00",6767,-35.33,-41.38
"2021-06-07 07:00:00",6768,7.401,-4.374
