TOA5,CR1000_newrad,63335,CPU:program_2022_newer_sensor.CR1
TIMESTAMP,RECORD,NR_Wm2,NR_Wm2_Avg
TS,RN,W/meter^2,W/meter^2
,,Smp,Avg
2022-04-18 12:00,0,369.4,293.6
2022-04-18 13:00,1,399.1,391
2022-04-18 14:00,2,420.4,425.5
2022-04-18 15:00,3,412.9,405.9
2022-04-18 16:00,4,160.7,216.9
2022-04-18 17:00,5,96.9,124.2
2022-04-18 18:00,6,54.59,67.06
2022-04-18 19:00,7,23.19,31.91
2022-04-18 20:00,8,-11.72,-7.356
2022-04-18 21:00,9,-28.68,-24.94
2022-04-18 22:00,10,-51.64,-45.27
2022-04-18 23:00,11,-35.18,-43.29
2022-04-19 0:00,12,-14.22,-16.22
2022-04-19 1:00,13,-17.22,-18.22
2022-04-19 2:00,14,-20.71,-17.22
2022-04-19 3:00,15,-45.67,-34.44
2022-04-19 4:00,16,-13.73,-32.2
2022-04-19 5:00,17,-15.23,-16.23
2022-04-19 6:00,18,-25.96,-28.58
2022-04-19 7:00,19,-6.74,-10.48
2022-04-19 8:00,20,-10.98,-10.73
2022-04-19 9:00,21,0,0.125
2022-04-19 10:00,22,-7.738,-4.118
2022-04-19 11:00,23,-27.45,-28.45
2022-04-19 12:00,24,0.998,-5.741
2022-04-19 13:00,25,-30.45,-34.44
2022-04-19 14:00,26,-38.43,-61.89
2022-04-19 15:00,27,45.92,10.98
2022-04-19 16:00,28,59.9,54.41
2022-04-19 17:00,29,44.67,49.04
2022-04-19 18:00,30,31.2,37.19
2022-04-19 19:00,31,12.48,21.21
2022-04-19 20:00,32,-11.48,-6.114
2022-04-19 21:00,33,-23.96,-21.21
2022-04-19 22:00,34,-25.71,-24.33
2022-04-19 23:00,35,-19.97,-19.34
2022-04-20 0:00,36,-16.23,-17.35
2022-04-20 1:00,37,-5.991,-6.74
2022-04-20 2:00,38,-3.495,-3.495
2022-04-20 3:00,39,-3.994,-3.744
2022-04-20 4:00,40,-4.244,-4.119
2022-04-20 5:00,41,-3.245,-3.869
2022-04-20 6:00,42,-3.994,-3.869
2022-04-20 7:00,43,-5.742,-4.369
2022-04-20 8:00,44,-20.47,-15.35
2022-04-20 9:00,45,-31.96,-28.71
2022-04-20 10:00,46,-37.2,-33.58
2022-04-20 11:00,47,-417.4,-250.6
2022-04-20 12:00,48,-163.2,-127.3
2022-04-20 13:00,49,141.8,122.7
2022-04-20 14:00,50,142.2,125.1
2022-04-20 15:00,51,92.3,132.2
2022-04-20 16:00,52,136.7,150.4
2022-04-20 17:00,53,87.3,90.3
2022-04-20 18:00,54,46.41,58.63
2022-04-20 19:00,55,9.98,27.94
2022-04-20 20:00,56,-11.23,-10.36
2022-04-20 21:00,57,-15.97,-15.35
2022-04-20 22:00,58,-20.96,-19.34
2022-04-20 23:00,59,-23.47,-23.46
2022-04-21 0:00,60,-27.71,-30.95
2022-04-21 1:00,61,-29.46,-26.96
2022-04-21 2:00,62,-40.94,-34.45
2022-04-21 3:00,63,-42.94,-35.58
2022-04-21 4:00,64,-54.94,-53.06
2022-04-21 5:00,65,-52.94,-53.19
2022-04-21 6:00,66,-49.95,-53.2
2022-04-21 7:00,67,-17.73,-26.48
2022-04-21 8:00,68,16.49,3.497
2022-04-21 9:00,69,67.42,40.95
2022-04-21 10:00,70,-5.492,35.95
2022-04-21 11:00,71,340.9,364.9
2022-04-21 12:00,72,505.2,416.9
2022-04-21 13:00,73,139.1,144.4
2022-04-21 14:00,74,115.7,159.5
2022-04-21 15:00,75,273.7,184.2
2022-04-21 16:00,76,365,289.7
2022-04-21 17:00,77,157.1,153.6
2022-04-21 18:00,78,60.83,75.53
2022-04-21 19:00,79,-18.95,2.244
2022-04-21 20:00,80,-6.984,-0.749
2022-04-21 21:00,81,-39.91,-37.66
2022-04-21 22:00,82,-49.65,-45.03
2022-04-21 23:00,83,-53.89,-54.64
2022-04-22 0:00,84,-45.67,-51.53
2022-04-22 1:00,85,-48.67,-48.54
2022-04-22 2:00,86,-17.97,-32.69
