Plot Title: estefania_test,,,,,,,
#,"Date Time, GMT-06:00","Rain, mm (LGR S/N: 10878888, SEN S/N: 523303, LBL: Rain gauge)","Temp, °C (LGR S/N: 10878888, SEN S/N: 10698881, LBL: Temp)","RH, % (LGR S/N: 10878888, SEN S/N: 10698881, LBL: Relative humidity )","Wind Speed, m/s (LGR S/N: 10878888, SEN S/N: 10796394, LBL: Vwind)","Gust Speed, m/s (LGR S/N: 10878888, SEN S/N: 10796394)","DewPt, °C (LGR S/N: 10878888, SEN S/N: 10698881)"
1,2020-04-22 12:25,,10.59,36.9,0,0.5,-3.5
2,2020-04-22 12:55,0,10.173,36.7,1.01,5.54,-4
3,2020-04-22 13:25,0,12.05,34.4,1.01,6.54,-3.2
4,2020-04-22 13:55,0,11.492,32.4,1.01,6.54,-4.5
5,2020-04-22 14:25,0,11.078,32.8,1.01,4.53,-4.7
6,2020-04-22 14:55,0,10.443,34.3,0.5,4.53,-4.6
7,2020-04-22 15:25,0,10.001,36.7,1.51,6.54,-4.1
8,2020-04-22 15:55,0,11.005,35,1.51,11.58,-3.9
9,2020-04-22 16:25,0,10.687,34.1,1.51,7.05,-4.5
10,2020-04-22 16:55,0,9.731,34.1,2.01,11.58,-5.3
11,2020-04-22 17:25,0,10.687,37.1,1.01,7.05,-3.4
12,2020-04-22 17:55,0,9.805,36.7,1.01,7.05,-4.3
13,2020-04-22 18:25,0,10.394,36.2,1.51,6.04,-3.9
14,2020-04-22 18:55,0,11.394,33.9,1.51,5.54,-3.9
15,2020-04-22 19:25,0,10.712,34.2,1.51,8.05,-4.4
16,2020-04-22 19:55,0,9.04,37.2,0.5,6.04,-4.8
17,2020-04-22 20:25,0,7.945,37.1,0.5,5.54,-5.8
18,2020-04-22 20:55,0,5.334,40.3,1.01,7.05,-7.1
19,2020-04-22 21:25,0,4.48,52.7,1.01,3.02,-4.3
20,2020-04-22 21:55,0,3.985,55.5,0.5,2.01,-4.1
21,2020-04-22 22:25,0,4.61,57,0.5,2.52,-3.2
22,2020-04-22 22:55,0,3.67,58.7,1.01,3.52,-3.7
23,2020-04-22 23:25,0,3.327,58.8,1.01,3.02,-4
24,2020-04-22 23:55,0,3.696,57,1.51,3.52,-4
25,2020-04-23 0:25,0,3.274,56.2,1.01,4.03,-4.6
26,2020-04-23 0:55,0,3.195,56.6,0.5,3.02,-4.6
27,2020-04-23 1:25,0,2.797,57.4,1.01,3.02,-4.8
28,2020-04-23 1:55,0,2.37,57.5,0.5,3.02,-5.2
29,2020-04-23 2:25,0,2.074,61.1,1.01,3.02,-4.6
30,2020-04-23 2:55,0,1.859,61.2,1.51,4.03,-4.8
31,2020-04-23 3:25,0,2.021,61.1,1.01,3.52,-4.7
32,2020-04-23 3:55,0,1.615,60,1.51,3.52,-5.3
33,2020-04-23 4:25,0,1.099,62.7,1.51,4.03,-5.2
34,2020-04-23 4:55,0,0.934,63,1.51,4.53,-5.3
35,2020-04-23 5:25,0,1.208,62.9,1.51,5.54,-5.1
36,2020-04-23 5:55,0,0.632,63.2,1.51,4.03,-5.6
37,2020-04-23 6:25,0,0.19,65.9,0.5,2.52,-5.4
38,2020-04-23 6:55,0,0.301,68.4,0.5,3.52,-4.8
39,2020-04-23 7:25,0,0.742,67.8,1.01,3.02,-4.5
40,2020-04-23 7:55,0,1.48,65.8,0,3.02,-4.2
41,2020-04-23 8:25,0,0.852,67.1,0,2.01,-4.6
42,2020-04-23 8:55,0,1.751,67.9,0,1.51,-3.5
43,2020-04-23 9:25,0,4.324,63.2,0,2.52,-2
44,2020-04-23 9:55,0,6.813,49.6,0,4.53,-3
45,2020-04-23 10:25,0,8.12,40.5,1.01,4.03,-4.5
46,2020-04-23 10:55,0,8.145,38.6,0.5,3.02,-5.1
47,2020-04-23 11:25,0,9.608,35.7,0.5,5.54,-4.8
48,2020-04-23 11:55,0,9.78,33.5,1.01,4.53,-5.5
49,2020-04-23 12:25,0,10.001,31.8,1.51,6.04,-6
50,2020-04-23 12:55,0,10.565,31,1.51,6.04,-5.8
51,2020-04-23 13:25,0,8.767,34.7,1.51,4.53,-6
52,2020-04-23 13:55,0,8.494,36.5,0.5,5.54,-5.5
53,2020-04-23 14:25,0,10.98,34.2,1.51,6.54,-4.2
54,2020-04-23 14:55,0,9.682,32,1.51,7.55,-6.2
55,2020-04-23 15:25,0,9.139,34.9,2.01,7.05,-5.5
56,2020-04-23 15:55,0,10.394,35.2,1.51,8.56,-4.3
57,2020-04-23 16:25,0,6.737,40.5,1.51,9.06,-5.7
58,2020-04-23 16:55,0,6.153,51.5,0.5,5.54,-3.1
59,2020-04-23 17:25,0,5.693,64.4,2.01,8.56,-0.5
60,2020-04-23 17:55,0,6.509,51.9,2.01,6.04,-2.7
61,2020-04-23 18:25,0,7.293,55.9,1.01,5.03,-0.9
62,2020-04-23 18:55,0,4.454,58.7,0.5,2.01,-2.9
63,2020-04-23 19:25,0,4.324,64.1,0,2.01,-1.9
64,2020-04-23 19:55,0,5.616,54.4,0.5,5.03,-2.9
65,2020-04-23 20:25,0,4.999,55.1,0.5,4.53,-3.3
66,2020-04-23 20:55,0,3.854,61.2,0,2.01,-2.9
67,2020-04-23 21:25,0,2.343,69.8,0.5,3.52,-2.6
68,2020-04-23 21:55,0,1.67,80.8,0.5,4.03,-1.3
69,2020-04-23 22:25,0,1.778,81.8,0.5,2.01,-1
70,2020-04-23 22:55,0,1.751,81,0,1.01,-1.2
71,2020-04-23 23:25,0,0.742,82.1,0,1.51,-2
72,2020-04-23 23:55,0,0.246,83.7,0.5,2.01,-2.2
73,2020-04-24 0:25,0,-0.255,83.9,0,2.01,-2.6
74,2020-04-24 0:55,0,-0.311,84,0,1.51,-2.7
75,2020-04-24 1:25,0,-0.088,79.1,0.5,3.02,-3.3
76,2020-04-24 1:55,0,-0.088,74.3,1.01,3.52,-4.1
77,2020-04-24 2:25,0,0.024,70.8,1.01,3.02,-4.6
78,2020-04-24 2:55,0,0.024,69.5,1.51,3.52,-4.9
79,2020-04-24 3:25,0,-0.143,67.5,1.01,3.52,-5.4
80,2020-04-24 3:55,0,-0.367,67.4,1.51,3.52,-5.7
81,2020-04-24 4:25,0,-0.873,66.6,1.51,3.52,-6.3
82,2020-04-24 4:55,0,-1.185,67.3,1.51,3.52,-6.5
83,2020-04-24 5:25,0,-1.327,67.7,1.51,3.52,-6.5
84,2020-04-24 5:55,0,-1.327,67.6,1.51,3.52,-6.5
85,2020-04-24 6:25,0,-1.327,66.5,1.01,3.52,-6.8
86,2020-04-24 6:55,0,-1.785,67.5,0.5,3.02,-7
87,2020-04-24 7:25,0,-1.958,69.1,0,1.51,-6.9
88,2020-04-24 7:55,0,-2.305,71.6,0,1.01,-6.7
89,2020-04-24 8:25,0,-1.157,69.3,0,2.01,-6.1
90,2020-04-24 8:55,0,-0.76,68.1,0,2.01,-5.9
91,2020-04-24 9:25,0,2.155,59.7,0,1.51,-4.9
92,2020-04-24 9:55,0,4.168,46.4,0,3.02,-6.3
93,2020-04-24 10:25,0,5.898,38.6,0.5,5.03,-7.1
94,2020-04-24 10:55,0,6.611,35.1,1.01,4.53,-7.7
95,2020-04-24 11:25,0,7.695,32.2,0.5,4.03,-7.9
96,2020-04-24 11:55,0,7.77,30.8,1.01,5.54,-8.4
97,2020-04-24 12:25,0,9.287,29.8,1.01,5.03,-7.5
98,2020-04-24 12:55,0,9.163,28.1,1.01,5.03,-8.3
99,2020-04-24 13:25,0,9.509,28.3,1.51,5.03,-7.9
100,2020-04-24 13:55,0,10.271,27.9,1.51,7.05,-7.5
101,2020-04-24 14:25,0,11.029,26.7,1.01,5.03,-7.4
102,2020-04-24 14:55,0,11.734,25.6,1.01,4.53,-7.3
103,2020-04-24 15:25,0,11.346,25.5,1.01,5.54,-7.7
104,2020-04-24 15:55,0,11.613,25,1.01,8.56,-7.7
105,2020-04-24 16:25,0,12.098,25,1.01,7.05,-7.3
106,2020-04-24 16:55,0,11.54,24,1.51,8.05,-8.3
107,2020-04-24 17:25,0,11.54,23.1,2.01,9.06,-8.8
108,2020-04-24 17:55,0,12.074,23.1,1.51,8.56,-8.4
109,2020-04-24 18:25,0,11.88,23.4,1.51,6.54,-8.4
110,2020-04-24 18:55,0,11.346,23.7,1.51,7.05,-8.6
111,2020-04-24 19:25,0,10.638,24.6,1.51,8.56,-8.8
112,2020-04-24 19:55,0,9.682,25.6,1.51,7.55,-9.1
113,2020-04-24 20:25,0,7.82,31,0.5,5.54,-8.2
114,2020-04-24 20:55,0,6.23,38,0.5,4.03,-7
115,2020-04-24 21:25,0,4.063,40.5,1.01,4.53,-8.2
116,2020-04-24 21:55,0,3.801,46,1.01,3.52,-6.7
117,2020-04-24 22:25,0,3.116,49.7,1.01,4.03,-6.4
118,2020-04-24 22:55,0,2.903,51.7,0.5,3.02,-6.1
119,2020-04-24 23:25,0,4.402,52,0,3.02,-4.6
120,2020-04-24 23:55,0,3.406,48.4,0.5,2.52,-6.4
121,2020-04-25 0:25,0,6.813,44.9,1.01,5.54,-4.3
122,2020-04-25 0:55,0,6.153,36.9,1.01,6.54,-7.5
123,2020-04-25 1:25,0,6.051,37.7,1.01,4.53,-7.3
124,2020-04-25 1:55,0,6.357,37.1,1.51,6.04,-7.2
125,2020-04-25 2:25,0,6.077,36.8,1.01,6.54,-7.6
126,2020-04-25 2:55,0,4.973,37.2,1.01,7.05,-8.4
127,2020-04-25 3:25,0,4.272,43.5,0,6.04,-7
128,2020-04-25 3:55,0,5.385,42,0,3.02,-6.5
129,2020-04-25 4:25,0,3.88,45.8,0.5,3.52,-6.7
130,2020-04-25 4:55,0,1.371,53.2,0,2.52,-7.1
131,2020-04-25 5:25,0,1.208,55.6,0,2.52,-6.7
