"Plot Title: HOBO2"
"#","Date Time, GMT-06:00","Rain, mm (LGR S/N: 10743533, SEN S/N: 523303, LBL: Rain Gauge )","Temp, °C (LGR S/N: 10743533, SEN S/N: 10698881, LBL: Temperature)","RH, % (LGR S/N: 10743533, SEN S/N: 10698881, LBL: Relative Humidity)","Wind Speed, m/s (LGR S/N: 10743533, SEN S/N: 10796394, LBL: Anemometer)","Gust Speed, m/s (LGR S/N: 10743533, SEN S/N: 10796394, LBL: Anemometer)","DewPt, °C (LGR S/N: 10743533, SEN S/N: 10698881)"
1,05/11/21 02:00:00 PM,,6.712,86.800,0.00,2.52,4.7
2,05/11/21 02:30:00 PM,0.00,6.484,79.000,0.50,2.52,3.1
3,05/11/21 03:00:00 PM,0.00,8.295,67.300,0.00,1.01,2.6
4,05/11/21 03:30:00 PM,0.00,9.410,61.000,0.00,2.52,2.3
5,05/11/21 04:00:00 PM,0.00,9.312,59.000,0.50,2.52,1.7
6,05/11/21 04:30:00 PM,0.00,7.167,72.800,0.50,2.52,2.6
7,05/11/21 05:00:00 PM,0.60,6.408,85.100,0.50,2.01,4.1
8,05/11/21 05:30:00 PM,0.00,7.945,72.000,1.01,3.02,3.2
9,05/11/21 06:00:00 PM,0.00,6.661,84.400,0.00,2.52,4.2
10,05/11/21 06:30:00 PM,0.00,6.560,83.800,0.00,1.51,4.0
11,05/11/21 07:00:00 PM,0.00,6.661,77.400,0.50,3.52,3.0
12,05/11/21 07:30:00 PM,0.00,5.282,82.300,0.50,2.52,2.5
13,05/11/21 08:00:00 PM,0.00,4.895,82.900,0.50,3.02,2.2
14,05/11/21 08:30:00 PM,0.00,3.906,84.600,0.50,2.52,1.6
15,05/11/21 09:00:00 PM,0.00,3.248,86.300,0.50,2.52,1.2
16,05/11/21 09:30:00 PM,0.00,2.530,87.300,0.50,3.52,0.6
17,05/11/21 10:00:00 PM,0.00,1.994,88.300,0.50,2.52,0.3
18,05/11/21 10:30:00 PM,0.00,1.724,88.900,0.50,2.52,0.1
19,05/11/21 11:00:00 PM,0.00,1.317,89.500,0.50,3.02,-0.2
20,05/11/21 11:30:00 PM,0.00,1.153,90.100,0.00,2.01,-0.3
21,05/12/21 12:00:00 AM,0.00,0.632,91.000,0.00,2.52,-0.7
22,05/12/21 12:30:00 AM,0.00,0.439,91.600,0.00,2.52,-0.8
23,05/12/21 01:00:00 AM,0.00,0.079,92.000,0.50,2.01,-1.1
24,05/12/21 01:30:00 AM,0.00,0.163,91.900,0.50,2.52,-1.0
25,05/12/21 02:00:00 AM,0.00,-0.199,92.300,0.00,2.01,-1.3
26,05/12/21 02:30:00 AM,0.00,-0.339,92.800,0.00,2.01,-1.4
27,05/12/21 03:00:00 AM,0.00,-0.535,92.900,0.50,2.52,-1.5
28,05/12/21 03:30:00 AM,0.00,-0.535,92.800,0.00,2.01,-1.6
29,05/12/21 04:00:00 AM,0.00,-0.873,93.200,0.00,1.51,-1.8
30,05/12/21 04:30:00 AM,0.00,-0.845,93.200,0.00,2.01,-1.8
31,05/12/21 05:00:00 AM,0.00,-1.043,93.100,0.00,2.01,-2.0
32,05/12/21 05:30:00 AM,0.00,-1.213,93.000,0.50,2.01,-2.2
33,05/12/21 06:00:00 AM,0.00,-1.213,93.200,0.00,2.01,-2.2
34,05/12/21 06:30:00 AM,0.00,-1.242,93.100,0.00,2.01,-2.2
35,05/12/21 07:00:00 AM,0.00,-1.128,93.100,0.00,1.51,-2.1
36,05/12/21 07:30:00 AM,0.00,-1.015,92.900,0.00,2.01,-2.0
37,05/12/21 08:00:00 AM,0.00,-0.845,92.900,0.00,1.51,-1.9
38,05/12/21 08:30:00 AM,0.00,-0.535,93.100,0.00,1.51,-1.5
39,05/12/21 09:00:00 AM,0.00,0.797,90.700,0.00,1.51,-0.6
40,05/12/21 09:30:00 AM,0.00,3.274,80.000,0.00,1.51,0.2
41,05/12/21 10:00:00 AM,0.00,4.740,74.400,0.00,1.01,0.6
42,05/12/21 10:30:00 AM,0.00,8.245,63.900,0.00,1.51,1.8
43,05/12/21 11:00:00 AM,0.00,10.492,45.000,0.00,2.01,-0.9
44,05/12/21 11:30:00 AM,0.00,10.907,41.300,0.50,5.54,-1.7
45,05/12/21 12:00:00 PM,0.00,11.346,38.800,1.01,5.03,-2.2
46,05/12/21 12:30:00 PM,0.00,10.956,38.300,1.01,6.04,-2.7
47,05/12/21 01:00:00 PM,0.00,12.606,35.700,0.50,4.03,-2.2
48,05/12/21 01:30:00 PM,0.00,12.678,31.100,0.50,5.03,-4.0
49,05/12/21 02:00:00 PM,0.00,13.906,30.900,0.50,5.03,-3.0
50,05/12/21 02:30:00 PM,0.00,13.449,30.100,1.51,7.55,-3.7
51,05/12/21 03:00:00 PM,0.00,13.954,30.300,1.51,10.07,-3.2
52,05/12/21 03:30:00 PM,0.00,14.792,30.300,0.50,5.03,-2.5
53,05/12/21 04:00:00 PM,0.00,13.594,30.100,1.01,5.03,-3.6
54,05/12/21 04:30:00 PM,0.00,14.194,29.200,0.50,3.52,-3.5
55,05/12/21 05:00:00 PM,0.00,13.786,32.000,0.00,3.02,-2.6
56,05/12/21 05:30:00 PM,0.00,12.944,32.200,0.50,4.53,-3.3
57,05/12/21 06:00:00 PM,0.00,12.509,34.100,1.01,5.54,-2.9
58,05/12/21 06:30:00 PM,0.00,12.025,36.900,0.50,4.03,-2.2
59,05/12/21 07:00:00 PM,0.00,11.127,40.500,0.50,4.03,-1.8
60,05/12/21 07:30:00 PM,0.00,11.053,43.200,0.50,6.54,-1.0
61,05/12/21 08:00:00 PM,0.00,10.492,44.700,0.00,3.52,-1.0
62,05/12/21 08:30:00 PM,0.00,9.952,51.600,0.00,4.53,0.5
63,05/12/21 09:00:00 PM,0.00,9.139,53.900,0.00,2.01,0.3
64,05/12/21 09:30:00 PM,0.00,8.941,54.600,0.00,2.52,0.3
65,05/12/21 10:00:00 PM,0.00,7.945,60.900,0.00,2.01,0.9
66,05/12/21 10:30:00 PM,0.00,7.268,63.000,0.00,2.01,0.7
67,05/12/21 11:00:00 PM,0.00,7.091,63.500,0.00,2.01,0.6
68,05/12/21 11:30:00 PM,0.00,7.720,61.300,0.00,2.01,0.8
69,05/13/21 12:00:00 AM,0.00,7.945,61.200,0.00,2.01,0.9
70,05/13/21 12:30:00 AM,0.00,7.268,62.400,0.00,1.51,0.6
71,05/13/21 01:00:00 AM,0.00,6.661,66.900,0.00,2.01,1.0
72,05/13/21 01:30:00 AM,0.00,7.569,62.200,0.50,4.03,0.8
73,05/13/21 02:00:00 AM,0.00,7.995,60.400,0.50,4.03,0.8
74,05/13/21 02:30:00 AM,0.00,7.015,64.100,1.01,5.03,0.7
75,05/13/21 03:00:00 AM,0.00,5.488,69.700,0.00,2.52,0.4
76,05/13/21 03:30:00 AM,0.00,4.428,73.300,0.50,3.02,0.1
77,05/13/21 04:00:00 AM,0.00,3.827,75.800,0.50,2.52,-0.0
78,05/13/21 04:30:00 AM,0.00,3.801,76.200,0.50,3.02,0.0
79,05/13/21 05:00:00 AM,0.00,3.775,76.100,0.50,3.02,-0.0
80,05/13/21 05:30:00 AM,0.00,3.932,76.000,1.01,3.52,0.1
81,05/13/21 06:00:00 AM,0.00,4.011,75.700,0.50,3.52,0.1
82,05/13/21 06:30:00 AM,0.00,3.880,76.800,0.50,3.02,0.2
83,05/13/21 07:00:00 AM,0.00,4.792,74.000,0.50,3.52,0.6
84,05/13/21 07:30:00 AM,0.00,5.154,72.000,0.00,3.02,0.5
85,05/13/21 08:00:00 AM,0.00,4.714,76.100,0.00,2.01,0.9
86,05/13/21 08:30:00 AM,0.00,4.973,76.400,0.00,1.51,1.2
87,05/13/21 09:00:00 AM,0.00,6.128,73.500,0.00,0.50,1.8
88,05/13/21 09:30:00 AM,0.00,6.560,73.500,0.00,0.00,2.2
89,05/13/21 10:00:00 AM,0.00,6.484,72.800,0.00,1.01,2.0
90,05/13/21 10:30:00 AM,0.00,5.898,82.700,0.00,0.50,3.2
91,05/13/21 11:00:00 AM,0.00,5.949,82.300,0.00,0.00,3.2
92,05/13/21 11:30:00 AM,0.00,6.535,80.000,0.00,0.00,3.3
93,05/13/21 12:00:00 PM,0.00,7.368,77.200,0.00,0.00,3.6
94,05/13/21 12:30:00 PM,0.00,7.419,75.300,0.00,0.00,3.3
95,05/13/21 01:00:00 PM,0.00,7.720,73.900,0.00,1.01,3.4
96,05/13/21 01:30:00 PM,0.00,8.767,67.800,0.00,1.51,3.2
