Plot Title: HOBO2,,,,,,,
#,"Date Time, GMT-06:00","Rain, mm (LGR S/N: 10743533, SEN S/N: 523303, LBL: Rain Gauge )","Temp, °C (LGR S/N: 10743533, SEN S/N: 10698881, LBL: Temperature)","RH, % (LGR S/N: 10743533, SEN S/N: 10698881, LBL: Relative Humidity)","Wind Speed, m/s (LGR S/N: 10743533, SEN S/N: 10796394, LBL: Anemometer)","Gust Speed, m/s (LGR S/N: 10743533, SEN S/N: 10796394, LBL: Anemometer)","DewPt, °C (LGR S/N: 10743533, SEN S/N: 10698881)"
1,2021-05-11 14:00,,6.712,86.8,0,2.52,4.7
2,2021-05-11 14:30,0,6.484,79,0.5,2.52,3.1
3,2021-05-11 15:00,0,8.295,67.3,0,1.01,2.6
4,2021-05-11 15:30,0,9.41,61,0,2.52,2.3
5,2021-05-11 16:00,0,9.312,59,0.5,2.52,1.7
6,2021-05-11 16:30,0,7.167,72.8,0.5,2.52,2.6
7,2021-05-11 17:00,0.6,6.408,85.1,0.5,2.01,4.1
8,2021-05-11 17:30,0,7.945,72,1.01,3.02,3.2
9,2021-05-11 18:00,0,6.661,84.4,0,2.52,4.2
10,2021-05-11 18:30,0,6.56,83.8,0,1.51,4
11,2021-05-11 19:00,0,6.661,77.4,0.5,3.52,3
12,2021-05-11 19:30,0,5.282,82.3,0.5,2.52,2.5
13,2021-05-11 20:00,0,4.895,82.9,0.5,3.02,2.2
14,2021-05-11 20:30,0,3.906,84.6,0.5,2.52,1.6
15,2021-05-11 21:00,0,3.248,86.3,0.5,2.52,1.2
16,2021-05-11 21:30,0,2.53,87.3,0.5,3.52,0.6
17,2021-05-11 22:00,0,1.994,88.3,0.5,2.52,0.3
18,2021-05-11 22:30,0,1.724,88.9,0.5,2.52,0.1
19,2021-05-11 23:00,0,1.317,89.5,0.5,3.02,-0.2
20,2021-05-11 23:30,0,1.153,90.1,0,2.01,-0.3
21,2021-05-12 0:00,0,0.632,91,0,2.52,-0.7
22,2021-05-12 0:30,0,0.439,91.6,0,2.52,-0.8
23,2021-05-12 1:00,0,0.079,92,0.5,2.01,-1.1
24,2021-05-12 1:30,0,0.163,91.9,0.5,2.52,-1
25,2021-05-12 2:00,0,-0.199,92.3,0,2.01,-1.3
26,2021-05-12 2:30,0,-0.339,92.8,0,2.01,-1.4
27,2021-05-12 3:00,0,-0.535,92.9,0.5,2.52,-1.5
28,2021-05-12 3:30,0,-0.535,92.8,0,2.01,-1.6
29,2021-05-12 4:00,0,-0.873,93.2,0,1.51,-1.8
30,2021-05-12 4:30,0,-0.845,93.2,0,2.01,-1.8
31,2021-05-12 5:00,0,-1.043,93.1,0,2.01,-2
32,2021-05-12 5:30,0,-1.213,93,0.5,2.01,-2.2
33,2021-05-12 6:00,0,-1.213,93.2,0,2.01,-2.2
34,2021-05-12 6:30,0,-1.242,93.1,0,2.01,-2.2
35,2021-05-12 7:00,0,-1.128,93.1,0,1.51,-2.1
36,2021-05-12 7:30,0,-1.015,92.9,0,2.01,-2
37,2021-05-12 8:00,0,-0.845,92.9,0,1.51,-1.9
