Plot Title: HOBO2,,,,,,,
#,"Date Time, GMT-06:00","Rain, mm (LGR S/N: 10743533, SEN S/N: 523303, LBL: Rain Gauge )","Temp, °C (LGR S/N: 10743533, SEN S/N: 10698881, LBL: Temperature)","RH, % (LGR S/N: 10743533, SEN S/N: 10698881, LBL: Relative Humidity)","Wind Speed, m/s (LGR S/N: 10743533, SEN S/N: 10796394, LBL: Anemometer)","Gust Speed, m/s (LGR S/N: 10743533, SEN S/N: 10796394, LBL: Anemometer)","DewPt, °C (LGR S/N: 10743533, SEN S/N: 10698881)"
11253,2001-01-22 0:00,0,-23.943,78.5,0,0,-26.6
11254,2001-01-22 0:30,0,-23.356,77.4,0,0,-26.2
11255,2001-01-22 1:00,0,-24.488,76.6,0,5.54,-27.4
11256,2001-01-22 1:30,0,-22.32,73,0,6.54,-25.9
11257,2001-01-22 2:00,0,-19.377,68,0.5,8.56,-23.8
11258,2001-01-22 2:30,0,-23.198,78.6,0,0,-25.9
11259,2001-01-22 3:00,0,-23.889,78.9,0,0,-26.5
11260,2001-01-22 3:30,0,-23.781,79.2,0,0,-26.4
11261,2001-01-22 4:00,0,-23.943,78.3,0,0,-26.7
11262,2001-01-22 4:30,0,-19.149,74.1,0,6.04,-22.6
11263,2001-01-22 5:00,0,-17.901,72.9,0.5,7.55,-21.6
11264,2001-01-22 5:30,0,-17.683,74.1,1.01,10.57,-21.2
11265,2001-01-22 6:00,0,-18.164,73.4,0.5,7.55,-21.8
11266,2001-01-22 6:30,0,-18.967,72.4,0.5,8.56,-22.7
11267,2001-01-22 7:00,0,-17.683,74.2,0,6.04,-21.2
11268,2001-01-22 7:30,0,-16.618,70.9,1.01,15.1,-20.7
11269,2001-01-22 8:00,0,-18.12,77,3.02,13.59,-21.2
11270,2001-01-22 8:30,0,-16.243,79.6,0.5,8.05,-19
11271,2001-01-22 9:00,0,-16.786,78,2.01,11.07,-19.7
11272,2001-01-22 9:30,0,-16.119,76.3,1.01,9.56,-19.3
11273,2001-01-22 10:00,0,-14.471,73.7,3.02,12.08,-18.1
11274,2001-01-22 10:30,0,-13.965,73,3.52,14.09,-17.8
11275,2001-01-22 11:00,0,-13.39,72.6,3.52,15.1,-17.3
11276,2001-01-22 11:30,0,-15.144,72.7,3.52,14.09,-19
11277,2001-01-22 12:00,0,-13.126,71,3.02,13.59,-17.3
11278,2001-01-22 12:30,0,-12.196,68.9,3.02,15.1,-16.7
11279,2001-01-22 13:00,0,-12.233,66.8,2.01,12.58,-17.1
11280,2001-01-22 13:30,0,-11.686,68,2.01,14.09,-16.4
11281,2001-01-22 14:00,0,-11.469,68,1.01,12.58,-16.2
11282,2001-01-22 14:30,0,-9.885,63,0.5,12.58,-15.6
11283,2001-01-22 15:00,0,-9.989,59.2,0.5,10.07,-16.4
11284,2001-01-22 15:30,0,-10.546,62.1,1.51,11.07,-16.4
11285,2001-01-22 16:00,0,-10.197,62.5,1.51,11.07,-16
11286,2001-01-22 16:30,0,-9.713,61,1.01,11.07,-15.8
11287,2001-01-22 17:00,0,-9.576,65.1,1.01,7.55,-14.9
11288,2001-01-22 17:30,0,-9.439,64,1.01,9.06,-15
11289,2001-01-22 18:00,0,-9.919,61,0.5,10.07,-16
11290,2001-01-22 18:30,0,-8.898,59.9,1.51,10.07,-15.3
11291,2001-01-22 19:00,0,-8.597,56.6,0.5,8.56,-15.7
11292,2001-01-22 19:30,0,-7.771,54.4,1.01,12.08,-15.4
11293,2001-01-22 20:00,0,-6.962,53.9,0.5,9.56,-14.7
11294,2001-01-22 20:30,0,-6.357,52.4,1.01,11.58,-14.5
11295,2001-01-22 21:00,0,-5.48,52.7,0.5,7.55,-13.6
11296,2001-01-22 21:30,0,-5.172,50.4,1.01,9.06,-13.9
11297,2001-01-22 22:00,0,-5.079,50.4,0.5,10.07,-13.8
11298,2001-01-22 22:30,0,-6.042,52.6,0.5,8.05,-14.2
11299,2001-01-22 23:00,0,-6.674,53.4,0,4.53,-14.6
11300,2001-01-22 23:30,0,-5.979,53,0,6.04,-14
11301,2001-02-22 0:00,0,-6.105,55.2,0,6.54,-13.6
11302,2001-02-22 0:30,0,-6.42,56.3,0,5.03,-13.7
11303,2001-02-22 1:00,0,-6.01,55.9,0,4.53,-13.4
11304,2001-02-22 1:30,0,-6.547,57,0,5.54,-13.7
11305,2001-02-22 2:00,0,-7.836,58.7,0,6.54,-14.5
11306,2001-02-22 2:30,0,-8.066,60.6,0,3.52,-14.3
11307,2001-02-22 3:00,0,-8.697,60,0,5.54,-15.1
11308,2001-02-22 3:30,0,-8.831,61.1,0,2.01,-15
11309,2001-02-22 4:00,0,-9.269,60.8,0,3.02,-15.4
11310,2001-02-22 4:30,0,-9.269,62,0,0,-15.2
11311,2001-02-22 5:00,0,-5.449,58.7,0,1.51,-12.3
