,Corrected Water Potential (MPa)
2021-05-19 17:00:00,-0.2818859490290229
2021-05-19 17:30:00,-0.280330024745268
2021-05-19 18:00:00,-0.2805388591498369
2021-05-19 18:30:00,-0.2854816586496681
2021-05-19 19:00:00,-0.2946747395100052
2021-05-19 19:30:00,-0.3047397936366024
2021-05-19 20:00:00,-0.31241056563151715
2021-05-19 20:30:00,-0.31664353719180216
2021-05-19 21:00:00,-0.3182017258761549
2021-05-19 21:30:00,-0.3180971413974748
2021-05-19 22:00:00,-0.3168987769954405
2021-05-19 22:30:00,-0.3149642043902208
2021-05-19 23:00:00,-0.31254773051673224
2021-05-19 23:30:00,-0.3096086200519273
2021-05-20 00:00:00,-0.305845860037754
2021-05-20 00:30:00,-0.30112688741992216
2021-05-20 01:00:00,-0.2960365757234228
2021-05-20 01:30:00,-0.29192511104075947
2021-05-20 02:00:00,-0.2901706528693585
2021-05-20 02:30:00,-0.29142009585188194
2021-05-20 03:00:00,-0.29589247693918486
2021-05-20 03:30:00,-0.30443863825445855
2021-05-20 04:00:00,-0.3186793398967024
2021-05-20 04:30:00,-0.3393841622781094
2021-05-20 05:00:00,-0.3647006860671146
2021-05-20 05:30:00,-0.3905115834289606
2021-05-20 06:00:00,-0.41238353751319595
2021-05-20 06:30:00,-0.4264248614972482
2021-05-20 07:00:00,-0.42866572764847927
2021-05-20 07:30:00,-0.4159020115547984
2021-05-20 08:00:00,-0.3890005772886595
2021-05-20 08:30:00,-0.35425196698471656
2021-05-20 09:00:00,-0.3193950673596316
2021-05-20 09:30:00,-0.288832037712329
2021-05-20 10:00:00,-0.2637775792793016
2021-05-20 10:30:00,-0.24474311126556142
2021-05-20 11:00:00,-0.23116633694367092
2021-05-20 11:30:00,-0.22039137237944653
2021-05-20 12:00:00,-0.21001191655845688
2021-05-20 12:30:00,-0.20064978594520022
2021-05-20 13:00:00,-0.19486912786786004
2021-05-20 13:30:00,-0.19411207135112116
2021-05-20 14:00:00,-0.19777813312820552
2021-05-20 14:30:00,-0.2047870389443746
2021-05-20 15:00:00,-0.21495283369092974
2021-05-20 15:30:00,-0.22858689176708707
2021-05-20 16:00:00,-0.24506085683042875
2021-05-20 16:30:00,-0.26179455411898084
2021-05-20 17:00:00,-0.2746374946989376
2021-05-20 17:30:00,-0.2799040847310005
2021-05-20 18:00:00,-0.2769865239093613
2021-05-20 18:30:00,-0.2692525144705344
2021-05-20 19:00:00,-0.2621536033096153
2021-05-20 19:30:00,-0.26069517151895294
2021-05-20 20:00:00,-0.26864166046017784
2021-05-20 20:30:00,-0.28852699759326755
2021-05-20 21:00:00,-0.31997208171469155
2021-05-20 21:30:00,-0.35705380264808606
2021-05-20 22:00:00,-0.38886760999306297
2021-05-20 22:30:00,-0.40547936372468496
2021-05-20 23:00:00,-0.4050454664714376
2021-05-20 23:30:00,-0.39483718364225684
2021-05-21 00:00:00,-0.38482545485375963
2021-05-21 00:30:00,-0.3804549177630568
2021-05-21 01:00:00,-0.3808781201547282
2021-05-21 01:30:00,-0.38234161424068286
2021-05-21 02:00:00,-0.38257690545461037
2021-05-21 02:30:00,-0.3830293864180046
2021-05-21 03:00:00,-0.3887989098423758
2021-05-21 03:30:00,-0.4065084812709276
2021-05-21 04:00:00,-0.4392472547874379
2021-05-21 04:30:00,-0.4812584422582922
2021-05-21 05:00:00,-0.5190128349953759
2021-05-21 05:30:00,-0.5397060516964564
2021-05-21 06:00:00,-0.5376268466128514
2021-05-21 06:30:00,-0.5120776166490696
2021-05-21 07:00:00,-0.4635642721209728
2021-05-21 07:30:00,-0.3956909387826574
2021-05-21 08:00:00,-0.3190827551943845
2021-05-21 08:30:00,-0.2499650203167476
2021-05-21 09:00:00,-0.20302456161219665
2021-05-21 09:30:00,-0.18453601450582965
2021-05-21 10:00:00,-0.19108878356053635
2021-05-21 10:30:00,-0.2140019372979613
2021-05-21 11:00:00,-0.2450099871519083
2021-05-21 11:30:00,-0.2786289010188178
2021-05-21 12:00:00,-0.3112123759380837
2021-05-21 12:30:00,-0.3399835044685668
2021-05-21 13:00:00,-0.3636867060813469
2021-05-21 13:30:00,-0.38359358652616526
2021-05-21 14:00:00,-0.40302787409586494
2021-05-21 14:30:00,-0.4255842660174418
2021-05-21 15:00:00,-0.4533833775257723
2021-05-21 15:30:00,-0.48590466867445253
2021-05-21 16:00:00,-0.5190125698220582
2021-05-21 16:30:00,-0.5449096918492384
2021-05-21 17:00:00,-0.5549513236454097
2021-05-21 17:30:00,-0.5449321916548449
2021-05-21 18:00:00,-0.5184545208111275
2021-05-21 18:30:00,-0.4846713701400066
2021-05-21 19:00:00,-0.45233816392123444
2021-05-21 19:30:00,-0.4258340165352051
