,0
2022-04-28 17:30:00,
2022-04-28 18:00:00,
2022-04-28 18:30:00,
2022-04-28 19:00:00,
2022-04-28 19:30:00,
2022-04-28 20:00:00,
2022-04-28 20:30:00,
2022-04-28 21:00:00,
2022-04-28 21:30:00,
2022-04-28 22:00:00,-1.1866845593597835
2022-04-28 22:30:00,-0.9720290840711826
2022-04-28 23:00:00,-0.7912483216951239
2022-04-28 23:30:00,-0.6608338218134433
2022-04-29 00:00:00,-0.5790176792703065
2022-04-29 00:30:00,-0.5069226037446183
2022-04-29 01:00:00,-0.440439125131629
2022-04-29 01:30:00,-0.42911353667016455
2022-04-29 02:00:00,-0.641768709181171
2022-04-29 02:30:00,-1.1125497169294303
2022-04-29 03:00:00,-1.4763623051082042
2022-04-29 03:30:00,-1.5913457042554666
2022-04-29 04:00:00,-1.523402700267085
2022-04-29 04:30:00,-1.2683845841223311
2022-04-29 05:00:00,-1.1401105792552544
2022-04-29 05:30:00,-1.2220197603757128
2022-04-29 06:00:00,-1.3175971403860003
2022-04-29 06:30:00,-1.271106730832802
2022-04-29 07:00:00,-1.1011838586730596
2022-04-29 07:30:00,
2022-04-29 08:00:00,
2022-04-29 08:30:00,
2022-04-29 09:00:00,
2022-04-29 09:30:00,
2022-04-29 10:00:00,
2022-04-29 10:30:00,
2022-04-29 11:00:00,
2022-04-29 11:30:00,
2022-04-29 12:00:00,
2022-04-29 12:30:00,
2022-04-29 13:00:00,
2022-04-29 13:30:00,
2022-04-29 14:00:00,
2022-04-29 14:30:00,
2022-04-29 15:00:00,
2022-04-29 15:30:00,
2022-04-29 16:00:00,
2022-04-29 16:30:00,
2022-04-29 17:00:00,
2022-04-29 17:30:00,
2022-04-29 18:00:00,
2022-04-29 18:30:00,
2022-04-29 19:00:00,
2022-04-29 19:30:00,
2022-04-29 20:00:00,
2022-04-29 20:30:00,
2022-04-29 21:00:00,
2022-04-29 21:30:00,
2022-04-29 22:00:00,-1.1373103732115721
2022-04-29 22:30:00,-0.9626300681593878
2022-04-29 23:00:00,-0.8302812219996188
2022-04-29 23:30:00,-0.7508101724925493
2022-04-30 00:00:00,-0.6849390856684243
2022-04-30 00:30:00,-0.6006942800227463
2022-04-30 01:00:00,-0.5198992814985374
2022-04-30 01:30:00,-0.47070647955324624
2022-04-30 02:00:00,-0.4482289393829474
2022-04-30 02:30:00,-0.4950877577156653
2022-04-30 03:00:00,-0.7954513508927276
2022-04-30 03:30:00,-1.2978199242004655
2022-04-30 04:00:00,-1.6140172452086374
2022-04-30 04:30:00,-1.7532199341026289
2022-04-30 05:00:00,-1.6720773816754735
2022-04-30 05:30:00,-1.3017578412515352
2022-04-30 06:00:00,-1.0404394022766248
2022-04-30 06:30:00,-0.9501588812536071
2022-04-30 07:00:00,-0.8415062710977328
2022-04-30 07:30:00,
2022-04-30 08:00:00,
2022-04-30 08:30:00,
2022-04-30 09:00:00,
2022-04-30 09:30:00,
2022-04-30 10:00:00,
2022-04-30 10:30:00,
2022-04-30 11:00:00,
2022-04-30 11:30:00,
2022-04-30 12:00:00,
2022-04-30 12:30:00,
2022-04-30 13:00:00,
2022-04-30 13:30:00,
2022-04-30 14:00:00,
2022-04-30 14:30:00,
2022-04-30 15:00:00,
2022-04-30 15:30:00,
2022-04-30 16:00:00,
2022-04-30 16:30:00,
2022-04-30 17:00:00,
2022-04-30 17:30:00,-0.384096613137716
2022-04-30 18:00:00,-0.4510789806575318
2022-04-30 18:30:00,-0.5126401935169754
2022-04-30 19:00:00,-0.5091752823391452
2022-04-30 19:30:00,-0.5055608636527622
2022-04-30 20:00:00,-0.5277662628390765
2022-04-30 20:30:00,-0.53006709530127
2022-04-30 21:00:00,-0.5074242947865337
2022-04-30 21:30:00,-0.4723620127779042
2022-04-30 22:00:00,-0.4360978642325935
2022-04-30 22:30:00,-0.4038153259537315
2022-04-30 23:00:00,-0.37505953631984923
2022-04-30 23:30:00,-0.3458731164605817
2022-05-01 00:00:00,-0.30336469569532715
2022-05-01 00:30:00,-0.257845535281233
2022-05-01 01:00:00,-0.2310203462638917
2022-05-01 01:30:00,-0.23667924466358514
2022-05-01 02:00:00,-0.272157612267738
2022-05-01 02:30:00,-0.30700560767763463
2022-05-01 03:00:00,-0.3099687878861856
2022-05-01 03:30:00,-0.29925441509374623
2022-05-01 04:00:00,-0.28038705757075966
2022-05-01 04:30:00,-0.23323336185508722
2022-05-01 05:00:00,-0.19235765930735818
2022-05-01 05:30:00,
2022-05-01 06:00:00,
2022-05-01 06:30:00,
2022-05-01 07:00:00,
2022-05-01 07:30:00,
2022-05-01 08:00:00,
2022-05-01 08:30:00,
2022-05-01 09:00:00,
2022-05-01 09:30:00,
2022-05-01 10:00:00,
2022-05-01 10:30:00,
2022-05-01 11:00:00,
2022-05-01 11:30:00,
2022-05-01 12:00:00,
2022-05-01 12:30:00,
2022-05-01 13:00:00,
2022-05-01 13:30:00,
2022-05-01 14:00:00,
2022-05-01 14:30:00,
2022-05-01 15:00:00,
2022-05-01 15:30:00,
2022-05-01 16:00:00,
2022-05-01 16:30:00,
2022-05-01 17:00:00,
2022-05-01 17:30:00,
2022-05-01 18:00:00,
2022-05-01 18:30:00,
2022-05-01 19:00:00,
2022-05-01 19:30:00,
2022-05-01 20:00:00,
2022-05-01 20:30:00,
2022-05-01 21:00:00,
2022-05-01 21:30:00,-0.9807111254222386
2022-05-01 22:00:00,-0.9201799941937362
2022-05-01 22:30:00,-0.8673784831931647
2022-05-01 23:00:00,-0.8161084017850448
2022-05-01 23:30:00,-0.7387447487423563
2022-05-02 00:00:00,-0.6421253311048687
2022-05-02 00:30:00,-0.5613309653301001
2022-05-02 01:00:00,-0.5248200417002447
2022-05-02 01:30:00,-0.4961527204012452
2022-05-02 02:00:00,-0.44186183779692945
2022-05-02 02:30:00,
2022-05-02 03:00:00,
2022-05-02 03:30:00,
2022-05-02 04:00:00,
2022-05-02 04:30:00,
2022-05-02 05:00:00,
2022-05-02 05:30:00,
2022-05-02 06:00:00,
2022-05-02 06:30:00,
2022-05-02 07:00:00,
2022-05-02 07:30:00,
2022-05-02 08:00:00,
2022-05-02 08:30:00,
2022-05-02 09:00:00,
2022-05-02 09:30:00,
2022-05-02 10:00:00,
2022-05-02 10:30:00,
2022-05-02 11:00:00,
2022-05-02 11:30:00,
2022-05-02 12:00:00,
2022-05-02 12:30:00,
2022-05-02 13:00:00,-0.4826285713570632
2022-05-02 13:30:00,-0.4288011156198127
2022-05-02 14:00:00,-0.41441036814587434
2022-05-02 14:30:00,-0.4357957450150158
2022-05-02 15:00:00,-0.5706576491871745
2022-05-02 15:30:00,-0.6959949141104315
2022-05-02 16:00:00,-0.7327643199028093
2022-05-02 16:30:00,-0.73846434069443
2022-05-02 17:00:00,
2022-05-02 17:30:00,
2022-05-02 18:00:00,
2022-05-02 18:30:00,
2022-05-02 19:00:00,
