,Corrected Water Potential (MPa)
2022-05-03 15:30:00,-4.8484542458617454
2022-05-03 16:00:00,-4.613069867413933
2022-05-03 16:30:00,-4.232089139272283
2022-05-03 17:00:00,-3.8241915094559187
2022-05-03 17:30:00,-3.4721063952535114
2022-05-03 18:00:00,-3.201383934856196
2022-05-03 18:30:00,-2.9993065900812654
2022-05-03 19:00:00,-2.8425887873631672
2022-05-03 19:30:00,-2.7128747464693066
2022-05-03 20:00:00,-2.5990429091557568
2022-05-03 20:30:00,-2.4944425961920347
2022-05-03 21:00:00,-2.3954332257890316
2022-05-03 21:30:00,-2.301934920644778
2022-05-03 22:00:00,-2.2171862695758815
2022-05-03 22:30:00,-2.145129757619908
2022-05-03 23:00:00,-2.0872677769149
2022-05-03 23:30:00,-2.0416065530229854
2022-05-04 00:00:00,-2.0039581037798495
2022-05-04 00:30:00,-1.9699983314505585
2022-05-04 01:00:00,-1.9367498803828487
2022-05-04 01:30:00,-1.9029875436045907
2022-05-04 02:00:00,-1.8686181168773224
2022-05-04 02:30:00,-1.833780914240912
2022-05-04 03:00:00,-1.7985800718540756
2022-05-04 03:30:00,-1.763541270980158
2022-05-04 04:00:00,-1.72992619603054
2022-05-04 04:30:00,-1.6991858216435347
2022-05-04 05:00:00,-1.6719817075619485
2022-05-04 05:30:00,-1.6478752601061024
2022-05-04 06:00:00,-1.6259746121714378
2022-05-04 06:30:00,-1.6055969667215728
2022-05-04 07:00:00,-1.5862740647659619
2022-05-04 07:30:00,-1.5676774444048376
2022-05-04 08:00:00,-1.5499394432072593
2022-05-04 08:30:00,-1.5337736152623374
2022-05-04 09:00:00,-1.5199886605464406
2022-05-04 09:30:00,-1.5090146216384641
2022-05-04 10:00:00,-1.5009553981448671
2022-05-04 10:30:00,-1.495797053816898
2022-05-04 11:00:00,-1.493433092131672
2022-05-04 11:30:00,-1.4936897254670825
2022-05-04 12:00:00,-1.496264111413413
2022-05-04 12:30:00,-1.500466371762608
2022-05-04 13:00:00,-1.5052440604596744
2022-05-04 13:30:00,-1.5097468626717403
2022-05-04 14:00:00,-1.51373183649028
2022-05-04 14:30:00,-1.5171903608585393
2022-05-04 15:00:00,-1.5197261938850755
2022-05-04 15:30:00,-1.5205343588735734
2022-05-04 16:00:00,-1.51890723072325
2022-05-04 16:30:00,-1.5146592526395084
2022-05-04 17:00:00,-1.5081547204891663
2022-05-04 17:30:00,-1.4999511060548045
2022-05-04 18:00:00,-1.4903176906582984
2022-05-04 18:30:00,-1.4790510974444566
2022-05-04 19:00:00,-1.4657025842906368
2022-05-04 19:30:00,-1.4497878873420889
2022-05-04 20:00:00,-1.430740603703068
2022-05-04 20:30:00,-1.4081397164490195
2022-05-04 21:00:00,-1.3825963988278351
2022-05-04 21:30:00,-1.3564106388633494
2022-05-04 22:00:00,-1.3327430834221343
2022-05-04 22:30:00,-1.3136384116991087
2022-05-04 23:00:00,-1.298824571378605
2022-05-04 23:30:00,-1.2863915110957174
2022-05-05 00:00:00,-1.274322315940183
2022-05-05 00:30:00,-1.2613752737745658
2022-05-05 01:00:00,-1.247219090551564
2022-05-05 01:30:00,-1.2325552561107735
2022-05-05 02:00:00,-1.219034874519426
2022-05-05 02:30:00,-1.2083240285529122
2022-05-05 03:00:00,-1.2008993290631889
2022-05-05 03:30:00,-1.1959087963552937
2022-05-05 04:00:00,-1.1922290195959493
2022-05-05 04:30:00,-1.1895075712284489
2022-05-05 05:00:00,-1.1882582127316421
2022-05-05 05:30:00,-1.1891013506758072
2022-05-05 06:00:00,-1.191905737020951
2022-05-05 06:30:00,-1.1956840219203901
2022-05-05 07:00:00,-1.1997491683005905
2022-05-05 07:30:00,-1.205536531365019
2022-05-05 08:00:00,-1.2173725179027282
2022-05-05 08:30:00,-1.2409445695622967
2022-05-05 09:00:00,-1.279921612504596
2022-05-05 09:30:00,-1.332564573601525
2022-05-05 10:00:00,-1.3905488767521368
2022-05-05 10:30:00,-1.4417382853813727
2022-05-05 11:00:00,-1.4760836618129758
2022-05-05 11:30:00,-1.490533547231539
2022-05-05 12:00:00,-1.4893476317208965
2022-05-05 12:30:00,-1.480606394883815
2022-05-05 13:00:00,-1.4721965813152904
2022-05-05 13:30:00,-1.469143096130194
2022-05-05 14:00:00,-1.4725215520814492
2022-05-05 14:30:00,-1.4800354330970866
2022-05-05 15:00:00,-1.488012858115638
2022-05-05 15:30:00,-1.4934700763834106
2022-05-05 16:00:00,-1.494927047537849
2022-05-05 16:30:00,-1.492169211942038
2022-05-05 17:00:00,-1.4858557322768022
2022-05-05 17:30:00,-1.4771288058429042
2022-05-05 18:00:00,-1.4669049888368209
2022-05-05 18:30:00,-1.455219573335079
2022-05-05 19:00:00,-1.4412469754590156
2022-05-05 19:30:00,-1.4239290471555839
2022-05-05 20:00:00,-1.4027391525582353
2022-05-05 20:30:00,-1.378278855806234
2022-05-05 21:00:00,-1.3525369403145884
2022-05-05 21:30:00,-1.3286066853431766
2022-05-05 22:00:00,-1.3097296357181343
2022-05-05 22:30:00,-1.2978171146317121
2022-05-05 23:00:00,-1.2922845544588675
2022-05-05 23:30:00,-1.2903044098361596
2022-05-06 00:00:00,-1.2884570741497767
2022-05-06 00:30:00,-1.2844203016868303
2022-05-06 01:00:00,-1.277601430304918
2022-05-06 01:30:00,-1.2687213719036872
2022-05-06 02:00:00,-1.2589597403761954
2022-05-06 02:30:00,-1.2493129852990326
2022-05-06 03:00:00,-1.240457510929702
2022-05-06 03:30:00,-1.2327746784667357
2022-05-06 04:00:00,-1.2261774050944483
2022-05-06 04:30:00,-1.2200371801031094
2022-05-06 05:00:00,-1.2136598326690617
2022-05-06 05:30:00,-1.2070045765500372
2022-05-06 06:00:00,-1.2009005744820391
2022-05-06 06:30:00,-1.1964912139649562
2022-05-06 07:00:00,-1.1944669318630388
2022-05-06 07:30:00,-1.1948669420608296
2022-05-06 08:00:00,-1.1976289203749122
2022-05-06 08:30:00,-1.2035166887394222
2022-05-06 09:00:00,-1.2148451896367052
2022-05-06 09:30:00,-1.2350789408302105
2022-05-06 10:00:00,-1.2664907291437553
2022-05-06 10:30:00,-1.3069277224917544
2022-05-06 11:00:00,-1.3488571119272041
2022-05-06 11:30:00,-1.3826063850198633
2022-05-06 12:00:00,-1.40181288266389
2022-05-06 12:30:00,-1.4068721008150924
2022-05-06 13:00:00,-1.4037609634544705
2022-05-06 13:30:00,-1.3995122219286804
2022-05-06 14:00:00,-1.398372196200962
2022-05-06 14:30:00,-1.4010662787586698
2022-05-06 15:00:00,-1.4062496268442728
2022-05-06 15:30:00,-1.4124312503641792
2022-05-06 16:00:00,-1.4191639127568887
2022-05-06 16:30:00,-1.426515159301181
2022-05-06 17:00:00,-1.4335863251591523
2022-05-06 17:30:00,-1.4386046005179578
2022-05-06 18:00:00,-1.4407484559962553
2022-05-06 18:30:00,-1.4408054633694813
2022-05-06 19:00:00,-1.4396116908801715
2022-05-06 19:30:00,-1.436603948075513
2022-05-06 20:00:00,-1.4301686308492465
2022-05-06 20:30:00,-1.418951404732784
2022-05-06 21:00:00,-1.402995110161393
2022-05-06 21:30:00,-1.3843127098087458
2022-05-06 22:00:00,-1.366428693060504
2022-05-06 22:30:00,-1.3526065705773138
2022-05-06 23:00:00,-1.3439364941209502
2022-05-06 23:30:00,-1.3390445073223427
2022-05-07 00:00:00,-1.3355941318520521
2022-05-07 00:30:00,-1.332053130165355
2022-05-07 01:00:00,-1.328291534406154
2022-05-07 01:30:00,-1.3248953685880402
2022-05-07 02:00:00,-1.322159960266414
2022-05-07 02:30:00,-1.3197835660798383
2022-05-07 03:00:00,-1.3173488496869763
2022-05-07 03:30:00,-1.314829196910823
2022-05-07 04:00:00,-1.3125423312207765
2022-05-07 04:30:00,-1.3107106740612473
2022-05-07 05:00:00,-1.3092045057503077
2022-05-07 05:30:00,-1.3077850692149797
2022-05-07 06:00:00,-1.3064461918026975
2022-05-07 06:30:00,-1.3052223460357844
2022-05-07 07:00:00,-1.3037662221757866
2022-05-07 07:30:00,-1.3017191462055606
2022-05-07 08:00:00,-1.2997865343384591
2022-05-07 08:30:00,-1.3001140656800614
2022-05-07 09:00:00,-1.3052811740994767
2022-05-07 09:30:00,-1.3168684532764612
2022-05-07 10:00:00,-1.3345211606584195
2022-05-07 10:30:00,-1.355557213830364
2022-05-07 11:00:00,-1.3756726902695486
2022-05-07 11:30:00,-1.391069453691965
2022-05-07 12:00:00,-1.4005197661009443
2022-05-07 12:30:00,-1.4055163884409252
2022-05-07 13:00:00,-1.408632063890054
2022-05-07 13:30:00,-1.4116621537926015
2022-05-07 14:00:00,-1.4148225490105908
2022-05-07 14:30:00,-1.4172555308516819
2022-05-07 15:00:00,-1.4183501392850204
2022-05-07 15:30:00,-1.4188088260799776
2022-05-07 16:00:00,-1.4202243420758385
2022-05-07 16:30:00,-1.4231758736157845
2022-05-07 17:00:00,-1.4259804762787844
2022-05-07 17:30:00,-1.4261110522905696
2022-05-07 18:00:00,-1.4228205620674097
2022-05-07 18:30:00,-1.4176197484963244
2022-05-07 19:00:00,-1.4121743180193704
2022-05-07 19:30:00,-1.406310047829189
2022-05-07 20:00:00,-1.39817807898185
2022-05-07 20:30:00,-1.385973451103962
2022-05-07 21:00:00,-1.369543034322478
2022-05-07 21:30:00,-1.3508978730577212
2022-05-07 22:00:00,-1.3335142985119457
2022-05-07 22:30:00,-1.320768706666431
2022-05-07 23:00:00,-1.3143951811641754
2022-05-07 23:30:00,-1.3139672691525468
2022-05-08 00:00:00,-1.317594971086808
2022-05-08 00:30:00,-1.3230957429216919
2022-05-08 01:00:00,-1.3289547078867177
2022-05-08 01:30:00,-1.3348113633720498
2022-05-08 02:00:00,-1.3412084802072854
2022-05-08 02:30:00,-1.3485486925462677
2022-05-08 03:00:00,-1.3559539256115059
2022-05-08 03:30:00,-1.3610191421158055
2022-05-08 04:00:00,-1.360569035029064
2022-05-08 04:30:00,-1.3514929050111648
2022-05-08 05:00:00,-1.3312104822578599
2022-05-08 05:30:00,-1.298680417308871
2022-05-08 06:00:00,-1.256772809911435
2022-05-08 06:30:00,-1.214224909072136
2022-05-08 07:00:00,-1.184129757696421
2022-05-08 07:30:00,-1.1786937230327754
2022-05-08 08:00:00,-1.2033846538392265
2022-05-08 08:30:00,-1.2539250845260068
2022-05-08 09:00:00,-1.3179720767467573
2022-05-08 09:30:00,-1.3804089859256996
2022-05-08 10:00:00,-1.4283550005684318
2022-05-08 10:30:00,-1.4536736133062915
2022-05-08 11:00:00,-1.454608183459131
2022-05-08 11:30:00,-1.4366878315166904
2022-05-08 12:00:00,-1.4098843169613744
2022-05-08 12:30:00,-1.3825097536880075
2022-05-08 13:00:00,-1.3575269979039712
2022-05-08 13:30:00,-1.3346582811761172
2022-05-08 14:00:00,-1.3147283755702184
2022-05-08 14:30:00,-1.3007520704333528
2022-05-08 15:00:00,-1.2952829409615778
2022-05-08 15:30:00,-1.297698875996245
2022-05-08 16:00:00,-1.3039217886749692
2022-05-08 16:30:00,-1.3083596429940993
2022-05-08 17:00:00,-1.3067422736903245
2022-05-08 17:30:00,-1.2981094973253609
2022-05-08 18:00:00,-1.2846297286472284
2022-05-08 18:30:00,-1.2697544399560674
2022-05-08 19:00:00,-1.2563302478142186
2022-05-08 19:30:00,-1.2454262172247454
2022-05-08 20:00:00,-1.2358559068267154
2022-05-08 20:30:00,-1.2248963039257574
2022-05-08 21:00:00,-1.210687820605878
2022-05-08 21:30:00,-1.1949123286404493
2022-05-08 22:00:00,-1.182655168879302
2022-05-08 22:30:00,-1.1785806218901158
2022-05-08 23:00:00,-1.183011533374104
2022-05-08 23:30:00,-1.1920433388245621
2022-05-09 00:00:00,-1.2010460531812357
2022-05-09 00:30:00,-1.2074842618530084
2022-05-09 01:00:00,-1.2110302165561262
2022-05-09 01:30:00,-1.2124099463805575
2022-05-09 02:00:00,-1.2126176936774027
2022-05-09 02:30:00,-1.212602940083347
2022-05-09 03:00:00,-1.213140783794934
2022-05-09 03:30:00,-1.214760205906648
2022-05-09 04:00:00,-1.2174183009549258
2022-05-09 04:30:00,-1.2200251328904612
2022-05-09 05:00:00,-1.2207159194119153
