,Corrected Water Potential (MPa)
2022-05-03 13:00:00,
2022-05-03 13:30:00,
2022-05-03 14:00:00,
2022-05-03 14:30:00,
2022-05-03 15:00:00,
2022-05-03 15:30:00,
2022-05-03 16:00:00,
2022-05-03 16:30:00,
2022-05-03 17:00:00,
2022-05-03 17:30:00,
2022-05-03 18:00:00,
2022-05-03 18:30:00,
2022-05-03 19:00:00,
2022-05-03 19:30:00,
2022-05-03 20:00:00,
2022-05-03 20:30:00,
2022-05-03 21:00:00,
2022-05-03 21:30:00,
2022-05-03 22:00:00,
2022-05-03 22:30:00,
2022-05-03 23:00:00,
2022-05-03 23:30:00,
2022-05-04 00:00:00,
2022-05-04 00:30:00,
2022-05-04 01:00:00,
2022-05-04 01:30:00,
2022-05-04 02:00:00,
2022-05-04 02:30:00,
2022-05-04 03:00:00,
2022-05-04 03:30:00,
2022-05-04 04:00:00,
2022-05-04 04:30:00,
2022-05-04 05:00:00,
2022-05-04 05:30:00,
2022-05-04 06:00:00,
2022-05-04 06:30:00,
2022-05-04 07:00:00,
2022-05-04 07:30:00,
2022-05-04 08:00:00,
2022-05-04 08:30:00,-1.538222708461076
2022-05-04 09:00:00,
2022-05-04 09:30:00,
2022-05-04 10:00:00,
2022-05-04 10:30:00,
2022-05-04 11:00:00,
2022-05-04 11:30:00,
2022-05-04 12:00:00,
2022-05-04 12:30:00,
2022-05-04 13:00:00,
2022-05-04 13:30:00,
2022-05-04 14:00:00,
2022-05-04 14:30:00,
2022-05-04 15:00:00,
2022-05-04 15:30:00,
2022-05-04 16:00:00,
2022-05-04 16:30:00,
2022-05-04 17:00:00,
2022-05-04 17:30:00,
2022-05-04 18:00:00,
2022-05-04 18:30:00,
2022-05-04 19:00:00,
2022-05-04 19:30:00,
2022-05-04 20:00:00,
2022-05-04 20:30:00,
2022-05-04 21:00:00,
2022-05-04 21:30:00,
2022-05-04 22:00:00,
2022-05-04 22:30:00,
2022-05-04 23:00:00,-1.538222708461076
2022-05-04 23:30:00,-1.538222708461076
2022-05-05 00:00:00,-1.538222708461076
2022-05-05 00:30:00,-1.538222708461076
2022-05-05 01:00:00,-2.140054718153061
2022-05-05 01:30:00,-2.776844458518801
2022-05-05 02:00:00,-3.3536923634981
2022-05-05 02:30:00,-3.8043631036766263
2022-05-05 03:00:00,-4.116139767116631
2022-05-05 03:30:00,-4.318159531744663
2022-05-05 04:00:00,-4.448897981671303
2022-05-05 04:30:00,-4.532390262104956
2022-05-05 05:00:00,-4.577658230815742
2022-05-05 05:30:00,-4.592442790061912
2022-05-05 06:00:00,-4.590641056139507
2022-05-05 06:30:00,-4.581902455093883
2022-05-05 07:00:00,-4.551321305588677
2022-05-05 07:30:00,-4.446911418865311
2022-05-05 08:00:00,-4.189507529250071
2022-05-05 08:30:00,-4.154534880315345
2022-05-05 09:00:00,
2022-05-05 09:30:00,
2022-05-05 10:00:00,
2022-05-05 10:30:00,
2022-05-05 11:00:00,
2022-05-05 11:30:00,
2022-05-05 12:00:00,
2022-05-05 12:30:00,
2022-05-05 13:00:00,
2022-05-05 13:30:00,
2022-05-05 14:00:00,
2022-05-05 14:30:00,
2022-05-05 15:00:00,
2022-05-05 15:30:00,
2022-05-05 16:00:00,
2022-05-05 16:30:00,
2022-05-05 17:00:00,
2022-05-05 17:30:00,
2022-05-05 18:00:00,
2022-05-05 18:30:00,
2022-05-05 19:00:00,
2022-05-05 19:30:00,-1.6405747602222767
2022-05-05 20:00:00,-1.6405747602222767
2022-05-05 20:30:00,-1.6405747602222767
2022-05-05 21:00:00,-1.6405747602222767
2022-05-05 21:30:00,-1.6405747602222767
2022-05-05 22:00:00,-2.4601161820336648
2022-05-05 22:30:00,-3.315542040788199
2022-05-05 23:00:00,-4.119562231380618
2022-05-05 23:30:00,-4.084589582445892
2022-05-06 00:00:00,-4.049616933511165
2022-05-06 00:30:00,
2022-05-06 01:00:00,
2022-05-06 01:30:00,
2022-05-06 02:00:00,
2022-05-06 02:30:00,
2022-05-06 03:00:00,
2022-05-06 03:30:00,
2022-05-06 04:00:00,
2022-05-06 04:30:00,
2022-05-06 05:00:00,
2022-05-06 05:30:00,
2022-05-06 06:00:00,
2022-05-06 06:30:00,
2022-05-06 07:00:00,
2022-05-06 07:30:00,
2022-05-06 08:00:00,
2022-05-06 08:30:00,
2022-05-06 09:00:00,-3.330500291741321
2022-05-06 09:30:00,-3.345458542694443
2022-05-06 10:00:00,-3.3604167936475653
2022-05-06 10:30:00,-3.375375044600687
2022-05-06 11:00:00,
2022-05-06 11:30:00,
2022-05-06 12:00:00,
2022-05-06 12:30:00,
2022-05-06 13:00:00,
2022-05-06 13:30:00,
2022-05-06 14:00:00,
2022-05-06 14:30:00,
2022-05-06 15:00:00,
2022-05-06 15:30:00,
2022-05-06 16:00:00,
2022-05-06 16:30:00,
2022-05-06 17:00:00,
2022-05-06 17:30:00,
2022-05-06 18:00:00,
2022-05-06 18:30:00,
2022-05-06 19:00:00,
2022-05-06 19:30:00,
2022-05-06 20:00:00,
2022-05-06 20:30:00,
2022-05-06 21:00:00,
2022-05-06 21:30:00,
2022-05-06 22:00:00,
2022-05-06 22:30:00,
2022-05-06 23:00:00,
2022-05-06 23:30:00,
2022-05-07 00:00:00,
2022-05-07 00:30:00,
2022-05-07 01:00:00,
2022-05-07 01:30:00,
2022-05-07 02:00:00,
2022-05-07 02:30:00,
2022-05-07 03:00:00,
2022-05-07 03:30:00,-3.1053554122735467
2022-05-07 04:00:00,-3.07038276333882
2022-05-07 04:30:00,-3.035410114404094
2022-05-07 05:00:00,-3.0004374654693673
2022-05-07 05:30:00,-2.9654648165346407
2022-05-07 06:00:00,-3.6221344598503267
2022-05-07 06:30:00,-4.127189875985731
2022-05-07 07:00:00,-4.466688737098169
2022-05-07 07:30:00,-4.661724381011925
2022-05-07 08:00:00,-4.396010456958951
2022-05-07 08:30:00,-4.1302965329059775
2022-05-07 09:00:00,
2022-05-07 09:30:00,
2022-05-07 10:00:00,
2022-05-07 10:30:00,
2022-05-07 11:00:00,
2022-05-07 11:30:00,
2022-05-07 12:00:00,
2022-05-07 12:30:00,
2022-05-07 13:00:00,
2022-05-07 13:30:00,
2022-05-07 14:00:00,
