
#SFM_R1-4
CFMT_2E2C
Serial Number:,SFM1I60S
APP Serial #:,02000FCA
APP Ver:,R1-9-3
COM Ver:,R2-6-7
Instrument Name:,EstefaniaSFM1_test 
Comment:,testing instruments 
Base-line asymmetry multiplier (outer):,1.0000,(inner):,1.0000
Base-line asymmetry offset (outer):,-1.0000,(inner):,-1.0000
Thermal diffusivity:,0.0025,(cm^2 s^-1)
Wounding coefficient:,1.7283
Vs factor:,1.00
Corrected sap flow sapwood area 1:,10.00 ,cm^2
Corrected sap flow sapwood area 2:,10.00 ,cm^2
Pulse Energy:,20 ,Joules
#DATA_START_44780 
Date ,Time ,Uncorrected Out (cm/hr),Uncorrected In (cm/hr),Corrected Out (cm/hr),Corrected In (cm/hr),Sap Flow Out (kg/hr),Sap Flow In (kg/hr),Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Message
26/06/2019,10:30:00,8.568,3.371,16.537,7.556,0.165,0.075,4.06,26.20,present ,8.02,78.00,
26/06/2019,11:00:01,7.736,3.159,15.099,7.188,0.150,0.071,4.11,26.20,present ,22.18,112.20,
26/06/2019,11:30:01,8.477,3.357,16.379,7.530,0.163,0.075,4.18,31.90,present ,20.50,109.50,
26/06/2019,12:00:01,9.367,3.597,17.918,7.946,0.179,0.079,4.19,23.60,present ,21.23,30.90,
26/06/2019,12:30:01,9.963,3.672,18.948,8.075,0.189,0.080,4.19,21.90,present ,21.14,28.80,
26/06/2019,13:00:01,10.296,3.760,19.524,8.226,0.195,0.082,4.19,21.00,present ,22.51,26.70,
26/06/2019,13:30:00,10.567,4.182,19.992,8.956,0.199,0.089,4.19,23.10,present ,19.87,29.40,
26/06/2019,14:00:00,11.182,4.056,21.054,8.738,0.210,0.087,4.19,24.70,present ,21.53,27.90,
26/06/2019,14:30:01,11.542,4.108,21.677,8.829,0.216,0.088,4.19,25.40,present ,21.52,27.30,
26/06/2019,15:00:01,11.307,3.986,21.270,8.617,0.212,0.086,4.19,25.50,present ,21.80,27.30,
26/06/2019,15:30:01,11.124,3.993,20.955,8.630,0.209,0.086,4.19,24.70,present ,20.75,27.90,
26/06/2019,16:00:01,10.773,4.040,20.348,8.711,0.203,0.087,4.19,24.20,present ,20.33,28.80,
26/06/2019,16:30:01,10.532,3.757,19.930,8.223,0.199,0.082,4.19,23.70,present ,20.01,29.10,
26/06/2019,17:00:00,10.393,3.801,19.691,8.297,0.196,0.082,4.19,25.60,present ,20.97,28.80,
26/06/2019,17:30:00,6.491,3.797,12.948,8.290,0.129,0.082,4.19,26.30,present ,21.02,27.30,
26/06/2019,18:00:01,7.704,3.615,15.044,7.977,0.150,0.079,4.19,21.40,present ,20.88,26.70,
26/06/2019,18:30:00,7.017,2.972,13.856,6.865,0.138,0.068,4.17,18.20,present ,0.00,0.00,
26/06/2019,19:00:00,8.387,2.631,16.225,6.275,0.162,0.062,4.19,20.40,present ,20.94,30.60,
26/06/2019,19:30:00,4.183,2.633,8.958,6.279,0.089,0.062,4.19,27.90,present ,7.98,86.10,
26/06/2019,20:00:00,6.385,2.762,12.764,6.502,0.127,0.065,4.19,24.80,present ,7.39,61.20,
26/06/2019,20:30:00,5.097,2.675,10.537,6.351,0.105,0.063,4.18,27.90,present ,6.28,41.40,
26/06/2019,21:00:00,5.727,2.588,11.627,6.202,0.116,0.062,4.17,18.50,present ,0.00,0.00,
26/06/2019,21:30:00,4.010,2.495,8.659,6.041,0.086,0.060,4.16,14.80,present ,0.00,0.00,
26/06/2019,22:00:01,3.614,2.428,7.975,5.925,0.079,0.059,4.15,12.70,not present ,0.00,0.00,
26/06/2019,22:30:00,3.337,2.414,7.495,5.901,0.074,0.059,4.14,11.80,not present ,0.00,0.00,
26/06/2019,23:00:01,4.587,2.461,9.656,5.982,0.096,0.059,4.13,11.30,not present ,0.00,0.00,
26/06/2019,23:30:01,3.419,2.414,7.638,5.901,0.076,0.059,4.12,11.00,not present ,0.00,0.00,
27/06/2019,00:00:00,3.227,2.411,7.306,5.896,0.073,0.058,4.11,11.10,not present ,0.00,0.00,
27/06/2019,00:30:00,3.709,2.349,8.140,5.789,0.081,0.057,4.10,11.20,not present ,0.00,0.00,
27/06/2019,01:00:00,2.920,2.302,6.775,5.707,0.067,0.057,4.09,10.80,not present ,0.00,0.00,
27/06/2019,01:30:00,2.907,2.279,6.753,5.668,0.067,0.056,4.08,10.70,not present ,0.00,0.00,
27/06/2019,02:00:00,2.497,2.242,6.044,5.603,0.060,0.056,4.07,10.90,not present ,0.00,0.00,
27/06/2019,02:30:00,2.636,2.168,6.285,5.476,0.062,0.054,4.07,10.60,not present ,0.00,0.00,
27/06/2019,03:00:00,2.042,2.189,5.258,5.512,0.052,0.055,4.06,10.40,not present ,0.00,0.00,
27/06/2019,03:30:01,1.742,2.197,4.739,5.527,0.047,0.055,4.06,10.20,not present ,0.00,0.00,
27/06/2019,04:00:00,1.796,2.212,4.832,5.552,0.048,0.055,4.05,10.10,not present ,0.00,0.00,
27/06/2019,04:30:01,1.908,2.159,5.027,5.459,0.050,0.054,4.04,10.10,not present ,0.00,0.00,
27/06/2019,05:00:01,1.711,2.155,4.686,5.453,0.046,0.054,4.03,9.80,not present ,0.00,0.00,
27/06/2019,05:30:01,2.135,2.198,5.418,5.528,0.054,0.055,4.01,9.89,not present ,0.00,0.00,
27/06/2019,06:00:01,1.644,2.108,4.569,5.373,0.045,0.053,3.99,10.30,not present ,0.00,0.00,
27/06/2019,06:30:01,0.392,2.109,2.406,5.374,0.024,0.053,3.98,10.30,not present ,0.00,0.00,
27/06/2019,07:00:01,-0.226,2.104,1.336,5.365,0.013,0.053,3.97,9.89,present ,0.00,0.00,
27/06/2019,07:30:00,2.173,2.088,5.484,5.338,0.054,0.053,3.96,10.90,present ,0.00,0.00,
27/06/2019,08:00:01,0.676,1.993,2.896,5.173,0.028,0.051,3.96,12.10,present ,0.00,0.00,
27/06/2019,08:30:01,0.364,2.025,2.358,5.229,0.023,0.052,3.97,14.00,present ,7.11,56.70,
27/06/2019,09:00:00,1.614,2.057,4.519,5.284,0.045,0.052,3.95,12.90,present ,0.00,0.00,
27/06/2019,09:30:01,0.693,2.105,2.927,5.367,0.029,0.053,3.95,12.50,present ,0.00,0.00,
27/06/2019,10:00:00,1.681,2.171,4.633,5.480,0.046,0.054,3.95,14.10,present ,0.00,0.00,
27/06/2019,10:30:01,1.348,2.164,4.058,5.468,0.040,0.054,3.94,12.40,present ,0.00,0.00,
27/06/2019,11:00:00,1.314,2.100,3.999,5.358,0.039,0.053,3.95,14.40,present ,6.93,51.30,
27/06/2019,11:30:00,2.149,2.130,5.443,5.410,0.054,0.054,3.97,18.10,present ,7.33,61.80,
27/06/2019,12:00:00,1.577,2.072,4.454,5.309,0.044,0.053,3.96,16.40,present ,6.98,54.00,
27/06/2019,12:30:00,2.582,2.256,6.192,5.628,0.061,0.056,3.98,18.79,present ,7.23,58.50,
27/06/2019,13:00:01,2.066,2.195,5.299,5.523,0.052,0.055,3.99,18.20,present ,7.45,63.30,
27/06/2019,13:30:01,1.475,2.158,4.279,5.458,0.042,0.054,3.97,14.10,present ,0.00,0.00,
27/06/2019,14:00:01,0.345,2.123,2.324,5.397,0.023,0.053,3.97,14.70,present ,6.45,45.30,
27/06/2019,14:30:01,1.531,2.101,4.375,5.360,0.043,0.053,3.97,14.80,present ,0.00,0.00,
27/06/2019,15:00:01,1.671,2.141,4.617,5.429,0.046,0.054,3.96,13.40,present ,0.00,0.00,
