
#SFM_R1-4
CFMT_2E2C
Serial Number:,SFM1I60Q
APP Serial #:,02000F38
APP Ver:,R1-9-3
COM Ver:,R2-6-7
Instrument Name:,
Comment:,
Base-line asymmetry multiplier (outer):,1.0000,(inner):,1.0000
Base-line asymmetry offset (outer):,-1.0000,(inner):,-1.0000
Thermal diffusivity:,0.0025,(cm^2 s^-1)
Wounding coefficient:,1.7283
Vs factor:,1.00
Corrected sap flow sapwood area 1:,10.00 ,cm^2
Corrected sap flow sapwood area 2:,10.00 ,cm^2
Pulse Energy:,20 ,Joules
#DATA_START_44780 
Date ,Time ,Uncorrected Out (cm/hr),Uncorrected In (cm/hr),Corrected Out (cm/hr),Corrected In (cm/hr),Sap Flow Out (kg/hr),Sap Flow In (kg/hr),Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Message
22/08/2018,04:40:34,18.647,15.158,33.957,27.926,0.339,0.279,4.13,23.90,present ,USB ,USB ,

#SFM_R1-4
CFMT_2E2C
Serial Number:,SFM1I60Q
APP Serial #:,02000F38
APP Ver:,R1-9-3
COM Ver:,R2-6-7
Instrument Name:,
Comment:,
Base-line asymmetry multiplier (outer):,1.0000,(inner):,1.0000
Base-line asymmetry offset (outer):,-1.0000,(inner):,-1.0000
Thermal diffusivity:,0.0036,(cm^2 s^-1)
Wounding coefficient:,1.7283
Vs factor:,1.00
Corrected sap flow sapwood area 1:,10.00 ,cm^2
Corrected sap flow sapwood area 2:,10.00 ,cm^2
Pulse Energy:,20 ,Joules
#DATA_START_44780 
Date ,Time ,Uncorrected Out (cm/hr),Uncorrected In (cm/hr),Corrected Out (cm/hr),Corrected In (cm/hr),Sap Flow Out (kg/hr),Sap Flow In (kg/hr),Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Message
16/09/2020,02:49:12,24.238,23.125,62.813,60.041,0.628,0.600,3.91,25.80,present ,USB ,USB ,
16/09/2020,02:53:18,25.184,24.556,65.167,63.604,0.651,0.636,3.92,26.40,present ,USB ,USB ,
25/09/2020,13:00:00,7.779,-0.961,21.848,0.094,0.218,0.000,4.16,17.60,present ,25.64,32.09,
25/09/2020,13:30:01,8.750,-0.868,24.265,0.327,0.242,0.003,4.17,19.90,present ,27.82,30.00,
25/09/2020,14:00:01,8.740,-0.828,24.241,0.427,0.242,0.004,4.17,20.10,present ,28.52,29.40,
25/09/2020,14:30:01,8.206,-0.885,22.913,0.286,0.229,0.002,4.18,19.29,present ,26.37,30.30,
25/09/2020,15:00:01,7.715,-1.022,21.690,-0.056,0.216,0.000,4.18,18.70,present ,26.22,30.00,
25/09/2020,15:30:01,6.961,-0.951,19.814,0.120,0.198,0.001,4.19,18.40,present ,26.11,29.10,
25/09/2020,16:00:01,6.252,-1.069,18.050,-0.173,0.180,-0.001,4.19,17.60,present ,26.07,28.20,
25/09/2020,16:30:00,6.434,-1.016,18.501,-0.041,0.185,0.000,4.19,18.79,present ,26.70,28.20,
25/09/2020,17:00:01,7.165,-1.168,20.320,-0.418,0.203,-0.004,4.19,19.50,present ,26.31,27.60,
