
#SFM_R1-4
CFMT_2E2C
Serial Number:,SFM1J20M
APP Serial #:,02001114
APP Ver:,R1-9-4
COM Ver:,R2-6-7
Instrument Name:,Doug Fir SFM Upper Site ROOT
Comment:,
Base-line asymmetry multiplier (outer):,1.0000,(inner):,1.0000
Base-line asymmetry offset (outer):,-1.0000,(inner):,-1.0000
Thermal diffusivity:,0.0025,(cm^2 s^-1)
Wounding coefficient:,1.7283
Vs factor:,1.00
Corrected sap flow sapwood area 1:,10.00 ,cm^2
Corrected sap flow sapwood area 2:,10.00 ,cm^2
Pulse Energy:,20 ,Joules
#DATA_START_44780 
Date ,Time ,Uncorrected Out (cm/hr),Uncorrected In (cm/hr),Corrected Out (cm/hr),Corrected In (cm/hr),Sap Flow Out (kg/hr),Sap Flow In (kg/hr),Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Message
25/09/2020,17:30:00,-1.319,-5.507,-0.551,-7.790,-0.005,-0.077,4.01,32.09,present ,25.11,105.30,
25/09/2020,18:00:01,-1.509,-5.556,-0.880,-7.874,-0.008,-0.078,4.11,35.50,present ,25.04,105.60,
25/09/2020,18:30:01,-1.337,-5.575,-0.583,-7.907,-0.005,-0.079,4.16,25.10,present ,25.14,32.09,
25/09/2020,19:00:00,-1.626,-5.588,-1.083,-7.929,-0.010,-0.079,4.16,18.60,present ,25.03,31.80,
25/09/2020,19:30:00,-1.827,-5.506,-1.429,-7.787,-0.014,-0.077,4.17,17.00,present ,24.92,31.50,
25/09/2020,20:00:00,-1.845,-5.598,-1.460,-7.947,-0.014,-0.079,4.18,16.29,present ,24.85,31.20,
25/09/2020,20:30:01,-2.020,-5.621,-1.763,-7.986,-0.017,-0.079,4.18,15.70,present ,24.77,30.90,
25/09/2020,21:00:01,-2.261,-5.711,-2.180,-8.142,-0.021,-0.081,4.19,14.40,present ,24.70,30.60,
25/09/2020,21:30:00,-2.309,-5.667,-2.263,-8.067,-0.022,-0.080,4.19,13.70,present ,24.62,28.80,
25/09/2020,22:00:00,-2.551,-5.655,-2.681,-8.045,-0.026,-0.080,4.19,13.30,present ,24.58,28.50,
25/09/2020,22:30:00,-2.482,-5.612,-2.562,-7.971,-0.025,-0.079,4.19,12.90,present ,24.58,28.50,
25/09/2020,23:00:00,-2.731,-5.702,-2.991,-8.127,-0.029,-0.081,4.19,12.50,present ,24.54,28.50,
25/09/2020,23:30:01,-2.643,-5.603,-2.840,-7.956,-0.028,-0.079,4.19,12.80,present ,24.51,28.50,
26/09/2020,00:00:01,-2.643,-5.656,-2.840,-8.048,-0.028,-0.080,4.19,13.30,present ,24.51,28.20,
26/09/2020,00:30:01,-2.717,-5.738,-2.969,-8.188,-0.029,-0.081,4.19,13.10,present ,24.47,28.20,
26/09/2020,01:00:01,-2.766,-5.648,-3.052,-8.033,-0.030,-0.080,4.19,13.30,present ,24.43,28.20,
26/09/2020,01:30:01,-2.649,-5.705,-2.851,-8.132,-0.028,-0.081,4.19,13.60,present ,24.47,28.20,
26/09/2020,02:00:01,-2.690,-5.690,-2.921,-8.106,-0.029,-0.081,4.19,13.80,present ,24.43,28.20,
26/09/2020,02:30:01,-2.723,-5.660,-2.979,-8.054,-0.029,-0.080,4.19,13.90,present ,24.40,28.20,
26/09/2020,03:00:00,-2.582,-5.658,-2.734,-8.051,-0.027,-0.080,4.19,13.90,present ,24.36,28.20,
26/09/2020,03:30:01,-2.693,-5.693,-2.927,-8.112,-0.029,-0.081,4.19,13.80,present ,24.36,28.20,
26/09/2020,04:00:01,-2.641,-5.678,-2.837,-8.086,-0.028,-0.080,4.19,13.50,present ,24.33,28.20,
26/09/2020,04:30:01,-2.747,-5.655,-3.020,-8.045,-0.030,-0.080,4.19,13.30,present ,24.33,28.20,
26/09/2020,05:00:00,-2.597,-5.701,-2.760,-8.125,-0.027,-0.081,4.19,13.10,present ,24.29,28.20,
26/09/2020,05:30:00,-2.818,-5.724,-3.142,-8.165,-0.031,-0.081,4.19,12.70,present ,24.29,28.20,
26/09/2020,06:00:00,-2.812,-5.657,-3.132,-8.050,-0.031,-0.080,4.19,12.40,present ,24.26,28.20,
26/09/2020,06:30:00,-2.661,-5.662,-2.871,-8.058,-0.028,-0.080,4.19,12.40,present ,24.22,28.20,
26/09/2020,07:00:01,-2.718,-5.699,-2.969,-8.121,-0.029,-0.081,4.19,12.40,present ,24.22,28.50,
26/09/2020,07:30:01,-2.891,-5.681,-3.268,-8.090,-0.032,-0.080,4.19,12.20,present ,24.19,28.20,
26/09/2020,08:00:01,-2.721,-5.713,-2.974,-8.146,-0.029,-0.081,4.19,11.70,present ,24.19,28.20,
26/09/2020,08:30:00,-2.610,-5.656,-2.783,-8.048,-0.027,-0.080,4.19,12.30,present ,24.19,28.50,
26/09/2020,09:00:01,-2.413,-5.663,-2.442,-8.060,-0.024,-0.080,4.19,13.10,present ,24.19,28.50,
26/09/2020,09:30:00,-1.931,-5.650,-1.610,-8.037,-0.016,-0.080,4.19,13.70,present ,24.26,28.50,
26/09/2020,10:00:00,-1.594,-5.581,-1.026,-7.918,-0.010,-0.079,4.19,14.40,present ,24.40,28.20,
26/09/2020,10:30:00,-1.454,-5.537,-0.786,-7.842,-0.007,-0.078,4.19,14.80,present ,24.72,28.20,
26/09/2020,11:00:00,-1.015,-5.542,-0.027,-7.851,0.000,-0.078,4.19,16.40,present ,25.25,27.90,
26/09/2020,11:30:00,-0.870,-5.531,0.223,-7.831,0.002,-0.078,4.19,16.70,present ,25.28,27.90,
26/09/2020,12:00:00,-1.248,-5.560,-0.430,-7.882,-0.004,-0.078,4.19,17.70,present ,26.91,27.30,
26/09/2020,12:30:01,-1.718,-5.473,-1.241,-7.731,-0.012,-0.077,4.19,19.00,present ,26.13,27.60,
26/09/2020,13:00:00,-2.348,-5.506,-2.329,-7.787,-0.023,-0.077,4.19,19.79,present ,26.27,27.30,
26/09/2020,13:30:00,-0.496,-5.426,0.870,-7.650,0.008,-0.076,4.19,22.00,present ,26.62,27.00,
26/09/2020,14:00:01,-1.320,-5.297,-0.554,-7.426,-0.005,-0.074,4.19,28.00,present ,27.59,27.60,
26/09/2020,14:30:00,-1.048,-5.359,-0.082,-7.533,0.000,-0.075,4.19,27.70,present ,25.92,27.60,
26/09/2020,15:00:01,-1.383,-5.416,-0.663,-7.632,-0.006,-0.076,4.19,19.10,present ,25.66,26.10,
