
#SFM_R1-4
CFMT_2E2C
Serial Number:,SFM1J20N
APP Serial #:,02001244
APP Ver:,R1-9-4
COM Ver:,R2-6-7
Instrument Name:,
Comment:,
Base-line asymmetry multiplier (outer):,1.0000,(inner):,1.0000
Base-line asymmetry offset (outer):,-1.0000,(inner):,-1.0000
Thermal diffusivity:,0.0025,(cm^2 s^-1)
Wounding coefficient:,1.7283
Vs factor:,1.00
Corrected sap flow sapwood area 1:,10.00 ,cm^2
Corrected sap flow sapwood area 2:,10.00 ,cm^2
Pulse Energy:,20 ,Joules
#DATA_START_44780 
Date ,Time ,Uncorrected Out (cm/hr),Uncorrected In (cm/hr),Corrected Out (cm/hr),Corrected In (cm/hr),Sap Flow Out (kg/hr),Sap Flow In (kg/hr),Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Message
16/09/2020,02:57:11,32.280,47.565,57.518,83.935,0.575,0.839,3.91,23.30,present ,USB ,USB ,

#SFM_R1-4
CFMT_2E2C
Serial Number:,SFM1J20N
APP Serial #:,02001244
APP Ver:,R1-9-4
COM Ver:,R2-6-7
Instrument Name:,
Comment:,
Base-line asymmetry multiplier (outer):,1.0000,(inner):,1.0000
Base-line asymmetry offset (outer):,-1.0000,(inner):,-1.0000
Thermal diffusivity:,0.0025,(cm^2 s^-1)
Wounding coefficient:,1.7283
Vs factor:,0.50
Corrected sap flow sapwood area 1:,10.00 ,cm^2
Corrected sap flow sapwood area 2:,10.00 ,cm^2
Pulse Energy:,20 ,Joules
#DATA_START_44780 
Date ,Time ,Uncorrected Out (cm/hr),Uncorrected In (cm/hr),Corrected Out (cm/hr),Corrected In (cm/hr),Sap Flow Out (kg/hr),Sap Flow In (kg/hr),Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Message
16/09/2020,03:02:55,17.467,16.750,15.958,15.339,0.159,0.153,3.93,33.40,present ,18.70,142.80,
25/09/2020,13:00:00,10.082,5.994,9.577,6.044,0.095,0.060,4.02,24.30,present ,25.41,98.70,
25/09/2020,13:30:01,10.938,6.082,10.316,6.120,0.103,0.061,4.13,30.50,present ,27.28,92.70,
25/09/2020,14:00:01,11.075,5.980,10.435,6.031,0.104,0.060,4.18,24.00,present ,28.52,34.20,
25/09/2020,14:30:01,10.413,5.957,9.862,6.012,0.098,0.060,4.18,19.79,present ,26.12,26.10,
25/09/2020,15:00:01,9.850,5.978,9.376,6.030,0.093,0.060,4.18,16.79,present ,25.97,24.90,
25/09/2020,15:30:01,9.465,5.966,9.044,6.019,0.090,0.060,4.18,16.29,present ,25.90,24.90,
25/09/2020,16:00:00,8.886,5.960,8.543,6.015,0.085,0.060,4.18,15.90,present ,25.82,24.60,
25/09/2020,16:30:00,8.927,6.028,8.578,6.073,0.085,0.060,4.18,16.10,present ,26.46,24.00,
25/09/2020,17:00:00,9.500,5.998,9.073,6.047,0.090,0.060,4.18,16.20,present ,26.04,24.60,
25/09/2020,17:30:00,9.020,5.975,8.659,6.027,0.086,0.060,4.18,15.80,present ,25.79,24.30,
25/09/2020,18:00:01,8.809,5.967,8.477,6.021,0.084,0.060,4.18,15.50,present ,25.79,24.30,
25/09/2020,18:30:00,8.352,5.946,8.082,6.002,0.080,0.060,4.18,15.70,present ,25.61,24.60,
25/09/2020,19:00:00,7.708,5.888,7.525,5.952,0.075,0.059,4.18,15.10,present ,25.47,24.60,
25/09/2020,19:30:01,7.057,5.950,6.962,6.005,0.069,0.060,4.18,14.80,present ,25.29,24.30,
25/09/2020,20:00:01,6.248,5.802,6.263,5.878,0.062,0.058,4.18,14.70,present ,25.15,24.60,
25/09/2020,20:30:01,5.532,5.899,5.645,5.962,0.056,0.059,4.18,14.20,present ,25.01,24.60,
25/09/2020,21:00:00,5.431,5.837,5.557,5.908,0.055,0.059,4.18,13.30,present ,24.97,24.30,
25/09/2020,21:30:00,4.772,5.823,4.988,5.896,0.049,0.058,4.18,12.40,present ,24.94,24.60,
25/09/2020,22:00:01,4.516,5.809,4.767,5.884,0.047,0.058,4.18,12.30,present ,24.90,24.60,
25/09/2020,22:30:01,4.450,5.801,4.709,5.877,0.047,0.058,4.18,12.20,present ,24.90,24.30,
25/09/2020,23:00:00,4.217,5.701,4.508,5.790,0.045,0.057,4.18,11.60,present ,24.83,24.60,
25/09/2020,23:30:01,4.346,5.841,4.619,5.912,0.046,0.059,4.18,11.70,present ,24.80,24.60,
26/09/2020,00:00:01,4.383,5.749,4.652,5.832,0.046,0.058,4.18,12.80,present ,24.76,24.90,
