
#SFM_R1-4
CFMT_2E2C
Serial Number:,SFM1J20P
APP Serial #:,020010FB
APP Ver:,R1-9-4
COM Ver:,R2-6-7
Instrument Name:,
Comment:,
Base-line asymmetry multiplier (outer):,1.0000,(inner):,1.0000
Base-line asymmetry offset (outer):,-1.0000,(inner):,-1.0000
Thermal diffusivity:,0.0034,(cm^2 s^-1)
Wounding coefficient:,1.7283
Vs factor:,1.00
Corrected sap flow sapwood area 1:,10.00 ,cm^2
Corrected sap flow sapwood area 2:,10.00 ,cm^2
Pulse Energy:,20 ,Joules
#DATA_START_44780 
Date ,Time ,Uncorrected Out (cm/hr),Uncorrected In (cm/hr),Corrected Out (cm/hr),Corrected In (cm/hr),Sap Flow Out (kg/hr),Sap Flow In (kg/hr),Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Message
02/09/2019,12:30:00,,,,,,,3.66,28.40,present ,22.69,113.10, skipped: low power. 
02/09/2019,13:00:00,2.607,-0.912,8.479,0.204,0.084,0.002,3.75,33.30,present ,22.12,117.30,
02/09/2019,13:30:00,2.793,-0.850,8.917,0.352,0.089,0.003,3.80,33.50,present ,20.43,128.39,
02/09/2019,14:00:00,5.318,-0.774,14.852,0.531,0.148,0.005,3.81,35.70,present ,21.68,120.30,
02/09/2019,14:30:00,5.480,-0.788,15.231,0.496,0.152,0.004,3.82,37.00,present ,20.73,126.30,
02/09/2019,15:00:00,5.882,-0.792,16.176,0.487,0.161,0.004,3.86,36.80,present ,22.60,115.50,
02/09/2019,15:30:01,6.612,-0.774,17.892,0.529,0.178,0.005,3.92,37.09,present ,21.88,119.40,
02/09/2019,16:00:00,7.159,-0.707,19.177,0.687,0.191,0.006,3.97,38.50,present ,21.44,121.80,
02/09/2019,16:30:00,7.077,-0.713,18.985,0.672,0.189,0.006,4.04,39.40,present ,21.01,125.10,
02/09/2019,17:00:00,7.272,-0.798,19.443,0.473,0.194,0.004,4.08,30.30,present ,8.14,93.00,
02/09/2019,17:30:00,7.361,-0.767,19.654,0.547,0.196,0.005,4.16,38.09,present ,21.62,117.30,
02/09/2019,18:00:00,6.643,-0.712,17.966,0.675,0.179,0.006,4.19,29.10,present ,21.75,33.59,
02/09/2019,18:30:00,5.420,-0.816,15.091,0.432,0.150,0.004,4.19,26.30,present ,21.87,30.60,
02/09/2019,19:00:01,3.975,-0.771,11.693,0.537,0.116,0.005,4.18,21.20,present ,7.21,65.40,
02/09/2019,19:30:01,3.019,-0.801,9.447,0.466,0.094,0.004,4.17,18.10,present ,0.00,0.00,
02/09/2019,20:00:01,2.467,-0.899,8.149,0.236,0.081,0.002,4.15,15.80,present ,0.00,0.00,
