#SFM_R1-4,,,,,,,,,,,,,
CFMT_2E2C,,,,,,,,,,,,,
Serial Number:,SFM1K308,,,,,,,,,,,,
APP Serial #:,2001378,,,,,,,,,,,,
APP Ver:,R1-9-4,,,,,,,,,,,,
COM Ver:,R2-6-7,,,,,,,,,,,,
Instrument Name:,,,,,,,,,,,,,
Comment:,,,,,,,,,,,,,
Base-line asymmetry multiplier (outer):,1,(inner):,1,,,,,,,,,,
Base-line asymmetry offset (outer):,-1,(inner):,-1,,,,,,,,,,
Thermal diffusivity:,0.0025,(cm^2 s^-1),,,,,,,,,,,
Wounding coefficient:,1.7283,,,,,,,,,,,,
Vs factor:,1,,,,,,,,,,,,
Corrected sap flow sapwood area 1:,10,cm^2,,,,,,,,,,,
Corrected sap flow sapwood area 2:,10,cm^2,,,,,,,,,,,
Pulse Energy:,20,Joules,,,,,,,,,,,
#DATA_START_44780 ,,,,,,,,,,,,,
Date ,Time ,Uncorrected Out (cm/hr),Uncorrected In (cm/hr),Corrected Out (cm/hr),Corrected In (cm/hr),Sap Flow Out (kg/hr),Sap Flow In (kg/hr),Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Message
11/6/2020,16:00:00,,,,,,,3.64,39.59,present ,25.37,103.2, skipped: low power. 
11/6/2020,16:30:01,5.13,-2.158,10.594,-2.003,0.105,-0.02,3.75,42.5,present ,25.75,100.8,
11/6/2020,17:00:01,5.933,-2.095,11.983,-1.893,0.119,-0.018,3.79,43.4,present ,26.95,96.6,
11/6/2020,17:30:00,5.132,-2.035,10.598,-1.789,0.105,-0.017,3.81,42.9,present ,25.54,101.7,
11/6/2020,18:00:00,4.285,-2.002,9.135,-1.732,0.091,-0.017,3.83,42.8,present ,25.51,102,
11/6/2020,18:30:01,4.575,-2.024,9.636,-1.77,0.096,-0.017,3.87,43.2,present ,28.82,90.6,
11/6/2020,19:00:01,4.673,-2.036,9.804,-1.791,0.098,-0.017,3.93,43.6,present ,25.64,101.4,
11/6/2020,19:30:01,4.219,-1.966,9.02,-1.669,0.09,-0.016,3.98,43,present ,26.13,99.6,
11/6/2020,20:00:01,3.467,-2.038,7.72,-1.795,0.077,-0.017,4.05,42.1,present ,25.33,102.3,
11/6/2020,20:30:00,2.555,-2.067,6.144,-1.845,0.061,-0.018,4.16,39.7,present ,25.32,100.5,
11/6/2020,21:00:01,1.842,-2.11,4.913,-1.918,0.049,-0.019,4.16,27.2,present ,25.3,29.7,
11/6/2020,21:30:00,1.407,-2.183,4.16,-2.044,0.041,-0.02,4.17,25.7,present ,25.26,29.4,
11/6/2020,22:00:00,0.861,-2.216,3.217,-2.103,0.032,-0.021,4.18,24.7,present ,25.18,28.8,
11/6/2020,22:30:01,0.636,-2.112,2.829,-1.922,0.028,-0.019,4.19,23.1,present ,25.15,28.5,
11/6/2020,23:00:00,0.51,-2.259,2.611,-2.177,0.026,-0.021,4.19,22,present ,25.11,28.5,
11/6/2020,23:30:01,0.176,-2.169,2.033,-2.022,0.02,-0.02,4.19,21.2,present ,25.07,27.3,
