Date,S1,S2,S3
2021-05-01 00:00:00,0.178,0.178,0.207
2021-05-01 01:00:00,0.177,0.177,0.207
2021-05-01 02:00:00,0.176,0.18,0.207
2021-05-01 03:00:00,0.176,0.18,0.206
2021-05-01 04:00:00,0.175,0.179,0.206
2021-05-01 05:00:00,0.174,0.178,0.206
2021-05-01 06:00:00,0.174,0.179,0.206
2021-05-01 07:00:00,0.173,0.179,0.206
2021-05-01 08:00:00,0.173,0.186,0.205
2021-05-01 09:00:00,0.171,0.183,0.205
2021-05-01 10:00:00,0.17,0.181,0.204
2021-05-01 11:00:00,0.168,0.18,0.203
2021-05-01 12:00:00,0.167,0.179,0.202
2021-05-01 13:00:00,0.165,0.18,0.2
2021-05-01 14:00:00,0.162,0.179,0.197
2021-05-01 15:00:00,0.164,0.18,0.197
2021-05-01 16:00:00,0.165,0.183,0.199
2021-05-01 17:00:00,0.164,0.183,0.199
2021-05-01 18:00:00,0.16,0.167,0.201
2021-05-01 19:00:00,0.156,0.157,0.205
2021-05-01 20:00:00,0.157,0.158,0.206
2021-05-01 21:00:00,0.157,0.158,0.207
2021-05-01 22:00:00,0.158,0.16,0.208
2021-05-01 23:00:00,0.159,0.162,0.208
2021-05-02 00:00:00,0.16,0.164,0.208
2021-05-02 01:00:00,0.161,0.166,0.209
2021-05-02 02:00:00,0.161,0.169,0.209
2021-05-02 03:00:00,0.162,0.172,0.209
2021-05-02 04:00:00,0.162,0.173,0.208
2021-05-02 05:00:00,0.163,0.175,0.208
2021-05-02 06:00:00,0.163,0.176,0.208
2021-05-02 07:00:00,0.165,0.191,0.208
2021-05-02 08:00:00,0.165,0.195,0.207
2021-05-02 09:00:00,0.164,0.197,0.206
2021-05-02 10:00:00,0.163,0.197,0.205
2021-05-02 11:00:00,0.165,0.195,0.205
2021-05-02 12:00:00,0.166,0.196,0.205
2021-05-02 13:00:00,0.164,0.195,0.203
2021-05-02 14:00:00,0.163,0.194,0.199
2021-05-02 15:00:00,0.164,0.193,0.198
2021-05-02 16:00:00,0.163,0.191,0.198
2021-05-02 17:00:00,0.163,0.191,0.197
2021-05-02 18:00:00,0.165,0.191,0.197
2021-05-02 19:00:00,0.166,0.191,0.199
2021-05-02 20:00:00,0.167,0.192,0.2
2021-05-02 21:00:00,0.167,0.193,0.202
2021-05-02 22:00:00,0.168,0.194,0.203
2021-05-02 23:00:00,0.168,0.194,0.204
2021-05-03 00:00:00,0.167,0.195,0.204
2021-05-03 01:00:00,0.168,0.195,0.204
2021-05-03 02:00:00,0.168,0.196,0.204
2021-05-03 03:00:00,0.168,0.196,0.205
2021-05-03 04:00:00,0.168,0.197,0.205
2021-05-03 05:00:00,0.168,0.197,0.205
2021-05-03 06:00:00,0.167,0.197,0.205
