Date ,Time ,Uncorrected Out (cm/hr),Uncorrected In (cm/hr),Corrected Out (cm/hr),Corrected In (cm/hr),Sap Flow Out (kg/hr),Sap Flow In (kg/hr),Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Message,,,,,,,,,,,
16/09/2020,2:49:12,24.238,23.125,62.813,60.041,0.628,0.6,3.91,25.8,present ,USB ,USB ,,,,,,,,,,,,
16/09/2020,2:53:18,25.184,24.556,65.167,63.604,0.651,0.636,3.92,26.4,present ,USB ,USB ,,,,,,,,,,,,
25/09/2020,13:00:00,7.779,-0.961,21.848,0.094,0.218,0,4.16,17.6,present ,25.64,32.09,,,,,,,,,,,,
25/09/2020,13:30:01,8.75,-0.868,24.265,0.327,0.242,0.003,4.17,19.9,present ,27.82,30,,,,,,,,,,,,
25/09/2020,14:00:01,8.74,-0.828,24.241,0.427,0.242,0.004,4.17,20.1,present ,28.52,29.4,,,,,,,,,,,,
25/09/2020,14:30:01,8.206,-0.885,22.913,0.286,0.229,0.002,4.18,19.29,present ,26.37,30.3,,,,,,,,,,,,
25/09/2020,15:00:01,7.715,-1.022,21.69,-0.056,0.216,0,4.18,18.7,present ,26.22,30,,,,,,,,,,,,
25/09/2020,15:30:01,6.961,-0.951,19.814,0.12,0.198,0.001,4.19,18.4,present ,26.11,29.1,,,,,,,,,,,,
25/09/2020,16:00:01,6.252,-1.069,18.05,-0.173,0.18,-0.001,4.19,17.6,present ,26.07,28.2,,,,,,,,,,,,
25/09/2020,16:30:00,6.434,-1.016,18.501,-0.041,0.185,0,4.19,18.79,present ,26.7,28.2,,,,,,,,,,,,
25/09/2020,17:00:01,7.165,-1.168,20.32,-0.418,0.203,-0.004,4.19,19.5,present ,26.31,27.6,,,,,,,,,,,,
25/09/2020,17:30:01,6.621,-1.171,18.968,-0.427,0.189,-0.004,4.19,18,present ,26.03,27.6,,,,,,,,,,,,
25/09/2020,18:00:00,6.274,-1.098,18.103,-0.244,0.181,-0.002,4.19,18.5,present ,26.03,27.6,,,,,,,,,,,,
25/09/2020,18:30:00,5.974,-1.086,17.358,-0.214,0.173,-0.002,4.19,18,present ,25.85,27.9,,,,,,,,,,,,
25/09/2020,19:00:00,5.096,-1.126,15.172,-0.315,0.151,-0.003,4.19,17.1,present ,25.71,27.9,,,,,,,,,,,,
25/09/2020,19:30:00,4.377,-1.354,13.383,-0.881,0.133,-0.008,4.19,16.4,present ,25.57,27.9,,,,,,,,,,,,
