Date ,Time ,Uncorrected Out (cm/hr),Uncorrected In (cm/hr),Corrected Out (cm/hr),Corrected In (cm/hr),Sap Flow Out (kg/hr),Sap Flow In (kg/hr),Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Message,,,,,,,,,,,
15/06/2020,13:30:01,7.31,-1.134,19.534,-0.316,0.195,-0.003,4.16,18.2,present ,24.94,29.4,,,,,,,,,,,,
15/06/2020,14:00:01,7.228,-1.174,19.34,-0.41,0.193,-0.004,4.17,17.29,present ,24.91,29.4,,,,,,,,,,,,
15/06/2020,14:30:01,7.332,-1.268,19.584,-0.632,0.195,-0.006,4.17,16.29,present ,24.94,29.1,,,,,,,,,,,,
15/06/2020,15:00:00,7.169,-1.292,19.201,-0.687,0.192,-0.006,4.18,16,present ,24.86,28.8,,,,,,,,,,,,
15/06/2020,15:30:00,7.23,-1.21,19.345,-0.495,0.193,-0.004,4.18,15.8,present ,24.82,27,,,,,,,,,,,,
15/06/2020,16:00:00,7.331,-1.237,19.582,-0.558,0.195,-0.005,4.18,16.29,present ,24.81,26.7,,,,,,,,,,,,
15/06/2020,16:30:00,7.504,-1.348,19.988,-0.819,0.199,-0.008,4.18,16,present ,24.78,27,,,,,,,,,,,,
15/06/2020,17:00:00,7.509,-1.184,20.001,-0.433,0.2,-0.004,4.18,16.79,present ,24.74,26.7,,,,,,,,,,,,
15/06/2020,17:30:00,7.83,-1.258,20.755,-0.608,0.207,-0.006,4.18,16.5,present ,24.71,26.7,,,,,,,,,,,,
15/06/2020,18:00:01,7.166,-1.192,19.195,-0.452,0.191,-0.004,4.18,15.9,present ,24.74,26.4,,,,,,,,,,,,
15/06/2020,18:30:01,6.615,-1.403,17.901,-0.949,0.179,-0.009,4.18,15.2,present ,24.74,26.7,,,,,,,,,,,,
15/06/2020,19:00:01,6.169,-1.364,16.852,-0.855,0.168,-0.008,4.18,15.2,present ,24.71,26.7,,,,,,,,,,,,
15/06/2020,19:30:01,5.688,-1.58,15.722,-1.365,0.157,-0.013,4.18,14.9,present ,24.67,27,,,,,,,,,,,,
15/06/2020,20:00:01,5.117,-1.421,14.379,-0.991,0.143,-0.009,4.18,14.8,present ,24.67,26.4,,,,,,,,,,,,
15/06/2020,20:30:01,4.588,-1.55,13.134,-1.293,0.131,-0.012,4.18,14.8,present ,24.64,27,,,,,,,,,,,,
15/06/2020,21:00:00,4.134,-1.582,12.067,-1.37,0.12,-0.013,4.18,14.3,present ,24.67,26.7,,,,,,,,,,,,
15/06/2020,21:30:01,3.523,-1.535,10.632,-1.259,0.106,-0.012,4.18,14.2,present ,24.63,26.4,,,,,,,,,,,,
15/06/2020,22:00:00,3.38,-1.688,10.295,-1.619,0.102,-0.016,4.18,13.7,present ,24.6,26.4,,,,,,,,,,,,
15/06/2020,22:30:01,3.054,-1.803,9.529,-1.887,0.095,-0.018,4.18,13.2,present ,24.6,26.4,,,,,,,,,,,,
15/06/2020,23:00:01,2.49,-1.721,8.205,-1.694,0.082,-0.016,4.18,12.6,present ,24.63,26.1,,,,,,,,,,,,
15/06/2020,23:30:00,2.048,-1.859,7.165,-2.02,0.071,-0.02,4.18,12.5,present ,24.56,26.7,,,,,,,,,,,,
16/06/2020,0:00:00,1.335,-1.957,5.488,-2.249,0.054,-0.022,4.18,12.1,present ,24.6,26.7,,,,,,,,,,,,
16/06/2020,0:30:00,0.962,-1.984,4.611,-2.312,0.046,-0.023,4.18,11.5,present ,24.53,26.7,,,,,,,,,,,,
16/06/2020,1:00:01,0.736,-2.101,4.082,-2.589,0.04,-0.025,4.18,10.9,present ,24.53,26.7,,,,,,,,,,,,
16/06/2020,1:30:01,0.443,-2.093,3.392,-2.57,0.033,-0.025,4.18,10.4,present ,24.53,26.4,,,,,,,,,,,,
16/06/2020,2:00:00,-0.166,-2.07,1.959,-2.515,0.019,-0.025,4.18,9.8,present ,24.49,26.1,,,,,,,,,,,,
16/06/2020,2:30:01,-0.413,-2.069,1.378,-2.513,0.013,-0.025,4.18,9.1,present ,24.46,26.7,,,,,,,,,,,,
16/06/2020,3:00:01,-0.382,-2.194,1.45,-2.808,0.014,-0.028,4.18,9.3,present ,24.42,26.4,,,,,,,,,,,,
16/06/2020,3:30:00,-0.527,-2.138,1.11,-2.676,0.011,-0.026,4.18,9.39,present ,24.42,26.7,,,,,,,,,,,,
16/06/2020,4:00:00,-0.526,-2.23,1.112,-2.892,0.011,-0.028,4.18,9.39,present ,24.39,26.7,,,,,,,,,,,,
16/06/2020,4:30:00,-0.897,-2.23,0.24,-2.893,0.002,-0.028,4.18,9.89,present ,24.39,26.4,,,,,,,,,,,,
16/06/2020,5:00:00,-0.976,-2.252,0.054,-2.944,0,-0.029,4.18,9.2,present ,24.35,26.4,,,,,,,,,,,,
16/06/2020,5:30:00,-1.133,-2.224,-0.314,-2.877,-0.003,-0.028,4.18,9.3,present ,24.32,26.7,,,,,,,,,,,,
16/06/2020,6:00:00,-1.103,-2.289,-0.243,-3.03,-0.002,-0.03,4.18,9.3,present ,24.32,26.7,,,,,,,,,,,,
16/06/2020,6:30:00,-1.289,-2.266,-0.681,-2.975,-0.006,-0.029,4.18,9.5,present ,24.35,26.7,,,,,,,,,,,,
16/06/2020,7:00:00,-1.212,-2.144,-0.498,-2.69,-0.004,-0.026,4.18,10,present ,24.28,27,,,,,,,,,,,,
16/06/2020,7:30:01,-1.076,-2.295,-0.179,-3.043,-0.001,-0.03,4.18,10.6,present ,24.32,26.7,,,,,,,,,,,,
16/06/2020,8:00:01,-1.155,-2.152,-0.364,-2.708,-0.003,-0.027,4.18,11.4,present ,24.29,27.3,,,,,,,,,,,,
16/06/2020,8:30:01,-0.767,-2.184,0.545,-2.784,0.005,-0.027,4.18,12.3,present ,24.28,26.7,,,,,,,,,,,,
16/06/2020,9:00:01,-0.398,-2.049,1.412,-2.466,0.014,-0.024,4.18,13.4,present ,24.25,27.3,,,,,,,,,,,,
16/06/2020,9:30:01,0.356,-2.101,3.189,-2.59,0.031,-0.025,4.18,14.9,present ,24.25,27.6,,,,,,,,,,,,
16/06/2020,10:00:00,1.383,-1.923,5.601,-2.17,0.056,-0.021,4.18,15.7,present ,24.25,27,,,,,,,,,,,,
16/06/2020,10:30:00,3.052,-1.779,9.524,-1.832,0.095,-0.018,4.18,16.9,present ,24.25,27.3,,,,,,,,,,,,
16/06/2020,11:00:01,4.813,-1.473,13.665,-1.113,0.136,-0.011,4.18,17.79,present ,24.25,27,,,,,,,,,,,,
16/06/2020,11:30:01,8.343,-1.079,21.962,-0.186,0.219,-0.001,4.18,19.29,present ,24.26,27.9,,,,,,,,,,,,
16/06/2020,12:00:00,10.027,-0.891,25.921,0.254,0.259,0.002,4.18,19.2,present ,24.29,27.3,,,,,,,,,,,,
16/06/2020,12:30:00,10.749,-0.761,27.617,0.559,0.276,0.005,4.18,19.1,present ,24.25,27,,,,,,,,,,,,
16/06/2020,13:00:00,11.533,-0.76,29.459,0.563,0.294,0.005,4.18,19.1,present ,24.25,27.3,,,,,,,,,,,,
16/06/2020,13:30:00,11.53,-0.665,29.452,0.785,0.294,0.007,4.18,18.79,present ,24.21,27,,,,,,,,,,,,
16/06/2020,14:00:01,11.267,-0.784,28.833,0.506,0.288,0.005,4.18,18.79,present ,24.25,27.3,,,,,,,,,,,,
16/06/2020,14:30:01,11.216,-0.73,28.714,0.632,0.287,0.006,4.18,18.6,present ,24.21,27,,,,,,,,,,,,
16/06/2020,15:00:01,10.758,-0.718,27.639,0.661,0.276,0.006,4.18,18.4,present ,24.22,27.6,,,,,,,,,,,,
16/06/2020,15:30:00,11.209,-0.718,28.697,0.661,0.286,0.006,4.18,19.2,present ,24.18,27.3,,,,,,,,,,,,
16/06/2020,16:00:00,11.035,-0.685,28.29,0.738,0.282,0.007,4.18,18.9,present ,24.18,27.3,,,,,,,,,,,,
16/06/2020,16:30:00,10.999,-0.627,28.205,0.875,0.282,0.008,4.18,19.29,present ,24.18,27.3,,,,,,,,,,,,
16/06/2020,17:00:01,10.686,-0.821,27.469,0.419,0.274,0.004,4.18,19.9,present ,24.14,27.3,,,,,,,,,,,,
16/06/2020,17:30:01,10.821,-0.786,27.785,0.501,0.277,0.005,4.18,20.6,present ,24.15,27.6,,,,,,,,,,,,
16/06/2020,18:00:00,10.886,-0.624,27.939,0.882,0.279,0.008,4.18,21.5,present ,24.18,27.6,,,,,,,,,,,,
16/06/2020,18:30:00,11.184,-0.648,28.639,0.825,0.286,0.008,4.18,22,present ,24.15,27.6,,,,,,,,,,,,
16/06/2020,19:00:00,11.437,-0.652,29.234,0.816,0.292,0.008,4.18,23.2,present ,24.15,27.6,,,,,,,,,,,,
16/06/2020,19:30:00,10.303,-0.797,26.569,0.475,0.265,0.004,4.18,20.29,present ,24.13,26.1,,,,,,,,,,,,
16/06/2020,20:00:00,8.802,-0.913,23.039,0.203,0.23,0.002,4.18,18.9,present ,24.13,26.1,,,,,,,,,,,,
16/06/2020,20:30:01,7.613,-1.002,20.246,-0.005,0.202,0,4.18,18.4,present ,24.1,26.1,,,,,,,,,,,,
