Date ,Time ,Uncorrected Out (cm/hr),Uncorrected In (cm/hr),Corrected Out (cm/hr),Corrected In (cm/hr),Sap Flow Out (kg/hr),Sap Flow In (kg/hr),Max Td Out (°C),Max Tu Out (°C),Rise Td Out (°C),Rise Tu Out (°C),Ratio Out,Max Td In (°C),Max Tu In (°C),Rise Td In (°C),Rise Tu In (°C),Ratio In,Pulse Duration (s),Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Message
29/07/2020,21:30:00,-2.628,-4.787,-2.814,-6.545,-0.028,-0.065,31.075,31.501,1.341,1.556,0.864,32.755,34.367,1.298,1.702,0.766,2.68,4.19,35,present ,25.69,24.9,
29/07/2020,22:00:01,-2.593,-4.91,-2.754,-6.758,-0.027,-0.067,29.46,29.836,1.364,1.579,0.865,31.105,32.698,1.322,1.745,0.761,2.68,4.19,33,present ,25.65,24.9,
29/07/2020,22:30:01,-2.608,-4.96,-2.78,-6.844,-0.027,-0.068,27.945,28.326,1.39,1.611,0.865,29.548,31.134,1.35,1.788,0.759,2.68,4.19,31.3,present ,25.58,25.2,
29/07/2020,23:00:01,-2.637,-4.954,-2.83,-6.834,-0.028,-0.068,26.881,27.287,1.406,1.632,0.863,28.335,29.938,1.374,1.819,0.759,2.68,4.19,30.6,present ,25.55,25.2,
29/07/2020,23:30:01,-2.619,-5.097,-2.799,-7.082,-0.027,-0.07,25.993,26.4,1.42,1.647,0.864,27.299,28.92,1.388,1.852,0.753,2.68,4.19,29.8,present ,25.51,25.2,
30/07/2020,0:00:00,-2.595,-5.143,-2.758,-7.16,-0.027,-0.071,25.105,25.515,1.433,1.66,0.865,26.393,28.028,1.4,1.872,0.751,2.68,4.19,29.4,present ,25.47,25.2,
30/07/2020,0:30:00,-2.667,-5.092,-2.882,-7.073,-0.028,-0.07,24.184,24.591,1.442,1.677,0.862,25.445,27.08,1.416,1.89,0.753,2.68,4.19,28.6,present ,25.43,24.6,
30/07/2020,1:00:00,-2.66,-5.128,-2.869,-7.134,-0.028,-0.071,23.34,23.756,1.457,1.694,0.862,24.553,26.199,1.431,1.913,0.752,2.68,4.19,27.9,present ,25.4,25.2,
30/07/2020,1:30:00,-2.7,-5.189,-2.938,-7.241,-0.029,-0.072,22.828,23.287,1.461,1.702,0.86,23.87,25.545,1.441,1.933,0.749,2.68,4.19,27.1,present ,25.37,24.9,
30/07/2020,2:00:00,-2.699,-5.203,-2.937,-7.264,-0.029,-0.072,22.368,22.847,1.467,1.71,0.86,23.325,25.028,1.449,1.945,0.748,2.68,4.19,27,present ,25.34,25.5,
30/07/2020,2:30:00,-2.713,-5.218,-2.961,-7.291,-0.029,-0.072,21.784,22.278,1.472,1.717,0.86,22.769,24.491,1.457,1.957,0.748,2.68,4.19,26.3,present ,25.3,25.2,
30/07/2020,3:00:00,-2.73,-5.282,-2.99,-7.4,-0.029,-0.074,20.904,21.376,1.479,1.726,0.859,22.059,23.779,1.462,1.971,0.745,2.68,4.19,25.5,present ,25.26,25.2,
30/07/2020,3:30:00,-2.721,-5.256,-2.975,-7.357,-0.029,-0.073,20.243,20.726,1.493,1.742,0.859,21.293,23.019,1.478,1.991,0.746,2.68,4.19,24.8,present ,25.19,25.2,
30/07/2020,4:00:00,-2.765,-5.298,-3.05,-7.428,-0.03,-0.074,19.793,20.279,1.495,1.749,0.857,20.767,22.509,1.484,2.004,0.745,2.68,4.19,24.5,present ,25.16,25.2,
30/07/2020,4:30:01,-2.735,-5.292,-3,-7.418,-0.03,-0.074,19.214,19.709,1.507,1.759,0.858,20.207,21.962,1.492,2.014,0.745,2.68,4.19,23.9,present ,25.16,25.2,
30/07/2020,5:00:01,-2.833,-5.311,-3.168,-7.452,-0.031,-0.074,18.681,19.19,1.504,1.766,0.854,19.63,21.396,1.5,2.026,0.744,2.68,4.19,23.4,present ,25.09,25.5,
30/07/2020,5:30:01,-2.775,-5.357,-3.069,-7.531,-0.03,-0.075,17.933,18.436,1.518,1.776,0.857,18.943,20.71,1.509,2.044,0.742,2.68,4.19,22.5,present ,25.05,25.5,
30/07/2020,6:00:01,-2.799,-5.342,-3.109,-7.504,-0.031,-0.075,17.239,17.752,1.524,1.786,0.855,18.278,20.053,1.519,2.055,0.743,2.68,4.19,22.1,present ,25.02,25.5,
30/07/2020,6:30:01,-2.798,-5.367,-3.108,-7.548,-0.031,-0.075,16.733,17.26,1.533,1.796,0.855,17.688,19.477,1.527,2.07,0.742,2.68,4.19,21.5,present ,24.98,25.2,
30/07/2020,7:00:00,-2.789,-5.392,-3.092,-7.592,-0.03,-0.075,16.473,17.04,1.536,1.799,0.856,17.319,19.138,1.531,2.078,0.741,2.68,4.19,21.4,present ,24.94,25.2,
30/07/2020,7:30:01,-2.805,-5.417,-3.12,-7.635,-0.031,-0.076,16.327,16.923,1.539,1.804,0.855,17.051,18.899,1.534,2.085,0.74,2.68,4.19,21.2,present ,24.91,25.5,
30/07/2020,8:00:01,-2.819,-5.403,-3.144,-7.61,-0.031,-0.076,16.271,16.902,1.541,1.807,0.855,16.923,18.804,1.537,2.088,0.74,2.68,4.19,21.1,present ,24.87,25.5,
