Date ,Time ,Uncorrected Out (cm/hr),Uncorrected In (cm/hr),Corrected Out (cm/hr),Corrected In (cm/hr),Sap Flow Out (kg/hr),Sap Flow In (kg/hr),Max Td Out (°C),Max Tu Out (°C),Rise Td Out (°C),Rise Tu Out (°C),Ratio Out,Max Td In (°C),Max Tu In (°C),Rise Td In (°C),Rise Tu In (°C),Ratio In,Pulse Duration (s),Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Message
25/04/2022,14:30:01,6.406,3.49,22.772,13.807,4.55,2.655,4.729,4.305,0.683,0.546,1.249,2.178,1.862,0.651,0.576,1.128,2.68,4.04,18.29,not present ,0,0,
25/04/2022,15:00:01,6.586,3.651,23.325,14.299,4.66,2.75,4.644,4.236,0.695,0.553,1.256,2.303,1.974,0.659,0.58,1.135,2.68,4.02,15.4,not present ,0,0,
25/04/2022,15:30:00,6.5,3.427,23.059,13.612,4.607,2.618,4.895,4.459,0.688,0.549,1.253,2.514,2.157,0.66,0.585,1.126,2.68,4,14.5,not present ,0,0,
25/04/2022,16:00:01,6.557,3.738,23.236,14.569,4.642,2.802,4.97,4.509,0.69,0.549,1.255,2.684,2.32,0.661,0.58,1.138,2.68,3.99,14.1,not present ,0,0,
25/04/2022,16:30:01,6.41,3.527,22.783,13.918,4.552,2.677,4.84,4.388,0.685,0.548,1.249,2.728,2.364,0.66,0.583,1.13,2.68,3.97,13.2,not present ,0,0,
25/04/2022,17:00:00,6.582,3.643,23.311,14.277,4.657,2.746,4.946,4.488,0.687,0.546,1.256,2.829,2.457,0.662,0.582,1.134,2.68,3.96,13.4,not present ,0,0,
25/04/2022,17:30:00,6.774,3.792,23.901,14.733,4.775,2.834,4.959,4.506,0.7,0.553,1.265,2.903,2.541,0.663,0.58,1.14,2.68,3.96,13,not present ,0,0,
25/04/2022,18:00:00,6.231,3.362,22.233,13.412,4.442,2.579,4.997,4.558,0.676,0.544,1.241,3.026,2.669,0.655,0.582,1.123,2.68,3.95,12.3,not present ,0,0,
25/04/2022,18:30:00,5.836,3.686,21.017,14.409,4.199,2.771,4.799,4.374,0.686,0.56,1.224,3.067,2.716,0.658,0.578,1.136,2.68,3.94,11.7,not present ,0,0,
25/04/2022,19:00:00,5.531,3.485,20.081,13.791,4.012,2.652,4.764,4.365,0.68,0.561,1.211,3.181,2.842,0.658,0.582,1.128,2.68,3.94,11,not present ,0,0,
25/04/2022,19:30:00,5.144,3.506,18.89,13.855,3.774,2.665,4.678,4.297,0.677,0.566,1.195,3.292,2.967,0.656,0.58,1.129,2.68,3.93,10.4,not present ,0,0,
25/04/2022,20:00:00,4.801,3.303,17.837,13.232,3.564,2.545,4.523,4.168,0.672,0.568,1.181,3.341,3.029,0.655,0.583,1.121,2.68,3.92,9.7,not present ,0,0,
25/04/2022,20:30:00,4.599,3.339,17.217,13.342,3.44,2.566,4.189,3.86,0.672,0.572,1.173,3.319,3.021,0.653,0.58,1.122,2.68,3.92,8.6,not present ,0,0,
25/04/2022,21:00:00,4.277,3.422,16.225,13.597,3.241,2.615,3.884,3.574,0.67,0.578,1.16,3.234,2.95,0.653,0.579,1.126,2.68,4,18.29,present ,25.29,101.4,
25/04/2022,21:30:01,4.18,3.381,15.926,13.472,3.182,2.591,3.901,3.596,0.666,0.576,1.156,3.235,2.951,0.652,0.579,1.124,2.68,4.11,26.3,present ,25.19,102.6,
25/04/2022,22:00:01,3.984,3.441,15.325,13.654,3.062,2.626,3.729,3.438,0.665,0.579,1.148,3.208,2.931,0.654,0.579,1.126,2.68,4.14,19.2,present ,25.34,30,
