Date ,Time ,Uncorrected Out (cm/hr),Uncorrected In (cm/hr),Corrected Out (cm/hr),Corrected In (cm/hr),Sap Flow Out (kg/hr),Sap Flow In (kg/hr),Max Td Out (°C),Max Tu Out (°C),Rise Td Out (°C),Rise Tu Out (°C),Ratio Out,Max Td In (°C),Max Tu In (°C),Rise Td In (°C),Rise Tu In (°C),Ratio In,Pulse Duration (s),Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Message
12/05/2022,14:00:01,6.271,-3.86,19.562,-7.694,0.625,0,8.961,8.949,0.902,0.705,1.282,7.827,8.472,0.855,1,0.857,2.68,4.01,11,not present ,0,0,
12/05/2022,14:30:01,7.492,-3.841,22.845,-7.644,0.731,0,9.4,9.316,0.909,0.677,1.346,8.219,8.86,0.852,0.996,0.858,2.68,3.99,11.5,not present ,0,0,
12/05/2022,15:00:01,8.136,-3.914,24.579,-7.84,0.786,0,9.866,9.771,0.909,0.66,1.381,8.68,9.317,0.85,0.996,0.856,2.68,3.98,11.6,not present ,0,0,
12/05/2022,15:30:00,8.237,-3.88,24.851,-7.749,0.795,0,10.087,9.987,0.916,0.662,1.386,8.987,9.629,0.847,0.991,0.857,2.68,3.97,11.2,not present ,0,0,
12/05/2022,16:00:00,7.968,-3.749,24.128,-7.396,0.772,0,10.354,10.277,0.909,0.664,1.371,9.39,10.025,0.849,0.989,0.861,2.68,3.96,11.8,not present ,0,0,
12/05/2022,16:30:01,6.968,-3.815,21.435,-7.573,0.685,0,10.606,10.574,0.93,0.707,1.318,9.651,10.295,0.85,0.992,0.859,2.68,3.95,11.9,not present ,0,0,
12/05/2022,17:00:01,7.894,-3.745,23.929,-7.386,0.765,0,12.157,11.928,0.92,0.674,1.367,10.47,11.042,0.85,0.99,0.861,2.68,3.95,13.8,not present ,0,0,
12/05/2022,17:30:01,9.008,-3.836,26.924,-7.631,0.861,0,13.09,12.83,0.911,0.639,1.429,11.442,11.96,0.841,0.983,0.858,2.68,3.94,14.8,not present ,0,0,
12/05/2022,18:00:00,8.086,-3.781,24.444,-7.481,0.782,0,12.972,12.878,0.933,0.678,1.378,11.881,12.454,0.839,0.979,0.86,2.68,3.94,13.9,not present ,0,0,
12/05/2022,18:30:01,8.191,-3.689,24.726,-7.234,0.791,0,14.11,13.991,0.902,0.653,1.384,12.749,13.294,0.838,0.974,0.863,2.68,3.94,15.8,not present ,0,0,
12/05/2022,19:00:01,8.756,-3.744,26.246,-7.383,0.839,0,14.916,14.778,0.92,0.651,1.415,13.493,14.036,0.835,0.972,0.861,2.68,3.93,16.2,not present ,0,0,
12/05/2022,19:30:01,8.036,-3.708,24.31,-7.287,0.777,0,14.924,14.957,0.897,0.653,1.375,14.065,14.666,0.83,0.965,0.863,2.68,3.93,14.8,not present ,0,0,
12/05/2022,20:00:01,7.321,-3.664,22.386,-7.168,0.716,0,15.019,15.116,0.889,0.667,1.337,14.367,15.003,0.828,0.962,0.864,2.68,3.92,13.8,not present ,0,0,
12/05/2022,20:30:01,6.357,-3.823,19.794,-7.596,0.633,0,14.808,14.977,0.891,0.694,1.286,14.623,15.268,0.82,0.958,0.859,2.68,3.91,13.3,not present ,0,0,
12/05/2022,21:00:01,4.854,-3.89,15.75,-7.776,0.504,0,14.201,14.501,0.852,0.705,1.212,14.447,15.156,0.817,0.957,0.856,2.68,3.9,11.5,not present ,0,0,
12/05/2022,21:30:01,2.985,-3.885,10.72,-7.763,0.343,0,13.512,13.906,0.825,0.734,1.125,14.071,14.852,0.817,0.957,0.857,2.68,3.98,23.8,present ,25.11,101.4,
12/05/2022,22:00:00,1.604,-4.063,7.006,-8.24,0.224,0,12.348,12.795,0.804,0.757,1.065,13.357,14.172,0.814,0.959,0.851,2.68,4.07,28.5,present ,24.94,102.6,
12/05/2022,22:30:01,0.357,-4.113,3.653,-8.376,0.116,0,11.152,11.621,0.789,0.78,1.014,12.495,13.318,0.817,0.966,0.849,2.68,4.18,27.1,present ,24.89,86.4,
12/05/2022,23:00:00,-0.468,-4.02,1.43,-8.125,0.045,0,10.153,10.622,0.784,0.8,0.981,11.626,12.443,0.824,0.97,0.852,2.68,4.18,16.29,present ,24.9,32.7,
12/05/2022,23:30:01,-0.964,-4.13,0.096,-8.42,0.003,0,9.278,9.747,0.777,0.809,0.962,10.837,11.645,0.824,0.974,0.848,2.68,4.18,14.3,present ,24.84,29.7,
13/05/2022,0:00:00,-1.393,-4.101,-1.059,-8.344,-0.033,0,8.58,9.052,0.769,0.815,0.946,10.12,10.922,0.83,0.98,0.849,2.68,4.18,11.6,present ,24.76,28.5,
13/05/2022,0:30:00,-1.723,-4.124,-1.947,-8.404,-0.062,0,7.964,8.43,0.767,0.823,0.933,9.485,10.282,0.833,0.985,0.849,2.68,4.18,10.6,present ,24.69,28.5,
13/05/2022,1:00:00,-1.873,-4.128,-2.349,-8.416,-0.075,0,7.439,7.909,0.768,0.829,0.928,8.911,9.707,0.835,0.988,0.848,2.68,4.18,9.7,present ,24.65,28.5,
13/05/2022,1:30:01,-2.228,-4.068,-3.303,-8.254,-0.105,0,7.017,7.487,0.767,0.84,0.915,8.401,9.196,0.84,0.991,0.85,2.68,4.18,9.3,present ,24.58,28.2,
13/05/2022,2:00:01,-2.145,-4.179,-3.082,-8.552,-0.098,0,6.691,7.172,0.765,0.835,0.918,8.001,8.792,0.838,0.993,0.847,2.68,4.18,9.7,present ,24.58,28.2,
13/05/2022,2:30:01,-2.591,-4.173,-4.281,-8.538,-0.136,0,6.429,6.893,0.764,0.849,0.902,7.596,8.38,0.843,0.998,0.847,2.68,4.18,9.7,present ,24.54,28.5,
13/05/2022,3:00:01,-2.116,-4.188,-3.003,-8.577,-0.096,0,6.606,7.051,0.771,0.841,0.919,7.45,8.224,0.846,1.002,0.846,2.68,4.18,10.8,present ,24.51,28.5,
