DateTime,Rain(mm),Temp(C),RH(%),NetRad(W/m2),NetRad(MJ/m2h),VPD(kPa),PET(mm/h)
2019-06-12 15:00:00,0.0,26.475,23.1,825.0,2.9699999999999998,1.9108582678875612,0.3685393166594633
2019-06-12 15:30:00,0.0,26.549,21.5,825.0,2.9699999999999998,1.9600286872569348,0.3713060196948151
2019-06-12 16:00:00,0.0,26.598,21.4,535.0,1.926,1.9600286872569348,0.26959207596117263
2019-06-12 16:30:00,0.0,24.968,22.4,535.0,1.926,2.0014647995632933,0.3215581853938882
2019-06-12 17:00:00,0.0,27.087,21.9,474.3,1.7074799999999999,1.9220251410423728,0.24915705428246032
2019-06-12 17:30:00,0.0,26.158,22.2,474.3,1.7074799999999999,1.9547010511024907,0.35261801288457667
2019-06-12 18:00:00,0.0,25.623,22.8,308.8,1.11168,1.9600286872569348,0.2503065246972064
2019-06-12 18:30:00,0.0,25.186,23.2,308.8,1.11168,1.9653229920492503,0.18610645685112814
2019-06-12 19:00:00,0.0,25.137,23.6,109.8,0.39527999999999996,1.9547010511024907,0.11928062568999834
2019-06-12 19:30:00,0.0,25.793,23.0,109.8,0.39527999999999996,1.9439450640060065,0.1189372331287048
2019-06-12 20:00:00,0.0,24.46,23.4,0.672,0.0024192000000000003,1.9913007893760561,0.15888455017745673
2019-06-12 20:30:00,0.0,23.833,24.6,0.672,0.0024192000000000003,1.9810077061351539,0.08575390695384193
2019-06-12 21:00:00,0.0,19.199,30.7,0.2,0.00072,2.026319239870313,0.07408933074074782
2019-06-12 21:30:00,0.0,17.677,38.3,0.2,0.00072,1.9330535813836627,4.428256051936826e-05
2019-06-12 22:00:00,0.0,17.748,38.2,0.2,0.00072,1.9330535813836627,0.07183098702044459
2019-06-12 22:30:00,0.0,16.773,38.6,0.2,0.00072,1.9705841446626233,0.11604273715379543
2019-06-12 23:00:00,0.0,16.249,39.8,0.2,0.00072,1.9705841446626233,0.07441007998873225
2019-06-12 23:30:00,0.0,16.106,40.9,0.2,0.00072,1.9600286872569348,0.1161141173907773
2019-06-13 00:00:00,0.0,15.031,43.7,0.2,0.00072,1.611972339221524,0.06164527878754273
2019-06-13 00:30:00,0.0,14.17,47.3,0.2,0.00072,1.5958887159705957,3.7649739217570726e-05
2019-06-13 01:00:00,0.0,14.361,49.4,0.2,0.00072,1.5514951258028962,3.799406494841691e-05
2019-06-13 01:30:00,0.0,13.978,50.7,0.2,0.00072,1.5514951258028962,3.73056019335144e-05
2019-06-13 02:00:00,0.0,14.505,49.9,0.2,0.00072,1.534269295685701,3.825496551648326e-05
2019-06-13 02:30:00,0.0,14.026,51.1,0.2,0.00072,1.5400469097067608,3.7391448914282844e-05
2019-06-13 03:00:00,0.0,13.546,53.6,0.2,0.00072,1.5284557572543003,3.6538608580226484e-05
2019-06-13 03:30:00,0.0,13.233,54.3,0.2,0.00072,1.534269295685701,3.598923620581269e-05
2019-06-13 04:00:00,0.0,12.847,55.6,0.2,0.00072,1.534269295685701,3.53190922434402e-05
2019-06-13 04:30:00,0.0,12.775,56.2,0.2,0.00072,1.5284557572543003,3.519499171295756e-05
2019-06-13 05:00:00,0.0,12.582,56.8,0.2,0.00072,1.5284557572543003,3.486373135510907e-05
2019-06-13 05:30:00,0.0,12.485,57.1,0.2,0.00072,1.534269295685701,3.469801230712109e-05
2019-06-13 06:00:00,0.0,12.05,58.7,0.2,0.00072,1.534269295685701,3.396117416792823e-05
2019-06-13 06:30:00,0.0,12.413,60.2,0.2,0.00072,1.4928093395053776,3.457533729690223e-05
2019-06-13 07:00:00,0.0,12.364,61.4,0.2,0.00072,1.4744854625899935,3.449201241240149e-05
2019-06-13 07:30:00,0.0,12.485,62.9,0.2,0.00072,1.4495224229203991,3.469801230712109e-05
2019-06-13 08:00:00,0.0,12.896,64.5,9.75,0.0351,1.3977265474266471,0.0020711171247605677
2019-06-13 08:30:00,0.0,14.218,62.8,9.75,0.0351,1.3433491933939807,0.0022075610078583683
2019-06-13 09:00:00,0.0,15.127,61.0,66.26,0.238536,1.3080040284495773,0.0156617777843283
2019-06-13 09:30:00,0.0,16.558,55.1,66.26,0.238536,1.3222699580258364,0.016735491964764728
2019-06-13 10:00:00,0.0,17.13,52.4,97.9,0.35244000000000003,1.336365110604483,0.02537880379402327
2019-06-13 10:30:00,0.0,19.056,49.0,97.9,0.35244000000000003,1.2789527590185061,0.027646788871435207
2019-06-13 11:00:00,0.0,20.984,37.7,324.1,1.16676,1.4239404822781767,0.09940211691347725
2019-06-13 11:30:00,0.0,23.064,33.1,324.1,1.16676,1.4239404822781767,0.1613981870676015
2019-06-13 12:00:00,0.0,22.657,30.5,258.0,0.9288,1.5226061030540192,0.2390224029239904
2019-06-13 12:30:00,0.0,23.761,29.7,258.0,0.9288,1.4867389253221983,0.23572715004494285
2019-06-13 13:00:00,0.0,22.489,29.4,1117.0,4.0212,1.5571661064539923,0.43492353117483523
2019-06-13 13:30:00,0.0,23.256,29.1,1117.0,4.0212,1.5284557572543003,0.44139947033954224
2019-06-13 14:00:00,0.0,24.798,25.9,981.0,3.5316,1.5457887898456577,0.41982866505352695
2019-06-13 14:30:00,0.0,25.428,25.7,981.0,3.5316,1.5226061030540192,0.4245816375552599
2019-06-13 15:00:00,0.0,23.497,25.5,159.8,0.57528,1.6225277966272125,0.22458468119006747
2019-06-13 15:30:00,0.0,25.744,25.2,159.8,0.57528,1.5226061030540192,0.21239691861513627
2019-06-13 16:00:00,0.0,25.137,23.5,559.7,2.01492,1.6066447030670798,0.2987261835982127
2019-06-13 16:30:00,0.0,24.798,22.9,559.7,2.01492,1.6432444413406453,0.33872375843671293
2019-06-13 17:00:00,0.0,25.38,21.1,700.4,2.5214399999999997,1.6733548113337042,0.3850014456767979
2019-06-13 17:30:00,0.0,24.968,20.1,700.4,2.5214399999999997,1.7256628916768717,0.35020709924563725
2019-06-13 18:00:00,0.0,19.722,39.2,465.7,1.67652,1.455820698256638,0.36596259143350174
2019-06-13 18:30:00,0.0,20.126,51.3,465.7,1.67652,1.1474478590733606,0.3241920350461194
2019-06-13 19:00:00,0.0,17.677,56.7,22.5,0.081,1.210989407693799,0.24164081307521157
2019-06-13 19:30:00,0.0,17.058,58.2,22.5,0.081,1.2264091045287828,0.18840695068746918
2019-06-13 20:00:00,0.0,16.249,60.3,0.2,0.00072,1.2416462769005572,4.1503133350895544e-05
2019-06-13 20:30:00,0.2,14.314,74.5,0.2,0.00072,1.1392916838464016,3.7909152495902515e-05
2019-06-13 21:00:00,0.0,13.834,82.1,0.2,0.00072,1.0636857992781652,3.704881103455631e-05
2019-06-13 21:30:00,0.0,13.57,79.3,0.2,0.00072,1.1228343632400706,3.6580953183153445e-05
2019-06-13 22:00:00,0.0,13.281,79.2,0.2,0.00072,1.1474478590733606,3.6073138475722003e-05
2019-06-13 22:30:00,0.0,12.847,83.2,0.2,0.00072,1.1228343632400706,0.04388474087335557
2019-06-13 23:00:00,0.0,12.63,83.0,0.2,0.00072,1.1474478590733606,3.494592704299067e-05
2019-06-13 23:30:00,0.0,12.34,83.3,0.2,0.00072,1.1636164508781346,3.445124818432026e-05
2019-06-14 00:00:00,0.0,12.534,81.1,0.2,0.00072,0.4036780858574738,3.4781661707364674e-05
2019-06-14 00:30:00,0.8,11.565,86.4,0.2,0.00072,0.4036780858574738,3.3151868853285435e-05
2019-06-14 01:00:00,0.0,11.492,91.4,0.2,0.00072,0.33861584783902887,0.01342104041468871
2019-06-14 01:30:00,0.0,11.346,91.2,0.2,0.00072,0.35517038388881184,3.279065826222133e-05
2019-06-14 02:00:00,1.4,11.2,92.4,0.2,0.00072,0.35517038388881184,3.2551313253550324e-05
2019-06-14 02:30:00,1.0,10.712,92.5,0.2,0.00072,0.3876995684344142,0.015472735938727701
2019-06-14 03:00:00,0.6,10.541,92.5,0.2,0.00072,0.4036780858574738,3.148553847931474e-05
2019-06-14 03:30:00,0.6,10.075,93.4,0.2,0.00072,0.4272936481913929,3.074627670305405e-05
2019-06-14 04:00:00,0.2,9.608,93.4,0.2,0.00072,0.4657293944568368,0.01876612969664228
2019-06-14 04:30:00,0.4,9.336,93.7,0.2,0.00072,0.48078589123938276,2.959832938613145e-05
2019-06-14 05:00:00,0.2,9.089,94.8,0.2,0.00072,0.48824695988379996,2.9221308170873094e-05
2019-06-14 05:30:00,0.0,8.841,96.3,0.2,0.00072,0.48824695988379996,2.8846113638478654e-05
2019-06-14 06:00:00,0.0,8.668,96.6,0.2,0.00072,0.49566354605099927,2.85863723630622e-05
2019-06-14 06:30:00,0.0,8.668,96.0,0.2,0.00072,0.5030358765747858,2.85863723630622e-05
2019-06-14 07:00:00,0.0,9.114,94.9,0.2,0.00072,0.48824695988379996,2.925931655439214e-05
2019-06-14 07:30:00,0.0,9.287,94.5,0.2,0.00072,0.47328011233915324,2.9523270520278577e-05
2019-06-14 08:00:00,0.0,9.509,94.8,0.2,0.00072,0.45813350791558305,2.9864383502258776e-05
2019-06-14 08:30:00,0.0,9.854,94.4,0.2,0.00072,0.43507252525007867,3.0399844855890523e-05
2019-06-14 09:00:00,0.0,10.858,93.6,0.2,0.00072,0.3633748014026812,3.1995235324696024e-05
2019-06-14 09:30:00,0.0,11.613,88.3,0.2,0.00072,0.3715309766296402,3.323138986250876e-05
2019-06-14 10:00:00,0.0,11.904,85.8,0.2,0.00072,0.3876995684344142,0.015304595452220984
2019-06-14 10:30:00,0.0,13.233,80.3,0.2,0.00072,0.3633748014026812,0.022081118545310557
2019-06-14 11:00:00,0.0,12.243,78.4,258.3,0.92988,0.4657293944568368,0.11108147958773305
2019-06-14 11:30:00,0.0,11.127,74.7,258.3,0.92988,0.5949504175055594,0.11513957290084322
2019-06-14 12:00:00,0.0,11.127,74.8,31.61,0.113796,0.5949504175055594,0.006151068181608352
2019-06-14 12:30:00,0.2,9.706,80.8,31.61,0.113796,0.6084615465975445,0.0057219172895221545
2019-06-14 13:00:00,0.2,9.485,88.0,10.76,0.038736,0.5392415679538871,0.0019256554226480935
2019-06-14 13:30:00,0.6,10.198,87.7,10.76,0.038736,0.48824695988379996,0.001997502337805897
2019-06-14 14:00:00,0.6,10.492,89.3,146.7,0.5281199999999999,0.45049222208506245,0.02764465665651275
2019-06-14 14:30:00,0.6,11.2,87.3,146.7,0.5281199999999999,0.41946843972916015,0.02865166592577499
