,Rain,Temp,WS,NR,VPD,PET,Sap velocity (cm/h),Total SF (cm3/h)
2022-04-20 00:30:00,0.0,-2.654,0.0,0.2,0.0562709350414409,1.49850366986647e-05,0.8667874393704736,56.85818292054395
2022-04-20 01:00:00,0.0,-2.654,0.0,0.2,0.054763677852831,1.49850366986647e-05,0.8667874393704736,56.85818292054395
2022-04-20 01:30:00,0.0,-2.859,0.0,0.2,0.0465116126387102,1.4796417407706391e-05,0.0,0.0
2022-04-20 02:00:00,0.0,-3.094,0.0,0.2,0.0427857104290251,1.4582496658078054e-05,0.5897398710503347,38.684844681264714
2022-04-20 02:30:00,0.0,-3.183,0.0,0.2,0.0420190686366056,1.4502118483577876e-05,0.5987812390170888,39.27792636468068
2022-04-20 03:00:00,0.0,-3.212,0.0,0.2,0.0404822508720045,1.44760033753487e-05,0.607822606983843,39.87100804809665
2022-04-20 03:30:00,0.0,-3.242,0.0,0.2,0.0375064053980217,1.4449026759908264e-05,0.6168639749505972,40.464089731512615
2022-04-20 04:00:00,0.0,-3.33,0.0,0.2,0.037260218301033,1.4370123914470793e-05,0.6259053429173513,41.05717141492858
2022-04-20 04:30:00,0.0,-3.301,0.0,0.2,0.0359049899368708,1.4396088360141912e-05,0.6349467108841056,41.65025309834455
2022-04-20 05:00:00,0.0,-3.986,0.0,0.2,0.0491118393002117,1.379260190010827e-05,0.6439880788508597,42.24333478176052
2022-04-20 05:30:00,0.0,-4.621,0.0,0.2,0.0468131285494737,1.3251236661896202e-05,0.653029446817614,42.836416465176484
2022-04-20 06:00:00,0.0,-4.743,0.0,0.2,0.0343574637426618,1.3149188805346515e-05,0.6620708147843681,43.42949814859245
2022-04-20 06:30:00,0.0,-4.926,0.0,0.2,0.0300720030525274,1.2997291685128007e-05,0.6711121827511223,44.02257983200842
2022-04-20 07:00:00,0.0,-4.957,0.0,0.2,0.02704344765799,1.297169961054262e-05,0.6801535507178765,44.615661515424385
2022-04-20 07:30:00,0.0,-4.773,0.0,0.2,0.02656656471381,1.3124191190250924e-05,,
2022-04-20 08:00:00,0.0,-4.712,0.0,0.2,0.0284115606667834,1.3175059497208877e-05,,
2022-04-20 08:30:00,0.0,-4.439,0.0,0.2,0.0325202686708429,1.3404642258520266e-05,,
2022-04-20 09:00:00,0.0,-3.926,0.0,0.2,0.0552724940339073,1.3844647972107833e-05,,
2022-04-20 09:30:00,0.0,-3.627,0.0,0.2,0.0812889424009051,1.4106333627777072e-05,,
2022-04-20 10:00:00,0.0,-2.8,0.0,0.2,0.0969121499679099,1.4850510712224728e-05,,
2022-04-20 10:30:00,0.0,-1.67,0.0,0.2,0.1210569681471029,1.591679267182014e-05,,
2022-04-20 11:00:00,0.0,1.126,0.0,0.2,0.2471888686608931,1.8811025299335736e-05,,
2022-04-20 11:30:00,0.0,0.107,0.0,0.2,0.2080636052085337,1.7712999707961767e-05,,
2022-04-20 12:00:00,1.6,-0.088,0.0,0.2,0.2209113309279118,1.750859787532747e-05,,
2022-04-20 12:30:00,1.0,0.605,0.0,0.2,0.2418865126220365,1.8243318046494744e-05,,
2022-04-20 13:00:00,0.2,0.218,0.0,141.8,0.2234011795452349,0.0151699058565203,,
2022-04-20 13:30:00,0.0,-0.255,1.51,141.8,0.18166584477178,0.0564827689284164,,
2022-04-20 14:00:00,0.0,0.439,1.01,142.2,0.1980060172329366,0.0486365927946048,,
2022-04-20 14:30:00,0.0,0.163,1.51,142.2,0.1810985618876687,0.056516489746582,,
2022-04-20 15:00:00,0.0,-0.339,1.01,92.3,0.1668503284350267,0.0383718685812139,,
2022-04-20 15:30:00,0.0,-0.06,0.5,92.3,0.1757518845601047,0.0263304051403979,,
2022-04-20 16:00:00,0.0,-0.395,0.5,136.7,0.1643892226747176,0.0291650342482232,,
2022-04-20 16:30:00,0.0,-0.004,0.0,136.7,0.1703635976868174,0.0144325873700828,,
2022-04-20 17:00:00,0.0,-0.227,1.01,87.3,0.1712230786887754,0.0387787596053696,,
2022-04-20 17:30:00,0.0,-0.143,0.5,87.3,0.1656254649063139,0.0248133132119611,,
2022-04-20 18:00:00,0.0,-0.255,0.0,46.41,0.1528870970851614,0.0048271017875455,,
2022-04-20 18:30:00,0.0,-0.507,0.0,46.41,0.1336183139203317,0.0047548537268954,,
2022-04-20 19:00:00,0.0,-0.648,0.0,9.98,0.131664973491204,0.0010138688234423,,
2022-04-20 19:30:00,0.0,-0.789,0.0,9.98,0.1326190767248731,0.0010053107255911,,
2022-04-20 20:00:00,0.0,-0.986,0.0,0.2,0.1352638569343711,1.6590637282136346e-05,,
2022-04-20 20:30:00,0.0,-1.128,0.0,0.2,0.1287988220521429,1.644895741404498e-05,,
2022-04-20 21:00:00,0.0,-1.213,0.0,0.2,0.1235251567350645,1.6364599066933522e-05,,
2022-04-20 21:30:00,0.0,-1.498,0.0,0.2,0.1198658719513233,1.6084199353670687e-05,,
2022-04-20 22:00:00,0.0,-1.785,0.0,0.2,0.0900249280951937,1.5805622974320176e-05,,
2022-04-20 22:30:00,0.0,-2.015,0.0,0.2,0.0848187787373292,1.5585100588794324e-05,,
2022-04-20 23:00:00,0.0,-2.102,0.0,0.2,0.0806099670074218,1.5502314722041354e-05,,
2022-04-20 23:30:00,0.0,-2.625,0.0,0.2,0.0805607353071105,1.50118711238033e-05,,
2022-04-21 00:00:00,0.0,-2.625,0.0,0.2,0.0785467169244327,1.50118711238033e-05,,
2022-04-21 00:30:00,0.0,-2.947,0.0,0.2,0.0732435022773092,1.4716023787685217e-05,,
2022-04-21 01:00:00,0.0,-3.538,0.0,0.2,0.0710164673766042,1.4184977209662934e-05,,
2022-04-21 01:30:00,0.0,-3.627,0.0,0.2,0.0705438523134291,1.4106333627777072e-05,,
2022-04-21 02:00:00,0.0,-4.287,0.0,0.2,0.0671251429838828,1.3533840051542804e-05,,
2022-04-21 02:30:00,0.0,-4.651,0.0,0.2,0.0640057899656929,1.322608467553031e-05,,
2022-04-21 03:00:00,0.0,-4.926,0.0,0.2,0.0639559501539668,1.2997291685128007e-05,,
2022-04-21 03:30:00,0.0,-5.295,0.5,0.2,0.0646579210771015,0.0041863460539979,,
2022-04-21 04:00:00,0.0,-5.76,0.0,0.2,0.0643918050737955,1.232267858432776e-05,,
2022-04-21 04:30:00,0.0,-6.073,0.0,0.2,0.0613150918265304,1.2076857748478131e-05,,
2022-04-21 05:00:00,0.0,-6.42,0.0,0.2,0.0581918902826047,1.180895457658046e-05,,
2022-04-21 05:30:00,0.0,-6.706,0.0,0.2,0.0561855026673727,1.159176094960944e-05,,
2022-04-21 06:00:00,0.0,-6.994,0.5,0.2,0.0535045209778032,0.0034981779713078,,
2022-04-21 06:30:00,0.0,-6.706,0.0,0.2,0.054706936807705,1.159176094960944e-05,,
2022-04-21 07:00:00,0.0,-6.073,0.5,0.2,0.0585986004164942,0.0038112268677821,,
2022-04-21 07:30:00,0.0,-4.926,0.5,0.2,0.0715798382517907,0.0046240813045955,,
2022-04-21 08:00:00,0.0,-3.627,0.0,16.49,0.0850263650400272,0.0013956806491322,,
2022-04-21 08:30:00,0.0,-2.8,0.0,16.49,0.0964151645834591,0.0014693095298675,,
2022-04-21 09:00:00,0.0,-1.015,0.0,67.42,0.1361105157011764,0.006699508991536,,
2022-04-21 09:30:00,0.0,-0.423,0.0,67.42,0.1841899441393937,0.0069422453076624,,
2022-04-21 10:00:00,0.0,0.246,0.0,0.2,0.2070667913163516,1.785981602976482e-05,,
2022-04-21 10:30:00,0.0,2.128,0.0,0.2,0.2841405101747266,1.9940463453652268e-05,,
2022-04-21 11:00:00,0.0,4.246,0.0,340.9,0.3938663638895457,0.0460104824722142,,
2022-04-21 11:30:00,0.0,5.847,0.0,340.9,0.4654009472039812,0.0502752166028646,,
2022-04-21 12:00:00,0.0,6.661,0.5,505.2,0.5089629978101273,0.1182083133630442,,
2022-04-21 12:30:00,0.0,6.255,0.5,505.2,0.4987153896389056,0.1158778428597089,,
2022-04-21 13:00:00,0.0,6.102,0.5,139.1,0.4944100349633782,0.0657159284492162,,
2022-04-21 13:30:00,0.0,5.949,0.5,139.1,0.4649746017503268,0.0628235261985834,,
2022-04-21 14:00:00,0.0,6.128,0.0,115.7,0.4820919474296091,0.0173269427172375,,
2022-04-21 14:30:00,0.0,6.788,0.5,115.7,0.5203425619012779,0.0653097997671234,,
2022-04-21 15:00:00,0.0,7.795,0.5,273.7,0.59770361755455,0.0962800168357718,,
2022-04-21 15:30:00,0.0,8.17,0.5,273.7,0.655492885370155,0.1022784778968726,,
2022-04-21 16:00:00,0.0,7.795,0.5,365.0,0.5955878525366578,0.1095494721982529,,
2022-04-21 16:30:00,0.0,7.645,1.01,365.0,0.5685783415022364,0.146150375357415,,
2022-04-21 17:00:00,0.0,7.293,0.5,157.1,0.5110972581821048,0.0705955208402464,,
2022-04-21 17:30:00,0.0,6.636,1.01,157.1,0.463141314359934,0.1000341988726356,,
2022-04-21 18:00:00,0.0,6.306,0.5,60.83,0.4393485550927469,0.0499648264704482,,
2022-04-21 18:30:00,0.0,4.246,1.01,60.83,0.2730586136209035,0.055016973551864,,
2022-04-21 19:00:00,0.0,3.354,0.0,0.2,0.1802678912724044,2.1390953029458888e-05,,
2022-04-21 19:30:00,0.2,2.877,0.0,0.2,0.1134277066764845,2.081754396936355e-05,,
2022-04-21 20:00:00,0.0,2.93,0.0,0.2,0.1131014999928671,2.0880683040757896e-05,,
2022-04-21 20:30:00,0.0,2.316,0.0,0.2,0.1068204240053799,2.0157952211327237e-05,,
2022-04-21 21:00:00,0.0,1.967,0.0,0.2,0.0950368519641208,1.975561857669765e-05,,
2022-04-21 21:30:00,0.0,1.534,0.0,0.2,0.0962257668908478,1.926490497622124e-05,,
2022-04-21 22:00:00,0.0,0.797,0.5,0.2,0.0873653056226916,0.0054515889354406,,
2022-04-21 22:30:00,0.0,0.907,0.5,0.2,0.0932809956259392,0.0058159617321723,,
2022-04-21 23:00:00,0.0,0.66,0.5,0.2,0.096115369491113,0.0060017668506137,,
2022-04-21 23:30:00,0.0,0.329,0.0,0.2,0.0925859197617878,1.794792707733554e-05,,
2022-04-22 00:00:00,0.0,-0.004,0.0,0.2,0.0867083543782368,1.7596424494126897e-05,,
2022-04-22 00:30:00,0.0,-0.479,0.0,0.2,0.0713697501129805,1.7104215521809615e-05,,
2022-04-22 01:00:00,0.0,-0.76,0.0,0.2,0.0635614001773389,1.681807486633895e-05,,
2022-04-22 01:30:00,0.0,-0.845,0.0,0.2,0.06316676331556,1.6732252937511534e-05,,
2022-04-22 02:00:00,0.0,-1.242,0.0,0.2,0.0568901607794176,1.633589492536383e-05,,
2022-04-22 02:30:00,0.0,-1.27,0.0,0.2,0.0584429134870324,1.6308217681522754e-05,,
2022-04-22 03:00:00,0.0,-1.299,0.0,0.2,0.056096702735029,1.6279590361484597e-05,,
2022-04-22 03:30:00,0.0,-1.185,0.0,0.2,0.058809357872473,1.6392350536890145e-05,,
2022-04-22 04:00:00,0.0,-1.213,0.0,0.2,0.0553347987184226,1.6364599066933522e-05,,
2022-04-22 04:30:00,0.0,-0.789,0.0,0.2,0.0622733055925491,1.6788756272397153e-05,,
2022-04-22 05:00:00,0.0,-0.62,0.0,0.2,0.0665512785333524,1.6960170044097344e-05,,
2022-04-22 05:30:00,0.0,-0.479,0.0,0.2,0.0672409215940479,1.7104215521809615e-05,,
2022-04-22 06:00:00,0.0,-0.339,0.0,0.2,0.0679319194342609,1.7248171255919776e-05,,
2022-04-22 06:30:00,0.0,-0.423,0.0,0.2,0.0645553180424242,1.716168621492747e-05,,
2022-04-22 07:00:00,0.0,-0.789,0.0,0.2,0.0576604681412491,1.6788756272397153e-05,,
2022-04-22 07:30:00,0.0,-0.311,0.0,0.2,0.0555314993136083,1.7277074102847625e-05,,
2022-04-22 08:00:00,0.0,-0.199,0.0,0.2,0.0463548035386077,1.7393058651800557e-05,,
2022-04-22 08:30:00,0.0,-0.648,0.0,0.2,0.0378682445881781,1.693167707819595e-05,,
2022-04-22 09:00:00,0.0,-0.563,0.0,0.2,0.0322422126007003,1.70182879840305e-05,,
2022-04-22 09:30:00,0.0,0.301,0.0,0.2,0.0318398317187684,1.791816572653692e-05,,
2022-04-22 10:00:00,0.0,1.262,0.0,0.2,0.0455076665665354,1.8961406393122513e-05,,
2022-04-22 10:30:00,0.0,1.615,0.0,0.2,0.0700162655599995,1.9355992488328196e-05,,
2022-04-22 11:00:00,0.0,0.687,0.0,0.2,0.0442995412014227,1.8331791104630817e-05,,
2022-04-22 11:30:00,0.0,0.88,0.0,0.2,0.0475261906003484,1.8541318940128655e-05,,
2022-04-22 12:00:00,0.0,1.371,0.0,0.2,0.0451915956278382,1.9082590150575e-05,,
2022-04-22 12:30:00,0.6,1.208,0.0,0.2,0.0499974419383395,1.890158731738169e-05,,
2022-04-22 13:00:00,2.4,3.512,0.0,0.2,0.0612882805457975,2.1583454371428903e-05,,
2022-04-22 13:30:00,2.4,4.194,0.0,0.2,0.1286115358287246,2.242914423497689e-05,,
2022-04-22 14:00:00,0.0,4.324,0.0,248.0,0.1289591853876635,0.0336185047522219,,
2022-04-22 14:30:00,0.0,2.93,1.01,248.0,0.0950052599940083,0.0422602308811309,,
2022-04-22 15:00:00,0.0,2.182,0.5,55.88,0.070773656449602,0.0129862388356261,,
2022-04-22 15:30:00,0.0,2.85,0.0,55.88,0.0772229302483764,0.0069689402107456,,
2022-04-22 16:00:00,0.0,2.316,0.0,95.3,0.0671236448141914,0.0115263170744369,,
2022-04-22 16:30:00,0.0,1.697,0.0,95.3,0.059381774684348,0.0111206730039901,,
2022-04-22 17:00:00,0.0,0.439,0.0,0.2,0.0378355446941917,1.8065213317016107e-05,,
2022-04-22 17:30:00,0.0,0.301,0.0,0.2,0.0268453483119027,1.791816572653692e-05,,
2022-04-22 18:00:00,0.0,0.329,0.0,0.2,0.0231464799404469,1.794792707733554e-05,,
2022-04-22 18:30:00,0.0,0.384,0.0,0.2,0.0244952001846213,1.800649708778187e-05,,
2022-04-22 19:00:00,0.0,0.66,0.0,0.2,0.0294753799772746,1.8302623627743337e-05,,
2022-04-22 19:30:00,0.0,0.742,0.0,0.2,0.0302953477452702,1.8391316095075344e-05,,
2022-04-22 20:00:00,0.0,0.632,0.0,0.2,0.0281367588830464,1.827241332264384e-05,,
2022-04-22 20:30:00,0.0,0.55,0.0,0.2,0.0273344891296641,1.8184159407586825e-05,,
2022-04-22 21:00:00,0.0,0.439,0.0,0.2,0.0245931040512246,1.8065213317016107e-05,,
2022-04-22 21:30:00,0.0,0.384,0.0,0.2,0.0232390360725894,1.800649708778187e-05,,
2022-04-22 22:00:00,0.0,0.218,0.0,0.2,0.0210990002903833,1.783016673309866e-05,,
2022-04-22 22:30:00,0.0,0.107,0.0,0.2,0.0184671838942485,1.7712999707961767e-05,,
2022-04-22 23:00:00,0.0,0.024,0.0,0.2,0.0171322949806358,1.7625775123521336e-05,,
2022-04-22 23:30:00,0.0,-0.032,0.0,0.2,0.0158438537941344,1.7567111425925666e-05,,
2022-04-23 00:00:00,0.0,-0.088,0.0,0.2,0.015779380780565,1.750859787532747e-05,,
2022-04-23 00:30:00,0.0,-0.143,0.0,0.2,0.01571628499111,1.745127516915123e-05,,
2022-04-23 01:00:00,0.0,-0.423,0.0,19.97,0.0236900249696969,0.0020563132422726,,
2022-04-23 01:30:00,0.0,-0.591,0.0,19.97,0.029836166176593,0.002035708207076,,
2022-04-23 02:00:00,0.0,-1.185,0.0,0.2,0.0274443670071541,1.6392350536890145e-05,,
2022-04-23 02:30:00,0.0,-1.556,0.0,0.2,0.0245248826436271,1.6027595870542962e-05,,
2022-04-23 03:00:00,0.0,-1.67,0.0,0.2,0.0205364499535263,1.591679267182014e-05,,
2022-04-23 03:30:00,0.0,-2.392,0.0,0.2,0.0184428697819706,1.5228842376959118e-05,,
2022-04-23 04:00:00,0.0,-2.537,0.0,0.2,0.0197656426502245,1.5093530569369392e-05,,
2022-04-23 04:30:00,0.0,-2.976,0.0,0.2,0.0220726989840931,1.4689605829944687e-05,,
2022-04-23 05:00:00,0.0,-2.918,0.0,0.2,0.0280800169020983,1.4742479099707817e-05,,
2022-04-23 05:30:00,0.0,-2.918,0.0,0.2,0.0300505444039998,1.4742479099707817e-05,,
2022-04-23 06:00:00,0.0,-2.859,0.0,0.2,0.0257298282682227,1.4796417407706391e-05,,
2022-04-23 06:30:00,0.0,-2.918,0.0,0.2,0.0236463300228195,1.4742479099707817e-05,,
2022-04-23 07:00:00,0.0,-2.45,0.0,0.2,0.0239746725247546,1.5174604064334126e-05,,
2022-04-23 07:30:00,0.0,-2.45,0.0,0.2,0.0234645731093342,1.5174604064334126e-05,,
2022-04-23 08:00:00,0.0,-2.421,0.0,0.2,0.0230039832000968,1.5201704269017904e-05,,
2022-04-23 08:30:00,0.0,-2.131,0.0,0.2,0.0245489383342968,1.547479593609342e-05,,
2022-04-23 09:00:00,0.0,-1.814,0.0,0.2,0.0272704950893078,1.577768467016847e-05,,
2022-04-23 09:30:00,0.0,-0.507,0.0,0.2,0.0311972274791963,1.70755359006515e-05,,
2022-04-23 10:00:00,0.0,0.77,0.0,0.2,0.0445662969597347,1.8421676331223436e-05,,
2022-04-23 10:30:00,0.0,2.557,0.0,0.2,0.0925180126421608,2.0439356277869107e-05,,
2022-04-23 11:00:00,1.4,2.877,0.0,0.2,0.1111741760802631,2.081754396936355e-05,,
2022-04-23 11:30:00,1.0,5.872,0.0,0.2,0.2669342551829732,2.4613281801622063e-05,,
2022-04-23 12:00:00,0.0,5.591,0.0,541.7,0.3590388196282734,0.0787756605776937,,
2022-04-23 12:30:00,0.0,6.433,0.0,541.7,0.4412896957770567,0.0824794562620521,,
2022-04-23 13:00:00,0.0,8.145,0.5,617.6,0.574206883005538,0.1463504863720174,,
2022-04-23 13:30:00,0.0,8.27,0.5,617.6,0.576922582987505,0.1471589593336904,,
2022-04-23 14:00:00,0.0,8.27,0.5,714.6,0.6107949316098774,0.1649894174677126,,
2022-04-23 14:30:00,0.0,10.001,0.5,714.6,0.7503354387638114,0.1870826572461361,,
2022-04-23 15:00:00,0.0,10.124,0.5,527.5,0.7577805181003419,0.1572210553618647,,
2022-04-23 15:30:00,0.0,10.32,0.5,527.5,0.8141989156794448,0.1631198044717172,,
2022-04-23 16:00:00,0.0,10.81,0.5,486.1,0.8516209930140419,0.161246317293196,,
2022-04-23 16:30:00,0.0,10.761,1.51,486.1,0.8501389016442605,0.2646254906013863,,
2022-04-23 17:00:00,0.0,9.139,1.51,162.9,0.7173502249402536,0.1882356671829604,,
2022-04-23 17:30:00,0.0,10.638,0.5,162.9,0.8560143581606856,0.1056788993857818,,
2022-04-23 18:00:00,0.0,10.1,0.5,262.8,0.750382822116127,0.1123499535731909,,
2022-04-23 18:30:00,0.0,8.344,0.5,262.8,0.6248549858995706,0.0980511520006171,,
2022-04-23 19:00:00,0.0,7.72,0.0,0.2,0.5199260639262369,2.7191966871061615e-05,,
