,Rain,Temp,WS,NR,VPD,PET,Sap velocity (cm/h),Total SF (cm3/h)
2022-04-25 13:30:00,0.0,12.654,1.51,296.7,1.046907676717823,0.2824160231164211,0.5380268202044635,188.6079860077569
2022-04-25 14:00:00,0.0,13.906,1.51,539.0,1.1614708085690684,0.348962854732034,0.6613880132919517,229.1333352760629
2022-04-25 14:30:00,0.0,13.088,2.01,539.0,1.0800991879465207,0.3788383360983477,0.7683035601588741,266.80638308532167
2022-04-25 15:00:00,0.0,12.968,2.01,543.7,1.067171955154321,0.3758181587816823,0.3690104740647868,127.08769445162181
2022-04-25 15:30:00,0.0,13.786,2.01,543.7,1.0988478787081897,0.3856320532466646,0.26135553766510555,81.06450146124887
2022-04-25 16:00:00,0.0,12.485,2.01,484.1,0.993364910463704,0.3460249520237404,0.3994072084932674,139.93585571592493
2022-04-25 16:30:00,0.0,13.161,1.51,484.1,1.0443963721655831,0.3124422106367542,0.2458257808848005,76.24764545560717
2022-04-25 17:00:00,0.0,13.016,1.01,253.5,1.0225493464294773,0.2111374881185583,-0.3377186983220464,-142.35096346439
2022-04-25 17:30:00,0.0,13.473,1.01,253.5,1.065875527868182,0.2183770448996202,0.7011608364782014,258.2924866963653
2022-04-25 18:00:00,0.0,13.473,1.01,77.7,1.0566070450171543,0.185223510317206,0.042702336392338947,-0.7035773188238394
2022-04-25 18:30:00,0.0,12.195,1.01,77.7,0.9589728267123752,0.1706499794929425,0.24554156392583296,80.76975465370471
2022-04-25 19:00:00,0.0,11.224,0.5,0.2,0.8633876572060271,0.0498665577844459,0.18299621716825407,61.3700993071212
2022-04-25 19:30:00,0.0,10.81,0.5,0.2,0.8451398591250462,0.0489774309188378,0.7346891091212234,264.23072098468015
2022-04-25 20:00:00,0.0,8.195,0.0,0.2,0.580511288640179,2.7884535497595156e-05,0.1361489508490531,45.6887590235668
2022-04-25 20:30:00,0.0,6.839,0.5,0.2,0.4736197960425223,0.0283073351368473,0.18354355782038442,56.92960303829023
2022-04-25 21:00:00,0.0,8.319,0.5,0.2,0.5799428145394367,0.0342771863733454,0.4608518781637512,162.4035559741336
2022-04-25 21:30:00,0.0,7.995,0.5,0.2,0.5501430276057993,0.0325966539005178,0.4592857815144994,166.4473986794635
2022-04-25 22:00:00,0.0,5.745,0.0,0.2,0.3922971642365548,2.4442777673205428e-05,0.48914626691395,179.0942659616139
2022-04-25 22:30:00,0.0,6.382,0.0,0.2,0.4090153567990434,2.5306633599255708e-05,0.4263350841061458,159.61215639548539
2022-04-25 23:00:00,0.0,6.0,0.0,0.2,0.3805895271812497,2.4785996285137452e-05,0.4757445971400474,169.28994359043995
2022-04-25 23:30:00,0.0,6.712,0.0,0.2,0.4449445263208343,2.57626807481102e-05,0.39704753689135014,146.01233776764204
2022-04-26 00:00:00,0.0,7.091,0.0,0.2,0.4899540565056831,2.6293655713524186e-05,0.4669007640243189,165.85520502030357
2022-04-26 00:30:00,0.0,7.469,0.5,0.2,0.5514332930883384,0.0328022896992871,0.5741513269981207,203.61039534760286
2022-04-26 01:00:00,0.0,8.469,0.5,0.2,0.6523300480008822,0.0385095149517265,0.3738857940180874,134.75327018234097
2022-04-26 01:30:00,0.0,5.411,0.0,0.2,0.4084335211152276,2.399844920328174e-05,0.4669007640243189,165.85520502030357
2022-04-26 02:00:00,0.0,6.509,0.0,0.2,0.4968804899916119,2.5481452105946365e-05,0.48303831246590473,169.7353869045225
2022-04-26 02:30:00,0.0,4.766,0.0,0.2,0.3818832497541957,2.315705943392293e-05,0.5756263535429145,200.70260750932385
2022-04-26 03:00:00,0.0,3.749,0.0,0.2,0.3188030476804382,2.187461352211544e-05,0.40788713118873554,138.51712388020172
2022-04-26 03:30:00,0.0,3.749,0.0,0.2,0.3172050374163759,2.187461352211544e-05,0.5444887701089622,191.04468060893515
2022-04-26 04:00:00,0.0,3.617,0.5,0.2,0.3134723384658868,0.0191724758719537,0.5886358376410556,210.3409026062106
2022-04-26 04:30:00,0.0,3.089,0.5,0.2,0.2890125452764406,0.0177408299952477,0.4669007640243189,165.85520502030357
2022-04-26 05:00:00,0.0,2.877,0.0,0.2,0.2801889707968792,2.081754396936355e-05,0.49711735883999664,177.4744206525301
2022-04-26 05:30:00,0.0,2.209,0.0,0.2,0.2485442496543579,2.0033951075235626e-05,0.484698625998524,165.73808289192874
