,Rain,Temp,WS,NR,VPD,PET,Sap velocity (cm/h),Total SF (cm3/h)
2022-04-20 00:30:00,0.0,-2.654,0.0,0.2,0.0562709350414409,1.49850366986647e-05,2.0098940754152625,122.43366547465556
2022-04-20 01:00:00,0.0,-2.654,0.0,0.2,0.054763677852831,1.49850366986647e-05,2.1372039098487727,130.18880534561904
2022-04-20 01:30:00,0.0,-2.859,0.0,0.2,0.0465116126387102,1.4796417407706391e-05,1.5116864775433767,92.08510973687342
2022-04-20 02:00:00,0.0,-3.094,0.0,0.2,0.0427857104290251,1.4582496658078054e-05,2.4611816209148865,149.9240636276844
2022-04-20 02:30:00,0.0,-3.183,0.0,0.2,0.0420190686366056,1.4502118483577876e-05,3.473593260099701,211.59560615859684
2022-04-20 03:00:00,0.0,-3.212,0.0,0.2,0.0404822508720045,1.44760033753487e-05,3.1123963184088512,189.59312051998955
2022-04-20 03:30:00,0.0,-3.242,0.0,0.2,0.0375064053980217,1.4449026759908264e-05,3.592692043774102,218.8505659185122
2022-04-20 04:00:00,0.0,-3.33,0.0,0.2,0.037260218301033,1.4370123914470793e-05,3.0603100004205355,186.4202573774031
2022-04-20 04:30:00,0.0,-3.301,0.0,0.2,0.0359049899368708,1.4396088360141912e-05,3.2506934999956343,198.0175599337858
2022-04-20 05:00:00,0.0,-3.986,0.0,0.2,0.0491118393002117,1.379260190010827e-05,3.3538499267247825,204.30138334328956
2022-04-20 05:30:00,0.0,-4.621,0.0,0.2,0.0468131285494737,1.3251236661896202e-05,3.2679197696532856,199.0669064453453
2022-04-20 06:00:00,0.0,-4.743,0.0,0.2,0.0343574637426618,1.3149188805346515e-05,4.685400538237912,285.4134300559447
2022-04-20 06:30:00,0.0,-4.926,0.0,0.2,0.0300720030525274,1.2997291685128007e-05,4.685400538237912,285.4134300559447
2022-04-20 07:00:00,0.0,-4.957,0.0,0.2,0.02704344765799,1.297169961054262e-05,6.442034362624861,392.41962538095004
2022-04-20 07:30:00,0.0,-4.773,0.0,0.2,0.02656656471381,1.3124191190250924e-05,4.539493703402494,276.52544495005566
2022-04-20 08:00:00,0.0,-4.712,0.0,0.2,0.0284115606667834,1.3175059497208877e-05,3.8121930898817467,232.2215778435699
2022-04-20 08:30:00,0.0,-4.439,0.0,0.2,0.0325202686708429,1.3404642258520266e-05,3.5587291133688774,216.7816976579233
2022-04-20 09:00:00,0.0,-3.926,0.0,0.2,0.0552724940339073,1.3844647972107833e-05,3.5247140428992845,214.70965326020522
2022-04-20 09:30:00,0.0,-3.627,0.0,0.2,0.0812889424009051,1.4106333627777072e-05,3.7448850236911513,228.12147457916143
2022-04-20 10:00:00,0.0,-2.8,0.0,0.2,0.0969121499679099,1.4850510712224728e-05,5.117557032172769,311.73845099028847
2022-04-20 10:30:00,0.0,-1.67,0.0,0.2,0.1210569681471029,1.591679267182014e-05,8.075429005882544,491.91864664125563
2022-04-20 11:00:00,0.0,1.126,0.0,0.2,0.2471888686608931,1.8811025299335736e-05,9.11451902908107,555.215315781422
2022-04-20 11:30:00,0.0,0.107,0.0,0.2,0.2080636052085337,1.7712999707961767e-05,9.839927511457647,599.403922808099
2022-04-20 12:00:00,1.6,-0.088,0.0,0.2,0.2209113309279118,1.750859787532747e-05,11.26747821479012,686.3638613430718
2022-04-20 12:30:00,1.0,0.605,0.0,0.2,0.2418865126220365,1.8243318046494744e-05,12.26757022709687,747.2849478701523
2022-04-20 13:00:00,0.2,0.218,0.0,141.8,0.2234011795452349,0.0151699058565203,11.094906877374958,675.8515952221637
2022-04-20 13:30:00,0.0,-0.255,1.51,141.8,0.18166584477178,0.0564827689284164,10.494213560458407,639.2600725564595
2022-04-20 14:00:00,0.0,0.439,1.01,142.2,0.1980060172329366,0.0486365927946048,9.460091999852539,576.2660597077034
2022-04-20 14:30:00,0.0,0.163,1.51,142.2,0.1810985618876687,0.056516489746582,8.214723499742467,500.403837812429
2022-04-20 15:00:00,0.0,-0.339,1.01,92.3,0.1668503284350267,0.0383718685812139,6.769029824915253,412.33871143204976
2022-04-20 15:30:00,0.0,-0.06,0.5,92.3,0.1757518845601047,0.0263304051403979,5.541657048776721,337.5727077283985
2022-04-20 16:00:00,0.0,-0.395,0.5,136.7,0.1643892226747176,0.0291650342482232,4.062802038232582,247.4875426138785
2022-04-20 16:30:00,0.0,-0.004,0.0,136.7,0.1703635976868174,0.0144325873700828,3.5076868960089707,213.67243640790628
2022-04-20 17:00:00,0.0,-0.227,1.01,87.3,0.1712230786887754,0.0387787596053696,2.9208064004821708,177.92232840876574
2022-04-20 17:30:00,0.0,-0.143,0.5,87.3,0.1656254649063139,0.0248133132119611,2.479039610785485,151.01189168022242
2022-04-20 18:00:00,0.0,-0.255,0.0,46.41,0.1528870970851614,0.0048271017875455,2.1009059923891495,127.9777002241912
2022-04-20 18:30:00,0.0,-0.507,0.0,46.41,0.1336183139203317,0.0047548537268954,1.7714536663180458,107.90895313277899
2022-04-20 19:00:00,0.0,-0.648,0.0,9.98,0.131664973491204,0.0010138688234423,1.5489887709403891,94.35739690218769
2022-04-20 19:30:00,0.0,-0.789,0.0,9.98,0.1326190767248731,0.0010053107255911,1.3618254844324418,82.95625517549412
2022-04-20 20:00:00,0.0,-0.986,0.0,0.2,0.1352638569343711,1.6590637282136346e-05,1.267627390382995,77.2181329150873
2022-04-20 20:30:00,0.0,-1.128,0.0,0.2,0.1287988220521429,1.644895741404498e-05,1.0779772908238732,65.66550577384888
2022-04-20 21:00:00,0.0,-1.213,0.0,0.2,0.1235251567350645,1.6364599066933522e-05,0.8673965918149603,52.83788108793127
2022-04-20 21:30:00,0.0,-1.498,0.0,0.2,0.1198658719513233,1.6084199353670687e-05,-0.016523269089860966,-1.006522893440433
2022-04-20 22:00:00,0.0,-1.785,0.0,0.2,0.0900249280951937,1.5805622974320176e-05,0.7516502339078137,45.787135957999276
2022-04-20 22:30:00,0.0,-2.015,0.0,0.2,0.0848187787373292,1.5585100588794324e-05,1.267627390382995,77.2181329150873
2022-04-20 23:00:00,0.0,-2.102,0.0,0.2,0.0806099670074218,1.5502314722041354e-05,2.568110681951316,156.43769887274
2022-04-20 23:30:00,0.0,-2.625,0.0,0.2,0.0805607353071105,1.50118711238033e-05,2.1553300910725537,131.29297040358452
2022-04-21 00:00:00,0.0,-2.625,0.0,0.2,0.0785467169244327,1.50118711238033e-05,2.388474682176159,145.49508544216266
2022-04-21 00:30:00,0.0,-2.947,0.0,0.2,0.0732435022773092,1.4716023787685217e-05,1.811519307767406,110.34957097540087
2022-04-21 01:00:00,0.0,-3.538,0.0,0.2,0.0710164673766042,1.4184977209662934e-05,3.3116826617156123,201.73274408947853
2022-04-21 01:30:00,0.0,-3.627,0.0,0.2,0.0705438523134291,1.4106333627777072e-05,3.4137939603159944,207.9529030157338
2022-04-21 02:00:00,0.0,-4.287,0.0,0.2,0.0671251429838828,1.3533840051542804e-05,3.7005762345270403,225.42238335019456
2022-04-21 02:30:00,0.0,-4.651,0.0,0.2,0.0640057899656929,1.322608467553031e-05,8.147968012343151,496.33739515118737
2022-04-21 03:00:00,0.0,-4.926,0.0,0.2,0.0639559501539668,1.2997291685128007e-05,1.9390492862381588,118.11812102640401
2022-04-21 03:30:00,0.0,-5.295,0.5,0.2,0.0646579210771015,0.0041863460539979,7.6873697148808,468.2798280587275
2022-04-21 04:00:00,0.0,-5.76,0.0,0.2,0.0643918050737955,1.232267858432776e-05,3.260449334784598,198.61184130790807
2022-04-21 04:30:00,0.0,-6.073,0.0,0.2,0.0613150918265304,1.2076857748478131e-05,2.2814587827646373,138.97616039567103
2022-04-21 05:00:00,0.0,-6.42,0.0,0.2,0.0581918902826047,1.180895457658046e-05,2.0115869082738063,122.53678520342267
2022-04-21 05:30:00,0.0,-6.706,0.0,0.2,0.0561855026673727,1.159176094960944e-05,2.2635714387913737,137.88654422383365
2022-04-21 06:00:00,0.0,-6.994,0.5,0.2,0.0535045209778032,0.0034981779713078,1.8297840829498655,111.4621785510996
2022-04-21 06:30:00,0.0,-6.706,0.0,0.2,0.054706936807705,1.159176094960944e-05,1.8480334055619883,112.57384482603504
2022-04-21 07:00:00,0.0,-6.073,0.5,0.2,0.0585986004164942,0.0038112268677821,1.8297840829498655,111.4621785510996
2022-04-21 07:30:00,0.0,-4.926,0.5,0.2,0.0715798382517907,0.0046240813045955,1.8480334055619883,112.57384482603504
2022-04-21 08:00:00,0.0,-3.627,0.0,16.49,0.0850263650400272,0.0013956806491322,2.1379454492333565,130.23397657432156
2022-04-21 08:30:00,0.0,-2.8,0.0,16.49,0.0964151645834591,0.0014693095298675,2.2456693452154455,136.7960295728472
2022-04-21 09:00:00,0.0,-1.015,0.0,67.42,0.1361105157011764,0.006699508991536,2.2635714387913737,137.88654422383365
2022-04-21 09:30:00,0.0,-0.423,0.0,67.42,0.1841899441393937,0.0069422453076624,2.45952717327462,149.82328215297318
2022-04-21 10:00:00,0.0,0.246,0.0,0.2,0.2070667913163516,1.785981602976482e-05,3.1060308206303233,189.2053631574853
2022-04-21 10:30:00,0.0,2.128,0.0,0.2,0.2841405101747266,1.9940463453652268e-05,5.993261128397593,365.08238770985116
2022-04-21 11:00:00,0.0,4.246,0.0,340.9,0.3938663638895457,0.0460104824722142,10.978269747374332,668.7465882812033
2022-04-21 11:30:00,0.0,5.847,0.0,340.9,0.4654009472039812,0.0502752166028646,11.052157975878847,673.2475253016618
2022-04-21 12:00:00,0.0,6.661,0.5,505.2,0.5089629978101273,0.1182083133630442,9.413896384788343,573.452031570426
2022-04-21 12:30:00,0.0,6.255,0.5,505.2,0.4987153896389056,0.1158778428597089,8.106458773312475,493.80883986673075
2022-04-21 13:00:00,0.0,6.102,0.5,139.1,0.4944100349633782,0.0657159284492162,8.436549641468641,513.9164840567464
2022-04-21 13:30:00,0.0,5.949,0.5,139.1,0.4649746017503268,0.0628235261985834,4.082776682920867,248.7043077139176
2022-04-21 14:00:00,0.0,6.128,0.0,115.7,0.4820919474296091,0.0173269427172375,1.9572065259211948,119.22417802537132
2022-04-21 14:30:00,0.0,6.788,0.5,115.7,0.5203425619012779,0.0653097997671234,1.0678986842144704,65.0515625988528
2022-04-21 15:00:00,0.0,7.795,0.5,273.7,0.59770361755455,0.0962800168357718,0.9160221263208588,55.79992893813525
