Label,"Probe1 (9 in right)","Probe2 (3 in up) ","Probe3 (7 in down)","resistance","counter","Power"
Units,"m3.m-3","m3.m-3","m3.m-3","ohm","events","V"
8/2/2021 9:00:00 AM,0.041,0.023,0.059,#+INF,0,8.0
8/2/2021 10:00:00 AM,0.041,0.023,0.059,#+INF,0,8.0
8/2/2021 11:00:00 AM,0.041,0.023,0.059,#+INF,0,8.0
8/2/2021 12:00:00 PM,0.041,0.023,0.059,#+INF,0,8.0
8/2/2021 1:00:00 PM,0.041,0.024,0.059,#+INF,0,8.0
8/2/2021 2:00:00 PM,0.041,0.024,0.059,#+INF,0,8.0
8/2/2021 3:00:00 PM,0.041,0.024,0.059,#+INF,0,8.0
8/2/2021 4:00:00 PM,0.041,0.024,0.059,#+INF,0,8.0
8/2/2021 5:00:00 PM,0.041,0.024,0.059,#+INF,0,8.0
8/2/2021 6:00:00 PM,0.041,0.024,0.059,#+INF,0,8.0
8/2/2021 7:00:00 PM,0.041,0.024,0.059,#+INF,0,8.0
8/2/2021 8:00:00 PM,0.041,0.024,0.058,#+INF,0,8.0
8/2/2021 9:00:00 PM,0.041,0.024,0.058,#+INF,0,8.0
8/2/2021 10:00:00 PM,0.041,0.023,0.058,#+INF,0,8.0
8/2/2021 11:00:00 PM,0.041,0.023,0.058,#+INF,0,8.0
8/3/2021 12:00:00 AM,0.041,0.023,0.058,#+INF,0,8.0
8/3/2021 1:00:00 AM,0.041,0.023,0.058,#+INF,0,8.0
8/3/2021 2:00:00 AM,0.041,0.023,0.058,#+INF,0,8.0
8/3/2021 3:00:00 AM,0.041,0.023,0.058,#+INF,0,8.0
8/3/2021 4:00:00 AM,0.041,0.023,0.058,#+INF,0,8.0
8/3/2021 5:00:00 AM,0.041,0.023,0.058,#+INF,0,8.0
8/3/2021 6:00:00 AM,0.041,0.023,0.058,#+INF,0,8.0
8/3/2021 7:00:00 AM,0.041,0.023,0.058,#+INF,0,8.0
8/3/2021 8:00:00 AM,0.041,0.023,0.058,#+INF,0,8.0
8/3/2021 9:00:00 AM,0.041,0.023,0.058,#+INF,0,8.0
8/3/2021 10:00:00 AM,0.041,0.023,0.058,#+INF,0,8.0
