z6B00123,Port1,,,Port2,,,Port3,,,Port7,
# Records: 9333,GS3 Moisture/Temp/EC,,,GS3 Moisture/Temp/EC,,,GS3 Moisture/Temp/EC,,,Battery,
Timestamps, m³/m³ Water Content, °C Soil Temperature, mS/cm Saturation Extract EC, m³/m³ Water Content, °C Soil Temperature, mS/cm Saturation Extract EC, m³/m³ Water Content, °C Soil Temperature, mS/cm Saturation Extract EC,% Battery Percent, mV Battery Voltage
,,,,,,,,,,,
2020-09-27 19:00:00,0.14,14.2,0,0.028,16.3,0,0.112,14.2,0,100,9270
2020-09-27 20:00:00,0.138,12.8,0,0.027,13.6,0,0.113,11.8,0,100,9267
2020-09-27 21:00:00,0.137,11.2,0,0.027,12.1,0,0.113,10.5,0,100,9269
2020-09-27 22:00:00,0.136,9.9,0,0.026,11.2,0,0.115,10,0,100,9268
2020-09-27 23:00:00,0.136,9.1,0,0.026,10.2,0,0.113,9.3,0,100,9266
2020-09-28 00:00:00,0.135,8.4,0,0.025,9.3,0,0.113,8.6,0,100,9269
2020-09-28 01:00:00,0.135,8,0,0.025,9.1,0,0.113,8.4,0,100,9270
2020-09-28 02:00:00,0.135,7.8,0,0.024,9.2,0,0.113,8.7,0,100,9268
2020-09-28 03:00:00,0.134,7.6,0,0.024,8.9,0,0.112,8.5,0,100,9269
2020-09-28 04:00:00,0.134,7.6,0,0.024,8.9,0,0.112,8.4,0,100,9268
2020-09-28 05:00:00,0.134,7.4,0,0.023,8.7,0,0.112,8.2,0,100,9269
2020-09-28 06:00:00,0.133,7.3,0,0.023,8.8,0,0.112,8.4,0,100,9269
2020-09-28 07:00:00,0.133,7.4,0,0.023,9.2,0,0.111,8.8,0,100,9266
2020-09-28 08:00:00,0.132,7.7,0,0.023,9.6,0,0.111,9.2,0,100,9268
2020-09-28 09:00:00,0.132,8,0,0.022,10.1,0,0.111,9.7,0,100,9265
2020-09-28 10:00:00,0.131,8.4,0,0.023,10.6,0,0.109,10.1,0,100,9264
2020-09-28 11:00:00,0.131,8.9,0,0.023,11.6,0,0.108,11,0,100,9266
2020-09-28 12:00:00,0.13,9.4,0,0.023,12.2,0,0.107,11.6,0,100,9265
2020-09-28 13:00:00,0.129,10,0,0.023,12.6,0,0.106,12.1,0,100,9266
2020-09-28 14:00:00,0.128,10.4,0,0.023,13.2,0,0.106,12.8,0,100,9264
2020-09-28 15:00:00,0.127,10.9,0,0.023,14.1,0,0.105,13.6,0,100,9262
2020-09-28 16:00:00,0.127,11.6,0,0.024,14.5,0,0.106,14.6,0,100,9260
2020-09-28 17:00:00,0.125,13,0,0.024,15.3,0,0.107,15.7,0,100,9261
2020-09-28 18:00:00,0.124,13.6,0,0.024,15.6,0,0.106,15.7,0,100,9258
2020-09-28 19:00:00,0.122,13.7,0,0.023,16.1,0,0.102,15.5,0,100,9261
2020-09-28 20:00:00,0.121,13.1,0,0.023,15.5,0,0.102,14.8,0,100,9263
2020-09-28 21:00:00,0.12,12.5,0,0.023,15.3,0,0.102,14.5,0,100,9264
2020-09-28 22:00:00,0.119,12.2,0,0.022,15,0,0.101,14.3,0,100,9260
2020-09-28 23:00:00,0.118,12.1,0,0.023,14.8,0,0.101,14,0,100,9260
2020-09-29 00:00:00,0.118,12,0,0.023,14.8,0,0.101,14,0,100,9260
2020-09-29 01:00:00,0.117,12,0,0.023,14.7,0,0.101,13.9,0,100,9263
2020-09-29 02:00:00,0.116,12.1,0,0.023,14.7,0,0.1,13.9,0,100,9259
2020-09-29 03:00:00,0.116,12.1,0,0.023,14.9,0,0.1,14,0,100,9258
2020-09-29 04:00:00,0.116,12.1,0,0.023,14.9,0,0.1,14.1,0,100,9260
2020-09-29 05:00:00,0.115,12.1,0,0.023,14.8,0,0.1,14,0,100,9262
2020-09-29 06:00:00,0.114,12,0,0.023,14.7,0,0.099,13.8,0,100,9262
2020-09-29 07:00:00,0.114,11.9,0,0.023,14.6,0,0.1,13.8,0,100,9258
2020-09-29 08:00:00,0.113,11.8,0,0.023,14.4,0,0.099,13.5,0,100,9262
2020-09-29 09:00:00,0.113,11.7,0,0.023,14.4,0,0.099,13.5,0,100,9257
2020-09-29 10:00:00,0.113,11.6,0,0.023,14.4,0,0.099,13.6,0,100,9260
2020-09-29 11:00:00,0.112,11.8,0,0.023,14.7,0,0.098,14,0,100,9260
2020-09-29 12:00:00,0.112,12,0,0.022,15.2,0,0.098,14.4,0,100,9258
2020-09-29 13:00:00,0.111,12.3,0,0.022,15.7,0,0.097,14.9,0,100,9260
2020-09-29 14:00:00,0.11,12.9,0,0.023,16.3,0,0.097,16.3,0,100,9260
2020-09-29 15:00:00,0.109,13.6,0,0.023,17,0,0.095,18.9,0,100,9259
2020-09-29 16:00:00,0.108,15.5,0,0.023,17.8,0,0.094,19.7,0,100,9257
2020-09-29 17:00:00,0.106,18.2,0,0.021,18.7,0,0.093,19.9,0,100,9257
2020-09-29 18:00:00,0.105,18.2,0,0.021,18.7,0,0.093,19,0,100,9260
2020-09-29 19:00:00,0.103,17,0,0.021,17.3,0,0.093,16.8,0,100,9259
2020-09-29 20:00:00,0.103,15.4,0,0.02,15.7,0,0.094,14.9,0,100,9258
2020-09-29 21:00:00,0.103,14.2,0,0.021,14.6,0,0.094,13.8,0,100,9256
2020-09-29 22:00:00,0.103,13.3,0,0.021,14,0,0.095,13.1,0,100,9256
2020-09-29 23:00:00,0.103,12.7,0,0.021,13.6,0,0.094,12.8,0,100,9257
2020-09-30 00:00:00,0.103,12.5,0,0.021,13.3,0,0.095,12.8,0,100,9261
2020-09-30 01:00:00,0.103,12,0,0.021,12.8,0,0.095,12.2,0,100,9256
2020-09-30 02:00:00,0.103,11.8,0,0.021,12.5,0,0.095,12,0,100,9256
2020-09-30 03:00:00,0.103,11.6,0,0.021,12.3,0,0.095,11.8,0,100,9254
2020-09-30 04:00:00,0.103,11.2,0,0.021,11.8,0,0.095,11.2,0,100,9259
2020-09-30 05:00:00,0.104,10.8,0,0.021,11.2,0,0.095,10.7,0,100,9254
2020-09-30 06:00:00,0.104,10.4,0,0.021,10.7,0,0.095,10.2,0,100,9258
2020-09-30 07:00:00,0.104,10.1,0,0.021,10.5,0,0.095,10,0,100,9256
2020-09-30 08:00:00,0.104,10.1,0,0.022,10.5,0,0.095,10.1,0,100,9256
2020-09-30 09:00:00,0.105,10,0,0.021,10.4,0,0.095,10,0,100,9253
2020-09-30 10:00:00,0.105,9.7,0,0.022,10.1,0,0.096,9.8,0,100,9257
2020-09-30 11:00:00,0.105,9.8,0,0.021,10,0,0.096,9.9,0,100,9253
2020-09-30 12:00:00,0.105,10.1,0,0.021,10.3,0,0.095,10.3,0,100,9255
2020-09-30 13:00:00,0.106,10.6,0,0.022,10.6,0,0.095,10.9,0,100,9253
2020-09-30 14:00:00,0.105,11.2,0,0.022,11.2,0,0.095,12.1,0,100,9253
2020-09-30 15:00:00,0.104,11.8,0,0.022,11.9,0,0.094,16.4,0,100,9253
2020-09-30 16:00:00,0.103,14,0,0.023,13.1,0,0.091,18.6,0,100,9251
2020-09-30 17:00:00,0.102,17.1,0,0.024,15.1,0,0.09,19.6,0,100,9255
2020-09-30 18:00:00,0.099,18.9,0,0.024,18.3,0,0.089,21,0,100,9251
2020-09-30 19:00:00,0.097,18.5,0,0.022,18.2,0,0.091,18.4,0,100,9252
2020-09-30 20:00:00,0.096,16.3,0,0.022,15.5,0,0.09,15,0,100,9250
2020-09-30 21:00:00,0.095,14.4,0,0.022,13.8,0,0.09,13,0,100,9250
2020-09-30 22:00:00,0.096,12.9,0,0.022,12.7,0,0.091,11.7,0,100,9249
2020-09-30 23:00:00,0.096,11.7,0,0.022,11.7,0,0.091,10.7,0,100,9249
2020-10-01 00:00:00,0.097,10.8,0,0.022,10.9,0,0.092,10,0,100,9252
2020-10-01 01:00:00,0.098,10.2,0,0.022,10.4,0,0.094,9.5,0,100,9249
2020-10-01 02:00:00,0.098,9.6,0,0.021,10,0,0.095,9.1,0,100,9250
2020-10-01 03:00:00,0.099,9.2,0,0.022,9.6,0,0.095,8.8,0,100,9247
2020-10-01 04:00:00,0.1,8.9,0,0.022,9.4,0,0.095,8.7,0,100,9250
2020-10-01 05:00:00,0.1,8.7,0,0.022,9.3,0,0.094,8.8,0,100,9250
2020-10-01 06:00:00,0.1,8.7,0,0.022,9.5,0,0.093,9,0,100,9251
2020-10-01 07:00:00,0.101,8.9,0,0.022,9.8,0,0.094,9.5,0,100,9250
2020-10-01 08:00:00,0.101,9.3,0,0.022,10.3,0,0.093,10.1,0,100,9249
2020-10-01 09:00:00,0.101,9.5,0,0.022,10.4,0,0.093,10.2,0,100,9247
2020-10-01 10:00:00,0.101,9.8,0,0.022,10.7,0,0.093,10.6,0,100,9246
2020-10-01 11:00:00,0.101,10.4,0,0.022,11.9,0,0.093,11.8,0,100,9247
2020-10-01 12:00:00,0.101,11.4,0,0.022,13.3,0,0.091,13.3,0,100,9244
2020-10-01 13:00:00,0.1,12.2,0,0.022,14.1,0,0.09,14.2,0,100,9244
2020-10-01 14:00:00,0.1,13.2,0,0.022,15.2,0,0.089,15.6,0,100,9243
2020-10-01 15:00:00,0.098,14.1,0,0.022,16,0,0.088,17.2,0,100,9244
2020-10-01 16:00:00,0.097,15.9,0,0.022,17,0,0.088,19.5,0,100,9247
2020-10-01 17:00:00,0.095,17.4,0,0.022,18,0,0.087,19.5,0,100,9244
2020-10-01 18:00:00,0.093,18.6,0,0.022,19.7,0,0.086,20.4,0,100,9241
2020-10-01 19:00:00,0.091,18.3,0,0.02,18.9,0,0.086,18.8,0,100,9242
2020-10-01 20:00:00,0.09,16.9,0,0.02,17.2,0,0.085,16.8,0,100,9246
2020-10-01 21:00:00,0.09,15.6,0,0.019,16.2,0,0.084,15.4,0,100,9243
2020-10-01 22:00:00,0.09,14.4,0,0.019,15.4,0,0.085,14.4,0,100,9244
2020-10-01 23:00:00,0.09,13.4,0,0.019,14.6,0,0.087,13.5,0,100,9244
2020-10-02 00:00:00,0.09,12.7,0,0.019,14,0,0.087,13,0,100,9242
2020-10-02 01:00:00,0.09,12.2,0,0.019,13.5,0,0.086,12.5,0,100,9244
2020-10-02 02:00:00,0.09,11.9,0,0.019,13.2,0,0.084,12.2,0,100,9241
2020-10-02 03:00:00,0.091,11.6,0,0.019,12.8,0,0.085,11.8,0,100,9241
2020-10-02 04:00:00,0.091,11.2,0,0.019,12.3,0,0.085,11.3,0,100,9243
2020-10-02 05:00:00,0.091,10.8,0,0.019,11.8,0,0.085,10.8,0,100,9241
2020-10-02 06:00:00,0.092,10.4,0,0.019,11.4,0,0.085,10.3,0,100,9244
2020-10-02 07:00:00,0.093,10,0,0.019,10.9,0,0.085,9.8,0,100,9244
2020-10-02 08:00:00,0.093,9.7,0,0.018,10.6,0,0.086,9.4,0,100,9240
2020-10-02 09:00:00,0.093,9.4,0,0.019,10.3,0,0.085,9.2,0,100,9239
2020-10-02 10:00:00,0.093,9.2,0,0.019,10.2,0,0.086,9.2,0,100,9241
2020-10-02 11:00:00,0.094,9.1,0,0.019,10.1,0,0.086,9.2,0,100,9238
2020-10-02 12:00:00,0.094,9.3,0,0.019,10.8,0,0.086,10,0,100,9241
2020-10-02 13:00:00,0.094,9.8,0,0.02,11.8,0,0.086,11.2,0,100,9241
2020-10-02 14:00:00,0.095,10.6,0,0.02,13,0,0.085,13.9,0,100,9240
2020-10-02 15:00:00,0.094,12,0,0.021,14.5,0,0.083,18.9,0,100,9240
2020-10-02 16:00:00,0.093,15.1,0,0.022,15.9,0,0.083,21.1,0,100,9237
2020-10-02 17:00:00,0.091,18.3,0,0.022,17.6,0,0.082,22,0,100,9236
2020-10-02 18:00:00,0.088,18.9,0,0.021,18.5,0,0.08,20.4,0,100,9237
2020-10-02 19:00:00,0.087,17.9,0,0.021,17.6,0,0.08,18.1,0,100,9237
2020-10-02 20:00:00,0.085,16.3,0,0.02,16.1,0,0.081,16,0,100,9238
2020-10-02 21:00:00,0.085,14.8,0,0.02,15,0,0.082,14.3,0,100,9237
2020-10-02 22:00:00,0.085,13.6,0,0.02,14.1,0,0.08,13.2,0,100,9237
2020-10-02 23:00:00,0.085,12.7,0,0.02,13.3,0,0.08,12.4,0,100,9237
2020-10-03 00:00:00,0.085,11.9,0,0.02,12.6,0,0.08,11.8,0,100,9237
2020-10-03 01:00:00,0.086,11.3,0,0.02,12,0,0.082,11.2,0,100,9239
2020-10-03 02:00:00,0.087,10.8,0,0.02,11.5,0,0.083,10.6,0,100,9237
2020-10-03 03:00:00,0.087,10.4,0,0.019,11.1,0,0.084,10.2,0,100,9238
2020-10-03 04:00:00,0.088,10,0,0.02,10.8,0,0.084,9.8,0,100,9237
2020-10-03 05:00:00,0.088,9.6,0,0.019,10.4,0,0.084,9.4,0,100,9236
2020-10-03 06:00:00,0.089,9.2,0,0.019,10,0,0.084,9,0,100,9235
2020-10-03 07:00:00,0.09,8.9,0,0.019,9.7,0,0.084,8.7,0,100,9235
2020-10-03 08:00:00,0.09,8.6,0,0.019,9.4,0,0.084,8.4,0,100,9236
2020-10-03 09:00:00,0.09,8.4,0,0.019,9.3,0,0.085,8.3,0,100,9235
2020-10-03 10:00:00,0.091,8.3,0,0.02,9.2,0,0.085,8.4,0,100,9237
2020-10-03 11:00:00,0.091,8.4,0,0.019,9.4,0,0.083,8.7,0,100,9235
2020-10-03 12:00:00,0.092,8.7,0,0.02,10.3,0,0.083,9.6,0,100,9235
2020-10-03 13:00:00,0.092,9.3,0,0.021,11.8,0,0.082,11.1,0,100,9234
2020-10-03 14:00:00,0.092,10.5,0,0.021,14.2,0,0.081,14.6,0,100,9234
2020-10-03 15:00:00,0.092,12,0,0.022,15.4,0,0.079,22.3,0,100,9235
2020-10-03 16:00:00,0.091,15.6,0,0.023,16.8,0,0.076,26.3,0,100,9234
2020-10-03 17:00:00,0.088,19.6,0,0.023,18.8,0,0.075,26.9,0,100,9229
2020-10-03 18:00:00,0.085,21.6,0,0.022,21.5,0,0.076,26.9,0,100,9234
2020-10-03 19:00:00,0.082,20.6,0,0.02,20.4,0,0.075,22.7,0,100,9233
2020-10-03 20:00:00,0.08,18.3,0,0.02,18.1,0,0.074,19,0,100,9234
2020-10-03 21:00:00,0.08,16.6,0,0.02,17.4,0,0.074,17.4,0,100,9237
2020-10-03 22:00:00,0.079,15.7,0,0.019,17.1,0,0.074,16.7,0,100,9234
2020-10-03 23:00:00,0.079,15,0,0.019,16.6,0,0.074,15.9,0,100,9233
2020-10-04 00:00:00,0.079,14.3,0,0.019,16,0,0.074,15.2,0,100,9235
2020-10-04 01:00:00,0.079,13.8,0,0.018,15.4,0,0.074,14.7,0,100,9234
2020-10-04 02:00:00,0.079,13.4,0,0.018,15.2,0,0.074,14.5,0,100,9233
2020-10-04 03:00:00,0.079,13.2,0,0.018,15.1,0,0.074,14.5,0,100,9232
2020-10-04 04:00:00,0.079,13.1,0,0.018,15.1,0,0.075,14.5,0,100,9231
2020-10-04 05:00:00,0.079,13,0,0.017,14.8,0,0.074,14.2,0,100,9232
2020-10-04 06:00:00,0.079,12.8,0,0.017,14.7,0,0.074,14,0,100,9233
2020-10-04 07:00:00,0.079,12.7,0,0.017,14.4,0,0.074,13.7,0,100,9233
2020-10-04 08:00:00,0.079,12.4,0,0.017,13.7,0,0.074,12.9,0,100,9232
2020-10-04 09:00:00,0.079,11.9,0,0.017,13.1,0,0.074,12.4,0,100,9228
2020-10-04 10:00:00,0.079,11.9,0,0.017,13.2,0,0.074,12.8,0,100,9229
2020-10-04 11:00:00,0.08,12.3,0,0.017,13.9,0,0.074,13.7,0,100,9229
2020-10-04 12:00:00,0.079,12.8,0,0.018,14.4,0,0.074,14.5,0,100,9233
2020-10-04 13:00:00,0.079,13.7,0,0.018,15.2,0,0.075,15.5,0,100,9233
2020-10-04 14:00:00,0.079,14.6,0,0.018,15.9,0,0.075,16.4,0,100,9228
2020-10-04 15:00:00,0.077,15,0,0.018,16.1,0,0.075,16.6,0,100,9231
2020-10-04 16:00:00,0.076,15.1,0,0.018,16.1,0,0.074,16.6,0,100,9231
2020-10-04 17:00:00,0.076,15.3,0,0.018,16.2,0,0.073,16.6,0,100,9230
2020-10-04 18:00:00,0.075,15.1,0,0.017,15.8,0,0.073,16.1,0,100,9229
2020-10-04 19:00:00,0.075,14.7,0,0.017,15.5,0,0.073,15.6,0,100,9231
2020-10-04 20:00:00,0.075,14.2,0,0.017,15.1,0,0.072,14.9,0,100,9231
2020-10-04 21:00:00,0.074,13.7,0,0.017,14.8,0,0.072,14.4,0,100,9231
2020-10-04 22:00:00,0.074,13.3,0,0.016,14.4,0,0.072,14,0,100,9228
2020-10-04 23:00:00,0.074,13,0,0.016,14.2,0,0.072,13.8,0,100,9227
2020-10-05 00:00:00,0.074,12.7,0,0.016,13.9,0,0.071,13.4,0,100,9228
2020-10-05 01:00:00,0.074,12.5,0,0.015,13.5,0,0.072,13,0,100,9229
2020-10-05 02:00:00,0.075,12.2,0,0.015,13.1,0,0.072,12.4,0,100,9228
2020-10-05 03:00:00,0.075,11.8,0,0.015,12.6,0,0.072,11.8,0,100,9223
2020-10-05 04:00:00,0.075,11.3,0,0.015,12,0,0.072,11.1,0,100,9228
2020-10-05 05:00:00,0.076,10.6,0,0.015,11.3,0,0.073,10.2,0,100,9227
2020-10-05 06:00:00,0.076,9.9,0,0.015,10.6,0,0.071,9.6,0,100,9228
