z6B00129,Port1,,,Port2,,,Port3,,Port7,
# Records: 9330,GS3 Moisture/Temp/EC,,,GS3 Moisture/Temp/EC,,,GS3 Moisture/Temp/EC,,Battery,
Timestamps, m³/m³ Water Content, °C Soil Temperature, mS/cm Saturation Extract EC, m³/m³ Water Content, °C Soil Temperature, mS/cm Saturation Extract EC, m³/m³ Water Content, °C Soil Temperature,% Battery Percent, mV Battery Voltage
,,,,,,,,,,
2020-09-27 19:00:00,0.131,14.3,0,0.115,17.6,0,0.127,14.4,100,9310
2020-09-27 20:00:00,0.131,11.9,0,0.116,15.3,0,0.128,12.2,100,9312
2020-09-27 21:00:00,0.131,10.7,0,0.116,13.8,0,0.129,11,100,9313
2020-09-27 22:00:00,0.131,10.3,0,0.116,13,0,0.129,10.6,100,9313
2020-09-27 23:00:00,0.131,9.8,0,0.116,12.3,0,0.129,10.1,100,9315
2020-09-28 00:00:00,0.131,9.1,0,0.116,11.4,0,0.13,9.5,100,9311
2020-09-28 01:00:00,0.131,8.9,0,0.116,10.8,0,0.13,9.2,100,9313
2020-09-28 02:00:00,0.132,8.9,0,0.116,10.6,0,0.129,9.2,100,9311
2020-09-28 03:00:00,0.131,8.7,0,0.116,10.4,0,0.13,8.9,100,9310
2020-09-28 04:00:00,0.13,8.5,0,0.117,10.2,0,0.13,8.7,100,9310
2020-09-28 05:00:00,0.13,8.4,0,0.117,9.9,0,0.13,8.6,100,9309
2020-09-28 06:00:00,0.13,8.4,0,0.116,9.8,0,0.13,8.5,100,9310
2020-09-28 07:00:00,0.129,8.8,0,0.116,9.9,0,0.129,8.7,100,9313
2020-09-28 08:00:00,0.13,9.1,0,0.115,10.1,0,0.129,9,100,9307
2020-09-28 09:00:00,0.128,9.5,0,0.115,10.4,0,0.129,9.4,100,9311
2020-09-28 10:00:00,0.128,10,0,0.115,10.9,0,0.129,9.8,100,9310
2020-09-28 11:00:00,0.128,10.8,0,0.115,11.5,0,0.129,10.4,100,9308
2020-09-28 12:00:00,0.127,11.5,0,0.114,12.2,0,0.129,11.1,100,9306
2020-09-28 13:00:00,0.127,12,0,0.114,12.7,0,0.128,11.6,100,9308
2020-09-28 14:00:00,0.127,12.5,0,0.113,13.2,0,0.126,12,100,9306
2020-09-28 15:00:00,0.128,13.2,0,0.112,14,0,0.125,12.6,100,9307
2020-09-28 16:00:00,0.128,14.9,0,0.112,15.3,0,0.125,13.8,100,9306
2020-09-28 17:00:00,0.127,16.8,0,0.111,17,0,0.125,15.2,100,9306
2020-09-28 18:00:00,0.129,16.2,0,0.11,16.9,0,0.124,15.2,100,9303
2020-09-28 19:00:00,0.129,15.3,0,0.11,16.5,0,0.124,14.8,100,9304
2020-09-28 20:00:00,0.129,14.5,0,0.109,16,0,0.124,14.3,100,9302
2020-09-28 21:00:00,0.129,14.1,0,0.109,15.6,0,0.124,14,100,9306
2020-09-28 22:00:00,0.129,13.8,0,0.109,15.4,0,0.124,13.7,100,9305
2020-09-28 23:00:00,0.129,13.6,0,0.109,15.2,0,0.123,13.6,100,9304
2020-09-29 00:00:00,0.128,13.6,0,0.109,15.1,0,0.123,13.6,100,9302
2020-09-29 01:00:00,0.127,13.5,0,0.109,15.1,0,0.122,13.6,100,9305
2020-09-29 02:00:00,0.126,13.6,0,0.109,15.1,0,0.123,13.7,100,9304
2020-09-29 03:00:00,0.127,13.6,0,0.108,15.1,0,0.123,13.7,100,9304
2020-09-29 04:00:00,0.127,13.7,0,0.108,15.1,0,0.123,13.8,100,9303
2020-09-29 05:00:00,0.126,13.5,0,0.108,15,0,0.123,13.7,100,9305
2020-09-29 06:00:00,0.125,13.2,0,0.109,14.8,0,0.123,13.6,100,9304
2020-09-29 07:00:00,0.125,13.1,0,0.109,14.7,0,0.123,13.5,100,9302
2020-09-29 08:00:00,0.123,12.9,0,0.109,14.5,0,0.123,13.5,100,9301
2020-09-29 09:00:00,0.125,12.9,0,0.108,14.4,0,0.123,13.3,100,9302
2020-09-29 10:00:00,0.125,13.1,0,0.108,14.4,0,0.123,13.3,100,9304
2020-09-29 11:00:00,0.124,13.6,0,0.108,14.8,0,0.123,13.6,100,9302
2020-09-29 12:00:00,0.124,14,0,0.107,15.3,0,0.123,14,100,9302
2020-09-29 13:00:00,0.124,14.8,0,0.106,16,0,0.122,14.8,100,9301
2020-09-29 14:00:00,0.121,17.7,0,0.106,18.2,0,0.122,16.1,100,9304
2020-09-29 15:00:00,0.122,21.7,0,0.105,20.4,0,0.12,19.5,100,9303
2020-09-29 16:00:00,0.122,24.2,0,0.104,23,0,0.12,22.4,100,9302
2020-09-29 17:00:00,0.122,25.7,0,0.102,26.5,0,0.119,24.1,100,9304
2020-09-29 18:00:00,0.123,22.4,0,0.101,24.4,0,0.118,21.9,100,9304
2020-09-29 19:00:00,0.122,18.3,0,0.102,20.8,0,0.118,19.1,100,9301
2020-09-29 20:00:00,0.122,15.8,0,0.102,18.5,0,0.119,16.9,100,9301
2020-09-29 21:00:00,0.122,14.4,0,0.103,17.1,0,0.12,15.3,100,9301
2020-09-29 22:00:00,0.121,13.5,0,0.103,16,0,0.121,14.2,100,9304
2020-09-29 23:00:00,0.121,13.3,0,0.103,15.2,0,0.123,13.8,100,9299
2020-09-30 00:00:00,0.12,13.4,0,0.104,14.9,0,0.123,13.8,100,9300
2020-09-30 01:00:00,0.12,13,0,0.103,14.2,0,0.123,13.5,100,9303
2020-09-30 02:00:00,0.12,12.8,0,0.104,13.9,0,0.123,13.3,100,9301
2020-09-30 03:00:00,0.12,12.5,0,0.103,13.5,0,0.123,13.1,100,9300
2020-09-30 04:00:00,0.119,12,0,0.104,12.8,0,0.123,12.7,100,9301
2020-09-30 05:00:00,0.119,11.3,0,0.104,12,0,0.124,11.9,100,9300
2020-09-30 06:00:00,0.118,10.8,0,0.104,11.4,0,0.124,11.3,100,9299
2020-09-30 07:00:00,0.118,10.7,0,0.104,11.2,0,0.124,11.1,100,9298
2020-09-30 08:00:00,0.118,10.6,0,0.104,11,0,0.125,10.9,100,9302
2020-09-30 09:00:00,0.118,10.5,0,0.104,10.9,0,0.125,10.7,100,9301
2020-09-30 10:00:00,0.118,10.8,0,0.104,10.7,0,0.125,10.8,100,9300
2020-09-30 11:00:00,0.117,11.2,0,0.104,10.8,0,0.125,11,100,9301
2020-09-30 12:00:00,0.117,12.1,0,0.104,11.1,0,0.125,11.3,100,9297
2020-09-30 13:00:00,0.117,13.2,0,0.104,11.7,0,0.124,12.1,100,9298
2020-09-30 14:00:00,0.116,15.1,0,0.104,12.9,0,0.123,13.3,100,9299
