z6B01558,Port1,,,Port2,,,Port7,
# Records: 4405,GS3 Moisture/Temp/EC,,,GS3 Moisture/Temp/EC,,,Battery,
Timestamps, m³/m³ Water Content, °C Soil Temperature, mS/cm Saturation Extract EC, m³/m³ Water Content, °C Soil Temperature, mS/cm Saturation Extract EC,% Battery Percent, mV Battery Voltage
,,,,,,,,
2022-04-19 1:45,0.179,6.2,0.023,0.044,7.6,#N/A,100,10738
2022-04-19 2:45,0.156,2.9,0.029,0.039,2.1,#N/A,100,10721
2022-04-19 3:45,0.158,1.4,0.029,0.038,0.8,#N/A,100,10696
2022-04-19 4:45,0.157,0.4,0.033,0.037,0.3,#N/A,100,10664
2022-04-19 5:45,0.157,0.4,0.034,0.036,0.2,#N/A,100,10633
2022-04-19 6:45,0.156,0.4,0.035,0.035,0.1,#N/A,100,10603
2022-04-19 7:45,0.157,0.3,0.032,0.035,0.1,#N/A,100,10574
2022-04-19 8:45,0.157,0.1,0.033,0.034,0,#N/A,100,10549
2022-04-19 9:45,0.156,-0.5,0.033,0.033,-0.2,#N/A,100,10518
2022-04-19 10:45,0.155,-0.2,0.036,0.032,-0.1,#N/A,100,10491
2022-04-19 11:45,0.154,-0.4,0.034,0.031,-0.2,#N/A,100,10466
2022-04-19 12:45,0.152,-0.4,0.031,0.03,-0.2,#N/A,100,10440
2022-04-19 13:45,0.151,-0.1,0.03,0.03,-0.2,#N/A,100,10417
2022-04-19 14:45,0.152,0,0.028,0.03,-0.1,#N/A,100,10396
2022-04-19 15:45,0.156,0.2,0.03,0.032,0,#N/A,100,10373
2022-04-19 16:45,0.162,0.3,0.035,0.035,0.1,#N/A,100,10354
2022-04-19 17:45,0.167,0.3,0.028,0.032,0,#N/A,100,10335
2022-04-19 18:45,0.172,0.3,0.035,0.029,0,#N/A,100,10321
2022-04-19 19:45,0.174,0.2,0.034,0.028,0,#N/A,100,10303
2022-04-19 20:45,0.174,0.1,0.036,0.028,-0.1,#N/A,100,10285
2022-04-19 21:45,0.174,0.2,0.033,0.027,0.1,#N/A,100,10274
2022-04-19 22:45,0.174,0.1,0.034,0.028,0,#N/A,100,10261
2022-04-19 23:45,0.173,0.1,0.033,0.027,0,#N/A,100,10247
2022-04-20 0:45,0.173,0.1,0.032,0.028,0,#N/A,100,10237
2022-04-20 1:45,0.172,0,0.035,0.028,-0.1,#N/A,100,10226
2022-04-20 2:45,0.17,-0.3,0.036,0.027,-0.2,#N/A,100,10218
2022-04-20 3:45,0.168,-0.5,0.035,0.027,-0.3,#N/A,100,10211
2022-04-20 4:45,0.166,-0.8,0.032,0.026,-0.5,#N/A,100,10197
2022-04-20 5:45,0.162,-0.9,0.028,0.025,-0.8,#N/A,100,10185
