Date,S1,S2,S3
2022-05-26 00:00:00,0.108,0.288,0.256
2022-05-26 01:00:00,0.108,0.288,0.256
2022-05-26 02:00:00,0.108,0.288,0.256
2022-05-26 03:00:00,0.108,0.288,0.256
2022-05-26 04:00:00,0.108,0.288,0.256
2022-05-26 05:00:00,0.108,0.288,0.257
2022-05-26 06:00:00,0.108,0.288,0.257
2022-05-26 07:00:00,0.108,0.288,0.258
2022-05-26 08:00:00,0.108,0.289,0.258
2022-05-26 09:00:00,0.108,0.289,0.258
2022-05-26 10:00:00,0.108,0.289,0.259
2022-05-26 11:00:00,0.108,0.289,0.259
2022-05-26 12:00:00,0.108,0.289,0.259
2022-05-26 13:00:00,0.108,0.289,0.259
2022-05-26 14:00:00,0.108,0.289,0.259
2022-05-26 15:00:00,0.108,0.289,0.258
2022-05-26 16:00:00,0.108,0.289,0.258
2022-05-26 17:00:00,0.108,0.289,0.257
2022-05-26 18:00:00,0.108,0.288,0.256
2022-05-26 19:00:00,0.108,0.288,0.256
2022-05-26 20:00:00,0.108,0.288,0.255
2022-05-26 21:00:00,0.108,0.287,0.255
2022-05-26 22:00:00,0.108,0.287,0.254
2022-05-26 23:00:00,0.108,0.287,0.254
2022-05-27 00:00:00,0.107,0.287,0.254
2022-05-27 01:00:00,0.108,0.287,0.253
2022-05-27 02:00:00,0.107,0.287,0.253
2022-05-27 03:00:00,0.107,0.287,0.254
2022-05-27 04:00:00,0.108,0.287,0.254
2022-05-27 05:00:00,0.108,0.287,0.254
2022-05-27 06:00:00,0.108,0.287,0.254
2022-05-27 07:00:00,0.108,0.287,0.254
2022-05-27 08:00:00,0.107,0.287,0.254
2022-05-27 09:00:00,0.107,0.287,0.254
2022-05-27 10:00:00,0.107,0.287,0.255
2022-05-27 11:00:00,0.107,0.287,0.255
2022-05-27 12:00:00,0.107,0.287,0.255
2022-05-27 13:00:00,0.107,0.287,0.255
2022-05-27 14:00:00,0.107,0.287,0.255
2022-05-27 15:00:00,0.107,0.287,0.254
2022-05-27 16:00:00,0.107,0.286,0.252
2022-05-27 17:00:00,0.107,0.286,0.25
2022-05-27 18:00:00,0.107,0.285,0.249
2022-05-27 19:00:00,0.107,0.285,0.249
2022-05-27 20:00:00,0.107,0.284,0.249
2022-05-27 21:00:00,0.107,0.284,0.249
2022-05-27 22:00:00,0.107,0.284,0.249
2022-05-27 23:00:00,0.107,0.284,0.249
2022-05-28 00:00:00,0.107,0.284,0.249
2022-05-28 01:00:00,0.107,0.284,0.25
2022-05-28 02:00:00,0.107,0.284,0.251
2022-05-28 03:00:00,0.107,0.284,0.251
2022-05-28 04:00:00,0.107,0.284,0.252
2022-05-28 05:00:00,0.107,0.284,0.252
2022-05-28 06:00:00,0.107,0.285,0.253
2022-05-28 07:00:00,0.107,0.285,0.253
2022-05-28 08:00:00,0.107,0.285,0.254
2022-05-28 09:00:00,0.107,0.285,0.254
2022-05-28 10:00:00,0.107,0.285,0.254
2022-05-28 11:00:00,0.107,0.285,0.255
2022-05-28 12:00:00,0.107,0.285,0.255
2022-05-28 13:00:00,0.107,0.285,0.255
2022-05-28 14:00:00,0.107,0.285,0.255
2022-05-28 15:00:00,0.107,0.285,0.253
2022-05-28 16:00:00,0.107,0.285,0.251
2022-05-28 17:00:00,0.107,0.284,0.21
2022-05-28 18:00:00,0.107,0.284,0.206
2022-05-28 19:00:00,0.107,0.283,0.206
2022-05-28 20:00:00,0.107,0.283,0.206
2022-05-28 21:00:00,0.107,0.283,0.206
2022-05-28 22:00:00,0.107,0.283,0.206
2022-05-28 23:00:00,0.107,0.282,0.206
2022-05-29 00:00:00,0.107,0.282,0.206
2022-05-29 01:00:00,0.107,0.282,0.206
2022-05-29 02:00:00,0.107,0.282,0.206
2022-05-29 03:00:00,0.107,0.282,0.207
2022-05-29 04:00:00,0.107,0.283,0.208
2022-05-29 05:00:00,0.107,0.283,0.208
2022-05-29 06:00:00,0.107,0.283,0.209
2022-05-29 07:00:00,0.107,0.283,0.209
2022-05-29 08:00:00,0.107,0.283,0.209
2022-05-29 09:00:00,0.107,0.283,0.209
2022-05-29 10:00:00,0.107,0.283,0.209
2022-05-29 11:00:00,0.107,0.283,0.209
2022-05-29 12:00:00,0.107,0.283,0.209
2022-05-29 13:00:00,0.107,0.284,0.209
2022-05-29 14:00:00,0.107,0.284,0.209
2022-05-29 15:00:00,0.107,0.283,0.209
2022-05-29 16:00:00,0.107,0.283,0.208
2022-05-29 17:00:00,0.107,0.283,0.207
2022-05-29 18:00:00,0.107,0.283,0.206
2022-05-29 19:00:00,0.107,0.282,0.206
2022-05-29 20:00:00,0.107,0.282,0.205
2022-05-29 21:00:00,0.107,0.282,0.205
2022-05-29 22:00:00,0.107,0.282,0.204
2022-05-29 23:00:00,0.107,0.281,0.204
2022-05-30 00:00:00,0.107,0.281,0.204
2022-05-30 01:00:00,0.107,0.281,0.205
2022-05-30 02:00:00,0.107,0.281,0.205
2022-05-30 03:00:00,0.107,0.281,0.205
2022-05-30 04:00:00,0.107,0.281,0.205
2022-05-30 05:00:00,0.107,0.281,0.206
2022-05-30 06:00:00,0.107,0.282,0.206
2022-05-30 07:00:00,0.107,0.282,0.206
2022-05-30 08:00:00,0.107,0.282,0.206
2022-05-30 09:00:00,0.107,0.282,0.207
2022-05-30 10:00:00,0.107,0.282,0.207
2022-05-30 11:00:00,0.107,0.282,0.207
2022-05-30 12:00:00,0.107,0.282,0.207
2022-05-30 13:00:00,0.107,0.282,0.207
2022-05-30 14:00:00,0.107,0.282,0.207
2022-05-30 15:00:00,0.107,0.282,0.207
2022-05-30 16:00:00,0.107,0.282,0.207
2022-05-30 17:00:00,0.107,0.282,0.207
2022-05-30 18:00:00,0.107,0.282,0.207
2022-05-30 19:00:00,0.107,0.282,0.21
2022-05-30 20:00:00,0.107,0.283,0.213
2022-05-30 21:00:00,0.107,0.284,0.215
2022-05-30 22:00:00,0.107,0.284,0.215
2022-05-30 23:00:00,0.107,0.284,0.215
2022-05-31 00:00:00,0.107,0.284,0.216
2022-05-31 01:00:00,0.108,0.285,0.216
2022-05-31 02:00:00,0.108,0.285,0.216
2022-05-31 03:00:00,0.107,0.285,0.216
2022-05-31 04:00:00,0.107,0.285,0.217
2022-05-31 05:00:00,0.107,0.285,0.217
2022-05-31 06:00:00,0.107,0.285,0.217
2022-05-31 07:00:00,0.107,0.285,0.217
2022-05-31 08:00:00,0.107,0.285,0.217
2022-05-31 09:00:00,0.107,0.285,0.217
2022-05-31 10:00:00,0.107,0.285,0.218
2022-05-31 11:00:00,0.107,0.285,0.218
2022-05-31 12:00:00,0.107,0.286,0.217
2022-05-31 13:00:00,0.107,0.286,0.217
2022-05-31 14:00:00,0.108,0.286,0.217
2022-05-31 15:00:00,0.108,0.285,0.216
2022-05-31 16:00:00,0.107,0.285,0.215
2022-05-31 17:00:00,0.107,0.285,0.214
2022-05-31 18:00:00,0.107,0.284,0.213
2022-05-31 19:00:00,0.107,0.284,0.212
2022-05-31 20:00:00,0.107,0.283,0.212
2022-05-31 21:00:00,0.107,0.283,0.211
2022-05-31 22:00:00,0.107,0.283,0.21
2022-05-31 23:00:00,0.107,0.282,0.21
2022-06-01 00:00:00,0.107,0.282,0.21
2022-06-01 01:00:00,0.107,0.282,0.209
2022-06-01 02:00:00,0.107,0.282,0.209
2022-06-01 03:00:00,0.107,0.282,0.209
2022-06-01 04:00:00,0.107,0.282,0.21
2022-06-01 05:00:00,0.107,0.282,0.21
2022-06-01 06:00:00,0.107,0.282,0.21
2022-06-01 07:00:00,0.107,0.282,0.21
2022-06-01 08:00:00,0.107,0.282,0.21
2022-06-01 09:00:00,0.107,0.283,0.211
2022-06-01 10:00:00,0.107,0.283,0.211
2022-06-01 11:00:00,0.107,0.283,0.211
2022-06-01 12:00:00,0.107,0.283,0.211
2022-06-01 13:00:00,0.107,0.283,0.211
2022-06-01 14:00:00,0.107,0.283,0.211
2022-06-01 15:00:00,0.107,0.283,0.211
2022-06-01 16:00:00,0.107,0.283,0.21
2022-06-01 17:00:00,0.107,0.282,0.209
2022-06-01 18:00:00,0.107,0.282,0.208
2022-06-01 19:00:00,0.107,0.282,0.208
2022-06-01 20:00:00,0.107,0.281,0.208
2022-06-01 21:00:00,0.107,0.281,0.207
2022-06-01 22:00:00,0.107,0.281,0.207
2022-06-01 23:00:00,0.107,0.28,0.207
2022-06-02 00:00:00,0.107,0.28,0.206
2022-06-02 01:00:00,0.107,0.28,0.206
2022-06-02 02:00:00,0.107,0.28,0.206
2022-06-02 03:00:00,0.107,0.28,0.206
2022-06-02 04:00:00,0.107,0.28,0.207
2022-06-02 05:00:00,0.106,0.281,0.207
2022-06-02 06:00:00,0.107,0.281,0.208
2022-06-02 07:00:00,0.107,0.281,0.208
2022-06-02 08:00:00,0.107,0.281,0.209
2022-06-02 09:00:00,0.107,0.281,0.209
2022-06-02 10:00:00,0.106,0.281,0.209
2022-06-02 11:00:00,0.107,0.281,0.209
2022-06-02 12:00:00,0.107,0.281,0.209
2022-06-02 13:00:00,0.107,0.281,0.209
2022-06-02 14:00:00,0.106,0.281,0.208
2022-06-02 15:00:00,0.106,0.281,0.207
2022-06-02 16:00:00,0.106,0.28,0.206
2022-06-02 17:00:00,0.106,0.28,0.204
2022-06-02 18:00:00,0.106,0.279,0.203
2022-06-02 19:00:00,0.106,0.279,0.203
2022-06-02 20:00:00,0.106,0.279,0.203
2022-06-02 21:00:00,0.106,0.278,0.202
2022-06-02 22:00:00,0.106,0.278,0.202
2022-06-02 23:00:00,0.106,0.278,0.202
2022-06-03 00:00:00,0.106,0.278,0.202
2022-06-03 01:00:00,0.106,0.277,0.202
2022-06-03 02:00:00,0.106,0.277,0.202
2022-06-03 03:00:00,0.106,0.277,0.202
2022-06-03 04:00:00,0.106,0.278,0.202
2022-06-03 05:00:00,0.106,0.278,0.203
2022-06-03 06:00:00,0.106,0.278,0.203
2022-06-03 07:00:00,0.106,0.278,0.204
2022-06-03 08:00:00,0.106,0.278,0.204
2022-06-03 09:00:00,0.106,0.278,0.205
2022-06-03 10:00:00,0.106,0.278,0.205
2022-06-03 11:00:00,0.106,0.279,0.205
2022-06-03 12:00:00,0.106,0.279,0.206
2022-06-03 13:00:00,0.106,0.279,0.206
2022-06-03 14:00:00,0.106,0.279,0.205
2022-06-03 15:00:00,0.106,0.278,0.204
2022-06-03 16:00:00,0.106,0.278,0.202
2022-06-03 17:00:00,0.106,0.277,0.2
2022-06-03 18:00:00,0.106,0.276,0.198
2022-06-03 19:00:00,0.106,0.276,0.198
2022-06-03 20:00:00,0.106,0.275,0.198
2022-06-03 21:00:00,0.106,0.275,0.198
2022-06-03 22:00:00,0.106,0.275,0.198
2022-06-03 23:00:00,0.106,0.275,0.197
2022-06-04 00:00:00,0.106,0.274,0.197
2022-06-04 01:00:00,0.105,0.274,0.197
2022-06-04 02:00:00,0.105,0.274,0.197
2022-06-04 03:00:00,0.105,0.274,0.198
2022-06-04 04:00:00,0.105,0.274,0.198
2022-06-04 05:00:00,0.105,0.275,0.198
2022-06-04 06:00:00,0.105,0.275,0.198
2022-06-04 07:00:00,0.105,0.275,0.199
2022-06-04 08:00:00,0.105,0.275,0.199
2022-06-04 09:00:00,0.105,0.275,0.199
2022-06-04 10:00:00,0.105,0.275,0.199
2022-06-04 11:00:00,0.105,0.275,0.199
2022-06-04 12:00:00,0.105,0.275,0.199
2022-06-04 13:00:00,0.105,0.275,0.199
2022-06-04 14:00:00,0.105,0.275,0.198
2022-06-04 15:00:00,0.105,0.274,0.198
2022-06-04 16:00:00,0.105,0.274,0.197
2022-06-04 17:00:00,0.105,0.274,0.196
2022-06-04 18:00:00,0.105,0.273,0.195
2022-06-04 19:00:00,0.105,0.272,0.194
2022-06-04 20:00:00,0.105,0.272,0.194
2022-06-04 21:00:00,0.105,0.272,0.194
2022-06-04 22:00:00,0.105,0.271,0.193
2022-06-04 23:00:00,0.105,0.271,0.193
2022-06-05 00:00:00,0.105,0.271,0.193
2022-06-05 01:00:00,0.105,0.271,0.194
2022-06-05 02:00:00,0.105,0.271,0.195
2022-06-05 03:00:00,0.105,0.271,0.195
2022-06-05 04:00:00,0.105,0.272,0.198
2022-06-05 05:00:00,0.105,0.279,0.236
2022-06-05 06:00:00,0.106,0.285,0.237
2022-06-05 07:00:00,0.106,0.286,0.235
2022-06-05 08:00:00,0.107,0.286,0.234
2022-06-05 09:00:00,0.107,0.288,0.247
2022-06-05 10:00:00,0.108,0.292,0.255
2022-06-05 11:00:00,0.108,0.294,0.257
2022-06-05 12:00:00,0.109,0.295,0.257
2022-06-05 13:00:00,0.11,0.295,0.255
2022-06-05 14:00:00,0.11,0.295,0.255
2022-06-05 15:00:00,0.11,0.295,0.254
2022-06-05 16:00:00,0.111,0.294,0.252
2022-06-05 17:00:00,0.111,0.294,0.25
2022-06-05 18:00:00,0.111,0.293,0.248
2022-06-05 19:00:00,0.111,0.293,0.246
2022-06-05 20:00:00,0.111,0.292,0.245
2022-06-05 21:00:00,0.111,0.292,0.243
2022-06-05 22:00:00,0.111,0.291,0.242
2022-06-05 23:00:00,0.111,0.291,0.242
2022-06-06 00:00:00,0.111,0.291,0.242
2022-06-06 01:00:00,0.111,0.291,0.241
2022-06-06 02:00:00,0.111,0.291,0.241
2022-06-06 03:00:00,0.111,0.29,0.24
2022-06-06 04:00:00,0.111,0.29,0.24
2022-06-06 05:00:00,0.111,0.29,0.24
2022-06-06 06:00:00,0.111,0.29,0.24
2022-06-06 07:00:00,0.111,0.29,0.24
2022-06-06 08:00:00,0.111,0.29,0.24
2022-06-06 09:00:00,0.111,0.29,0.24
2022-06-06 10:00:00,0.111,0.291,0.24
2022-06-06 11:00:00,0.111,0.291,0.24
2022-06-06 12:00:00,0.111,0.29,0.24
2022-06-06 13:00:00,0.111,0.29,0.239
2022-06-06 14:00:00,0.111,0.29,0.238
2022-06-06 15:00:00,0.111,0.29,0.236
2022-06-06 16:00:00,0.111,0.289,0.235
2022-06-06 17:00:00,0.11,0.288,0.233
2022-06-06 18:00:00,0.11,0.288,0.232
2022-06-06 19:00:00,0.11,0.287,0.231
2022-06-06 20:00:00,0.11,0.287,0.231
2022-06-06 21:00:00,0.11,0.288,0.232
2022-06-06 22:00:00,0.11,0.288,0.233
2022-06-06 23:00:00,0.11,0.289,0.236
2022-06-07 00:00:00,0.11,0.289,0.237
2022-06-07 01:00:00,0.111,0.289,0.237
2022-06-07 02:00:00,0.111,0.289,0.237
2022-06-07 03:00:00,0.111,0.289,0.237
2022-06-07 04:00:00,0.111,0.29,0.241
2022-06-07 05:00:00,0.111,0.294,0.257
2022-06-07 06:00:00,0.112,0.298,0.268
2022-06-07 07:00:00,0.114,0.302,0.28
2022-06-07 08:00:00,0.117,0.308,0.295
2022-06-07 09:00:00,0.12,0.311,0.298
2022-06-07 10:00:00,0.124,0.314,0.303
2022-06-07 11:00:00,0.13,0.318,0.312
2022-06-07 12:00:00,0.136,0.321,0.318
2022-06-07 13:00:00,0.139,0.322,0.316
2022-06-07 14:00:00,0.139,0.321,0.313
2022-06-07 15:00:00,0.138,0.32,0.309
2022-06-07 16:00:00,0.137,0.319,0.306
2022-06-07 17:00:00,0.136,0.318,0.302
2022-06-07 18:00:00,0.135,0.317,0.298
2022-06-07 19:00:00,0.134,0.315,0.296
2022-06-07 20:00:00,0.133,0.314,0.294
2022-06-07 21:00:00,0.133,0.313,0.292
2022-06-07 22:00:00,0.132,0.312,0.29
2022-06-07 23:00:00,0.131,0.312,0.288
2022-06-08 00:00:00,0.13,0.311,0.287
2022-06-08 01:00:00,0.13,0.31,0.286
2022-06-08 02:00:00,0.129,0.31,0.285
2022-06-08 03:00:00,0.129,0.31,0.285
2022-06-08 04:00:00,0.129,0.309,0.285
2022-06-08 05:00:00,0.128,0.309,0.285
