Date,S1,S2,S3
2022-05-26 00:00:00,0.134,0.157,0.159
2022-05-26 01:00:00,0.134,0.157,0.16
2022-05-26 02:00:00,0.134,0.158,0.161
2022-05-26 03:00:00,0.134,0.159,0.161
2022-05-26 04:00:00,0.133,0.16,0.162
2022-05-26 05:00:00,0.133,0.16,0.162
2022-05-26 06:00:00,0.133,0.16,0.162
2022-05-26 07:00:00,0.133,0.16,0.162
2022-05-26 08:00:00,0.133,0.16,0.162
2022-05-26 09:00:00,0.132,0.16,0.162
2022-05-26 10:00:00,0.132,0.159,0.161
2022-05-26 11:00:00,0.131,0.159,0.16
2022-05-26 12:00:00,0.13,0.157,0.159
2022-05-26 13:00:00,0.13,0.156,0.158
2022-05-26 14:00:00,0.129,0.155,0.156
2022-05-26 15:00:00,0.131,0.152,0.152
2022-05-26 16:00:00,0.131,0.149,0.149
2022-05-26 17:00:00,0.131,0.147,0.148
2022-05-26 18:00:00,0.128,0.147,0.148
2022-05-26 19:00:00,0.127,0.146,0.148
2022-05-26 20:00:00,0.128,0.146,0.149
2022-05-26 21:00:00,0.128,0.146,0.15
2022-05-26 22:00:00,0.128,0.146,0.15
2022-05-26 23:00:00,0.129,0.147,0.151
2022-05-27 00:00:00,0.129,0.149,0.152
2022-05-27 01:00:00,0.128,0.15,0.153
2022-05-27 02:00:00,0.128,0.15,0.153
2022-05-27 03:00:00,0.127,0.151,0.153
2022-05-27 04:00:00,0.127,0.151,0.153
2022-05-27 05:00:00,0.127,0.151,0.153
2022-05-27 06:00:00,0.127,0.151,0.154
2022-05-27 07:00:00,0.127,0.151,0.154
2022-05-27 08:00:00,0.126,0.151,0.154
2022-05-27 09:00:00,0.125,0.151,0.154
2022-05-27 10:00:00,0.124,0.15,0.153
2022-05-27 11:00:00,0.124,0.148,0.152
2022-05-27 12:00:00,0.123,0.146,0.15
2022-05-27 13:00:00,0.122,0.145,0.148
2022-05-27 14:00:00,0.121,0.143,0.147
2022-05-27 15:00:00,0.12,0.143,0.145
